date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.9,19.5,4.14,0.09,Anantapur,AP
2014-01-02,0.0,28.9,15.8,4.93,0.09,Anantapur,AP
2014-01-03,0.0,29.3,15.1,4.84,0.089,Anantapur,AP
2014-01-04,0.0,30.3,16.2,5.2,0.089,Anantapur,AP
2014-01-05,0.0,31.1,16.6,5.01,0.089,Anantapur,AP
2014-01-06,0.0,31.7,16.7,5.49,0.088,Anantapur,AP
2014-01-07,0.0,30.3,15.6,5.27,0.088,Anantapur,AP
2014-01-08,0.0,30.2,16.1,5.3,0.088,Anantapur,AP
2014-01-09,0.0,30.4,16.9,5.05,0.088,Anantapur,AP
2014-01-10,0.0,30.8,17.5,5.02,0.088,Anantapur,AP
2014-01-11,0.0,31.2,18.6,5.2,0.088,Anantapur,AP
2014-01-12,0.0,31.8,18.5,5.44,0.087,Anantapur,AP
2014-01-13,0.0,31.0,17.9,5.69,0.087,Anantapur,AP
2014-01-14,0.0,30.7,17.5,5.2,0.087,Anantapur,AP
2014-01-15,0.0,31.3,18.4,5.36,0.087,Anantapur,AP
2014-01-16,0.0,31.4,19.0,5.18,0.087,Anantapur,AP
2014-01-17,0.0,31.3,20.3,5.61,0.087,Anantapur,AP
2014-01-18,0.0,30.6,18.8,5.45,0.087,Anantapur,AP
2014-01-19,0.0,30.9,18.9,5.58,0.087,Anantapur,AP
2014-01-20,0.0,30.3,19.6,5.52,0.087,Anantapur,AP
2014-01-21,0.0,29.3,17.8,5.34,0.087,Anantapur,AP
2014-01-22,0.0,29.8,17.1,5.56,0.087,Anantapur,AP
2014-01-23,0.0,30.1,17.8,5.63,0.087,Anantapur,AP
2014-01-24,0.0,31.0,17.3,5.48,0.087,Anantapur,AP
2014-01-25,0.0,30.8,18.7,5.74,0.087,Anantapur,AP
2014-01-26,0.0,30.5,18.1,5.6,0.087,Anantapur,AP
2014-01-27,0.0,27.6,17.3,4.2,0.088,Anantapur,AP
2014-01-28,0.0,28.6,18.1,4.3,0.088,Anantapur,AP
2014-01-29,0.0,30.0,18.6,5.17,0.088,Anantapur,AP
2014-01-30,0.0,30.0,19.5,5.17,0.087,Anantapur,AP
2014-01-31,0.0,30.4,17.7,5.7,0.087,Anantapur,AP
2014-02-01,0.0,30.8,17.2,5.51,0.087,Anantapur,AP
2014-02-02,0.0,30.7,18.0,5.52,0.087,Anantapur,AP
2014-02-03,0.0,32.4,17.8,5.7,0.087,Anantapur,AP
2014-02-04,0.0,33.4,18.3,5.71,0.087,Anantapur,AP
2014-02-05,0.0,33.6,18.2,6.1,0.086,Anantapur,AP
2014-02-06,0.0,34.1,19.4,6.47,0.086,Anantapur,AP
2014-02-07,0.0,33.7,17.7,6.68,0.086,Anantapur,AP
2014-02-08,0.0,34.2,16.9,6.43,0.086,Anantapur,AP
2014-02-09,0.0,34.2,18.0,5.91,0.086,Anantapur,AP
2014-02-10,0.0,34.2,18.3,5.82,0.086,Anantapur,AP
2014-02-11,0.0,33.7,18.5,5.89,0.086,Anantapur,AP
2014-02-12,0.0,33.8,19.7,6.71,0.086,Anantapur,AP
2014-02-13,0.0,33.9,21.2,5.52,0.086,Anantapur,AP
2014-02-14,0.0,31.3,22.2,4.43,0.086,Anantapur,AP
2014-02-15,0.0,32.3,21.6,4.73,0.087,Anantapur,AP
2014-02-16,0.3,31.2,21.1,4.92,0.09,Anantapur,AP
2014-02-17,0.0,32.3,21.4,5.8,0.089,Anantapur,AP
2014-02-18,0.0,31.6,20.0,5.52,0.088,Anantapur,AP
2014-02-19,0.0,30.7,21.3,4.46,0.088,Anantapur,AP
2014-02-20,0.0,32.1,20.8,5.4,0.088,Anantapur,AP
2014-02-21,0.0,32.8,20.9,5.42,0.087,Anantapur,AP
2014-02-22,0.0,33.8,22.5,6.52,0.087,Anantapur,AP
2014-02-23,0.0,33.5,20.0,7.1,0.087,Anantapur,AP
2014-02-24,0.0,32.4,17.9,6.83,0.086,Anantapur,AP
2014-02-25,0.0,31.3,22.2,4.41,0.088,Anantapur,AP
2014-02-26,0.0,33.0,20.9,5.88,0.088,Anantapur,AP
2014-02-27,0.0,34.5,20.4,6.86,0.087,Anantapur,AP
2014-02-28,0.0,33.2,20.6,5.35,0.087,Anantapur,AP
2014-03-01,0.0,32.6,22.2,5.35,0.087,Anantapur,AP
2014-03-02,0.0,33.8,22.6,6.13,0.087,Anantapur,AP
2014-03-03,2.8,32.7,21.4,5.17,0.108,Anantapur,AP
2014-03-04,0.2,30.5,22.7,4.29,0.112,Anantapur,AP
2014-03-05,1.2,30.7,21.5,4.83,0.115,Anantapur,AP
2014-03-06,0.4,30.7,21.1,4.59,0.116,Anantapur,AP
2014-03-07,0.6,32.6,21.0,5.73,0.112,Anantapur,AP
2014-03-08,4.0,33.4,20.9,6.43,0.135,Anantapur,AP
2014-03-09,0.0,32.6,20.3,6.52,0.12,Anantapur,AP
2014-03-10,0.0,33.6,21.8,6.54,0.109,Anantapur,AP
2014-03-11,0.0,34.3,21.2,7.18,0.103,Anantapur,AP
2014-03-12,0.0,31.8,21.7,5.61,0.099,Anantapur,AP
2014-03-13,0.0,34.8,21.8,7.31,0.096,Anantapur,AP
2014-03-14,0.0,35.7,19.8,7.93,0.093,Anantapur,AP
2014-03-15,0.0,36.3,20.6,8.2,0.092,Anantapur,AP
2014-03-16,0.0,37.1,20.2,8.37,0.09,Anantapur,AP
2014-03-17,0.0,37.0,21.6,8.12,0.089,Anantapur,AP
2014-03-18,0.0,37.7,22.7,8.0,0.088,Anantapur,AP
2014-03-19,0.0,37.9,22.0,7.92,0.087,Anantapur,AP
2014-03-20,0.0,38.3,21.7,7.69,0.087,Anantapur,AP
2014-03-21,0.0,38.6,22.3,7.11,0.086,Anantapur,AP
2014-03-22,0.0,37.9,24.0,6.33,0.086,Anantapur,AP
2014-03-23,0.0,39.1,24.5,8.36,0.086,Anantapur,AP
2014-03-24,0.0,39.0,24.9,8.43,0.086,Anantapur,AP
2014-03-25,0.0,38.4,22.7,8.06,0.086,Anantapur,AP
2014-03-26,0.0,39.1,23.2,9.32,0.086,Anantapur,AP
2014-03-27,0.0,38.7,21.7,8.63,0.086,Anantapur,AP
2014-03-28,0.0,39.1,22.3,8.29,0.086,Anantapur,AP
2014-03-29,0.0,39.7,23.3,8.47,0.086,Anantapur,AP
2014-03-30,0.0,40.6,24.0,8.77,0.086,Anantapur,AP
2014-03-31,0.0,39.5,26.2,7.54,0.085,Anantapur,AP
2014-04-01,0.0,38.9,26.0,6.55,0.085,Anantapur,AP
2014-04-02,0.0,38.7,26.6,6.78,0.085,Anantapur,AP
2014-04-03,0.0,39.4,27.3,7.94,0.085,Anantapur,AP
2014-04-04,0.0,39.5,24.4,8.28,0.085,Anantapur,AP
2014-04-05,0.0,39.9,23.4,8.5,0.085,Anantapur,AP
2014-04-06,0.0,40.1,23.9,8.67,0.085,Anantapur,AP
2014-04-07,0.0,40.3,25.2,8.53,0.085,Anantapur,AP
2014-04-08,0.0,39.1,25.1,7.01,0.085,Anantapur,AP
2014-04-09,0.3,38.4,26.6,6.87,0.086,Anantapur,AP
2014-04-10,0.0,38.1,24.4,6.54,0.09,Anantapur,AP
2014-04-11,0.0,38.1,25.8,6.5,0.088,Anantapur,AP
2014-04-12,0.0,37.9,26.6,6.9,0.087,Anantapur,AP
2014-04-13,0.0,37.9,26.1,6.64,0.086,Anantapur,AP
2014-04-14,0.5,37.9,26.5,6.65,0.087,Anantapur,AP
2014-04-15,0.0,37.5,25.5,6.26,0.089,Anantapur,AP
2014-04-16,0.0,38.4,26.1,6.66,0.087,Anantapur,AP
2014-04-17,0.0,38.2,26.6,6.74,0.087,Anantapur,AP
2014-04-18,0.0,38.3,26.7,6.82,0.087,Anantapur,AP
2014-04-19,1.1,37.3,26.6,6.2,0.088,Anantapur,AP
2014-04-20,0.0,39.4,26.0,9.02,0.089,Anantapur,AP
2014-04-21,0.0,39.9,23.8,8.71,0.087,Anantapur,AP
2014-04-22,0.0,39.8,24.8,8.96,0.086,Anantapur,AP
2014-04-23,0.0,39.9,24.1,8.67,0.086,Anantapur,AP
2014-04-24,0.0,40.4,24.6,8.18,0.086,Anantapur,AP
2014-04-25,0.0,40.9,26.6,7.52,0.086,Anantapur,AP
2014-04-26,0.6,39.7,28.5,6.45,0.089,Anantapur,AP
2014-04-27,0.0,39.3,27.6,6.4,0.093,Anantapur,AP
2014-04-28,0.3,40.0,27.4,6.13,0.089,Anantapur,AP
2014-04-29,0.0,40.6,28.0,7.17,0.088,Anantapur,AP
2014-04-30,0.0,39.0,28.8,6.56,0.087,Anantapur,AP
2014-05-01,0.9,39.3,28.7,6.17,0.088,Anantapur,AP
2014-05-02,1.6,39.5,27.5,7.11,0.093,Anantapur,AP
2014-05-03,1.2,39.4,26.8,7.14,0.102,Anantapur,AP
2014-05-04,0.5,38.3,27.4,7.09,0.102,Anantapur,AP
2014-05-05,0.0,38.0,27.3,7.7,0.096,Anantapur,AP
2014-05-06,0.0,37.2,26.8,6.87,0.094,Anantapur,AP
2014-05-07,4.5,36.1,26.2,5.51,0.118,Anantapur,AP
2014-05-08,28.7,29.9,24.3,2.9,0.225,Anantapur,AP
2014-05-09,4.9,29.6,23.6,3.7,0.345,Anantapur,AP
2014-05-10,0.0,34.5,24.1,6.36,0.292,Anantapur,AP
2014-05-11,0.0,35.5,24.9,7.27,0.243,Anantapur,AP
2014-05-12,0.0,36.5,23.9,7.69,0.199,Anantapur,AP
2014-05-13,0.0,36.3,23.5,7.0,0.162,Anantapur,AP
2014-05-14,0.0,37.2,25.0,7.74,0.136,Anantapur,AP
2014-05-15,0.0,37.5,24.3,8.09,0.118,Anantapur,AP
2014-05-16,0.0,38.0,24.1,7.98,0.108,Anantapur,AP
2014-05-17,0.9,37.4,25.4,7.15,0.106,Anantapur,AP
2014-05-18,0.2,38.0,26.9,6.43,0.11,Anantapur,AP
2014-05-19,0.5,39.1,26.7,6.33,0.105,Anantapur,AP
2014-05-20,2.7,37.0,26.2,6.38,0.106,Anantapur,AP
2014-05-21,1.4,37.0,26.4,6.48,0.138,Anantapur,AP
2014-05-22,0.1,37.9,26.2,7.78,0.132,Anantapur,AP
2014-05-23,0.0,39.2,26.5,7.84,0.116,Anantapur,AP
2014-05-24,0.0,38.5,26.5,8.12,0.105,Anantapur,AP
2014-05-25,0.0,39.3,26.5,8.66,0.1,Anantapur,AP
2014-05-26,0.0,38.4,26.1,7.24,0.096,Anantapur,AP
2014-05-27,9.1,38.5,26.9,6.85,0.103,Anantapur,AP
2014-05-28,1.6,36.6,25.4,5.9,0.175,Anantapur,AP
2014-05-29,0.0,37.2,26.1,6.72,0.152,Anantapur,AP
2014-05-30,3.5,38.2,26.2,6.91,0.139,Anantapur,AP
2014-05-31,0.0,38.8,26.7,7.35,0.16,Anantapur,AP
2014-06-01,1.3,38.9,26.9,7.33,0.135,Anantapur,AP
2014-06-02,7.5,37.1,26.9,6.49,0.148,Anantapur,AP
2014-06-03,2.0,33.8,26.6,5.1,0.247,Anantapur,AP
2014-06-04,2.0,35.7,26.1,6.32,0.212,Anantapur,AP
