date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.9,18.2,3.59,0.132,Annamayya,AP
2014-01-02,0.0,27.8,17.9,4.24,0.131,Annamayya,AP
2014-01-03,0.0,28.2,18.2,3.58,0.13,Annamayya,AP
2014-01-04,0.0,26.4,16.7,3.42,0.13,Annamayya,AP
2014-01-05,0.0,29.3,15.8,4.39,0.129,Annamayya,AP
2014-01-06,0.0,29.9,15.4,4.68,0.128,Annamayya,AP
2014-01-07,0.0,29.0,17.4,4.57,0.128,Annamayya,AP
2014-01-08,0.0,29.1,17.6,4.55,0.127,Annamayya,AP
2014-01-09,0.0,29.4,18.1,4.36,0.127,Annamayya,AP
2014-01-10,0.0,29.9,16.3,4.48,0.126,Annamayya,AP
2014-01-11,0.0,29.9,17.7,4.59,0.125,Annamayya,AP
2014-01-12,0.0,30.7,16.6,4.81,0.125,Annamayya,AP
2014-01-13,0.0,29.8,15.3,4.73,0.124,Annamayya,AP
2014-01-14,0.0,29.6,16.5,4.57,0.124,Annamayya,AP
2014-01-15,0.0,30.5,16.9,4.71,0.123,Annamayya,AP
2014-01-16,0.0,30.5,17.9,4.39,0.123,Annamayya,AP
2014-01-17,0.0,29.6,18.2,4.74,0.123,Annamayya,AP
2014-01-18,0.0,29.2,16.8,4.52,0.123,Annamayya,AP
2014-01-19,0.0,27.9,16.8,3.25,0.123,Annamayya,AP
2014-01-20,0.0,29.2,19.5,4.35,0.124,Annamayya,AP
2014-01-21,0.0,28.3,18.9,4.19,0.124,Annamayya,AP
2014-01-22,0.0,28.3,18.6,4.43,0.123,Annamayya,AP
2014-01-23,0.0,29.5,15.6,5.09,0.123,Annamayya,AP
2014-01-24,0.0,30.2,15.1,5.05,0.123,Annamayya,AP
2014-01-25,0.0,29.5,16.5,4.49,0.123,Annamayya,AP
2014-01-26,0.0,27.8,18.3,3.92,0.123,Annamayya,AP
2014-01-27,0.0,26.9,18.3,3.47,0.124,Annamayya,AP
2014-01-28,0.2,27.4,18.4,3.46,0.127,Annamayya,AP
2014-01-29,0.0,28.7,17.0,4.26,0.127,Annamayya,AP
2014-01-30,0.0,29.5,15.9,5.08,0.126,Annamayya,AP
2014-01-31,0.0,29.7,15.9,5.24,0.125,Annamayya,AP
2014-02-01,0.0,28.5,17.4,3.55,0.125,Annamayya,AP
2014-02-02,0.0,30.0,18.5,4.97,0.125,Annamayya,AP
2014-02-03,0.0,31.5,15.6,5.4,0.124,Annamayya,AP
2014-02-04,0.0,32.3,16.3,5.33,0.124,Annamayya,AP
2014-02-05,0.0,33.0,15.6,5.68,0.123,Annamayya,AP
2014-02-06,0.0,33.4,15.3,6.08,0.123,Annamayya,AP
2014-02-07,0.0,33.1,14.3,6.18,0.122,Annamayya,AP
2014-02-08,0.0,33.7,15.1,6.27,0.122,Annamayya,AP
2014-02-09,0.0,34.7,16.7,6.09,0.122,Annamayya,AP
2014-02-10,0.0,34.3,17.8,5.91,0.121,Annamayya,AP
2014-02-11,0.0,33.3,19.0,6.18,0.121,Annamayya,AP
2014-02-12,0.0,32.9,18.7,6.2,0.121,Annamayya,AP
2014-02-13,0.0,32.4,18.6,6.03,0.121,Annamayya,AP
2014-02-14,0.0,30.9,20.2,4.19,0.121,Annamayya,AP
2014-02-15,0.0,33.3,21.3,4.55,0.122,Annamayya,AP
2014-02-16,0.3,32.6,21.9,5.0,0.125,Annamayya,AP
2014-02-17,0.1,29.6,22.0,4.03,0.126,Annamayya,AP
2014-02-18,0.0,29.7,20.0,4.06,0.13,Annamayya,AP
2014-02-19,0.2,29.2,21.5,3.91,0.131,Annamayya,AP
2014-02-20,0.0,30.3,20.2,4.83,0.131,Annamayya,AP
2014-02-21,0.0,32.3,19.2,5.48,0.13,Annamayya,AP
2014-02-22,0.0,32.5,18.6,6.06,0.128,Annamayya,AP
2014-02-23,0.0,31.4,17.0,5.92,0.127,Annamayya,AP
2014-02-24,0.0,31.1,16.7,5.11,0.126,Annamayya,AP
2014-02-25,0.0,30.2,22.0,4.14,0.126,Annamayya,AP
2014-02-26,0.0,32.2,20.9,5.46,0.126,Annamayya,AP
2014-02-27,0.0,33.0,18.2,5.99,0.125,Annamayya,AP
2014-02-28,0.0,32.6,20.5,5.0,0.125,Annamayya,AP
2014-03-01,1.9,31.1,21.4,4.18,0.129,Annamayya,AP
2014-03-02,0.5,31.3,21.1,4.82,0.14,Annamayya,AP
2014-03-03,0.0,31.7,21.7,5.12,0.142,Annamayya,AP
2014-03-04,1.2,30.7,21.4,4.54,0.146,Annamayya,AP
2014-03-05,0.6,30.0,21.3,4.27,0.158,Annamayya,AP
2014-03-06,0.2,30.7,20.7,4.29,0.156,Annamayya,AP
2014-03-07,0.0,31.7,21.4,5.48,0.152,Annamayya,AP
2014-03-08,0.0,32.4,19.5,6.04,0.147,Annamayya,AP
2014-03-09,0.0,31.3,19.1,5.45,0.142,Annamayya,AP
2014-03-10,0.0,32.2,19.4,5.73,0.138,Annamayya,AP
2014-03-11,0.0,32.3,20.6,5.9,0.135,Annamayya,AP
2014-03-12,0.0,32.9,20.2,6.12,0.132,Annamayya,AP
2014-03-13,0.0,33.2,19.5,6.08,0.13,Annamayya,AP
2014-03-14,0.0,34.6,17.3,6.94,0.128,Annamayya,AP
2014-03-15,0.0,35.2,17.5,7.15,0.127,Annamayya,AP
2014-03-16,0.0,35.8,17.3,7.17,0.126,Annamayya,AP
2014-03-17,0.0,36.2,18.9,7.31,0.124,Annamayya,AP
2014-03-18,0.0,37.1,18.7,7.45,0.123,Annamayya,AP
2014-03-19,0.0,37.4,18.4,7.4,0.123,Annamayya,AP
2014-03-20,0.0,38.2,19.6,7.35,0.122,Annamayya,AP
2014-03-21,0.0,38.6,21.3,7.01,0.122,Annamayya,AP
2014-03-22,0.0,38.3,22.6,6.66,0.121,Annamayya,AP
2014-03-23,0.0,38.3,23.3,8.22,0.121,Annamayya,AP
2014-03-24,0.0,38.2,22.6,8.29,0.121,Annamayya,AP
2014-03-25,0.0,37.7,21.6,7.56,0.121,Annamayya,AP
2014-03-26,0.0,37.4,20.2,7.78,0.12,Annamayya,AP
2014-03-27,0.0,37.3,19.4,7.47,0.12,Annamayya,AP
2014-03-28,0.0,38.5,19.4,7.38,0.12,Annamayya,AP
2014-03-29,0.0,39.1,21.2,8.1,0.12,Annamayya,AP
2014-03-30,0.0,39.9,22.5,8.58,0.12,Annamayya,AP
2014-03-31,0.0,40.1,24.8,8.35,0.12,Annamayya,AP
2014-04-01,0.0,40.3,23.6,7.88,0.12,Annamayya,AP
2014-04-02,0.0,39.4,24.0,7.85,0.12,Annamayya,AP
2014-04-03,0.0,38.7,23.1,7.71,0.12,Annamayya,AP
2014-04-04,0.0,38.8,22.7,7.61,0.12,Annamayya,AP
2014-04-05,0.0,39.4,22.2,7.93,0.12,Annamayya,AP
2014-04-06,0.0,39.2,23.4,8.23,0.12,Annamayya,AP
2014-04-07,0.0,39.4,23.0,8.15,0.12,Annamayya,AP
2014-04-08,0.0,40.0,22.9,7.37,0.12,Annamayya,AP
2014-04-09,0.3,39.0,25.7,7.02,0.122,Annamayya,AP
2014-04-10,0.0,36.4,24.7,4.45,0.127,Annamayya,AP
