date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.3,19.6,3.68,0.138,Bapatla,AP
2014-01-02,0.0,28.2,18.0,3.88,0.136,Bapatla,AP
2014-01-03,0.0,28.6,18.8,3.75,0.136,Bapatla,AP
2014-01-04,0.0,27.4,18.5,2.81,0.135,Bapatla,AP
2014-01-05,0.0,28.6,19.2,3.43,0.134,Bapatla,AP
2014-01-06,0.0,28.4,19.2,3.89,0.134,Bapatla,AP
2014-01-07,0.0,28.9,18.5,3.74,0.133,Bapatla,AP
2014-01-08,0.0,28.5,19.7,3.29,0.133,Bapatla,AP
2014-01-09,0.0,27.8,19.8,2.99,0.134,Bapatla,AP
2014-01-10,0.9,27.3,20.5,2.9,0.14,Bapatla,AP
2014-01-11,0.0,27.5,20.5,3.33,0.142,Bapatla,AP
2014-01-12,0.0,28.8,19.2,3.92,0.139,Bapatla,AP
2014-01-13,0.0,28.5,19.0,3.37,0.138,Bapatla,AP
2014-01-14,0.0,28.8,20.1,3.68,0.136,Bapatla,AP
2014-01-15,0.2,27.7,20.6,3.28,0.137,Bapatla,AP
2014-01-16,0.0,27.9,20.8,3.2,0.141,Bapatla,AP
2014-01-17,0.0,28.4,21.4,3.88,0.141,Bapatla,AP
2014-01-18,0.0,27.8,20.9,3.59,0.139,Bapatla,AP
2014-01-19,0.0,28.4,21.2,3.65,0.138,Bapatla,AP
2014-01-20,0.0,29.1,20.6,3.87,0.138,Bapatla,AP
2014-01-21,0.0,28.8,20.8,4.08,0.137,Bapatla,AP
2014-01-22,0.2,27.2,20.3,3.19,0.138,Bapatla,AP
2014-01-23,0.0,28.0,20.1,3.64,0.138,Bapatla,AP
2014-01-24,0.0,28.0,19.7,3.38,0.137,Bapatla,AP
2014-01-25,0.4,27.7,20.4,3.14,0.139,Bapatla,AP
2014-01-26,0.0,28.8,20.0,3.9,0.14,Bapatla,AP
2014-01-27,0.3,27.1,20.1,3.16,0.141,Bapatla,AP
2014-01-28,0.3,27.6,20.5,3.05,0.143,Bapatla,AP
2014-01-29,0.0,28.7,20.6,4.0,0.143,Bapatla,AP
2014-01-30,0.0,28.9,18.8,3.87,0.14,Bapatla,AP
2014-01-31,0.0,29.4,19.2,4.28,0.138,Bapatla,AP
2014-02-01,0.0,29.0,20.5,3.94,0.136,Bapatla,AP
2014-02-02,0.0,29.3,19.5,3.81,0.135,Bapatla,AP
2014-02-03,0.0,29.9,19.8,4.2,0.134,Bapatla,AP
2014-02-04,0.0,30.6,19.2,4.46,0.133,Bapatla,AP
2014-02-05,0.0,30.5,20.8,4.48,0.132,Bapatla,AP
2014-02-06,0.0,31.8,20.9,4.65,0.131,Bapatla,AP
2014-02-07,0.0,31.2,21.0,4.82,0.131,Bapatla,AP
2014-02-08,0.0,30.5,21.5,5.08,0.13,Bapatla,AP
2014-02-09,0.0,30.6,21.8,5.05,0.129,Bapatla,AP
2014-02-10,0.0,30.4,22.3,4.84,0.129,Bapatla,AP
2014-02-11,0.0,29.2,22.7,4.44,0.129,Bapatla,AP
2014-02-12,0.0,30.0,22.1,4.72,0.129,Bapatla,AP
2014-02-13,0.0,28.8,22.2,4.79,0.128,Bapatla,AP
2014-02-14,0.0,29.1,23.1,4.69,0.128,Bapatla,AP
2014-02-15,0.4,28.3,22.8,3.63,0.13,Bapatla,AP
2014-02-16,2.7,28.0,23.4,2.96,0.146,Bapatla,AP
2014-02-17,1.6,29.8,21.7,3.61,0.163,Bapatla,AP
2014-02-18,0.3,28.8,22.2,3.7,0.164,Bapatla,AP
2014-02-19,0.0,28.8,21.5,3.96,0.159,Bapatla,AP
2014-02-20,0.0,29.4,20.3,4.52,0.152,Bapatla,AP
2014-02-21,0.0,29.6,20.4,5.17,0.147,Bapatla,AP
2014-02-22,0.0,29.6,21.1,5.11,0.143,Bapatla,AP
2014-02-23,0.0,29.0,20.9,4.95,0.14,Bapatla,AP
2014-02-24,0.0,29.9,19.8,5.07,0.137,Bapatla,AP
2014-02-25,0.0,29.9,19.6,4.88,0.136,Bapatla,AP
2014-02-26,0.0,30.0,20.1,4.85,0.134,Bapatla,AP
2014-02-27,0.0,29.8,19.7,4.99,0.133,Bapatla,AP
2014-02-28,0.0,30.0,21.1,4.98,0.133,Bapatla,AP
2014-03-01,0.0,28.8,23.4,4.34,0.132,Bapatla,AP
2014-03-02,0.0,30.3,21.6,4.58,0.131,Bapatla,AP
2014-03-03,0.1,30.0,22.9,4.55,0.132,Bapatla,AP
2014-03-04,0.0,29.8,23.3,4.73,0.131,Bapatla,AP
2014-03-05,0.0,29.8,22.0,4.59,0.131,Bapatla,AP
2014-03-06,0.0,30.7,21.2,4.83,0.13,Bapatla,AP
2014-03-07,0.0,30.8,22.3,5.04,0.13,Bapatla,AP
2014-03-08,0.0,30.9,21.9,5.02,0.13,Bapatla,AP
2014-03-09,0.0,30.4,22.0,4.21,0.129,Bapatla,AP
2014-03-10,0.1,31.5,22.0,4.83,0.129,Bapatla,AP
2014-03-11,0.0,30.7,22.5,4.93,0.129,Bapatla,AP
