date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.3,18.9,3.1,0.175,Chittoor,AP
2014-01-02,0.0,26.9,17.3,3.44,0.173,Chittoor,AP
2014-01-03,0.0,27.0,17.1,2.94,0.172,Chittoor,AP
2014-01-04,0.0,25.9,15.6,2.58,0.17,Chittoor,AP
2014-01-05,0.0,28.8,17.4,4.18,0.169,Chittoor,AP
2014-01-06,0.0,28.6,17.2,4.22,0.166,Chittoor,AP
2014-01-07,0.0,28.8,16.9,4.28,0.164,Chittoor,AP
2014-01-08,0.0,28.1,17.0,3.96,0.162,Chittoor,AP
2014-01-09,0.0,27.4,17.8,3.2,0.161,Chittoor,AP
2014-01-10,0.0,29.1,17.7,4.29,0.16,Chittoor,AP
2014-01-11,0.0,28.5,17.5,4.21,0.159,Chittoor,AP
2014-01-12,0.0,29.7,16.1,4.5,0.157,Chittoor,AP
2014-01-13,0.0,29.2,15.5,4.19,0.156,Chittoor,AP
2014-01-14,0.0,28.5,18.3,4.23,0.155,Chittoor,AP
2014-01-15,0.0,29.1,18.5,4.31,0.154,Chittoor,AP
2014-01-16,0.0,29.0,18.4,3.85,0.153,Chittoor,AP
2014-01-17,0.0,28.6,19.6,4.15,0.153,Chittoor,AP
2014-01-18,0.0,28.6,19.0,4.27,0.152,Chittoor,AP
2014-01-19,0.0,27.4,16.6,3.22,0.154,Chittoor,AP
2014-01-20,0.0,29.0,19.4,4.26,0.157,Chittoor,AP
2014-01-21,0.0,27.8,17.9,3.74,0.157,Chittoor,AP
2014-01-22,0.0,28.2,17.7,4.31,0.156,Chittoor,AP
2014-01-23,0.0,29.1,17.6,4.82,0.155,Chittoor,AP
2014-01-24,0.0,29.8,15.7,4.87,0.154,Chittoor,AP
2014-01-25,0.0,28.4,17.7,4.2,0.153,Chittoor,AP
2014-01-26,0.0,27.9,16.1,3.99,0.152,Chittoor,AP
2014-01-27,0.0,27.9,17.0,3.81,0.152,Chittoor,AP
2014-01-28,0.0,28.6,17.3,4.04,0.152,Chittoor,AP
2014-01-29,0.0,29.2,18.3,4.67,0.152,Chittoor,AP
2014-01-30,0.0,29.8,16.7,5.14,0.151,Chittoor,AP
2014-01-31,0.0,29.5,15.6,5.03,0.15,Chittoor,AP
2014-02-01,0.5,28.0,18.8,3.18,0.151,Chittoor,AP
2014-02-02,0.0,29.8,18.9,4.92,0.153,Chittoor,AP
2014-02-03,0.0,30.2,16.1,5.13,0.152,Chittoor,AP
2014-02-04,0.0,31.5,15.3,5.26,0.151,Chittoor,AP
2014-02-05,0.0,32.1,15.4,5.54,0.149,Chittoor,AP
2014-02-06,0.0,32.5,14.0,5.77,0.148,Chittoor,AP
2014-02-07,0.0,31.7,13.7,5.71,0.148,Chittoor,AP
2014-02-08,0.0,31.9,14.1,5.63,0.147,Chittoor,AP
2014-02-09,0.0,32.6,14.6,5.7,0.146,Chittoor,AP
2014-02-10,0.0,32.6,16.0,5.62,0.146,Chittoor,AP
2014-02-11,0.0,31.3,17.1,5.43,0.146,Chittoor,AP
2014-02-12,0.0,31.1,18.8,5.31,0.145,Chittoor,AP
2014-02-13,0.0,30.7,18.1,5.28,0.145,Chittoor,AP
2014-02-14,0.0,30.7,18.9,4.39,0.145,Chittoor,AP
2014-02-15,0.0,31.1,19.8,4.16,0.145,Chittoor,AP
2014-02-16,0.3,30.6,21.6,4.04,0.146,Chittoor,AP
2014-02-17,0.3,30.8,21.8,4.01,0.153,Chittoor,AP
2014-02-18,0.4,29.7,21.3,3.91,0.158,Chittoor,AP
2014-02-19,1.3,27.9,21.1,3.52,0.167,Chittoor,AP
2014-02-20,0.0,28.2,20.3,3.62,0.17,Chittoor,AP
2014-02-21,0.0,30.7,18.2,4.53,0.167,Chittoor,AP
2014-02-22,0.0,31.5,17.9,5.51,0.163,Chittoor,AP
2014-02-23,0.0,30.3,17.3,5.41,0.16,Chittoor,AP
2014-02-24,1.3,26.6,15.8,2.78,0.164,Chittoor,AP
2014-02-25,0.5,30.0,21.1,3.77,0.177,Chittoor,AP
2014-02-26,0.0,31.1,20.1,5.17,0.173,Chittoor,AP
2014-02-27,0.0,31.5,18.3,5.46,0.168,Chittoor,AP
2014-02-28,0.0,32.0,19.9,4.76,0.164,Chittoor,AP
2014-03-01,0.8,30.5,21.2,3.9,0.164,Chittoor,AP
2014-03-02,0.0,30.4,21.4,4.27,0.165,Chittoor,AP
2014-03-03,0.1,30.6,21.9,4.43,0.164,Chittoor,AP
2014-03-04,0.4,30.4,21.1,4.1,0.165,Chittoor,AP
2014-03-05,0.2,30.0,21.5,4.12,0.167,Chittoor,AP
2014-03-06,0.0,31.3,21.1,4.35,0.165,Chittoor,AP
2014-03-07,0.0,31.6,21.6,5.15,0.163,Chittoor,AP
2014-03-08,0.0,32.3,19.5,5.71,0.16,Chittoor,AP
2014-03-09,0.0,31.0,20.4,4.84,0.157,Chittoor,AP
2014-03-10,0.0,31.9,20.7,5.62,0.155,Chittoor,AP
2014-03-11,0.0,31.6,21.7,5.42,0.154,Chittoor,AP
2014-03-12,0.0,32.3,20.3,5.82,0.152,Chittoor,AP
2014-03-13,0.0,32.7,17.8,5.91,0.151,Chittoor,AP
2014-03-14,0.0,33.9,18.7,6.57,0.149,Chittoor,AP
2014-03-15,0.0,34.2,16.0,6.79,0.148,Chittoor,AP
2014-03-16,0.0,35.1,16.5,6.88,0.147,Chittoor,AP
2014-03-17,0.0,35.4,17.7,6.88,0.146,Chittoor,AP
2014-03-18,0.0,36.3,17.1,6.87,0.146,Chittoor,AP
2014-03-19,0.0,35.7,19.8,6.65,0.145,Chittoor,AP
2014-03-20,0.0,37.0,19.7,6.68,0.145,Chittoor,AP
2014-03-21,0.0,37.8,21.7,6.63,0.144,Chittoor,AP
2014-03-22,0.0,37.1,21.8,6.58,0.144,Chittoor,AP
