date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,28.5,17.1,4.08,0.16,Krishna,AP
2014-01-02,0.0,28.9,16.8,3.96,0.157,Krishna,AP
2014-01-03,0.0,29.3,17.5,3.9,0.154,Krishna,AP
2014-01-04,0.0,28.7,17.9,3.15,0.151,Krishna,AP
2014-01-05,0.0,29.5,19.9,3.67,0.149,Krishna,AP
2014-01-06,0.0,29.5,17.7,4.04,0.147,Krishna,AP
2014-01-07,0.0,29.7,18.0,3.96,0.145,Krishna,AP
2014-01-08,0.0,29.5,18.1,3.49,0.143,Krishna,AP
2014-01-09,0.0,29.0,20.6,3.23,0.142,Krishna,AP
2014-01-10,0.7,28.7,20.5,3.1,0.144,Krishna,AP
2014-01-11,0.0,29.4,19.4,3.54,0.145,Krishna,AP
2014-01-12,0.0,30.2,18.8,4.14,0.143,Krishna,AP
2014-01-13,0.0,28.9,18.5,3.37,0.141,Krishna,AP
2014-01-14,0.0,29.2,19.9,3.46,0.139,Krishna,AP
2014-01-15,0.2,29.1,19.4,3.36,0.139,Krishna,AP
2014-01-16,0.1,29.3,20.4,3.44,0.14,Krishna,AP
2014-01-17,0.0,29.7,19.5,4.05,0.139,Krishna,AP
2014-01-18,0.0,29.2,19.7,3.94,0.138,Krishna,AP
2014-01-19,0.0,30.3,19.9,4.08,0.136,Krishna,AP
2014-01-20,0.0,29.9,19.0,3.87,0.135,Krishna,AP
2014-01-21,0.0,30.0,19.6,4.25,0.134,Krishna,AP
2014-01-22,0.1,28.1,19.9,3.31,0.134,Krishna,AP
2014-01-23,0.1,28.5,19.0,3.58,0.136,Krishna,AP
2014-01-24,0.0,28.9,18.4,3.68,0.136,Krishna,AP
2014-01-25,0.0,29.0,19.3,3.38,0.135,Krishna,AP
2014-01-26,0.0,29.9,18.7,3.99,0.135,Krishna,AP
2014-01-27,0.2,28.6,19.0,3.33,0.136,Krishna,AP
2014-01-28,0.3,29.0,19.8,3.36,0.138,Krishna,AP
2014-01-29,0.0,29.7,19.3,4.29,0.137,Krishna,AP
2014-01-30,0.0,29.7,18.0,4.1,0.135,Krishna,AP
2014-01-31,0.0,29.8,18.1,4.18,0.133,Krishna,AP
2014-02-01,0.0,29.6,19.3,3.97,0.132,Krishna,AP
2014-02-02,0.0,30.2,18.2,4.18,0.131,Krishna,AP
2014-02-03,0.0,30.9,19.7,4.26,0.13,Krishna,AP
2014-02-04,0.0,32.2,20.3,4.43,0.129,Krishna,AP
2014-02-05,0.0,32.3,20.4,4.51,0.128,Krishna,AP
2014-02-06,0.0,33.1,20.5,4.73,0.127,Krishna,AP
2014-02-07,0.0,32.9,20.4,4.95,0.126,Krishna,AP
2014-02-08,0.0,33.2,18.8,5.32,0.125,Krishna,AP
2014-02-09,0.0,33.6,20.0,5.28,0.124,Krishna,AP
2014-02-10,0.0,33.1,19.8,4.85,0.124,Krishna,AP
2014-02-11,0.0,31.7,20.8,4.66,0.123,Krishna,AP
2014-02-12,0.0,32.4,20.1,4.98,0.123,Krishna,AP
2014-02-13,0.0,31.1,20.3,5.11,0.123,Krishna,AP
2014-02-14,0.0,30.7,20.3,4.71,0.123,Krishna,AP
2014-02-15,0.3,29.4,20.5,3.61,0.123,Krishna,AP
2014-02-16,4.8,28.5,22.1,2.85,0.145,Krishna,AP
2014-02-17,0.7,31.0,20.7,4.08,0.172,Krishna,AP
2014-02-18,0.0,30.4,21.6,4.17,0.166,Krishna,AP
2014-02-19,0.0,31.0,20.1,4.77,0.159,Krishna,AP
2014-02-20,0.0,31.4,18.8,5.14,0.152,Krishna,AP
2014-02-21,0.0,31.8,19.7,5.37,0.146,Krishna,AP
2014-02-22,0.0,32.0,19.3,5.49,0.141,Krishna,AP
2014-02-23,0.0,31.0,19.9,5.33,0.137,Krishna,AP
2014-02-24,0.0,31.5,19.2,5.38,0.134,Krishna,AP
2014-02-25,0.0,31.6,18.4,5.29,0.132,Krishna,AP
2014-02-26,0.0,31.9,18.4,5.23,0.131,Krishna,AP
2014-02-27,0.0,32.1,18.3,5.3,0.129,Krishna,AP
2014-02-28,0.0,31.5,19.2,5.04,0.128,Krishna,AP
2014-03-01,0.0,31.5,21.6,5.19,0.127,Krishna,AP
2014-03-02,0.0,32.2,21.0,4.88,0.126,Krishna,AP
2014-03-03,0.0,31.2,22.2,4.4,0.125,Krishna,AP
2014-03-04,0.0,31.5,21.8,4.9,0.125,Krishna,AP
2014-03-05,0.0,30.7,21.5,4.85,0.124,Krishna,AP
2014-03-06,0.0,31.8,20.5,4.62,0.124,Krishna,AP
2014-03-07,0.0,32.4,21.4,5.41,0.123,Krishna,AP
2014-03-08,0.0,32.5,20.8,5.33,0.123,Krishna,AP
2014-03-09,0.0,31.6,21.7,4.38,0.123,Krishna,AP
2014-03-10,0.0,32.6,21.2,5.06,0.122,Krishna,AP
2014-03-11,0.0,33.0,21.5,5.5,0.122,Krishna,AP
2014-03-12,0.0,32.3,22.7,4.35,0.122,Krishna,AP
2014-03-13,0.0,33.0,22.1,4.27,0.121,Krishna,AP
2014-03-14,0.0,35.2,22.8,5.74,0.121,Krishna,AP
2014-03-15,0.0,36.0,22.4,6.06,0.121,Krishna,AP
2014-03-16,0.0,36.2,23.4,5.78,0.121,Krishna,AP
2014-03-17,0.0,35.8,23.9,5.7,0.121,Krishna,AP
2014-03-18,0.0,37.0,23.0,6.1,0.121,Krishna,AP
2014-03-19,0.0,37.4,22.6,6.0,0.121,Krishna,AP
2014-03-20,0.0,37.3,23.5,5.84,0.12,Krishna,AP
2014-03-21,0.0,37.4,23.9,5.69,0.12,Krishna,AP
2014-03-22,0.0,36.3,24.2,5.93,0.12,Krishna,AP
2014-03-23,0.0,36.9,24.3,6.2,0.12,Krishna,AP
2014-03-24,0.0,36.6,23.1,6.13,0.12,Krishna,AP
2014-03-25,0.0,35.9,23.4,6.01,0.12,Krishna,AP
2014-03-26,0.0,37.2,22.9,6.38,0.12,Krishna,AP
2014-03-27,0.0,37.0,22.4,6.31,0.12,Krishna,AP
2014-03-28,0.0,38.2,21.9,6.43,0.12,Krishna,AP
2014-03-29,0.0,39.2,23.6,6.55,0.12,Krishna,AP
2014-03-30,0.0,39.1,24.5,6.76,0.12,Krishna,AP
2014-03-31,0.0,39.2,24.8,6.93,0.12,Krishna,AP
2014-04-01,0.0,38.3,24.7,6.51,0.12,Krishna,AP
2014-04-02,0.0,37.5,24.7,6.25,0.12,Krishna,AP
2014-04-03,0.0,36.9,25.4,5.95,0.12,Krishna,AP
2014-04-04,0.0,37.2,24.6,6.11,0.121,Krishna,AP
2014-04-05,0.0,38.1,24.0,6.19,0.121,Krishna,AP
2014-04-06,0.0,37.2,24.7,6.19,0.121,Krishna,AP
2014-04-07,0.0,37.4,25.3,6.44,0.121,Krishna,AP
