date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,28.6,18.1,4.38,0.25,Kurnool,AP
2014-01-02,0.0,29.1,16.1,4.49,0.25,Kurnool,AP
2014-01-03,0.0,29.6,15.5,4.45,0.25,Kurnool,AP
2014-01-04,0.0,30.3,16.4,4.58,0.25,Kurnool,AP
2014-01-05,0.0,30.9,17.8,4.61,0.25,Kurnool,AP
2014-01-06,0.0,31.8,18.3,5.05,0.249,Kurnool,AP
2014-01-07,0.0,30.7,17.3,5.06,0.249,Kurnool,AP
2014-01-08,0.0,29.9,17.1,4.74,0.249,Kurnool,AP
2014-01-09,0.0,30.3,17.5,4.62,0.249,Kurnool,AP
2014-01-10,0.0,30.4,18.5,4.44,0.249,Kurnool,AP
2014-01-11,0.0,30.8,19.7,4.41,0.249,Kurnool,AP
2014-01-12,0.0,31.7,18.9,5.05,0.249,Kurnool,AP
2014-01-13,0.0,30.7,18.3,5.12,0.249,Kurnool,AP
2014-01-14,0.0,30.4,18.1,4.74,0.249,Kurnool,AP
2014-01-15,0.0,30.9,19.1,4.88,0.249,Kurnool,AP
2014-01-16,0.0,31.0,19.2,4.7,0.249,Kurnool,AP
2014-01-17,0.0,30.9,20.1,5.12,0.249,Kurnool,AP
2014-01-18,0.0,30.7,19.3,4.89,0.249,Kurnool,AP
2014-01-19,0.0,30.8,19.3,5.1,0.249,Kurnool,AP
2014-01-20,0.0,30.5,19.6,4.91,0.249,Kurnool,AP
2014-01-21,0.0,29.6,18.6,4.72,0.249,Kurnool,AP
2014-01-22,0.0,29.2,17.3,4.68,0.249,Kurnool,AP
2014-01-23,0.0,30.1,18.7,4.86,0.249,Kurnool,AP
2014-01-24,0.0,30.7,18.8,4.92,0.249,Kurnool,AP
2014-01-25,0.0,30.4,19.4,4.85,0.249,Kurnool,AP
2014-01-26,0.0,31.0,18.6,5.06,0.249,Kurnool,AP
2014-01-27,0.0,29.1,18.3,4.04,0.249,Kurnool,AP
2014-01-28,0.0,29.2,19.2,3.73,0.25,Kurnool,AP
2014-01-29,0.0,29.9,20.7,4.55,0.25,Kurnool,AP
2014-01-30,0.0,29.9,19.9,4.78,0.25,Kurnool,AP
2014-01-31,0.0,30.1,18.0,5.17,0.249,Kurnool,AP
2014-02-01,0.0,30.3,18.4,5.14,0.249,Kurnool,AP
2014-02-02,0.0,30.6,18.7,5.02,0.249,Kurnool,AP
2014-02-03,0.0,31.6,18.1,5.01,0.249,Kurnool,AP
2014-02-04,0.0,33.0,18.5,5.24,0.249,Kurnool,AP
2014-02-05,0.0,33.3,18.2,5.41,0.249,Kurnool,AP
2014-02-06,0.0,33.9,18.6,5.85,0.249,Kurnool,AP
2014-02-07,0.0,33.6,19.4,6.06,0.249,Kurnool,AP
2014-02-08,0.0,34.1,20.3,6.02,0.249,Kurnool,AP
2014-02-09,0.0,34.3,19.7,5.81,0.249,Kurnool,AP
2014-02-10,0.0,34.3,20.0,5.79,0.249,Kurnool,AP
2014-02-11,0.0,33.3,20.7,5.81,0.249,Kurnool,AP
2014-02-12,0.0,33.0,19.8,6.14,0.249,Kurnool,AP
2014-02-13,0.0,32.7,20.3,6.32,0.249,Kurnool,AP
2014-02-14,0.3,30.3,21.7,4.2,0.25,Kurnool,AP
2014-02-15,0.7,30.3,21.0,4.16,0.254,Kurnool,AP
2014-02-16,0.7,30.6,21.7,4.52,0.258,Kurnool,AP
2014-02-17,0.0,31.3,20.4,5.61,0.257,Kurnool,AP
2014-02-18,0.0,31.5,19.7,5.45,0.255,Kurnool,AP
2014-02-19,0.0,30.9,20.9,4.28,0.254,Kurnool,AP
2014-02-20,0.0,31.7,19.9,5.53,0.253,Kurnool,AP
2014-02-21,0.0,32.4,20.6,5.53,0.252,Kurnool,AP
2014-02-22,0.0,32.9,20.8,6.08,0.251,Kurnool,AP
2014-02-23,0.0,33.1,20.2,6.41,0.25,Kurnool,AP
2014-02-24,0.0,32.4,19.1,6.55,0.25,Kurnool,AP
2014-02-25,0.0,32.3,18.6,5.72,0.25,Kurnool,AP
2014-02-26,0.0,32.7,19.7,5.76,0.25,Kurnool,AP
2014-02-27,0.0,33.5,20.8,6.18,0.249,Kurnool,AP
2014-02-28,0.0,32.9,20.5,5.4,0.249,Kurnool,AP
2014-03-01,0.0,31.4,22.0,4.6,0.25,Kurnool,AP
2014-03-02,0.4,32.0,21.5,5.05,0.252,Kurnool,AP
2014-03-03,0.0,32.3,21.8,5.63,0.256,Kurnool,AP
2014-03-04,5.6,30.1,22.3,3.72,0.267,Kurnool,AP
2014-03-05,0.0,30.9,21.6,4.91,0.3,Kurnool,AP
2014-03-06,0.5,30.5,21.8,3.96,0.299,Kurnool,AP
2014-03-07,0.0,31.8,20.8,5.59,0.303,Kurnool,AP
2014-03-08,0.2,33.4,21.5,6.42,0.294,Kurnool,AP
2014-03-09,0.2,32.3,20.6,5.52,0.285,Kurnool,AP
2014-03-10,0.0,33.5,21.5,6.31,0.278,Kurnool,AP
2014-03-11,0.0,34.1,21.1,6.68,0.272,Kurnool,AP
2014-03-12,0.0,32.3,21.3,5.51,0.267,Kurnool,AP
2014-03-13,0.0,34.9,22.2,6.43,0.263,Kurnool,AP
2014-03-14,0.0,35.9,20.9,7.18,0.26,Kurnool,AP
2014-03-15,0.0,36.8,22.5,7.78,0.256,Kurnool,AP
2014-03-16,0.0,37.3,22.6,7.45,0.254,Kurnool,AP
2014-03-17,0.0,36.9,23.4,7.09,0.252,Kurnool,AP
2014-03-18,0.0,38.0,23.8,7.69,0.251,Kurnool,AP
2014-03-19,0.0,38.1,23.2,7.59,0.25,Kurnool,AP
2014-03-20,0.0,38.3,23.2,6.94,0.249,Kurnool,AP
2014-03-21,0.0,38.4,24.1,7.02,0.249,Kurnool,AP
2014-03-22,0.0,38.5,25.9,6.5,0.249,Kurnool,AP
2014-03-23,0.0,38.7,25.0,7.49,0.249,Kurnool,AP
2014-03-24,0.0,38.4,25.1,7.73,0.249,Kurnool,AP
2014-03-25,0.0,37.9,23.7,7.31,0.249,Kurnool,AP
2014-03-26,0.0,39.1,23.8,8.4,0.249,Kurnool,AP
2014-03-27,0.0,38.7,23.8,8.15,0.249,Kurnool,AP
2014-03-28,0.0,39.2,24.2,7.39,0.249,Kurnool,AP
2014-03-29,0.0,39.7,23.9,7.1,0.249,Kurnool,AP
2014-03-30,0.0,40.2,24.8,7.36,0.249,Kurnool,AP
2014-03-31,0.0,39.4,26.0,6.81,0.249,Kurnool,AP
2014-04-01,0.0,39.7,26.6,6.68,0.249,Kurnool,AP
2014-04-02,0.0,38.3,27.5,6.72,0.249,Kurnool,AP
2014-04-03,0.0,38.0,26.7,6.75,0.249,Kurnool,AP
2014-04-04,0.0,39.0,25.6,7.51,0.249,Kurnool,AP
2014-04-05,0.0,39.5,25.2,7.42,0.249,Kurnool,AP
2014-04-06,0.0,40.1,25.2,8.08,0.249,Kurnool,AP
2014-04-07,0.0,40.3,25.6,7.74,0.249,Kurnool,AP
2014-04-08,0.0,40.1,25.3,7.06,0.249,Kurnool,AP
2014-04-09,0.0,38.8,26.9,6.64,0.249,Kurnool,AP
2014-04-10,0.6,37.4,24.8,6.15,0.256,Kurnool,AP
2014-04-11,0.0,38.6,26.1,6.93,0.254,Kurnool,AP
2014-04-12,0.0,38.0,26.5,6.4,0.252,Kurnool,AP
2014-04-13,0.0,37.7,26.0,6.83,0.251,Kurnool,AP
2014-04-14,0.0,37.5,26.2,6.84,0.251,Kurnool,AP
2014-04-15,0.0,36.8,26.1,6.24,0.251,Kurnool,AP
2014-04-16,0.0,38.7,26.2,6.85,0.25,Kurnool,AP
2014-04-17,0.0,38.8,26.9,6.57,0.25,Kurnool,AP
2014-04-18,2.6,38.1,27.0,5.95,0.254,Kurnool,AP
2014-04-19,0.2,37.5,27.1,5.79,0.268,Kurnool,AP
2014-04-20,0.0,39.2,25.6,7.68,0.266,Kurnool,AP
2014-04-21,0.0,39.7,25.4,7.89,0.26,Kurnool,AP
2014-04-22,0.0,40.0,24.4,7.98,0.256,Kurnool,AP
2014-04-23,0.0,40.6,24.7,8.1,0.253,Kurnool,AP
2014-04-24,0.0,39.7,26.3,7.16,0.251,Kurnool,AP
2014-04-25,0.0,41.0,27.7,7.37,0.25,Kurnool,AP
2014-04-26,0.5,39.9,29.2,6.34,0.25,Kurnool,AP
2014-04-27,0.0,40.0,28.7,5.99,0.25,Kurnool,AP
2014-04-28,1.8,39.5,28.8,5.94,0.255,Kurnool,AP
2014-04-29,0.0,40.2,28.4,6.88,0.264,Kurnool,AP
2014-04-30,0.0,39.6,28.2,6.84,0.259,Kurnool,AP
2014-05-01,1.1,39.4,28.5,6.25,0.26,Kurnool,AP
2014-05-02,1.4,39.7,27.6,6.88,0.271,Kurnool,AP
2014-05-03,1.8,39.2,28.1,6.76,0.283,Kurnool,AP
2014-05-04,0.1,38.1,27.1,6.84,0.296,Kurnool,AP
2014-05-05,0.0,37.8,26.7,7.39,0.283,Kurnool,AP
2014-05-06,0.3,37.1,26.5,6.79,0.276,Kurnool,AP
2014-05-07,2.5,36.3,26.2,6.06,0.281,Kurnool,AP
2014-05-08,14.4,32.3,24.9,4.3,0.317,Kurnool,AP
2014-05-09,24.0,28.6,23.9,2.25,0.474,Kurnool,AP
2014-05-10,0.0,34.7,24.3,6.17,0.429,Kurnool,AP
2014-05-11,0.0,35.8,25.9,7.3,0.389,Kurnool,AP
