date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.9,16.5,3.76,0.161,Palnadu,AP
2014-01-02,0.0,28.4,16.3,3.79,0.159,Palnadu,AP
2014-01-03,0.0,28.8,17.5,3.79,0.156,Palnadu,AP
2014-01-04,0.0,28.4,17.2,3.29,0.154,Palnadu,AP
2014-01-05,0.0,29.2,19.4,3.61,0.152,Palnadu,AP
2014-01-06,0.0,29.3,17.5,3.94,0.151,Palnadu,AP
2014-01-07,0.0,29.3,18.5,3.85,0.149,Palnadu,AP
2014-01-08,0.0,29.0,18.3,3.29,0.148,Palnadu,AP
2014-01-09,0.0,28.8,19.2,3.12,0.147,Palnadu,AP
2014-01-10,0.0,28.8,20.0,3.14,0.147,Palnadu,AP
2014-01-11,0.0,28.8,19.8,3.55,0.147,Palnadu,AP
2014-01-12,0.0,29.8,19.0,4.03,0.145,Palnadu,AP
2014-01-13,0.0,28.8,19.5,3.46,0.144,Palnadu,AP
2014-01-14,0.0,29.5,20.0,3.77,0.143,Palnadu,AP
2014-01-15,0.0,29.6,18.6,3.73,0.142,Palnadu,AP
2014-01-16,0.0,29.4,20.2,3.59,0.142,Palnadu,AP
2014-01-17,0.0,29.5,19.2,4.16,0.141,Palnadu,AP
2014-01-18,0.0,28.6,18.9,3.57,0.141,Palnadu,AP
2014-01-19,0.0,30.0,19.2,3.98,0.14,Palnadu,AP
2014-01-20,0.0,29.6,19.3,3.89,0.139,Palnadu,AP
2014-01-21,0.0,29.6,18.8,4.05,0.139,Palnadu,AP
2014-01-22,0.6,27.4,19.1,3.19,0.141,Palnadu,AP
2014-01-23,0.0,28.2,19.3,3.45,0.145,Palnadu,AP
2014-01-24,0.0,28.7,18.5,3.49,0.144,Palnadu,AP
2014-01-25,0.0,28.5,19.1,3.23,0.144,Palnadu,AP
2014-01-26,0.0,29.5,18.4,3.8,0.144,Palnadu,AP
2014-01-27,0.5,28.0,18.3,3.21,0.145,Palnadu,AP
2014-01-28,0.4,28.4,19.4,3.17,0.148,Palnadu,AP
2014-01-29,0.0,29.5,19.1,3.91,0.148,Palnadu,AP
2014-01-30,0.0,29.1,19.3,3.89,0.146,Palnadu,AP
2014-01-31,0.0,29.5,18.4,4.15,0.144,Palnadu,AP
2014-02-01,0.0,29.2,18.1,3.71,0.142,Palnadu,AP
2014-02-02,0.0,29.7,18.2,4.04,0.141,Palnadu,AP
2014-02-03,0.0,30.8,18.8,4.31,0.139,Palnadu,AP
2014-02-04,0.0,32.1,18.8,4.49,0.138,Palnadu,AP
2014-02-05,0.0,32.1,18.3,4.61,0.136,Palnadu,AP
2014-02-06,0.0,32.9,18.7,4.81,0.135,Palnadu,AP
2014-02-07,0.0,32.6,18.6,5.2,0.134,Palnadu,AP
2014-02-08,0.0,33.1,19.1,5.72,0.133,Palnadu,AP
2014-02-09,0.0,33.4,18.8,5.5,0.132,Palnadu,AP
2014-02-10,0.0,33.0,19.6,5.31,0.131,Palnadu,AP
2014-02-11,0.0,31.6,20.6,4.86,0.131,Palnadu,AP
2014-02-12,0.0,32.0,19.9,4.87,0.13,Palnadu,AP
2014-02-13,0.0,30.5,19.8,5.06,0.13,Palnadu,AP
2014-02-14,0.0,30.1,20.7,4.26,0.13,Palnadu,AP
