date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.3,13.8,3.48,0.237,Parvathipuram Manyam,AP
2014-01-02,0.0,28.4,13.9,3.65,0.237,Parvathipuram Manyam,AP
2014-01-03,0.0,28.2,14.4,3.58,0.237,Parvathipuram Manyam,AP
2014-01-04,0.0,28.1,15.0,3.59,0.236,Parvathipuram Manyam,AP
2014-01-05,0.0,28.6,15.5,3.51,0.236,Parvathipuram Manyam,AP
2014-01-06,0.0,28.6,16.0,3.34,0.236,Parvathipuram Manyam,AP
2014-01-07,0.0,28.1,18.2,3.2,0.236,Parvathipuram Manyam,AP
2014-01-08,0.0,28.2,17.9,3.52,0.236,Parvathipuram Manyam,AP
2014-01-09,0.0,27.7,19.5,2.99,0.238,Parvathipuram Manyam,AP
2014-01-10,0.0,27.1,18.8,3.12,0.239,Parvathipuram Manyam,AP
2014-01-11,0.0,27.6,17.3,3.59,0.238,Parvathipuram Manyam,AP
2014-01-12,0.0,29.8,15.6,3.78,0.238,Parvathipuram Manyam,AP
2014-01-13,0.0,27.4,17.7,3.08,0.237,Parvathipuram Manyam,AP
2014-01-14,0.3,26.7,19.5,2.67,0.244,Parvathipuram Manyam,AP
2014-01-15,0.1,27.3,19.6,3.15,0.25,Parvathipuram Manyam,AP
2014-01-16,0.0,27.9,18.6,3.1,0.249,Parvathipuram Manyam,AP
2014-01-17,0.1,26.8,19.1,2.89,0.248,Parvathipuram Manyam,AP
2014-01-18,0.0,26.9,16.7,3.53,0.247,Parvathipuram Manyam,AP
2014-01-19,0.0,28.2,15.6,3.75,0.245,Parvathipuram Manyam,AP
2014-01-20,0.0,28.4,17.0,3.67,0.243,Parvathipuram Manyam,AP
2014-01-21,0.0,28.2,16.4,3.6,0.241,Parvathipuram Manyam,AP
2014-01-22,0.1,26.5,18.3,2.86,0.241,Parvathipuram Manyam,AP
2014-01-23,0.0,26.9,17.9,3.35,0.242,Parvathipuram Manyam,AP
2014-01-24,0.0,28.4,15.8,3.83,0.241,Parvathipuram Manyam,AP
2014-01-25,0.0,28.8,16.4,3.98,0.239,Parvathipuram Manyam,AP
2014-01-26,0.0,28.8,16.4,4.02,0.238,Parvathipuram Manyam,AP
2014-01-27,0.0,29.0,16.9,3.79,0.237,Parvathipuram Manyam,AP
2014-01-28,0.0,28.2,17.1,3.83,0.237,Parvathipuram Manyam,AP
2014-01-29,0.0,27.7,16.0,3.96,0.236,Parvathipuram Manyam,AP
2014-01-30,0.0,28.9,15.5,4.12,0.236,Parvathipuram Manyam,AP
2014-01-31,0.0,28.4,15.1,4.04,0.235,Parvathipuram Manyam,AP
2014-02-01,0.0,28.6,15.9,4.08,0.235,Parvathipuram Manyam,AP
2014-02-02,0.0,30.4,15.4,4.35,0.234,Parvathipuram Manyam,AP
2014-02-03,0.0,31.1,14.5,4.54,0.234,Parvathipuram Manyam,AP
2014-02-04,0.0,32.5,14.6,4.48,0.234,Parvathipuram Manyam,AP
2014-02-05,0.0,31.9,18.4,4.33,0.234,Parvathipuram Manyam,AP
2014-02-06,0.0,32.9,19.5,4.55,0.234,Parvathipuram Manyam,AP
2014-02-07,0.0,32.6,17.4,4.75,0.233,Parvathipuram Manyam,AP
2014-02-08,0.0,33.6,17.3,4.85,0.233,Parvathipuram Manyam,AP
2014-02-09,0.0,33.7,18.3,5.14,0.233,Parvathipuram Manyam,AP
2014-02-10,0.0,33.5,17.5,4.79,0.233,Parvathipuram Manyam,AP
2014-02-11,0.0,32.5,17.5,4.67,0.233,Parvathipuram Manyam,AP
2014-02-12,0.0,32.2,18.3,4.33,0.233,Parvathipuram Manyam,AP
2014-02-13,0.0,29.4,19.8,4.14,0.233,Parvathipuram Manyam,AP
2014-02-14,0.0,29.8,18.1,4.55,0.233,Parvathipuram Manyam,AP
2014-02-15,0.0,29.3,18.8,4.32,0.233,Parvathipuram Manyam,AP
2014-02-16,1.9,28.6,20.5,3.08,0.25,Parvathipuram Manyam,AP
2014-02-17,0.0,30.0,17.7,4.53,0.271,Parvathipuram Manyam,AP
2014-02-18,0.0,29.2,16.1,4.93,0.264,Parvathipuram Manyam,AP
2014-02-19,0.0,29.1,14.5,4.65,0.257,Parvathipuram Manyam,AP
2014-02-20,0.0,29.9,15.9,4.82,0.252,Parvathipuram Manyam,AP
