date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.8,19.8,3.4,0.264,Prakasam,AP
2014-01-02,0.0,27.3,17.9,3.82,0.262,Prakasam,AP
2014-01-03,0.0,27.7,18.9,3.69,0.259,Prakasam,AP
2014-01-04,0.0,26.8,18.2,2.79,0.257,Prakasam,AP
2014-01-05,0.0,27.6,18.8,3.35,0.256,Prakasam,AP
2014-01-06,0.0,27.4,19.9,3.74,0.254,Prakasam,AP
2014-01-07,0.0,27.8,18.2,3.64,0.252,Prakasam,AP
2014-01-08,0.0,27.4,19.2,3.11,0.251,Prakasam,AP
2014-01-09,0.0,27.3,19.0,3.05,0.252,Prakasam,AP
2014-01-10,0.7,27.6,20.7,3.07,0.256,Prakasam,AP
2014-01-11,0.0,27.3,20.6,3.44,0.256,Prakasam,AP
2014-01-12,0.0,28.0,20.0,3.89,0.254,Prakasam,AP
2014-01-13,0.0,27.6,19.1,3.55,0.251,Prakasam,AP
2014-01-14,0.0,27.8,19.8,3.67,0.25,Prakasam,AP
2014-01-15,0.0,28.4,19.7,3.64,0.248,Prakasam,AP
2014-01-16,1.3,27.6,21.6,3.23,0.251,Prakasam,AP
2014-01-17,0.0,27.6,21.3,3.74,0.254,Prakasam,AP
2014-01-18,0.0,27.2,21.2,3.62,0.252,Prakasam,AP
2014-01-19,1.3,27.5,21.5,3.44,0.254,Prakasam,AP
2014-01-20,0.0,28.0,21.4,3.69,0.257,Prakasam,AP
2014-01-21,0.0,27.7,21.5,3.9,0.256,Prakasam,AP
2014-01-22,0.2,27.3,20.1,3.49,0.255,Prakasam,AP
2014-01-23,0.0,27.1,20.8,3.61,0.254,Prakasam,AP
2014-01-24,0.0,27.6,19.8,3.73,0.252,Prakasam,AP
2014-01-25,0.9,27.1,21.4,3.28,0.253,Prakasam,AP
2014-01-26,0.2,27.5,20.0,3.63,0.255,Prakasam,AP
2014-01-27,0.7,26.7,20.1,3.31,0.258,Prakasam,AP
2014-01-28,1.2,26.7,21.1,2.91,0.265,Prakasam,AP
2014-01-29,0.6,27.4,20.9,3.76,0.27,Prakasam,AP
2014-01-30,0.0,28.1,19.6,3.99,0.267,Prakasam,AP
2014-01-31,0.0,28.3,18.6,4.24,0.262,Prakasam,AP
2014-02-01,0.0,27.9,20.9,3.91,0.258,Prakasam,AP
2014-02-02,0.0,28.3,19.7,3.92,0.254,Prakasam,AP
2014-02-03,0.0,28.7,18.3,4.27,0.251,Prakasam,AP
2014-02-04,0.0,29.7,18.9,4.45,0.248,Prakasam,AP
2014-02-05,0.0,29.9,19.8,4.51,0.245,Prakasam,AP
2014-02-06,0.0,30.6,19.6,4.69,0.242,Prakasam,AP
2014-02-07,0.0,30.6,19.1,4.85,0.239,Prakasam,AP
2014-02-08,0.0,31.2,19.7,5.24,0.237,Prakasam,AP
2014-02-09,0.0,31.3,20.1,5.23,0.235,Prakasam,AP
2014-02-10,0.0,31.2,20.7,5.14,0.234,Prakasam,AP
2014-02-11,0.0,29.6,21.8,4.78,0.233,Prakasam,AP
2014-02-12,0.0,30.0,21.7,4.82,0.232,Prakasam,AP
2014-02-13,0.0,28.8,22.0,5.02,0.231,Prakasam,AP
2014-02-14,0.0,29.1,22.9,4.44,0.23,Prakasam,AP
2014-02-15,0.2,29.4,22.6,3.99,0.231,Prakasam,AP
2014-02-16,1.6,29.1,23.5,3.59,0.24,Prakasam,AP
2014-02-17,2.8,29.1,22.6,3.1,0.267,Prakasam,AP
2014-02-18,0.9,28.1,22.5,3.59,0.277,Prakasam,AP
2014-02-19,0.9,27.4,22.1,3.78,0.279,Prakasam,AP
2014-02-20,0.0,28.4,21.0,4.37,0.276,Prakasam,AP
2014-02-21,0.0,28.9,20.0,4.8,0.269,Prakasam,AP
2014-02-22,0.0,28.9,20.1,4.92,0.262,Prakasam,AP
2014-02-23,0.0,27.9,20.4,4.71,0.257,Prakasam,AP
2014-02-24,0.0,29.0,19.7,5.08,0.252,Prakasam,AP
2014-02-25,0.0,29.1,20.1,4.76,0.249,Prakasam,AP
2014-02-26,0.0,29.4,20.4,4.6,0.246,Prakasam,AP
2014-02-27,0.0,29.2,20.6,4.95,0.243,Prakasam,AP
2014-02-28,0.0,29.5,20.7,4.88,0.241,Prakasam,AP
2014-03-01,0.4,27.8,23.8,3.88,0.24,Prakasam,AP
2014-03-02,0.0,29.6,22.2,4.34,0.24,Prakasam,AP
2014-03-03,0.0,29.8,23.5,4.99,0.239,Prakasam,AP
2014-03-04,0.0,29.3,24.0,4.68,0.238,Prakasam,AP
2014-03-05,0.0,29.1,23.1,4.45,0.237,Prakasam,AP
2014-03-06,0.0,30.3,22.8,5.05,0.235,Prakasam,AP
2014-03-07,0.0,29.8,23.0,5.14,0.233,Prakasam,AP
2014-03-08,0.0,29.9,22.6,4.97,0.232,Prakasam,AP
2014-03-09,0.0,29.4,22.3,4.3,0.231,Prakasam,AP
2014-03-10,0.0,30.5,22.3,4.95,0.23,Prakasam,AP
2014-03-11,0.0,30.2,23.1,4.96,0.229,Prakasam,AP
2014-03-12,0.0,29.6,23.5,4.21,0.229,Prakasam,AP
2014-03-13,0.0,30.8,22.5,4.46,0.228,Prakasam,AP
2014-03-14,0.0,32.3,20.7,5.61,0.227,Prakasam,AP
2014-03-15,0.0,32.8,20.2,5.76,0.227,Prakasam,AP
2014-03-16,0.0,33.0,21.1,5.64,0.226,Prakasam,AP
