date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.7,18.9,3.76,0.061,Srikakulam,AP
2014-01-02,0.0,27.4,18.2,3.92,0.06,Srikakulam,AP
2014-01-03,0.0,27.2,19.2,3.74,0.059,Srikakulam,AP
2014-01-04,0.0,26.8,19.7,3.56,0.058,Srikakulam,AP
2014-01-05,0.0,26.6,19.4,3.38,0.058,Srikakulam,AP
2014-01-06,0.0,26.9,18.0,3.42,0.057,Srikakulam,AP
2014-01-07,0.0,27.5,19.0,3.55,0.057,Srikakulam,AP
2014-01-08,0.1,26.9,20.8,3.5,0.058,Srikakulam,AP
2014-01-09,0.0,26.5,20.8,3.34,0.058,Srikakulam,AP
2014-01-10,0.0,26.1,19.0,3.3,0.058,Srikakulam,AP
2014-01-11,0.0,26.0,17.3,3.52,0.057,Srikakulam,AP
2014-01-12,0.0,27.2,17.3,3.67,0.057,Srikakulam,AP
2014-01-13,0.3,26.3,20.7,3.22,0.058,Srikakulam,AP
2014-01-14,0.9,26.3,19.3,2.91,0.065,Srikakulam,AP
2014-01-15,0.9,26.3,21.2,3.09,0.072,Srikakulam,AP
2014-01-16,0.2,26.3,19.9,3.15,0.074,Srikakulam,AP
2014-01-17,0.9,25.3,20.7,3.11,0.08,Srikakulam,AP
2014-01-18,0.0,26.1,19.5,3.62,0.081,Srikakulam,AP
2014-01-19,0.0,27.0,20.0,3.88,0.075,Srikakulam,AP
2014-01-20,0.0,27.5,19.8,3.96,0.071,Srikakulam,AP
2014-01-21,0.1,26.7,20.3,3.7,0.068,Srikakulam,AP
2014-01-22,0.6,24.8,20.6,2.93,0.072,Srikakulam,AP
2014-01-23,0.0,26.6,19.5,3.83,0.072,Srikakulam,AP
2014-01-24,0.0,27.0,17.8,3.85,0.068,Srikakulam,AP
2014-01-25,0.0,27.2,18.3,4.14,0.065,Srikakulam,AP
2014-01-26,0.0,27.3,19.9,4.2,0.063,Srikakulam,AP
2014-01-27,0.0,27.2,20.1,3.73,0.062,Srikakulam,AP
