date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.1,19.2,3.72,0.089,Visakhapatnam,AP
2014-01-02,0.0,27.0,18.3,3.9,0.088,Visakhapatnam,AP
2014-01-03,0.0,26.7,19.2,3.68,0.087,Visakhapatnam,AP
2014-01-04,0.0,26.5,19.7,3.46,0.086,Visakhapatnam,AP
2014-01-05,0.0,26.7,19.4,3.43,0.086,Visakhapatnam,AP
2014-01-06,0.0,26.3,19.1,3.45,0.085,Visakhapatnam,AP
2014-01-07,0.0,27.0,19.2,3.45,0.084,Visakhapatnam,AP
2014-01-08,0.0,26.5,21.2,3.19,0.084,Visakhapatnam,AP
2014-01-09,0.5,26.3,20.9,3.07,0.09,Visakhapatnam,AP
2014-01-10,0.0,26.3,19.8,3.24,0.091,Visakhapatnam,AP
2014-01-11,0.0,26.0,18.0,3.55,0.09,Visakhapatnam,AP
2014-01-12,0.0,26.7,17.8,3.54,0.088,Visakhapatnam,AP
2014-01-13,0.8,26.6,21.0,3.26,0.088,Visakhapatnam,AP
2014-01-14,0.8,25.3,21.4,2.71,0.098,Visakhapatnam,AP
2014-01-15,0.3,25.6,20.3,2.64,0.11,Visakhapatnam,AP
2014-01-16,0.1,26.5,20.0,3.22,0.111,Visakhapatnam,AP
2014-01-17,1.0,25.9,20.7,3.0,0.116,Visakhapatnam,AP
2014-01-18,0.0,26.2,20.8,3.66,0.118,Visakhapatnam,AP
2014-01-19,0.0,26.8,20.5,3.99,0.112,Visakhapatnam,AP
2014-01-20,0.0,27.2,20.4,3.96,0.106,Visakhapatnam,AP
2014-01-21,0.0,26.6,20.6,3.61,0.102,Visakhapatnam,AP
2014-01-22,1.4,24.7,20.9,2.81,0.113,Visakhapatnam,AP
2014-01-23,0.0,26.1,21.2,3.43,0.114,Visakhapatnam,AP
2014-01-24,0.0,26.3,17.9,3.41,0.108,Visakhapatnam,AP
2014-01-25,0.0,26.9,19.9,4.02,0.103,Visakhapatnam,AP
2014-01-26,0.0,27.0,20.2,4.14,0.098,Visakhapatnam,AP
2014-01-27,0.0,26.9,20.6,3.68,0.096,Visakhapatnam,AP
2014-01-28,0.0,26.5,20.9,3.8,0.094,Visakhapatnam,AP
2014-01-29,0.0,26.1,20.0,4.37,0.091,Visakhapatnam,AP
2014-01-30,0.0,26.5,19.2,4.22,0.088,Visakhapatnam,AP
2014-01-31,0.0,26.7,19.5,4.24,0.086,Visakhapatnam,AP
2014-02-01,0.0,26.6,19.9,4.15,0.084,Visakhapatnam,AP
2014-02-02,0.0,27.3,19.4,4.03,0.083,Visakhapatnam,AP
2014-02-03,0.0,27.6,18.3,4.06,0.082,Visakhapatnam,AP
2014-02-04,0.0,28.6,18.8,4.24,0.081,Visakhapatnam,AP
2014-02-05,0.0,28.8,19.8,4.04,0.08,Visakhapatnam,AP
2014-02-06,0.0,29.3,20.3,4.19,0.08,Visakhapatnam,AP
2014-02-07,0.0,30.1,19.0,4.76,0.079,Visakhapatnam,AP
2014-02-08,0.0,30.1,21.8,5.32,0.078,Visakhapatnam,AP
2014-02-09,0.0,30.7,21.1,5.18,0.078,Visakhapatnam,AP
2014-02-10,0.0,30.2,21.9,4.93,0.077,Visakhapatnam,AP
2014-02-11,0.0,29.4,21.9,4.82,0.077,Visakhapatnam,AP
2014-02-12,0.0,29.4,21.6,4.73,0.077,Visakhapatnam,AP
2014-02-13,0.0,27.9,20.9,4.31,0.078,Visakhapatnam,AP
2014-02-14,0.0,27.8,19.9,4.25,0.077,Visakhapatnam,AP
2014-02-15,0.0,28.0,20.2,4.17,0.077,Visakhapatnam,AP
2014-02-16,0.1,27.7,22.8,3.8,0.079,Visakhapatnam,AP
2014-02-17,0.1,28.4,21.5,4.47,0.082,Visakhapatnam,AP
2014-02-18,0.0,27.0,22.0,4.63,0.082,Visakhapatnam,AP
2014-02-19,0.0,26.9,19.9,4.92,0.08,Visakhapatnam,AP
2014-02-20,0.0,27.1,17.9,4.59,0.079,Visakhapatnam,AP
2014-02-21,0.0,27.7,18.8,4.45,0.079,Visakhapatnam,AP
2014-02-22,0.0,27.6,19.2,4.65,0.078,Visakhapatnam,AP
2014-02-23,0.0,27.2,19.8,4.72,0.078,Visakhapatnam,AP
2014-02-24,0.0,27.6,20.3,4.7,0.077,Visakhapatnam,AP
2014-02-25,0.0,27.8,20.9,4.67,0.077,Visakhapatnam,AP
2014-02-26,0.0,28.3,20.4,4.65,0.076,Visakhapatnam,AP
2014-02-27,0.0,28.7,21.5,4.73,0.076,Visakhapatnam,AP
2014-02-28,0.0,28.2,19.1,4.62,0.076,Visakhapatnam,AP
2014-03-01,0.0,28.6,21.5,4.46,0.076,Visakhapatnam,AP
2014-03-02,0.0,28.5,20.3,4.21,0.076,Visakhapatnam,AP
2014-03-03,0.2,28.8,21.3,4.15,0.077,Visakhapatnam,AP
2014-03-04,0.0,28.2,22.0,4.09,0.081,Visakhapatnam,AP
2014-03-05,0.0,28.2,22.0,4.53,0.081,Visakhapatnam,AP
2014-03-06,0.0,29.3,21.0,4.61,0.08,Visakhapatnam,AP
2014-03-07,0.0,29.1,21.2,4.73,0.079,Visakhapatnam,AP
2014-03-08,0.0,28.8,20.9,4.49,0.078,Visakhapatnam,AP
2014-03-09,0.2,29.3,22.3,4.47,0.078,Visakhapatnam,AP
2014-03-10,0.0,29.9,22.2,4.11,0.079,Visakhapatnam,AP
2014-03-11,0.0,29.6,21.3,4.59,0.08,Visakhapatnam,AP
2014-03-12,0.0,29.8,22.2,4.34,0.079,Visakhapatnam,AP
2014-03-13,0.0,30.3,23.2,3.95,0.078,Visakhapatnam,AP
2014-03-14,0.2,31.7,23.7,5.06,0.078,Visakhapatnam,AP
2014-03-15,0.0,32.2,23.1,5.09,0.078,Visakhapatnam,AP
2014-03-16,0.0,32.0,24.0,5.04,0.077,Visakhapatnam,AP
2014-03-17,0.0,32.2,22.9,5.54,0.077,Visakhapatnam,AP
2014-03-18,0.0,33.4,24.3,6.0,0.077,Visakhapatnam,AP
2014-03-19,0.0,34.3,25.0,6.13,0.076,Visakhapatnam,AP
2014-03-20,0.0,33.9,25.1,5.88,0.076,Visakhapatnam,AP
2014-03-21,0.0,32.9,24.9,5.31,0.075,Visakhapatnam,AP
2014-03-22,0.0,32.5,25.2,5.32,0.075,Visakhapatnam,AP
2014-03-23,0.0,32.9,25.0,5.68,0.075,Visakhapatnam,AP
2014-03-24,0.0,31.9,24.8,5.72,0.075,Visakhapatnam,AP
2014-03-25,0.0,31.5,24.7,5.49,0.075,Visakhapatnam,AP
2014-03-26,0.0,32.9,24.7,6.11,0.075,Visakhapatnam,AP
2014-03-27,0.0,34.1,25.3,6.55,0.075,Visakhapatnam,AP
2014-03-28,0.0,35.3,25.7,6.79,0.075,Visakhapatnam,AP
2014-03-29,0.0,35.8,25.8,6.47,0.074,Visakhapatnam,AP
2014-03-30,0.0,35.8,26.1,6.63,0.074,Visakhapatnam,AP
2014-03-31,0.0,35.3,27.0,6.62,0.074,Visakhapatnam,AP
2014-04-01,0.0,34.8,26.5,6.73,0.074,Visakhapatnam,AP
2014-04-02,0.0,34.2,26.3,6.45,0.074,Visakhapatnam,AP
2014-04-03,0.0,33.2,26.0,6.12,0.074,Visakhapatnam,AP
2014-04-04,0.0,33.3,25.6,5.87,0.074,Visakhapatnam,AP
2014-04-05,0.0,33.9,25.3,5.81,0.074,Visakhapatnam,AP
2014-04-06,0.0,32.5,25.6,5.6,0.074,Visakhapatnam,AP
2014-04-07,0.0,33.0,25.8,5.95,0.074,Visakhapatnam,AP
2014-04-08,0.0,34.0,26.1,6.02,0.074,Visakhapatnam,AP
2014-04-09,0.0,34.3,26.8,5.72,0.075,Visakhapatnam,AP
2014-04-10,0.0,34.1,26.1,5.56,0.076,Visakhapatnam,AP
2014-04-11,0.0,33.1,25.1,5.47,0.075,Visakhapatnam,AP
2014-04-12,0.0,32.7,26.2,5.4,0.076,Visakhapatnam,AP
2014-04-13,0.0,32.0,26.4,5.07,0.076,Visakhapatnam,AP
2014-04-14,0.0,32.7,25.0,5.75,0.075,Visakhapatnam,AP
2014-04-15,0.0,33.1,25.5,5.77,0.075,Visakhapatnam,AP
2014-04-16,0.0,33.3,26.3,5.81,0.075,Visakhapatnam,AP
2014-04-17,0.0,33.1,26.6,5.72,0.075,Visakhapatnam,AP
2014-04-18,0.0,33.1,26.3,5.88,0.075,Visakhapatnam,AP
2014-04-19,0.0,34.1,26.4,5.99,0.075,Visakhapatnam,AP
2014-04-20,0.0,34.7,26.6,6.1,0.075,Visakhapatnam,AP
2014-04-21,0.0,33.5,26.3,5.64,0.075,Visakhapatnam,AP
2014-04-22,0.0,33.6,25.7,5.81,0.075,Visakhapatnam,AP
2014-04-23,0.0,34.6,26.1,6.03,0.076,Visakhapatnam,AP
2014-04-24,0.0,34.5,27.4,6.19,0.075,Visakhapatnam,AP
2014-04-25,0.0,35.4,27.8,6.32,0.075,Visakhapatnam,AP
2014-04-26,0.0,34.2,27.7,5.8,0.075,Visakhapatnam,AP
2014-04-27,0.0,34.1,27.5,6.04,0.075,Visakhapatnam,AP
2014-04-28,0.0,34.4,27.1,6.43,0.075,Visakhapatnam,AP
2014-04-29,0.0,34.0,27.5,6.2,0.075,Visakhapatnam,AP
2014-04-30,0.0,33.7,26.9,5.76,0.075,Visakhapatnam,AP
2014-05-01,0.0,34.2,27.2,6.38,0.075,Visakhapatnam,AP
2014-05-02,0.0,33.6,27.2,6.01,0.075,Visakhapatnam,AP
2014-05-03,0.0,33.6,27.4,6.15,0.076,Visakhapatnam,AP
2014-05-04,0.0,33.8,27.3,5.87,0.076,Visakhapatnam,AP
2014-05-05,0.8,32.6,26.4,5.52,0.079,Visakhapatnam,AP
2014-05-06,1.6,33.0,25.8,5.23,0.087,Visakhapatnam,AP
2014-05-07,1.0,33.4,26.6,5.97,0.097,Visakhapatnam,AP
