date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.3,16.1,3.62,0.216,Vizianagaram,AP
2014-01-02,0.0,27.3,15.4,3.82,0.213,Vizianagaram,AP
2014-01-03,0.0,27.1,16.4,3.63,0.21,Vizianagaram,AP
2014-01-04,0.0,26.9,17.3,3.49,0.207,Vizianagaram,AP
2014-01-05,0.0,27.0,16.9,3.39,0.205,Vizianagaram,AP
2014-01-06,0.0,26.7,17.3,3.39,0.203,Vizianagaram,AP
2014-01-07,0.0,27.4,18.3,3.42,0.2,Vizianagaram,AP
2014-01-08,0.0,27.0,19.5,3.28,0.199,Vizianagaram,AP
2014-01-09,0.0,26.7,19.7,3.18,0.202,Vizianagaram,AP
2014-01-10,0.0,26.3,18.3,3.17,0.201,Vizianagaram,AP
2014-01-11,0.0,26.0,16.9,3.48,0.198,Vizianagaram,AP
2014-01-12,0.0,27.6,16.1,3.57,0.195,Vizianagaram,AP
2014-01-13,0.2,26.5,19.3,3.16,0.195,Vizianagaram,AP
2014-01-14,0.5,25.1,19.3,2.73,0.204,Vizianagaram,AP
2014-01-15,0.8,25.5,18.9,2.81,0.217,Vizianagaram,AP
2014-01-16,0.3,26.4,18.4,3.15,0.22,Vizianagaram,AP
2014-01-17,0.3,25.5,19.4,2.93,0.223,Vizianagaram,AP
2014-01-18,0.0,26.0,17.6,3.37,0.224,Vizianagaram,AP
2014-01-19,0.0,26.9,18.4,3.75,0.218,Vizianagaram,AP
2014-01-20,0.0,27.4,17.7,3.82,0.211,Vizianagaram,AP
2014-01-21,0.1,26.9,17.8,3.54,0.207,Vizianagaram,AP
2014-01-22,1.4,24.5,19.1,2.58,0.214,Vizianagaram,AP
2014-01-23,0.0,26.2,18.2,3.51,0.215,Vizianagaram,AP
2014-01-24,0.0,26.7,16.6,3.58,0.209,Vizianagaram,AP
2014-01-25,0.0,27.2,17.0,3.95,0.203,Vizianagaram,AP
2014-01-26,0.0,27.2,17.6,4.03,0.198,Vizianagaram,AP
2014-01-27,0.0,27.3,18.4,3.64,0.194,Vizianagaram,AP
2014-01-28,0.0,26.8,18.9,3.72,0.19,Vizianagaram,AP
2014-01-29,0.0,26.3,17.8,4.13,0.186,Vizianagaram,AP
2014-01-30,0.0,27.0,17.2,4.11,0.182,Vizianagaram,AP
2014-01-31,0.0,27.1,16.5,4.09,0.178,Vizianagaram,AP
2014-02-01,0.0,27.1,17.6,4.07,0.175,Vizianagaram,AP
2014-02-02,0.0,28.3,16.4,4.14,0.172,Vizianagaram,AP
2014-02-03,0.0,28.8,15.9,4.18,0.169,Vizianagaram,AP
2014-02-04,0.0,29.8,16.1,4.25,0.166,Vizianagaram,AP
2014-02-05,0.0,29.8,18.6,4.1,0.164,Vizianagaram,AP
2014-02-06,0.0,30.5,18.8,4.29,0.161,Vizianagaram,AP
2014-02-07,0.0,30.9,18.1,4.86,0.159,Vizianagaram,AP
2014-02-08,0.0,31.2,19.4,5.71,0.156,Vizianagaram,AP
2014-02-09,0.0,31.6,18.8,5.41,0.153,Vizianagaram,AP
