date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.8,18.1,3.77,0.276,West Godavari,AP
2014-01-02,0.0,28.6,17.5,3.91,0.274,West Godavari,AP
2014-01-03,0.0,29.0,18.7,3.92,0.272,West Godavari,AP
2014-01-04,0.0,28.1,18.7,2.86,0.27,West Godavari,AP
2014-01-05,0.0,29.1,18.6,3.62,0.269,West Godavari,AP
2014-01-06,0.0,29.0,17.9,3.94,0.267,West Godavari,AP
2014-01-07,0.0,29.6,18.9,3.89,0.265,West Godavari,AP
2014-01-08,0.0,28.8,20.2,3.33,0.264,West Godavari,AP
2014-01-09,1.3,27.8,19.6,3.02,0.267,West Godavari,AP
2014-01-10,0.1,28.2,20.9,2.96,0.271,West Godavari,AP
2014-01-11,0.0,28.6,19.0,3.71,0.271,West Godavari,AP
2014-01-12,0.0,29.5,17.9,4.02,0.269,West Godavari,AP
2014-01-13,0.5,28.5,19.4,3.27,0.269,West Godavari,AP
2014-01-14,0.3,27.9,19.6,3.13,0.271,West Godavari,AP
2014-01-15,0.7,27.4,20.1,2.97,0.278,West Godavari,AP
2014-01-16,0.2,27.8,20.3,3.19,0.286,West Godavari,AP
2014-01-17,0.0,28.5,19.3,3.73,0.289,West Godavari,AP
2014-01-18,0.0,28.3,21.4,3.95,0.286,West Godavari,AP
2014-01-19,0.0,29.5,20.4,4.16,0.282,West Godavari,AP
2014-01-20,0.0,29.2,20.3,4.04,0.279,West Godavari,AP
2014-01-21,0.0,29.2,20.6,4.22,0.276,West Godavari,AP
2014-01-22,0.0,27.6,20.4,3.31,0.276,West Godavari,AP
2014-01-23,0.0,27.5,20.1,3.35,0.276,West Godavari,AP
2014-01-24,0.0,28.3,18.9,3.48,0.275,West Godavari,AP
2014-01-25,0.0,28.4,20.5,3.62,0.274,West Godavari,AP
2014-01-26,0.0,29.3,19.7,4.33,0.272,West Godavari,AP
2014-01-27,0.3,28.0,20.6,3.25,0.273,West Godavari,AP
2014-01-28,1.1,28.0,20.4,3.22,0.277,West Godavari,AP
2014-01-29,0.0,28.8,19.6,4.41,0.277,West Godavari,AP
2014-01-30,0.0,29.2,18.7,4.37,0.274,West Godavari,AP
2014-01-31,0.0,29.3,19.2,4.38,0.271,West Godavari,AP
2014-02-01,0.0,29.0,19.9,4.23,0.269,West Godavari,AP
2014-02-02,0.0,29.5,19.1,4.07,0.267,West Godavari,AP
2014-02-03,0.0,30.1,18.2,4.35,0.265,West Godavari,AP
2014-02-04,0.0,31.1,18.9,4.42,0.263,West Godavari,AP
2014-02-05,0.0,30.9,19.8,4.3,0.261,West Godavari,AP
2014-02-06,0.0,31.9,19.3,4.49,0.26,West Godavari,AP
2014-02-07,0.0,31.3,19.9,4.65,0.259,West Godavari,AP
2014-02-08,0.0,31.4,20.8,5.09,0.257,West Godavari,AP
2014-02-09,0.0,31.8,19.7,5.05,0.257,West Godavari,AP
2014-02-10,0.0,31.2,20.5,4.72,0.256,West Godavari,AP
2014-02-11,0.0,29.9,19.8,4.42,0.255,West Godavari,AP
2014-02-12,0.0,30.7,20.2,4.65,0.255,West Godavari,AP
2014-02-13,0.0,29.3,20.0,4.49,0.254,West Godavari,AP
2014-02-14,0.0,29.1,19.8,4.24,0.254,West Godavari,AP
2014-02-15,0.0,28.6,20.2,3.62,0.254,West Godavari,AP
2014-02-16,1.4,27.2,21.8,2.54,0.259,West Godavari,AP
2014-02-17,1.0,29.7,20.4,3.65,0.267,West Godavari,AP
2014-02-18,0.0,28.9,21.4,4.05,0.268,West Godavari,AP
2014-02-19,0.0,29.9,19.8,4.8,0.267,West Godavari,AP
2014-02-20,0.0,30.0,19.0,5.0,0.265,West Godavari,AP
2014-02-21,0.0,30.0,19.1,5.08,0.263,West Godavari,AP
2014-02-22,0.0,29.9,20.0,5.09,0.261,West Godavari,AP
2014-02-23,0.0,29.3,20.4,5.14,0.259,West Godavari,AP
2014-02-24,0.0,29.8,19.6,5.14,0.258,West Godavari,AP
2014-02-25,0.0,30.3,19.4,5.1,0.257,West Godavari,AP
2014-02-26,0.0,30.2,18.5,4.99,0.256,West Godavari,AP
2014-02-27,0.0,30.2,19.4,5.01,0.256,West Godavari,AP
2014-02-28,0.0,29.8,19.9,4.91,0.255,West Godavari,AP
2014-03-01,0.0,30.0,21.5,5.08,0.254,West Godavari,AP
2014-03-02,0.0,30.4,20.6,4.85,0.254,West Godavari,AP
2014-03-03,0.0,30.3,21.9,4.4,0.254,West Godavari,AP
2014-03-04,0.0,30.2,21.9,4.47,0.254,West Godavari,AP
2014-03-05,0.0,29.9,21.0,4.58,0.254,West Godavari,AP
2014-03-06,0.0,30.8,21.2,4.8,0.254,West Godavari,AP
2014-03-07,0.0,30.8,21.3,5.22,0.253,West Godavari,AP
2014-03-08,0.0,31.1,21.3,5.01,0.253,West Godavari,AP
2014-03-09,0.0,30.9,22.0,4.43,0.253,West Godavari,AP
2014-03-10,0.0,31.2,21.6,4.51,0.253,West Godavari,AP
2014-03-11,0.0,31.2,22.1,4.94,0.253,West Godavari,AP
2014-03-12,0.0,30.1,22.4,3.92,0.253,West Godavari,AP
2014-03-13,0.0,31.3,22.7,3.96,0.253,West Godavari,AP
2014-03-14,0.0,33.7,23.1,5.52,0.253,West Godavari,AP
2014-03-15,0.0,34.5,21.4,5.79,0.253,West Godavari,AP
2014-03-16,0.0,34.7,22.1,5.6,0.253,West Godavari,AP
2014-03-17,0.0,34.6,22.7,5.7,0.253,West Godavari,AP
2014-03-18,0.0,35.5,23.0,5.98,0.252,West Godavari,AP
2014-03-19,0.0,35.6,23.4,6.0,0.252,West Godavari,AP
2014-03-20,0.0,34.9,23.8,5.85,0.252,West Godavari,AP
2014-03-21,0.0,34.9,23.9,5.7,0.252,West Godavari,AP
2014-03-22,0.0,33.9,23.8,5.71,0.252,West Godavari,AP
2014-03-23,0.0,34.0,24.1,5.77,0.252,West Godavari,AP
2014-03-24,0.0,34.0,23.2,5.82,0.252,West Godavari,AP
2014-03-25,0.0,33.3,23.2,5.63,0.252,West Godavari,AP
2014-03-26,0.0,34.6,22.7,5.96,0.252,West Godavari,AP
2014-03-27,0.0,34.9,22.8,6.0,0.252,West Godavari,AP
2014-03-28,0.0,36.4,22.1,6.42,0.252,West Godavari,AP
