date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,28.9,18.7,4.07,0.253,YSR Kadapa,AP
2014-01-02,0.0,29.7,18.7,4.74,0.252,YSR Kadapa,AP
2014-01-03,0.0,29.8,18.9,4.02,0.252,YSR Kadapa,AP
2014-01-04,0.0,28.7,18.0,3.95,0.252,YSR Kadapa,AP
2014-01-05,0.0,30.9,18.3,4.57,0.251,YSR Kadapa,AP
2014-01-06,0.0,31.5,17.4,4.88,0.251,YSR Kadapa,AP
2014-01-07,0.0,30.9,18.5,4.82,0.251,YSR Kadapa,AP
2014-01-08,0.0,30.7,18.8,4.77,0.251,YSR Kadapa,AP
2014-01-09,0.0,31.1,19.2,4.78,0.251,YSR Kadapa,AP
2014-01-10,0.0,31.4,19.1,4.67,0.25,YSR Kadapa,AP
2014-01-11,0.0,31.5,19.0,4.85,0.25,YSR Kadapa,AP
2014-01-12,0.0,32.4,18.4,5.07,0.25,YSR Kadapa,AP
2014-01-13,0.0,31.5,17.3,5.06,0.25,YSR Kadapa,AP
2014-01-14,0.0,31.2,18.4,4.77,0.25,YSR Kadapa,AP
2014-01-15,0.0,32.0,18.5,4.9,0.25,YSR Kadapa,AP
2014-01-16,0.0,32.1,19.4,4.79,0.25,YSR Kadapa,AP
2014-01-17,0.0,31.4,20.4,5.09,0.25,YSR Kadapa,AP
2014-01-18,0.0,30.8,18.9,4.8,0.25,YSR Kadapa,AP
2014-01-19,0.0,29.7,18.5,3.55,0.25,YSR Kadapa,AP
2014-01-20,0.0,31.0,21.1,4.63,0.251,YSR Kadapa,AP
2014-01-21,0.0,30.5,20.2,4.83,0.251,YSR Kadapa,AP
2014-01-22,0.0,29.4,20.3,4.47,0.251,YSR Kadapa,AP
2014-01-23,0.0,30.8,17.9,5.17,0.251,YSR Kadapa,AP
2014-01-24,0.0,31.7,17.8,5.27,0.25,YSR Kadapa,AP
2014-01-25,0.0,31.1,19.0,4.73,0.25,YSR Kadapa,AP
2014-01-26,0.0,29.2,19.8,3.86,0.251,YSR Kadapa,AP
2014-01-27,0.1,28.7,19.1,3.67,0.252,YSR Kadapa,AP
2014-01-28,0.1,29.0,20.8,3.66,0.255,YSR Kadapa,AP
2014-01-29,0.0,30.0,19.0,4.04,0.256,YSR Kadapa,AP
2014-01-30,0.0,31.1,18.2,5.3,0.255,YSR Kadapa,AP
2014-01-31,0.0,31.4,17.4,5.46,0.254,YSR Kadapa,AP
2014-02-01,0.0,30.5,18.6,4.1,0.254,YSR Kadapa,AP
2014-02-02,0.0,31.6,19.1,5.19,0.253,YSR Kadapa,AP
2014-02-03,0.0,33.0,18.1,5.53,0.252,YSR Kadapa,AP
2014-02-04,0.0,34.1,19.4,5.47,0.252,YSR Kadapa,AP
2014-02-05,0.0,34.6,17.9,5.76,0.251,YSR Kadapa,AP
2014-02-06,0.0,35.0,18.3,6.16,0.251,YSR Kadapa,AP
2014-02-07,0.0,34.9,18.0,6.27,0.25,YSR Kadapa,AP
2014-02-08,0.0,35.6,17.6,6.33,0.25,YSR Kadapa,AP
2014-02-09,0.0,36.4,19.7,5.86,0.25,YSR Kadapa,AP
2014-02-10,0.0,36.0,20.4,5.67,0.25,YSR Kadapa,AP
2014-02-11,0.0,35.1,19.4,5.91,0.25,YSR Kadapa,AP
2014-02-12,0.0,34.6,19.5,6.27,0.25,YSR Kadapa,AP
2014-02-13,0.0,34.0,19.9,6.19,0.25,YSR Kadapa,AP
2014-02-14,0.0,32.2,21.4,4.31,0.25,YSR Kadapa,AP
2014-02-15,0.0,33.7,22.7,4.59,0.251,YSR Kadapa,AP
2014-02-16,0.2,32.7,22.8,4.77,0.254,YSR Kadapa,AP
2014-02-17,0.7,30.6,23.2,4.21,0.257,YSR Kadapa,AP
2014-02-18,0.0,31.0,20.8,4.28,0.259,YSR Kadapa,AP
2014-02-19,0.2,31.1,23.1,4.3,0.26,YSR Kadapa,AP
2014-02-20,0.0,32.0,21.1,5.51,0.259,YSR Kadapa,AP
2014-02-21,0.0,33.6,20.2,5.84,0.257,YSR Kadapa,AP
2014-02-22,0.0,33.8,19.9,6.28,0.255,YSR Kadapa,AP
2014-02-23,0.0,32.9,19.4,6.31,0.254,YSR Kadapa,AP
2014-02-24,0.0,33.1,17.9,5.76,0.253,YSR Kadapa,AP
2014-02-25,0.0,31.9,23.1,4.42,0.252,YSR Kadapa,AP
2014-02-26,0.0,33.7,22.0,5.56,0.252,YSR Kadapa,AP
2014-02-27,0.0,34.5,19.0,6.2,0.252,YSR Kadapa,AP
2014-02-28,0.0,34.2,21.2,5.44,0.251,YSR Kadapa,AP
2014-03-01,0.0,32.5,23.2,4.36,0.252,YSR Kadapa,AP
2014-03-02,0.4,33.4,22.7,5.47,0.253,YSR Kadapa,AP
2014-03-03,0.0,33.5,22.8,5.91,0.255,YSR Kadapa,AP
2014-03-04,0.0,32.4,23.3,4.85,0.254,YSR Kadapa,AP
2014-03-05,0.0,32.6,22.8,4.99,0.255,YSR Kadapa,AP
2014-03-06,0.0,32.3,22.4,4.37,0.254,YSR Kadapa,AP
2014-03-07,0.0,34.0,22.8,6.21,0.254,YSR Kadapa,AP
2014-03-08,0.0,34.2,21.6,6.4,0.254,YSR Kadapa,AP
2014-03-09,0.0,33.5,21.1,6.01,0.253,YSR Kadapa,AP
2014-03-10,0.0,33.8,21.7,6.15,0.252,YSR Kadapa,AP
2014-03-11,0.0,34.4,22.1,6.32,0.251,YSR Kadapa,AP
2014-03-12,0.0,34.1,21.8,5.88,0.251,YSR Kadapa,AP
2014-03-13,0.0,34.9,22.3,6.26,0.25,YSR Kadapa,AP
2014-03-14,0.0,36.3,19.5,7.19,0.25,YSR Kadapa,AP
2014-03-15,0.0,37.0,21.1,7.38,0.25,YSR Kadapa,AP
2014-03-16,0.0,37.7,20.7,7.47,0.25,YSR Kadapa,AP
2014-03-17,0.0,38.0,22.0,7.59,0.25,YSR Kadapa,AP
2014-03-18,0.0,38.9,21.1,7.58,0.25,YSR Kadapa,AP
2014-03-19,0.0,39.0,20.6,7.51,0.25,YSR Kadapa,AP
2014-03-20,0.0,39.9,21.7,7.26,0.25,YSR Kadapa,AP
2014-03-21,0.0,40.2,23.2,6.74,0.249,YSR Kadapa,AP
2014-03-22,0.0,39.9,23.2,6.47,0.249,YSR Kadapa,AP
2014-03-23,0.0,40.2,23.7,7.72,0.249,YSR Kadapa,AP
2014-03-24,0.0,40.1,23.6,7.78,0.249,YSR Kadapa,AP
2014-03-25,0.0,39.2,23.0,7.38,0.249,YSR Kadapa,AP
2014-03-26,0.0,39.2,21.8,8.02,0.249,YSR Kadapa,AP
2014-03-27,0.0,39.2,22.5,7.66,0.249,YSR Kadapa,AP
2014-03-28,0.0,40.4,22.8,7.66,0.249,YSR Kadapa,AP
