date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.4,15.0,3.71,0.215,Adilabad,TS
2014-01-02,0.0,27.7,15.6,4.06,0.214,Adilabad,TS
2014-01-03,0.0,27.8,14.5,3.89,0.214,Adilabad,TS
2014-01-04,0.0,28.9,15.7,4.01,0.213,Adilabad,TS
2014-01-05,0.0,29.5,17.2,3.67,0.213,Adilabad,TS
2014-01-06,0.0,28.5,17.5,3.73,0.212,Adilabad,TS
2014-01-07,0.0,28.4,17.9,3.61,0.212,Adilabad,TS
2014-01-08,0.0,29.3,16.2,4.1,0.211,Adilabad,TS
2014-01-09,0.0,29.5,16.5,3.94,0.211,Adilabad,TS
2014-01-10,0.0,29.7,19.6,4.54,0.211,Adilabad,TS
2014-01-11,0.0,28.8,19.2,4.14,0.21,Adilabad,TS
2014-01-12,0.0,27.7,18.1,3.61,0.21,Adilabad,TS
2014-01-13,0.0,28.5,17.4,3.65,0.21,Adilabad,TS
2014-01-14,0.0,29.0,17.1,3.94,0.21,Adilabad,TS
2014-01-15,0.0,30.0,20.2,3.83,0.21,Adilabad,TS
2014-01-16,0.0,29.7,19.6,3.89,0.209,Adilabad,TS
2014-01-17,0.0,29.0,22.2,4.42,0.209,Adilabad,TS
2014-01-18,0.0,29.1,21.7,3.88,0.209,Adilabad,TS
2014-01-19,0.0,28.7,19.5,3.82,0.209,Adilabad,TS
2014-01-20,0.0,30.0,19.2,4.21,0.209,Adilabad,TS
2014-01-21,0.0,29.4,18.0,4.15,0.209,Adilabad,TS
2014-01-22,0.0,28.7,19.1,3.95,0.209,Adilabad,TS
2014-01-23,0.0,27.5,19.3,3.12,0.21,Adilabad,TS
2014-01-24,0.0,28.3,18.5,3.69,0.211,Adilabad,TS
2014-01-25,0.0,29.2,18.7,4.44,0.211,Adilabad,TS
2014-01-26,0.0,29.6,17.6,4.66,0.211,Adilabad,TS
2014-01-27,0.0,28.1,16.0,4.43,0.21,Adilabad,TS
2014-01-28,0.0,27.9,14.1,4.7,0.21,Adilabad,TS
2014-01-29,0.0,28.4,13.6,4.73,0.209,Adilabad,TS
2014-01-30,0.0,28.5,14.3,4.68,0.209,Adilabad,TS
2014-01-31,0.0,28.8,13.4,4.91,0.209,Adilabad,TS
2014-02-01,0.0,29.2,13.9,4.96,0.208,Adilabad,TS
2014-02-02,0.0,29.5,14.2,4.94,0.208,Adilabad,TS
2014-02-03,0.0,30.2,15.5,4.82,0.208,Adilabad,TS
2014-02-04,0.0,31.3,16.2,4.74,0.208,Adilabad,TS
2014-02-05,0.0,31.8,17.2,4.75,0.208,Adilabad,TS
2014-02-06,0.0,32.6,18.0,4.74,0.208,Adilabad,TS
2014-02-07,0.0,32.9,18.0,5.21,0.208,Adilabad,TS
2014-02-08,0.0,32.9,18.6,4.78,0.207,Adilabad,TS
2014-02-09,0.0,31.5,17.8,5.44,0.207,Adilabad,TS
2014-02-10,0.0,30.2,16.7,4.86,0.207,Adilabad,TS
2014-02-11,0.0,30.2,15.7,4.98,0.207,Adilabad,TS
2014-02-12,0.0,30.7,16.0,4.99,0.207,Adilabad,TS
2014-02-13,0.0,31.8,22.3,5.75,0.207,Adilabad,TS
2014-02-14,0.0,30.1,22.2,4.35,0.207,Adilabad,TS
2014-02-15,0.0,29.7,17.9,4.61,0.209,Adilabad,TS
2014-02-16,0.0,27.5,19.7,4.67,0.208,Adilabad,TS
2014-02-17,0.0,26.8,17.0,5.48,0.208,Adilabad,TS
2014-02-18,0.0,27.8,12.7,5.3,0.208,Adilabad,TS
2014-02-19,0.0,30.3,13.6,5.24,0.208,Adilabad,TS
2014-02-20,0.0,32.4,18.2,5.52,0.208,Adilabad,TS
2014-02-21,0.0,31.8,21.7,5.42,0.207,Adilabad,TS
2014-02-22,0.7,31.2,23.2,4.43,0.208,Adilabad,TS
2014-02-23,3.7,32.2,21.0,4.39,0.223,Adilabad,TS
2014-02-24,0.2,30.9,19.7,4.4,0.254,Adilabad,TS
2014-02-25,0.1,32.4,20.2,4.93,0.248,Adilabad,TS
2014-02-26,0.0,32.1,20.0,5.19,0.241,Adilabad,TS
2014-02-27,7.7,32.0,21.3,5.26,0.245,Adilabad,TS
2014-02-28,20.8,29.2,19.6,3.82,0.41,Adilabad,TS
2014-03-01,0.1,28.2,19.2,4.09,0.403,Adilabad,TS
2014-03-02,0.6,26.9,17.6,3.81,0.369,Adilabad,TS
2014-03-03,0.3,28.2,17.3,4.62,0.348,Adilabad,TS
2014-03-04,43.7,25.5,17.0,3.19,0.434,Adilabad,TS
2014-03-05,0.6,26.5,16.3,3.58,0.418,Adilabad,TS
2014-03-06,9.8,26.6,19.1,3.47,0.423,Adilabad,TS
2014-03-07,0.4,27.6,18.3,3.99,0.417,Adilabad,TS
2014-03-08,5.8,27.5,19.4,3.81,0.43,Adilabad,TS
2014-03-09,1.6,27.9,19.4,4.15,0.44,Adilabad,TS
2014-03-10,3.0,27.8,19.7,4.05,0.449,Adilabad,TS
2014-03-11,0.0,30.4,19.1,4.51,0.418,Adilabad,TS
2014-03-12,0.0,30.4,22.0,4.31,0.398,Adilabad,TS
2014-03-13,5.9,31.6,19.4,4.88,0.427,Adilabad,TS
2014-03-14,0.6,32.0,20.7,4.94,0.408,Adilabad,TS
2014-03-15,0.0,33.0,21.0,5.04,0.389,Adilabad,TS
2014-03-16,0.0,33.2,25.1,5.07,0.369,Adilabad,TS
2014-03-17,0.0,34.2,21.1,4.92,0.352,Adilabad,TS
2014-03-18,0.0,33.5,21.4,4.94,0.337,Adilabad,TS
2014-03-19,0.0,33.8,21.7,5.19,0.324,Adilabad,TS
2014-03-20,0.0,33.9,22.6,5.13,0.311,Adilabad,TS
2014-03-21,0.0,35.0,20.3,5.71,0.298,Adilabad,TS
2014-03-22,0.0,34.5,20.1,6.24,0.285,Adilabad,TS
2014-03-23,0.0,35.3,22.2,5.77,0.274,Adilabad,TS
2014-03-24,0.0,34.8,23.2,5.63,0.264,Adilabad,TS
2014-03-25,0.0,34.6,24.2,5.33,0.255,Adilabad,TS
2014-03-26,0.0,36.2,24.4,6.06,0.247,Adilabad,TS
2014-03-27,0.0,36.4,23.6,5.86,0.24,Adilabad,TS
2014-03-28,0.0,37.5,24.7,7.13,0.234,Adilabad,TS
2014-03-29,0.0,38.0,22.4,6.23,0.229,Adilabad,TS
2014-03-30,0.0,38.4,24.9,6.47,0.224,Adilabad,TS
2014-03-31,0.2,37.6,25.1,6.44,0.221,Adilabad,TS
2014-04-01,0.0,37.9,23.5,6.78,0.219,Adilabad,TS
2014-04-02,0.0,37.0,22.7,6.79,0.216,Adilabad,TS
2014-04-03,0.0,37.3,21.7,6.66,0.213,Adilabad,TS
2014-04-04,0.0,37.8,22.3,7.15,0.212,Adilabad,TS
2014-04-05,0.0,38.6,23.5,6.68,0.211,Adilabad,TS
2014-04-06,0.0,39.9,22.1,6.53,0.21,Adilabad,TS
2014-04-07,0.0,39.5,25.5,7.49,0.209,Adilabad,TS
2014-04-08,0.5,39.0,25.8,6.49,0.209,Adilabad,TS
2014-04-09,0.0,37.4,24.3,6.16,0.215,Adilabad,TS
2014-04-10,0.0,37.6,23.6,6.87,0.213,Adilabad,TS
2014-04-11,0.0,38.6,23.8,7.34,0.211,Adilabad,TS
2014-04-12,0.0,37.8,23.3,6.59,0.21,Adilabad,TS
2014-04-13,0.2,37.9,25.5,7.55,0.21,Adilabad,TS
2014-04-14,0.7,37.7,26.4,6.82,0.213,Adilabad,TS
2014-04-15,0.0,37.4,26.7,6.37,0.219,Adilabad,TS
2014-04-16,0.0,38.2,27.5,6.34,0.215,Adilabad,TS
2014-04-17,0.0,39.7,27.0,7.02,0.213,Adilabad,TS
2014-04-18,0.5,38.3,27.7,7.01,0.212,Adilabad,TS
2014-04-19,0.6,38.1,26.0,6.14,0.217,Adilabad,TS
2014-04-20,0.4,36.9,25.5,5.9,0.225,Adilabad,TS
2014-04-21,0.0,37.6,25.7,6.73,0.226,Adilabad,TS
2014-04-22,0.1,37.8,26.3,6.59,0.221,Adilabad,TS
2014-04-23,0.0,38.1,27.9,6.65,0.217,Adilabad,TS
2014-04-24,0.0,39.6,27.7,5.89,0.214,Adilabad,TS
2014-04-25,0.0,40.3,27.5,7.17,0.211,Adilabad,TS
2014-04-26,0.0,41.1,26.1,7.02,0.209,Adilabad,TS
2014-04-27,0.0,41.2,28.2,6.93,0.208,Adilabad,TS
2014-04-28,0.0,41.6,28.7,7.48,0.208,Adilabad,TS
2014-04-29,0.0,41.3,28.9,7.19,0.207,Adilabad,TS
2014-04-30,0.0,40.5,28.9,7.39,0.208,Adilabad,TS
2014-05-01,0.0,41.1,28.5,7.81,0.208,Adilabad,TS
2014-05-02,0.0,41.4,28.8,8.16,0.208,Adilabad,TS
2014-05-03,0.5,39.2,28.5,7.51,0.209,Adilabad,TS
2014-05-04,0.0,38.8,29.2,6.84,0.213,Adilabad,TS
2014-05-05,0.2,38.1,27.8,6.91,0.212,Adilabad,TS
2014-05-06,0.1,36.9,27.8,6.73,0.212,Adilabad,TS
2014-05-07,0.0,37.6,27.6,6.39,0.212,Adilabad,TS
2014-05-08,0.7,37.6,28.0,6.58,0.214,Adilabad,TS
2014-05-09,0.8,32.3,25.3,3.44,0.232,Adilabad,TS
2014-05-10,0.0,37.2,23.6,6.26,0.23,Adilabad,TS
2014-05-11,0.0,38.8,27.4,7.73,0.223,Adilabad,TS
2014-05-12,0.0,38.9,27.6,7.65,0.218,Adilabad,TS
2014-05-13,0.0,38.8,27.5,7.61,0.214,Adilabad,TS
2014-05-14,0.0,38.7,28.5,7.72,0.211,Adilabad,TS
2014-05-15,0.0,38.1,27.2,7.15,0.21,Adilabad,TS
2014-05-16,0.0,38.5,29.3,7.05,0.209,Adilabad,TS
2014-05-17,0.0,39.6,28.3,7.29,0.208,Adilabad,TS
2014-05-18,0.0,40.8,29.3,7.22,0.207,Adilabad,TS
2014-05-19,0.0,40.9,29.9,6.62,0.207,Adilabad,TS
2014-05-20,0.0,40.3,29.3,6.67,0.208,Adilabad,TS
2014-05-21,0.0,40.0,29.4,5.83,0.208,Adilabad,TS
2014-05-22,0.0,41.7,30.0,8.96,0.208,Adilabad,TS
2014-05-23,0.0,42.4,30.7,8.72,0.207,Adilabad,TS
2014-05-24,0.0,42.3,31.3,7.52,0.207,Adilabad,TS
2014-05-25,0.0,42.7,29.4,8.55,0.207,Adilabad,TS
2014-05-26,0.0,38.9,29.7,6.9,0.207,Adilabad,TS
2014-05-27,0.2,40.0,29.2,7.14,0.208,Adilabad,TS
2014-05-28,0.0,41.4,27.8,7.41,0.208,Adilabad,TS
2014-05-29,0.0,42.4,28.0,7.67,0.207,Adilabad,TS
2014-05-30,0.0,42.4,30.2,7.91,0.207,Adilabad,TS
2014-05-31,0.0,42.8,31.4,8.88,0.207,Adilabad,TS
2014-06-01,0.0,43.3,32.5,8.58,0.207,Adilabad,TS
2014-06-02,0.0,43.5,31.3,7.94,0.207,Adilabad,TS
2014-06-03,0.0,41.2,30.1,7.18,0.208,Adilabad,TS
2014-06-04,0.0,42.5,30.9,7.93,0.207,Adilabad,TS
2014-06-05,0.0,41.8,31.7,7.66,0.207,Adilabad,TS
2014-06-06,0.0,43.1,30.7,7.89,0.207,Adilabad,TS
2014-06-07,0.0,43.1,33.2,9.45,0.207,Adilabad,TS
2014-06-08,0.0,43.4,33.1,9.83,0.207,Adilabad,TS
2014-06-09,0.0,42.0,33.2,10.14,0.207,Adilabad,TS
2014-06-10,0.0,41.2,30.6,8.31,0.207,Adilabad,TS
2014-06-11,0.0,38.8,30.8,7.71,0.208,Adilabad,TS
2014-06-12,1.0,38.5,29.5,7.11,0.212,Adilabad,TS
2014-06-13,0.5,38.3,31.1,7.72,0.221,Adilabad,TS
2014-06-14,1.0,38.6,28.1,7.33,0.226,Adilabad,TS
2014-06-15,0.2,37.6,28.9,7.49,0.234,Adilabad,TS
2014-06-16,0.2,38.4,29.7,7.74,0.227,Adilabad,TS
2014-06-17,0.2,38.1,30.0,7.28,0.224,Adilabad,TS
2014-06-18,0.2,32.7,28.0,3.34,0.227,Adilabad,TS
2014-06-19,2.9,35.3,25.6,5.3,0.245,Adilabad,TS
2014-06-20,0.3,36.8,26.9,6.52,0.244,Adilabad,TS
2014-06-21,0.1,35.1,28.6,6.86,0.235,Adilabad,TS
2014-06-22,0.0,36.4,28.5,7.14,0.229,Adilabad,TS
2014-06-23,0.0,38.1,28.1,7.75,0.224,Adilabad,TS
2014-06-24,0.0,38.6,27.9,8.39,0.219,Adilabad,TS
2014-06-25,0.0,38.4,28.3,8.6,0.215,Adilabad,TS
2014-06-26,0.0,38.1,28.9,7.86,0.212,Adilabad,TS
2014-06-27,0.0,36.1,29.5,5.18,0.211,Adilabad,TS
2014-06-28,20.8,29.1,25.3,1.49,0.354,Adilabad,TS
2014-06-29,0.0,34.5,27.3,5.1,0.381,Adilabad,TS
2014-06-30,0.0,36.8,27.9,7.03,0.337,Adilabad,TS
2014-07-01,0.0,37.5,28.4,7.65,0.304,Adilabad,TS
2014-07-02,0.0,37.5,29.3,7.76,0.279,Adilabad,TS
2014-07-03,0.0,37.2,29.1,7.77,0.259,Adilabad,TS
2014-07-04,0.0,36.5,29.1,6.3,0.246,Adilabad,TS
2014-07-05,0.4,36.1,29.6,4.86,0.239,Adilabad,TS
2014-07-06,7.4,31.1,25.5,2.07,0.292,Adilabad,TS
2014-07-07,2.2,32.0,26.3,3.5,0.325,Adilabad,TS
2014-07-08,2.3,34.1,27.2,5.15,0.323,Adilabad,TS
2014-07-09,10.5,29.0,25.1,2.27,0.375,Adilabad,TS
2014-07-10,1.9,33.2,25.4,4.43,0.38,Adilabad,TS
2014-07-11,3.2,29.4,25.5,3.32,0.377,Adilabad,TS
2014-07-12,10.6,30.6,25.7,3.0,0.407,Adilabad,TS
2014-07-13,5.7,29.1,24.6,2.45,0.426,Adilabad,TS
2014-07-14,5.2,30.3,24.9,2.98,0.408,Adilabad,TS
2014-07-15,15.8,27.0,24.4,1.61,0.444,Adilabad,TS
2014-07-16,0.0,29.3,24.3,3.81,0.424,Adilabad,TS
2014-07-17,0.0,33.0,26.2,5.01,0.389,Adilabad,TS
2014-07-18,1.0,31.8,26.2,4.35,0.369,Adilabad,TS
2014-07-19,22.4,29.4,24.5,2.37,0.417,Adilabad,TS
2014-07-20,26.9,27.0,23.8,1.8,0.461,Adilabad,TS
2014-07-21,12.7,26.5,24.0,1.82,0.47,Adilabad,TS
