date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,28.5,18.7,3.75,0.24,Bhadradri Kothagudem,TS
2014-01-02,0.0,28.9,17.2,3.75,0.239,Bhadradri Kothagudem,TS
2014-01-03,0.0,29.2,17.1,3.72,0.239,Bhadradri Kothagudem,TS
2014-01-04,0.0,28.7,18.1,3.08,0.239,Bhadradri Kothagudem,TS
2014-01-05,0.0,29.5,18.8,3.71,0.238,Bhadradri Kothagudem,TS
2014-01-06,0.0,29.8,17.5,3.74,0.238,Bhadradri Kothagudem,TS
2014-01-07,0.0,29.8,18.7,3.78,0.238,Bhadradri Kothagudem,TS
2014-01-08,0.0,29.7,18.8,3.79,0.237,Bhadradri Kothagudem,TS
2014-01-09,0.0,28.8,19.2,2.99,0.238,Bhadradri Kothagudem,TS
2014-01-10,0.0,29.3,20.6,3.48,0.239,Bhadradri Kothagudem,TS
2014-01-11,0.0,29.2,19.9,3.86,0.238,Bhadradri Kothagudem,TS
2014-01-12,0.0,30.4,18.7,4.04,0.238,Bhadradri Kothagudem,TS
2014-01-13,0.0,29.6,20.2,3.58,0.238,Bhadradri Kothagudem,TS
2014-01-14,0.0,28.6,19.4,2.88,0.237,Bhadradri Kothagudem,TS
2014-01-15,0.1,29.5,19.0,3.48,0.238,Bhadradri Kothagudem,TS
2014-01-16,0.0,29.8,19.6,3.73,0.238,Bhadradri Kothagudem,TS
2014-01-17,0.0,30.7,19.3,4.6,0.238,Bhadradri Kothagudem,TS
2014-01-18,0.0,29.9,21.2,4.35,0.237,Bhadradri Kothagudem,TS
2014-01-19,0.0,30.7,18.9,4.43,0.237,Bhadradri Kothagudem,TS
2014-01-20,0.0,29.8,20.1,3.87,0.237,Bhadradri Kothagudem,TS
2014-01-21,0.0,30.3,20.0,4.31,0.237,Bhadradri Kothagudem,TS
2014-01-22,0.0,28.7,20.1,3.44,0.237,Bhadradri Kothagudem,TS
2014-01-23,0.0,28.5,19.3,3.21,0.237,Bhadradri Kothagudem,TS
2014-01-24,0.0,28.6,19.7,3.21,0.237,Bhadradri Kothagudem,TS
2014-01-25,0.0,29.6,20.1,3.46,0.237,Bhadradri Kothagudem,TS
2014-01-26,0.0,30.0,19.6,3.69,0.237,Bhadradri Kothagudem,TS
2014-01-27,0.0,29.2,19.3,3.35,0.237,Bhadradri Kothagudem,TS
2014-01-28,0.4,29.0,19.8,3.24,0.238,Bhadradri Kothagudem,TS
2014-01-29,0.0,29.7,19.2,3.93,0.239,Bhadradri Kothagudem,TS
2014-01-30,0.0,30.0,19.1,4.27,0.238,Bhadradri Kothagudem,TS
2014-01-31,0.0,29.7,17.9,4.07,0.237,Bhadradri Kothagudem,TS
2014-02-01,0.0,29.7,19.3,3.73,0.237,Bhadradri Kothagudem,TS
2014-02-02,0.0,30.7,18.6,4.12,0.237,Bhadradri Kothagudem,TS
2014-02-03,0.0,31.6,18.5,4.39,0.236,Bhadradri Kothagudem,TS
2014-02-04,0.0,32.5,18.4,4.48,0.236,Bhadradri Kothagudem,TS
2014-02-05,0.0,32.7,17.5,4.34,0.236,Bhadradri Kothagudem,TS
2014-02-06,0.0,33.1,18.6,4.52,0.236,Bhadradri Kothagudem,TS
2014-02-07,0.0,33.3,19.5,4.85,0.236,Bhadradri Kothagudem,TS
2014-02-08,0.0,33.5,18.6,5.3,0.236,Bhadradri Kothagudem,TS
2014-02-09,0.0,33.6,19.8,5.34,0.236,Bhadradri Kothagudem,TS
2014-02-10,0.0,32.8,19.3,4.94,0.236,Bhadradri Kothagudem,TS
2014-02-11,0.0,32.3,20.2,4.74,0.236,Bhadradri Kothagudem,TS
2014-02-12,0.0,32.4,19.9,4.82,0.236,Bhadradri Kothagudem,TS
2014-02-13,0.0,32.0,20.2,5.62,0.236,Bhadradri Kothagudem,TS
2014-02-14,0.0,30.4,20.6,4.34,0.236,Bhadradri Kothagudem,TS
2014-02-15,0.1,29.0,20.6,3.22,0.236,Bhadradri Kothagudem,TS
2014-02-16,2.5,29.9,21.2,3.13,0.247,Bhadradri Kothagudem,TS
2014-02-17,0.1,30.8,18.7,4.71,0.254,Bhadradri Kothagudem,TS
2014-02-18,0.0,30.8,17.7,4.68,0.25,Bhadradri Kothagudem,TS
2014-02-19,0.0,30.9,19.2,4.87,0.247,Bhadradri Kothagudem,TS
2014-02-20,0.0,32.1,18.7,5.3,0.244,Bhadradri Kothagudem,TS
2014-02-21,0.0,31.8,19.0,5.16,0.241,Bhadradri Kothagudem,TS
2014-02-22,0.0,32.3,19.9,5.45,0.24,Bhadradri Kothagudem,TS
2014-02-23,0.0,32.1,20.6,5.46,0.239,Bhadradri Kothagudem,TS
2014-02-24,0.0,32.3,20.1,5.36,0.238,Bhadradri Kothagudem,TS
2014-02-25,0.0,32.7,19.8,5.43,0.237,Bhadradri Kothagudem,TS
2014-02-26,0.0,32.5,19.3,5.54,0.237,Bhadradri Kothagudem,TS
2014-02-27,0.0,32.2,18.7,5.61,0.236,Bhadradri Kothagudem,TS
2014-02-28,0.0,31.0,18.6,5.15,0.236,Bhadradri Kothagudem,TS
2014-03-01,0.0,32.0,21.2,5.57,0.236,Bhadradri Kothagudem,TS
2014-03-02,0.4,31.7,21.6,4.61,0.237,Bhadradri Kothagudem,TS
2014-03-03,0.6,30.7,21.8,3.87,0.245,Bhadradri Kothagudem,TS
2014-03-04,0.0,30.0,22.1,3.84,0.246,Bhadradri Kothagudem,TS
2014-03-05,0.0,31.1,20.9,4.72,0.244,Bhadradri Kothagudem,TS
2014-03-06,0.1,31.4,21.5,4.31,0.242,Bhadradri Kothagudem,TS
2014-03-07,0.0,32.3,21.5,5.35,0.241,Bhadradri Kothagudem,TS
2014-03-08,0.0,32.8,21.4,5.43,0.239,Bhadradri Kothagudem,TS
2014-03-09,0.0,31.8,21.9,4.59,0.238,Bhadradri Kothagudem,TS
2014-03-10,0.0,32.0,22.4,5.05,0.238,Bhadradri Kothagudem,TS
2014-03-11,0.0,34.1,21.9,6.06,0.237,Bhadradri Kothagudem,TS
2014-03-12,0.0,33.0,22.3,4.91,0.237,Bhadradri Kothagudem,TS
2014-03-13,0.0,32.9,23.0,4.09,0.236,Bhadradri Kothagudem,TS
2014-03-14,0.2,35.5,22.8,5.58,0.237,Bhadradri Kothagudem,TS
2014-03-15,0.0,36.2,23.5,5.73,0.238,Bhadradri Kothagudem,TS
2014-03-16,0.0,36.3,23.1,5.87,0.237,Bhadradri Kothagudem,TS
2014-03-17,0.0,36.5,23.7,5.68,0.236,Bhadradri Kothagudem,TS
2014-03-18,0.0,36.9,23.1,5.71,0.236,Bhadradri Kothagudem,TS
2014-03-19,0.0,37.4,23.1,5.92,0.236,Bhadradri Kothagudem,TS
2014-03-20,0.0,38.0,23.3,5.67,0.235,Bhadradri Kothagudem,TS
2014-03-21,0.0,37.7,23.2,5.76,0.235,Bhadradri Kothagudem,TS
2014-03-22,0.0,36.3,23.7,5.74,0.235,Bhadradri Kothagudem,TS
2014-03-23,0.0,37.6,24.2,6.24,0.236,Bhadradri Kothagudem,TS
2014-03-24,0.0,37.1,23.6,6.33,0.236,Bhadradri Kothagudem,TS
2014-03-25,0.0,35.9,23.8,5.93,0.235,Bhadradri Kothagudem,TS
2014-03-26,0.0,38.1,22.9,6.8,0.235,Bhadradri Kothagudem,TS
2014-03-27,0.0,38.2,23.5,6.81,0.235,Bhadradri Kothagudem,TS
2014-03-28,0.0,39.2,23.3,6.67,0.235,Bhadradri Kothagudem,TS
2014-03-29,0.0,40.6,24.0,6.37,0.235,Bhadradri Kothagudem,TS
2014-03-30,0.0,40.2,24.4,6.8,0.235,Bhadradri Kothagudem,TS
2014-03-31,0.0,39.7,24.7,6.82,0.235,Bhadradri Kothagudem,TS
2014-04-01,0.0,39.4,24.6,6.73,0.235,Bhadradri Kothagudem,TS
2014-04-02,0.0,39.0,26.1,6.52,0.235,Bhadradri Kothagudem,TS
2014-04-03,0.0,38.8,25.7,6.14,0.235,Bhadradri Kothagudem,TS
2014-04-04,0.0,38.9,25.0,6.39,0.235,Bhadradri Kothagudem,TS
2014-04-05,0.0,39.8,24.9,6.39,0.235,Bhadradri Kothagudem,TS
2014-04-06,0.0,38.7,25.2,6.63,0.235,Bhadradri Kothagudem,TS
2014-04-07,0.0,39.1,25.2,6.68,0.235,Bhadradri Kothagudem,TS
2014-04-08,0.0,39.2,25.4,6.42,0.235,Bhadradri Kothagudem,TS
2014-04-09,0.0,38.3,26.2,5.7,0.236,Bhadradri Kothagudem,TS
2014-04-10,0.0,39.1,26.2,6.26,0.236,Bhadradri Kothagudem,TS
2014-04-11,0.0,39.1,25.6,6.6,0.236,Bhadradri Kothagudem,TS
2014-04-12,0.4,36.7,26.5,6.18,0.237,Bhadradri Kothagudem,TS
2014-04-13,0.0,36.6,26.3,6.05,0.24,Bhadradri Kothagudem,TS
2014-04-14,0.0,37.1,25.6,6.55,0.239,Bhadradri Kothagudem,TS
2014-04-15,0.0,37.1,25.7,6.02,0.238,Bhadradri Kothagudem,TS
2014-04-16,1.8,37.7,26.6,6.09,0.242,Bhadradri Kothagudem,TS
2014-04-17,0.0,37.2,26.4,6.49,0.252,Bhadradri Kothagudem,TS
2014-04-18,0.0,37.2,26.3,6.17,0.247,Bhadradri Kothagudem,TS
2014-04-19,0.3,37.8,26.3,5.82,0.243,Bhadradri Kothagudem,TS
2014-04-20,0.2,38.5,26.7,6.11,0.243,Bhadradri Kothagudem,TS
2014-04-21,0.2,38.7,26.9,6.37,0.242,Bhadradri Kothagudem,TS
2014-04-22,0.0,38.4,27.2,6.05,0.241,Bhadradri Kothagudem,TS
2014-04-23,0.0,39.2,27.3,6.31,0.24,Bhadradri Kothagudem,TS
2014-04-24,0.0,39.6,28.1,6.48,0.238,Bhadradri Kothagudem,TS
2014-04-25,0.3,40.0,28.3,6.44,0.238,Bhadradri Kothagudem,TS
2014-04-26,0.0,39.0,28.2,6.5,0.238,Bhadradri Kothagudem,TS
2014-04-27,0.0,39.0,28.0,6.58,0.238,Bhadradri Kothagudem,TS
2014-04-28,0.0,38.9,27.4,6.85,0.237,Bhadradri Kothagudem,TS
2014-04-29,0.0,39.0,27.2,7.14,0.236,Bhadradri Kothagudem,TS
2014-04-30,0.0,38.1,26.9,6.51,0.237,Bhadradri Kothagudem,TS
2014-05-01,0.0,38.7,27.4,6.86,0.236,Bhadradri Kothagudem,TS
2014-05-02,2.0,38.2,27.3,6.48,0.242,Bhadradri Kothagudem,TS
2014-05-03,0.4,37.9,27.6,6.36,0.254,Bhadradri Kothagudem,TS
2014-05-04,0.0,37.6,27.3,6.39,0.25,Bhadradri Kothagudem,TS
2014-05-05,0.5,37.5,26.8,6.31,0.25,Bhadradri Kothagudem,TS
2014-05-06,0.6,36.6,26.8,5.95,0.25,Bhadradri Kothagudem,TS
2014-05-07,1.4,36.6,26.7,5.74,0.254,Bhadradri Kothagudem,TS
2014-05-08,1.5,37.0,27.0,5.84,0.262,Bhadradri Kothagudem,TS
2014-05-09,38.4,31.8,24.5,3.45,0.32,Bhadradri Kothagudem,TS
2014-05-10,33.6,33.5,24.0,3.7,0.456,Bhadradri Kothagudem,TS
2014-05-11,0.0,36.9,25.9,5.97,0.431,Bhadradri Kothagudem,TS
2014-05-12,0.0,38.6,25.2,6.37,0.405,Bhadradri Kothagudem,TS
2014-05-13,0.0,38.6,25.8,6.67,0.379,Bhadradri Kothagudem,TS
2014-05-14,0.0,38.8,26.7,6.26,0.354,Bhadradri Kothagudem,TS
2014-05-15,0.0,38.3,25.6,6.6,0.333,Bhadradri Kothagudem,TS
2014-05-16,0.0,38.5,26.2,6.28,0.314,Bhadradri Kothagudem,TS
2014-05-17,0.0,38.1,27.2,5.85,0.299,Bhadradri Kothagudem,TS
