date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.1,15.3,3.88,0.132,Hyderabad,TS
2014-01-02,0.0,27.1,14.2,3.92,0.132,Hyderabad,TS
2014-01-03,0.0,27.7,14.2,4.07,0.131,Hyderabad,TS
2014-01-04,0.0,27.4,14.9,4.09,0.13,Hyderabad,TS
2014-01-05,0.0,28.9,15.8,4.3,0.129,Hyderabad,TS
2014-01-06,0.0,29.5,17.3,4.31,0.129,Hyderabad,TS
2014-01-07,0.0,28.0,17.3,4.28,0.128,Hyderabad,TS
2014-01-08,0.0,27.9,16.1,4.43,0.127,Hyderabad,TS
2014-01-09,0.0,28.2,16.4,4.26,0.127,Hyderabad,TS
2014-01-10,0.0,28.4,16.9,4.2,0.126,Hyderabad,TS
2014-01-11,0.0,27.6,18.1,3.16,0.126,Hyderabad,TS
2014-01-12,0.0,29.2,17.3,4.48,0.126,Hyderabad,TS
2014-01-13,0.0,27.9,16.6,4.55,0.125,Hyderabad,TS
2014-01-14,0.0,27.5,16.4,3.97,0.125,Hyderabad,TS
2014-01-15,0.0,28.8,17.8,4.25,0.124,Hyderabad,TS
2014-01-16,0.0,28.8,17.5,4.68,0.124,Hyderabad,TS
2014-01-17,0.0,28.8,17.9,4.83,0.124,Hyderabad,TS
2014-01-18,0.0,28.3,17.8,4.27,0.123,Hyderabad,TS
2014-01-19,0.0,28.8,17.1,4.86,0.123,Hyderabad,TS
2014-01-20,0.0,27.7,17.3,3.98,0.123,Hyderabad,TS
2014-01-21,0.0,27.7,17.2,4.54,0.123,Hyderabad,TS
2014-01-22,0.0,26.7,16.4,4.06,0.122,Hyderabad,TS
2014-01-23,0.0,26.3,17.4,3.56,0.122,Hyderabad,TS
2014-01-24,0.0,28.2,16.8,4.21,0.122,Hyderabad,TS
2014-01-25,0.0,28.3,16.9,4.06,0.122,Hyderabad,TS
2014-01-26,0.0,29.1,16.2,4.44,0.122,Hyderabad,TS
2014-01-27,0.0,27.8,16.0,4.37,0.122,Hyderabad,TS
2014-01-28,0.0,28.6,15.7,4.77,0.122,Hyderabad,TS
2014-01-29,0.0,27.1,17.5,3.71,0.121,Hyderabad,TS
2014-01-30,0.0,28.2,16.7,4.58,0.121,Hyderabad,TS
2014-01-31,0.0,27.6,15.1,4.71,0.121,Hyderabad,TS
2014-02-01,0.0,27.5,16.2,4.59,0.121,Hyderabad,TS
2014-02-02,0.0,28.1,15.6,4.61,0.121,Hyderabad,TS
2014-02-03,0.0,29.8,16.0,4.75,0.12,Hyderabad,TS
2014-02-04,0.0,31.1,18.9,5.07,0.12,Hyderabad,TS
2014-02-05,0.0,31.4,18.2,5.44,0.12,Hyderabad,TS
