date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.5,16.2,3.3,0.202,Jayashankar Bhupalpally,TS
2014-01-02,0.0,28.1,16.9,3.56,0.2,Jayashankar Bhupalpally,TS
2014-01-03,0.0,28.3,16.6,3.64,0.198,Jayashankar Bhupalpally,TS
2014-01-04,0.0,27.8,17.6,3.26,0.195,Jayashankar Bhupalpally,TS
2014-01-05,0.0,28.4,17.8,3.65,0.193,Jayashankar Bhupalpally,TS
2014-01-06,0.0,29.0,18.7,3.54,0.191,Jayashankar Bhupalpally,TS
2014-01-07,0.0,28.8,18.0,3.57,0.189,Jayashankar Bhupalpally,TS
2014-01-08,0.0,28.9,18.6,3.75,0.186,Jayashankar Bhupalpally,TS
2014-01-09,0.0,28.3,19.3,3.54,0.184,Jayashankar Bhupalpally,TS
2014-01-10,0.0,28.4,19.0,3.56,0.182,Jayashankar Bhupalpally,TS
2014-01-11,0.0,28.1,20.0,2.98,0.18,Jayashankar Bhupalpally,TS
2014-01-12,0.0,29.1,18.1,3.75,0.179,Jayashankar Bhupalpally,TS
2014-01-13,0.0,28.8,17.7,3.5,0.177,Jayashankar Bhupalpally,TS
2014-01-14,0.0,27.4,20.4,3.13,0.175,Jayashankar Bhupalpally,TS
2014-01-15,0.0,29.3,18.9,3.77,0.174,Jayashankar Bhupalpally,TS
2014-01-16,0.0,29.2,19.8,3.73,0.172,Jayashankar Bhupalpally,TS
2014-01-17,0.0,30.1,19.8,4.68,0.17,Jayashankar Bhupalpally,TS
2014-01-18,0.0,28.4,21.0,3.59,0.168,Jayashankar Bhupalpally,TS
2014-01-19,0.0,29.6,19.8,4.16,0.166,Jayashankar Bhupalpally,TS
2014-01-20,0.0,28.9,18.6,3.59,0.164,Jayashankar Bhupalpally,TS
2014-01-21,0.0,29.5,19.8,4.0,0.162,Jayashankar Bhupalpally,TS
2014-01-22,0.0,27.5,19.9,3.1,0.161,Jayashankar Bhupalpally,TS
2014-01-23,0.0,27.6,19.2,3.15,0.161,Jayashankar Bhupalpally,TS
2014-01-24,0.0,27.9,19.9,2.95,0.161,Jayashankar Bhupalpally,TS
2014-01-25,0.0,29.0,19.7,3.33,0.16,Jayashankar Bhupalpally,TS
2014-01-26,0.0,29.7,18.9,3.99,0.158,Jayashankar Bhupalpally,TS
2014-01-27,0.0,28.5,18.4,3.5,0.157,Jayashankar Bhupalpally,TS
2014-01-28,0.0,29.1,17.2,3.93,0.155,Jayashankar Bhupalpally,TS
2014-01-29,0.0,29.1,19.1,3.73,0.154,Jayashankar Bhupalpally,TS
2014-01-30,0.0,29.3,20.2,4.37,0.152,Jayashankar Bhupalpally,TS
2014-01-31,0.0,29.1,17.4,4.31,0.15,Jayashankar Bhupalpally,TS
2014-02-01,0.0,29.3,18.1,3.86,0.149,Jayashankar Bhupalpally,TS
2014-02-02,0.0,30.1,18.5,4.4,0.148,Jayashankar Bhupalpally,TS
2014-02-03,0.0,30.8,16.9,4.82,0.146,Jayashankar Bhupalpally,TS
