date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,25.6,16.0,3.66,0.237,Kamareddy,TS
2014-01-02,0.0,26.4,15.8,3.71,0.235,Kamareddy,TS
2014-01-03,0.0,26.8,15.6,3.84,0.233,Kamareddy,TS
2014-01-04,0.0,27.3,15.8,3.88,0.23,Kamareddy,TS
2014-01-05,0.0,28.5,17.4,4.04,0.227,Kamareddy,TS
2014-01-06,0.0,28.3,17.5,3.88,0.224,Kamareddy,TS
2014-01-07,0.0,27.4,18.5,3.74,0.222,Kamareddy,TS
2014-01-08,0.0,27.9,17.4,4.29,0.219,Kamareddy,TS
2014-01-09,0.0,27.9,17.3,4.03,0.216,Kamareddy,TS
2014-01-10,0.0,27.9,17.8,3.95,0.213,Kamareddy,TS
2014-01-11,0.0,26.1,18.0,3.07,0.212,Kamareddy,TS
2014-01-12,0.0,27.8,17.5,3.86,0.211,Kamareddy,TS
2014-01-13,0.0,27.7,18.1,4.21,0.208,Kamareddy,TS
2014-01-14,0.0,27.4,17.7,3.89,0.206,Kamareddy,TS
2014-01-15,0.0,28.7,19.5,4.07,0.203,Kamareddy,TS
2014-01-16,0.0,28.5,19.7,4.19,0.2,Kamareddy,TS
2014-01-17,0.0,28.1,20.2,4.44,0.198,Kamareddy,TS
2014-01-18,0.0,27.3,19.0,3.86,0.196,Kamareddy,TS
2014-01-19,0.0,28.2,18.3,4.53,0.194,Kamareddy,TS
2014-01-20,0.0,28.1,17.7,4.28,0.191,Kamareddy,TS
2014-01-21,0.0,27.6,18.0,4.56,0.189,Kamareddy,TS
2014-01-22,0.0,26.8,17.7,4.21,0.187,Kamareddy,TS
2014-01-23,0.0,26.6,18.6,3.48,0.187,Kamareddy,TS
2014-01-24,0.0,27.8,17.7,3.77,0.187,Kamareddy,TS
2014-01-25,0.0,28.1,18.2,4.32,0.185,Kamareddy,TS
2014-01-26,0.0,28.5,18.2,4.61,0.183,Kamareddy,TS
2014-01-27,0.0,27.4,17.8,4.6,0.181,Kamareddy,TS
2014-01-28,0.0,27.6,15.7,4.66,0.178,Kamareddy,TS
2014-01-29,0.0,27.5,16.4,4.11,0.176,Kamareddy,TS
2014-01-30,0.0,28.0,17.0,4.42,0.174,Kamareddy,TS
2014-01-31,0.0,27.6,16.0,4.73,0.172,Kamareddy,TS
2014-02-01,0.0,27.6,16.1,4.54,0.17,Kamareddy,TS
2014-02-02,0.0,28.2,16.4,4.6,0.169,Kamareddy,TS
2014-02-03,0.0,29.4,16.1,4.63,0.167,Kamareddy,TS
2014-02-04,0.0,30.3,16.5,4.84,0.165,Kamareddy,TS
2014-02-05,0.0,30.7,16.7,4.95,0.163,Kamareddy,TS
2014-02-06,0.0,31.1,18.1,5.17,0.161,Kamareddy,TS
2014-02-07,0.0,31.6,18.6,5.14,0.159,Kamareddy,TS
2014-02-08,0.0,31.3,20.1,5.66,0.157,Kamareddy,TS
2014-02-09,0.0,30.8,18.2,4.95,0.155,Kamareddy,TS
2014-02-10,0.0,30.7,17.5,5.23,0.153,Kamareddy,TS
2014-02-11,0.0,29.7,16.6,4.93,0.152,Kamareddy,TS
2014-02-12,0.0,30.1,18.2,5.02,0.151,Kamareddy,TS
2014-02-13,0.0,30.5,20.3,6.02,0.15,Kamareddy,TS
2014-02-14,0.0,28.0,20.9,4.29,0.15,Kamareddy,TS
2014-02-15,0.0,27.9,19.4,4.43,0.152,Kamareddy,TS
2014-02-16,0.0,26.3,19.7,3.83,0.151,Kamareddy,TS
2014-02-17,0.0,26.6,16.7,5.36,0.15,Kamareddy,TS
2014-02-18,0.0,27.7,16.4,5.32,0.148,Kamareddy,TS
2014-02-19,0.0,29.2,16.2,5.03,0.147,Kamareddy,TS
2014-02-20,0.0,31.2,19.6,5.37,0.146,Kamareddy,TS
2014-02-21,0.0,29.8,19.8,4.71,0.145,Kamareddy,TS
2014-02-22,0.0,30.6,20.8,5.13,0.145,Kamareddy,TS
2014-02-23,0.2,30.7,20.2,4.74,0.145,Kamareddy,TS
2014-02-24,0.0,30.5,19.3,5.5,0.146,Kamareddy,TS
2014-02-25,0.0,30.9,19.0,5.59,0.145,Kamareddy,TS
2014-02-26,0.0,31.2,18.7,6.14,0.144,Kamareddy,TS
2014-02-27,0.6,31.1,20.1,4.88,0.145,Kamareddy,TS
2014-02-28,6.3,29.4,18.9,3.79,0.18,Kamareddy,TS
2014-03-01,0.2,26.9,19.2,3.69,0.237,Kamareddy,TS
2014-03-02,3.2,26.5,18.2,3.24,0.248,Kamareddy,TS
2014-03-03,10.3,26.4,18.4,3.23,0.319,Kamareddy,TS
2014-03-04,6.5,23.8,18.3,2.79,0.358,Kamareddy,TS
2014-03-05,0.9,25.8,18.2,3.62,0.319,Kamareddy,TS
2014-03-06,0.4,26.7,18.7,3.93,0.309,Kamareddy,TS
2014-03-07,0.5,27.5,18.8,4.21,0.297,Kamareddy,TS
2014-03-08,0.9,28.4,19.5,4.59,0.293,Kamareddy,TS
2014-03-09,0.9,28.9,19.6,4.4,0.294,Kamareddy,TS
2014-03-10,0.3,28.7,18.7,4.84,0.293,Kamareddy,TS
2014-03-11,0.0,31.3,20.2,5.36,0.278,Kamareddy,TS
2014-03-12,0.0,31.0,21.2,5.23,0.265,Kamareddy,TS
2014-03-13,0.1,31.7,21.2,5.5,0.254,Kamareddy,TS
2014-03-14,0.0,32.0,20.8,5.34,0.245,Kamareddy,TS
2014-03-15,0.0,32.5,21.9,5.18,0.236,Kamareddy,TS
2014-03-16,0.0,32.4,21.4,5.07,0.229,Kamareddy,TS
2014-03-17,0.0,33.1,21.6,5.24,0.223,Kamareddy,TS
2014-03-18,0.0,33.8,22.2,5.27,0.215,Kamareddy,TS
2014-03-19,0.0,34.2,22.7,5.77,0.208,Kamareddy,TS
2014-03-20,0.0,34.2,23.2,5.53,0.202,Kamareddy,TS
2014-03-21,0.0,34.8,23.0,5.77,0.196,Kamareddy,TS
2014-03-22,0.0,34.8,23.4,6.2,0.19,Kamareddy,TS
2014-03-23,0.0,34.9,22.1,5.87,0.184,Kamareddy,TS
2014-03-24,0.0,34.4,24.5,6.38,0.179,Kamareddy,TS
2014-03-25,0.0,35.1,23.9,6.49,0.174,Kamareddy,TS
2014-03-26,0.0,36.2,23.6,7.1,0.168,Kamareddy,TS
2014-03-27,0.0,36.5,24.0,6.75,0.163,Kamareddy,TS
2014-03-28,0.0,36.3,24.1,6.12,0.159,Kamareddy,TS
2014-03-29,0.0,37.5,23.3,6.7,0.155,Kamareddy,TS
2014-03-30,0.0,37.7,23.1,6.53,0.152,Kamareddy,TS
2014-03-31,0.0,36.7,25.8,5.67,0.149,Kamareddy,TS
2014-04-01,0.0,36.7,25.4,6.05,0.147,Kamareddy,TS
2014-04-02,0.0,36.0,24.0,6.22,0.145,Kamareddy,TS
2014-04-03,0.0,35.8,23.1,5.6,0.143,Kamareddy,TS
2014-04-04,0.0,37.3,22.4,6.35,0.141,Kamareddy,TS
2014-04-05,0.0,37.6,23.9,6.61,0.139,Kamareddy,TS
2014-04-06,0.0,38.6,24.0,7.31,0.137,Kamareddy,TS
2014-04-07,0.0,37.8,25.6,7.1,0.135,Kamareddy,TS
2014-04-08,0.0,37.2,26.6,6.76,0.134,Kamareddy,TS
2014-04-09,0.2,36.4,24.3,5.86,0.136,Kamareddy,TS
2014-04-10,0.0,36.3,24.7,6.61,0.137,Kamareddy,TS
2014-04-11,0.0,37.0,22.6,6.7,0.136,Kamareddy,TS
2014-04-12,0.0,36.6,24.2,6.28,0.134,Kamareddy,TS
2014-04-13,0.0,36.3,24.6,7.06,0.134,Kamareddy,TS
2014-04-14,1.3,35.9,24.6,6.08,0.142,Kamareddy,TS
2014-04-15,0.2,34.9,24.8,6.09,0.158,Kamareddy,TS
2014-04-16,2.8,35.2,25.4,5.5,0.173,Kamareddy,TS
2014-04-17,1.5,36.0,24.8,6.04,0.198,Kamareddy,TS
2014-04-18,0.1,33.9,25.2,5.64,0.202,Kamareddy,TS
