date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.8,17.6,3.59,0.136,Kumuram Bheem Asifabad,TS
2014-01-02,0.0,28.0,15.2,3.79,0.135,Kumuram Bheem Asifabad,TS
2014-01-03,0.0,28.1,14.9,3.74,0.135,Kumuram Bheem Asifabad,TS
2014-01-04,0.0,28.7,17.8,3.92,0.134,Kumuram Bheem Asifabad,TS
2014-01-05,0.0,29.1,16.1,3.91,0.133,Kumuram Bheem Asifabad,TS
2014-01-06,0.0,29.1,18.3,3.55,0.133,Kumuram Bheem Asifabad,TS
2014-01-07,0.0,28.8,18.2,3.56,0.132,Kumuram Bheem Asifabad,TS
2014-01-08,0.0,29.3,19.2,4.13,0.132,Kumuram Bheem Asifabad,TS
2014-01-09,0.0,29.1,16.7,3.91,0.131,Kumuram Bheem Asifabad,TS
2014-01-10,0.0,28.6,17.0,3.89,0.131,Kumuram Bheem Asifabad,TS
2014-01-11,0.0,27.2,18.6,2.65,0.131,Kumuram Bheem Asifabad,TS
2014-01-12,0.0,28.4,17.9,3.54,0.131,Kumuram Bheem Asifabad,TS
2014-01-13,0.0,28.8,17.1,3.55,0.13,Kumuram Bheem Asifabad,TS
2014-01-14,0.0,29.1,20.1,3.79,0.13,Kumuram Bheem Asifabad,TS
2014-01-15,0.0,30.0,17.7,4.02,0.129,Kumuram Bheem Asifabad,TS
2014-01-16,0.0,28.4,19.1,3.4,0.129,Kumuram Bheem Asifabad,TS
2014-01-17,0.0,29.4,20.2,4.32,0.128,Kumuram Bheem Asifabad,TS
2014-01-18,0.0,28.0,20.8,3.4,0.128,Kumuram Bheem Asifabad,TS
2014-01-19,0.0,28.5,18.8,4.0,0.128,Kumuram Bheem Asifabad,TS
2014-01-20,0.0,29.9,18.5,4.03,0.127,Kumuram Bheem Asifabad,TS
2014-01-21,0.0,29.1,19.3,4.04,0.127,Kumuram Bheem Asifabad,TS
2014-01-22,0.0,28.1,19.1,3.66,0.127,Kumuram Bheem Asifabad,TS
2014-01-23,0.7,27.6,18.9,3.04,0.13,Kumuram Bheem Asifabad,TS
2014-01-24,0.0,28.9,18.8,3.4,0.137,Kumuram Bheem Asifabad,TS
2014-01-25,0.0,29.4,17.5,4.15,0.135,Kumuram Bheem Asifabad,TS
2014-01-26,0.0,30.0,17.5,4.51,0.133,Kumuram Bheem Asifabad,TS
2014-01-27,0.0,28.6,16.1,4.38,0.132,Kumuram Bheem Asifabad,TS
2014-01-28,0.0,28.6,14.3,4.68,0.131,Kumuram Bheem Asifabad,TS
2014-01-29,0.0,28.9,14.6,4.3,0.129,Kumuram Bheem Asifabad,TS
2014-01-30,0.0,28.8,16.6,4.35,0.128,Kumuram Bheem Asifabad,TS
2014-01-31,0.0,29.0,14.6,4.49,0.127,Kumuram Bheem Asifabad,TS
2014-02-01,0.0,29.4,15.7,4.52,0.127,Kumuram Bheem Asifabad,TS
2014-02-02,0.0,29.6,16.9,4.56,0.126,Kumuram Bheem Asifabad,TS
2014-02-03,0.0,30.7,15.2,4.75,0.125,Kumuram Bheem Asifabad,TS
2014-02-04,0.0,31.5,16.3,4.67,0.124,Kumuram Bheem Asifabad,TS
2014-02-05,0.0,32.1,17.7,4.76,0.124,Kumuram Bheem Asifabad,TS
2014-02-06,0.0,32.7,19.3,5.04,0.123,Kumuram Bheem Asifabad,TS
2014-02-07,0.0,33.1,18.2,5.23,0.123,Kumuram Bheem Asifabad,TS
2014-02-08,0.0,33.6,19.7,5.09,0.122,Kumuram Bheem Asifabad,TS
2014-02-09,0.0,32.8,18.4,5.09,0.122,Kumuram Bheem Asifabad,TS
2014-02-10,0.0,31.1,16.8,4.8,0.122,Kumuram Bheem Asifabad,TS
2014-02-11,0.0,31.1,17.7,4.57,0.121,Kumuram Bheem Asifabad,TS
2014-02-12,0.0,30.8,18.6,4.77,0.121,Kumuram Bheem Asifabad,TS
2014-02-13,0.0,30.6,19.6,5.31,0.121,Kumuram Bheem Asifabad,TS
2014-02-14,0.1,29.0,21.4,4.56,0.122,Kumuram Bheem Asifabad,TS
2014-02-15,0.0,30.2,18.9,4.49,0.126,Kumuram Bheem Asifabad,TS
2014-02-16,0.0,28.1,19.5,3.32,0.126,Kumuram Bheem Asifabad,TS
2014-02-17,0.0,27.4,18.0,5.51,0.126,Kumuram Bheem Asifabad,TS
2014-02-18,0.0,28.2,13.5,5.27,0.125,Kumuram Bheem Asifabad,TS
