date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.6,16.3,3.39,0.153,Mancherial,TS
2014-01-02,0.0,28.4,15.7,3.63,0.152,Mancherial,TS
2014-01-03,0.0,28.4,15.0,3.7,0.15,Mancherial,TS
2014-01-04,0.0,28.8,16.6,3.71,0.149,Mancherial,TS
2014-01-05,0.0,29.0,15.8,3.93,0.147,Mancherial,TS
2014-01-06,0.0,29.2,19.0,3.72,0.146,Mancherial,TS
2014-01-07,0.0,29.2,19.4,3.78,0.145,Mancherial,TS
2014-01-08,0.0,29.3,18.7,3.95,0.143,Mancherial,TS
2014-01-09,0.0,29.0,16.6,3.91,0.142,Mancherial,TS
2014-01-10,0.0,28.9,17.4,3.9,0.142,Mancherial,TS
2014-01-11,0.0,27.5,19.9,2.82,0.141,Mancherial,TS
2014-01-12,0.0,29.0,18.0,3.78,0.141,Mancherial,TS
2014-01-13,0.0,29.0,17.3,3.64,0.14,Mancherial,TS
2014-01-14,0.0,29.0,17.7,3.63,0.139,Mancherial,TS
2014-01-15,0.0,30.1,18.5,4.17,0.138,Mancherial,TS
2014-01-16,0.0,29.1,18.8,3.79,0.137,Mancherial,TS
2014-01-17,0.0,30.0,20.7,4.79,0.137,Mancherial,TS
2014-01-18,0.0,28.5,20.7,3.29,0.136,Mancherial,TS
2014-01-19,0.0,29.2,19.0,4.15,0.136,Mancherial,TS
2014-01-20,0.0,29.6,19.7,3.85,0.135,Mancherial,TS
2014-01-21,0.0,29.3,19.3,4.05,0.134,Mancherial,TS
2014-01-22,0.0,28.0,19.0,3.59,0.134,Mancherial,TS
2014-01-23,0.0,27.8,19.0,3.34,0.133,Mancherial,TS
2014-01-24,0.0,28.9,18.9,3.24,0.133,Mancherial,TS
2014-01-25,0.0,29.4,18.3,3.84,0.133,Mancherial,TS
2014-01-26,0.0,30.1,18.4,4.34,0.132,Mancherial,TS
2014-01-27,0.0,29.4,17.7,4.78,0.132,Mancherial,TS
2014-01-28,0.0,29.1,15.8,4.82,0.131,Mancherial,TS
2014-01-29,0.0,29.3,15.4,4.33,0.13,Mancherial,TS
2014-01-30,0.0,29.1,15.7,4.43,0.129,Mancherial,TS
