date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.8,17.3,3.53,0.14,Nalgonda,TS
2014-01-02,0.0,27.4,16.5,3.82,0.139,Nalgonda,TS
2014-01-03,0.0,27.9,16.7,3.91,0.137,Nalgonda,TS
2014-01-04,0.0,27.6,16.9,3.6,0.136,Nalgonda,TS
2014-01-05,0.0,28.7,15.5,3.97,0.134,Nalgonda,TS
2014-01-06,0.0,29.0,17.2,4.03,0.133,Nalgonda,TS
2014-01-07,0.0,28.5,16.7,3.96,0.131,Nalgonda,TS
2014-01-08,0.0,28.0,16.4,3.86,0.13,Nalgonda,TS
2014-01-09,0.0,28.0,17.9,3.7,0.129,Nalgonda,TS
2014-01-10,0.0,28.5,18.1,3.79,0.129,Nalgonda,TS
2014-01-11,0.0,28.6,20.0,3.46,0.129,Nalgonda,TS
2014-01-12,0.0,29.6,16.9,4.3,0.129,Nalgonda,TS
2014-01-13,0.0,28.1,17.4,3.86,0.128,Nalgonda,TS
2014-01-14,0.0,28.1,18.1,3.67,0.126,Nalgonda,TS
2014-01-15,0.0,29.1,17.1,4.13,0.126,Nalgonda,TS
2014-01-16,0.0,29.1,19.2,4.06,0.125,Nalgonda,TS
2014-01-17,0.0,29.6,19.2,4.58,0.124,Nalgonda,TS
2014-01-18,0.1,28.1,19.7,3.63,0.124,Nalgonda,TS
2014-01-19,0.0,29.3,17.6,4.38,0.124,Nalgonda,TS
2014-01-20,0.0,28.8,18.8,3.79,0.123,Nalgonda,TS
2014-01-21,0.0,28.8,18.2,4.2,0.123,Nalgonda,TS
2014-01-22,0.1,27.5,18.2,3.3,0.123,Nalgonda,TS
2014-01-23,0.0,27.4,18.3,3.38,0.124,Nalgonda,TS
2014-01-24,0.0,28.5,17.7,3.98,0.123,Nalgonda,TS
2014-01-25,0.0,27.6,18.4,3.4,0.123,Nalgonda,TS
2014-01-26,0.0,29.1,18.9,4.02,0.122,Nalgonda,TS
2014-01-27,0.0,28.2,19.3,3.52,0.122,Nalgonda,TS
2014-01-28,0.0,28.9,18.9,3.91,0.122,Nalgonda,TS
2014-01-29,0.0,28.1,20.1,3.47,0.122,Nalgonda,TS
2014-01-30,0.0,28.8,17.4,4.48,0.122,Nalgonda,TS
2014-01-31,0.0,28.3,16.9,4.19,0.121,Nalgonda,TS
2014-02-01,0.0,27.9,17.8,3.62,0.12,Nalgonda,TS
2014-02-02,0.0,28.8,17.9,4.35,0.12,Nalgonda,TS
2014-02-03,0.0,30.2,17.2,4.63,0.119,Nalgonda,TS
2014-02-04,0.0,31.3,16.4,4.88,0.119,Nalgonda,TS
2014-02-05,0.0,31.7,14.8,5.1,0.118,Nalgonda,TS
2014-02-06,0.0,32.1,17.5,5.14,0.117,Nalgonda,TS
2014-02-07,0.0,32.3,17.8,5.24,0.117,Nalgonda,TS
2014-02-08,0.0,33.2,18.3,5.74,0.116,Nalgonda,TS
