date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.2,16.3,4.3,0.142,Narayanpet,TS
2014-01-02,0.0,27.9,15.4,4.32,0.14,Narayanpet,TS
2014-01-03,0.0,28.3,15.3,4.29,0.139,Narayanpet,TS
2014-01-04,0.0,28.7,15.6,4.34,0.138,Narayanpet,TS
2014-01-05,0.0,29.0,16.5,4.38,0.138,Narayanpet,TS
2014-01-06,0.0,29.8,16.5,4.39,0.136,Narayanpet,TS
2014-01-07,0.0,29.6,16.9,4.66,0.136,Narayanpet,TS
2014-01-08,0.0,28.9,17.0,4.66,0.135,Narayanpet,TS
2014-01-09,0.0,28.8,16.9,4.35,0.134,Narayanpet,TS
2014-01-10,0.0,28.7,17.0,4.31,0.133,Narayanpet,TS
2014-01-11,0.0,28.0,17.9,3.61,0.133,Narayanpet,TS
2014-01-12,0.0,30.1,18.3,4.64,0.132,Narayanpet,TS
2014-01-13,0.0,29.7,18.7,5.14,0.132,Narayanpet,TS
2014-01-14,0.0,28.9,17.7,4.49,0.131,Narayanpet,TS
2014-01-15,0.0,29.4,18.1,4.63,0.131,Narayanpet,TS
2014-01-16,0.0,29.7,18.4,4.78,0.13,Narayanpet,TS
2014-01-17,0.0,29.3,19.4,4.93,0.129,Narayanpet,TS
2014-01-18,0.0,28.6,19.1,4.43,0.129,Narayanpet,TS
2014-01-19,0.0,29.5,18.4,4.97,0.129,Narayanpet,TS
2014-01-20,0.0,29.4,18.1,4.98,0.128,Narayanpet,TS
2014-01-21,0.0,28.7,18.0,5.05,0.128,Narayanpet,TS
2014-01-22,0.0,28.1,17.1,4.66,0.127,Narayanpet,TS
2014-01-23,0.0,28.5,18.2,4.41,0.127,Narayanpet,TS
2014-01-24,0.0,29.2,18.3,4.37,0.127,Narayanpet,TS
2014-01-25,0.0,30.0,18.3,4.9,0.127,Narayanpet,TS
2014-01-26,0.0,30.1,17.1,4.83,0.126,Narayanpet,TS
2014-01-27,0.0,29.4,17.4,4.76,0.126,Narayanpet,TS
2014-01-28,0.0,28.9,16.8,4.32,0.126,Narayanpet,TS
2014-01-29,0.0,28.4,19.5,4.12,0.125,Narayanpet,TS
2014-01-30,0.0,28.8,19.8,4.6,0.125,Narayanpet,TS
2014-01-31,0.0,28.7,17.2,5.24,0.125,Narayanpet,TS
2014-02-01,0.0,28.7,17.5,5.13,0.125,Narayanpet,TS
2014-02-02,0.0,29.4,17.7,4.99,0.125,Narayanpet,TS
2014-02-03,0.0,30.6,17.4,4.94,0.124,Narayanpet,TS
2014-02-04,0.0,31.6,17.3,4.84,0.124,Narayanpet,TS
2014-02-05,0.0,31.9,17.8,5.2,0.124,Narayanpet,TS
2014-02-06,0.0,32.3,18.2,5.56,0.123,Narayanpet,TS
2014-02-07,0.0,31.7,18.3,5.49,0.123,Narayanpet,TS
2014-02-08,0.0,31.9,18.2,5.63,0.123,Narayanpet,TS
2014-02-09,0.0,32.4,18.1,5.52,0.123,Narayanpet,TS
2014-02-10,0.0,32.3,16.5,5.37,0.122,Narayanpet,TS
2014-02-11,0.0,31.4,16.9,5.41,0.122,Narayanpet,TS
2014-02-12,0.0,31.1,17.7,5.76,0.122,Narayanpet,TS
2014-02-13,0.0,30.9,19.7,5.94,0.122,Narayanpet,TS
2014-02-14,0.1,29.6,21.3,4.77,0.123,Narayanpet,TS
2014-02-15,0.0,29.4,19.8,4.38,0.124,Narayanpet,TS
2014-02-16,0.0,28.8,21.5,4.34,0.124,Narayanpet,TS
2014-02-17,0.0,29.5,18.7,6.25,0.123,Narayanpet,TS
2014-02-18,0.0,30.2,18.0,6.11,0.123,Narayanpet,TS
2014-02-19,0.0,29.3,18.3,4.15,0.123,Narayanpet,TS
2014-02-20,0.0,30.6,18.9,5.05,0.123,Narayanpet,TS
2014-02-21,0.0,31.2,20.2,5.38,0.122,Narayanpet,TS
2014-02-22,0.0,31.5,21.2,5.62,0.122,Narayanpet,TS
2014-02-23,0.0,31.7,20.1,5.7,0.122,Narayanpet,TS
2014-02-24,0.0,31.7,19.5,6.39,0.122,Narayanpet,TS
2014-02-25,0.0,31.6,17.2,6.22,0.122,Narayanpet,TS
2014-02-26,0.0,31.7,18.5,5.94,0.122,Narayanpet,TS
2014-02-27,0.2,32.0,20.4,5.31,0.122,Narayanpet,TS
2014-02-28,2.9,31.4,20.4,4.66,0.132,Narayanpet,TS
2014-03-01,0.0,29.3,20.7,4.3,0.169,Narayanpet,TS
2014-03-02,0.0,29.9,20.7,4.48,0.166,Narayanpet,TS
2014-03-03,6.2,30.0,20.4,4.52,0.187,Narayanpet,TS
2014-03-04,0.6,28.1,19.9,3.74,0.251,Narayanpet,TS
2014-03-05,0.0,29.0,19.8,4.72,0.234,Narayanpet,TS
2014-03-06,0.8,28.5,20.5,4.13,0.225,Narayanpet,TS
2014-03-07,0.1,30.0,19.6,4.99,0.217,Narayanpet,TS
2014-03-08,0.0,31.4,20.6,5.74,0.202,Narayanpet,TS
2014-03-09,0.0,30.0,20.2,5.15,0.189,Narayanpet,TS
2014-03-10,0.1,31.5,20.5,5.53,0.179,Narayanpet,TS
2014-03-11,0.0,32.7,20.6,6.19,0.169,Narayanpet,TS
2014-03-12,0.0,31.5,21.5,5.5,0.16,Narayanpet,TS
2014-03-13,0.0,33.8,21.4,6.39,0.152,Narayanpet,TS
2014-03-14,0.0,34.7,21.1,6.67,0.145,Narayanpet,TS
2014-03-15,0.0,35.3,22.0,6.85,0.14,Narayanpet,TS
2014-03-16,0.0,35.5,21.5,6.47,0.135,Narayanpet,TS
2014-03-17,0.0,35.1,22.0,6.31,0.133,Narayanpet,TS
2014-03-18,0.0,35.4,22.4,6.58,0.13,Narayanpet,TS
2014-03-19,0.0,36.5,21.6,6.88,0.128,Narayanpet,TS
2014-03-20,0.0,36.5,21.8,6.61,0.126,Narayanpet,TS
2014-03-21,0.0,36.5,22.5,6.94,0.125,Narayanpet,TS
2014-03-22,0.0,36.4,24.3,5.8,0.124,Narayanpet,TS
2014-03-23,0.0,36.7,23.1,7.01,0.123,Narayanpet,TS
2014-03-24,0.0,36.5,24.2,7.6,0.122,Narayanpet,TS
2014-03-25,0.0,36.6,23.2,7.45,0.122,Narayanpet,TS
2014-03-26,0.0,37.0,22.7,7.45,0.122,Narayanpet,TS
2014-03-27,0.0,37.2,23.4,7.86,0.121,Narayanpet,TS
2014-03-28,0.0,37.0,22.8,6.97,0.121,Narayanpet,TS
2014-03-29,0.0,38.4,22.6,7.03,0.121,Narayanpet,TS
2014-03-30,0.0,38.5,24.2,7.2,0.121,Narayanpet,TS
2014-03-31,0.0,37.8,26.8,7.29,0.121,Narayanpet,TS
2014-04-01,0.0,37.7,25.0,5.87,0.121,Narayanpet,TS
2014-04-02,0.0,36.4,25.0,6.05,0.122,Narayanpet,TS
2014-04-03,0.0,36.9,25.7,6.53,0.121,Narayanpet,TS
2014-04-04,0.0,37.2,24.1,6.75,0.121,Narayanpet,TS
2014-04-05,0.0,37.9,23.6,6.75,0.121,Narayanpet,TS
2014-04-06,0.0,38.2,24.3,7.61,0.121,Narayanpet,TS
2014-04-07,0.0,38.6,24.4,7.98,0.121,Narayanpet,TS
2014-04-08,0.0,38.2,25.9,6.74,0.121,Narayanpet,TS
2014-04-09,1.7,38.0,25.3,7.02,0.128,Narayanpet,TS
2014-04-10,0.0,36.3,24.2,6.27,0.139,Narayanpet,TS
2014-04-11,0.0,37.0,24.4,6.21,0.134,Narayanpet,TS
2014-04-12,0.0,36.5,25.0,6.36,0.131,Narayanpet,TS
2014-04-13,0.0,36.6,24.2,6.79,0.129,Narayanpet,TS
2014-04-14,0.3,36.7,25.1,7.12,0.128,Narayanpet,TS
2014-04-15,0.3,35.3,25.3,6.13,0.131,Narayanpet,TS
2014-04-16,0.3,36.7,25.5,6.06,0.132,Narayanpet,TS
2014-04-17,1.8,37.4,25.4,6.36,0.137,Narayanpet,TS
2014-04-18,0.0,35.4,25.5,6.17,0.148,Narayanpet,TS
2014-04-19,3.4,36.7,25.4,6.12,0.153,Narayanpet,TS
2014-04-20,0.0,37.4,24.4,6.95,0.167,Narayanpet,TS
2014-04-21,0.0,37.7,24.6,7.19,0.154,Narayanpet,TS
2014-04-22,0.0,38.0,25.0,7.37,0.145,Narayanpet,TS
