date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.1,15.4,3.48,0.21,Peddapalli,TS
2014-01-02,0.0,27.7,16.2,3.68,0.21,Peddapalli,TS
2014-01-03,0.0,28.0,16.2,3.78,0.21,Peddapalli,TS
2014-01-04,0.0,28.1,16.2,3.71,0.21,Peddapalli,TS
2014-01-05,0.0,28.6,16.4,4.01,0.21,Peddapalli,TS
2014-01-06,0.0,28.9,17.7,3.8,0.21,Peddapalli,TS
2014-01-07,0.0,28.8,18.5,3.96,0.21,Peddapalli,TS
2014-01-08,0.0,28.7,16.7,4.07,0.21,Peddapalli,TS
2014-01-09,0.0,28.6,17.8,4.02,0.21,Peddapalli,TS
2014-01-10,0.0,28.7,18.2,4.03,0.21,Peddapalli,TS
2014-01-11,0.0,27.4,19.7,3.08,0.21,Peddapalli,TS
2014-01-12,0.0,28.8,17.4,3.84,0.21,Peddapalli,TS
2014-01-13,0.0,28.5,17.1,3.86,0.21,Peddapalli,TS
2014-01-14,0.0,28.3,18.1,3.65,0.21,Peddapalli,TS
2014-01-15,0.0,29.6,19.2,4.24,0.21,Peddapalli,TS
2014-01-16,0.0,29.2,19.0,4.04,0.21,Peddapalli,TS
2014-01-17,0.0,29.9,20.3,4.99,0.21,Peddapalli,TS
2014-01-18,0.0,28.6,20.2,3.53,0.21,Peddapalli,TS
2014-01-19,0.0,29.1,19.1,4.44,0.21,Peddapalli,TS
2014-01-20,0.0,28.9,18.2,3.96,0.21,Peddapalli,TS
2014-01-21,0.0,28.9,19.2,4.29,0.21,Peddapalli,TS
2014-01-22,0.0,27.6,19.0,3.76,0.21,Peddapalli,TS
2014-01-23,0.0,27.4,19.1,3.49,0.21,Peddapalli,TS
2014-01-24,0.0,28.2,19.0,3.39,0.21,Peddapalli,TS
2014-01-25,0.0,28.8,18.6,3.81,0.21,Peddapalli,TS
2014-01-26,0.0,29.4,18.3,4.35,0.21,Peddapalli,TS
2014-01-27,0.0,29.0,17.9,4.68,0.21,Peddapalli,TS
2014-01-28,0.0,28.8,16.4,4.93,0.209,Peddapalli,TS
2014-01-29,0.0,28.9,16.0,4.42,0.209,Peddapalli,TS
2014-01-30,0.0,28.7,16.5,4.44,0.209,Peddapalli,TS
2014-01-31,0.0,28.8,16.2,4.74,0.209,Peddapalli,TS
2014-02-01,0.0,28.9,16.8,4.48,0.209,Peddapalli,TS
2014-02-02,0.0,29.4,16.6,4.55,0.209,Peddapalli,TS
2014-02-03,0.0,30.5,17.2,4.73,0.209,Peddapalli,TS
