date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.2,14.9,3.58,0.149,Rajanna Sircilla,TS
2014-01-02,0.0,27.1,16.0,3.73,0.147,Rajanna Sircilla,TS
2014-01-03,0.0,27.3,18.1,3.91,0.146,Rajanna Sircilla,TS
2014-01-04,0.0,27.7,14.7,3.81,0.144,Rajanna Sircilla,TS
2014-01-05,0.0,28.9,16.7,4.13,0.142,Rajanna Sircilla,TS
2014-01-06,0.0,29.1,18.1,3.83,0.14,Rajanna Sircilla,TS
2014-01-07,0.0,28.3,18.8,3.87,0.139,Rajanna Sircilla,TS
2014-01-08,0.0,28.3,15.7,4.19,0.137,Rajanna Sircilla,TS
2014-01-09,0.0,28.5,17.3,4.12,0.136,Rajanna Sircilla,TS
2014-01-10,0.0,28.4,17.8,3.98,0.135,Rajanna Sircilla,TS
2014-01-11,0.0,27.2,19.1,3.09,0.134,Rajanna Sircilla,TS
2014-01-12,0.0,28.0,17.7,3.76,0.133,Rajanna Sircilla,TS
2014-01-13,0.0,28.0,16.4,3.98,0.132,Rajanna Sircilla,TS
2014-01-14,0.0,28.0,16.9,3.87,0.132,Rajanna Sircilla,TS
2014-01-15,0.0,29.4,19.4,4.28,0.13,Rajanna Sircilla,TS
2014-01-16,0.0,28.8,19.8,4.05,0.129,Rajanna Sircilla,TS
2014-01-17,0.0,28.8,20.9,4.76,0.129,Rajanna Sircilla,TS
2014-01-18,0.0,28.2,19.6,3.79,0.128,Rajanna Sircilla,TS
2014-01-19,0.0,28.4,18.9,4.45,0.128,Rajanna Sircilla,TS
2014-01-20,0.0,28.5,17.1,4.04,0.127,Rajanna Sircilla,TS
2014-01-21,0.0,28.2,18.1,4.39,0.126,Rajanna Sircilla,TS
2014-01-22,0.0,27.2,18.0,3.83,0.126,Rajanna Sircilla,TS
2014-01-23,0.0,27.3,18.9,3.59,0.126,Rajanna Sircilla,TS
2014-01-24,0.0,27.9,17.8,3.41,0.126,Rajanna Sircilla,TS
2014-01-25,0.0,28.4,17.9,4.05,0.125,Rajanna Sircilla,TS
2014-01-26,0.0,29.0,17.3,4.5,0.125,Rajanna Sircilla,TS
2014-01-27,0.0,28.2,17.0,4.66,0.124,Rajanna Sircilla,TS
2014-01-28,0.0,28.3,15.9,4.88,0.123,Rajanna Sircilla,TS
2014-01-29,0.0,28.2,15.2,4.38,0.123,Rajanna Sircilla,TS
2014-01-30,0.0,28.4,15.6,4.42,0.122,Rajanna Sircilla,TS
2014-01-31,0.0,28.2,17.6,4.88,0.122,Rajanna Sircilla,TS
2014-02-01,0.0,28.4,16.2,4.64,0.122,Rajanna Sircilla,TS
2014-02-02,0.0,28.8,18.1,4.74,0.121,Rajanna Sircilla,TS
2014-02-03,0.0,30.0,16.0,4.84,0.121,Rajanna Sircilla,TS
2014-02-04,0.0,30.7,15.9,4.94,0.12,Rajanna Sircilla,TS
2014-02-05,0.0,31.4,18.4,5.12,0.12,Rajanna Sircilla,TS
2014-02-06,0.0,31.9,18.4,5.36,0.12,Rajanna Sircilla,TS
2014-02-07,0.0,32.6,17.3,5.08,0.119,Rajanna Sircilla,TS
2014-02-08,0.0,32.8,21.7,5.82,0.119,Rajanna Sircilla,TS
2014-02-09,0.0,32.3,18.0,5.41,0.119,Rajanna Sircilla,TS
2014-02-10,0.0,31.7,17.1,5.16,0.118,Rajanna Sircilla,TS
2014-02-11,0.0,31.0,17.2,4.87,0.118,Rajanna Sircilla,TS
2014-02-12,0.0,30.9,17.9,5.11,0.118,Rajanna Sircilla,TS
2014-02-13,0.0,30.7,20.7,6.14,0.118,Rajanna Sircilla,TS
2014-02-14,0.0,28.5,21.3,4.58,0.119,Rajanna Sircilla,TS
2014-02-15,0.0,29.9,20.2,4.68,0.12,Rajanna Sircilla,TS
2014-02-16,0.0,27.8,21.2,3.78,0.12,Rajanna Sircilla,TS
2014-02-17,0.0,27.4,17.4,5.39,0.119,Rajanna Sircilla,TS
2014-02-18,0.0,28.1,14.7,5.32,0.119,Rajanna Sircilla,TS
2014-02-19,0.0,29.7,14.5,5.15,0.119,Rajanna Sircilla,TS
2014-02-20,0.0,31.3,18.9,5.39,0.118,Rajanna Sircilla,TS
2014-02-21,0.0,30.4,20.0,4.87,0.118,Rajanna Sircilla,TS
2014-02-22,0.0,30.9,20.8,5.07,0.118,Rajanna Sircilla,TS
2014-02-23,0.3,30.8,20.4,4.84,0.119,Rajanna Sircilla,TS
2014-02-24,0.0,30.6,19.5,5.25,0.12,Rajanna Sircilla,TS
2014-02-25,0.0,31.1,19.4,5.46,0.119,Rajanna Sircilla,TS
2014-02-26,0.0,31.3,19.1,5.97,0.119,Rajanna Sircilla,TS
2014-02-27,0.0,31.5,20.3,5.36,0.118,Rajanna Sircilla,TS
2014-02-28,4.1,30.0,19.7,4.27,0.136,Rajanna Sircilla,TS
2014-03-01,1.3,28.5,20.5,3.92,0.146,Rajanna Sircilla,TS
2014-03-02,3.4,27.9,19.2,3.32,0.166,Rajanna Sircilla,TS
2014-03-03,10.0,27.4,19.8,3.54,0.245,Rajanna Sircilla,TS
2014-03-04,12.0,25.0,18.9,3.17,0.331,Rajanna Sircilla,TS
2014-03-05,0.0,27.0,18.1,3.47,0.282,Rajanna Sircilla,TS
2014-03-06,0.6,27.3,19.6,3.74,0.257,Rajanna Sircilla,TS
