date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.4,15.4,4.09,0.206,Sangareddy,TS
2014-01-02,0.0,27.2,13.7,4.02,0.206,Sangareddy,TS
2014-01-03,0.0,27.8,14.5,4.06,0.205,Sangareddy,TS
2014-01-04,0.0,28.2,14.4,4.21,0.205,Sangareddy,TS
2014-01-05,0.0,29.1,16.4,4.33,0.205,Sangareddy,TS
2014-01-06,0.0,29.2,16.8,4.11,0.204,Sangareddy,TS
2014-01-07,0.0,28.3,17.5,4.21,0.204,Sangareddy,TS
2014-01-08,0.0,28.6,16.7,4.6,0.203,Sangareddy,TS
2014-01-09,0.0,28.5,16.6,4.19,0.203,Sangareddy,TS
2014-01-10,0.0,28.7,17.1,4.27,0.203,Sangareddy,TS
2014-01-11,0.0,27.1,17.8,3.15,0.203,Sangareddy,TS
2014-01-12,0.0,29.6,17.7,4.42,0.203,Sangareddy,TS
2014-01-13,0.0,28.6,17.4,4.76,0.202,Sangareddy,TS
2014-01-14,0.0,27.9,16.6,4.07,0.202,Sangareddy,TS
2014-01-15,0.0,29.1,18.7,4.27,0.202,Sangareddy,TS
2014-01-16,0.0,29.3,18.6,4.6,0.201,Sangareddy,TS
2014-01-17,0.0,29.2,19.1,4.79,0.201,Sangareddy,TS
2014-01-18,0.0,28.7,18.6,4.26,0.201,Sangareddy,TS
2014-01-19,0.0,29.2,17.5,4.96,0.201,Sangareddy,TS
2014-01-20,0.0,28.5,17.3,4.5,0.201,Sangareddy,TS
2014-01-21,0.0,28.1,17.4,4.81,0.201,Sangareddy,TS
2014-01-22,0.0,27.7,16.9,4.71,0.201,Sangareddy,TS
2014-01-23,0.0,27.3,18.1,3.86,0.201,Sangareddy,TS
2014-01-24,0.0,28.8,17.1,4.29,0.201,Sangareddy,TS
2014-01-25,0.0,28.9,17.1,4.41,0.201,Sangareddy,TS
2014-01-26,0.0,29.3,16.4,4.65,0.201,Sangareddy,TS
2014-01-27,0.0,28.2,15.9,4.72,0.2,Sangareddy,TS
2014-01-28,0.0,28.6,15.1,4.84,0.2,Sangareddy,TS
2014-01-29,0.0,27.9,16.6,4.16,0.2,Sangareddy,TS
2014-01-30,0.0,28.5,17.7,4.56,0.2,Sangareddy,TS
2014-01-31,0.0,28.1,15.2,4.84,0.2,Sangareddy,TS
2014-02-01,0.0,28.1,16.0,4.81,0.2,Sangareddy,TS
2014-02-02,0.0,28.6,15.7,4.8,0.2,Sangareddy,TS
2014-02-03,0.0,29.7,15.6,4.82,0.2,Sangareddy,TS
2014-02-04,0.0,30.9,16.0,5.23,0.199,Sangareddy,TS
2014-02-05,0.0,31.3,15.3,5.41,0.199,Sangareddy,TS
2014-02-06,0.0,31.9,16.3,5.41,0.199,Sangareddy,TS
2014-02-07,0.0,31.8,18.1,5.21,0.199,Sangareddy,TS
2014-02-08,0.0,31.4,19.6,5.73,0.199,Sangareddy,TS
2014-02-09,0.0,31.7,17.1,5.41,0.199,Sangareddy,TS
2014-02-10,0.0,31.5,16.3,5.27,0.199,Sangareddy,TS
2014-02-11,0.0,30.5,16.5,5.16,0.199,Sangareddy,TS
2014-02-12,0.0,30.8,17.7,5.54,0.199,Sangareddy,TS
2014-02-13,0.0,30.9,19.7,6.51,0.199,Sangareddy,TS
2014-02-14,0.5,28.1,20.9,4.57,0.201,Sangareddy,TS
2014-02-15,0.0,28.9,19.4,4.75,0.203,Sangareddy,TS
2014-02-16,0.0,27.6,20.2,4.32,0.202,Sangareddy,TS
2014-02-17,0.0,27.6,16.8,5.81,0.202,Sangareddy,TS
2014-02-18,0.0,28.7,15.9,5.66,0.201,Sangareddy,TS
2014-02-19,0.0,29.7,16.8,4.79,0.201,Sangareddy,TS
2014-02-20,0.0,31.1,19.1,5.29,0.2,Sangareddy,TS
2014-02-21,0.0,30.6,19.0,5.12,0.2,Sangareddy,TS
2014-02-22,0.0,31.2,20.9,5.39,0.2,Sangareddy,TS
2014-02-23,0.2,31.2,19.7,5.37,0.201,Sangareddy,TS
2014-02-24,0.0,30.7,18.5,6.01,0.202,Sangareddy,TS
2014-02-25,0.0,31.2,17.4,5.96,0.201,Sangareddy,TS
2014-02-26,0.0,31.5,17.5,6.09,0.201,Sangareddy,TS
2014-02-27,1.4,31.7,19.4,5.12,0.205,Sangareddy,TS
2014-02-28,3.6,31.0,19.8,4.52,0.221,Sangareddy,TS
