date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.4,16.1,4.13,0.139,Wanaparthy,TS
2014-01-02,0.0,27.9,14.3,4.18,0.138,Wanaparthy,TS
2014-01-03,0.0,28.4,14.6,4.2,0.138,Wanaparthy,TS
2014-01-04,0.0,28.8,15.1,4.19,0.136,Wanaparthy,TS
2014-01-05,0.0,29.2,15.3,4.17,0.136,Wanaparthy,TS
2014-01-06,0.0,30.3,15.5,4.51,0.135,Wanaparthy,TS
2014-01-07,0.0,29.6,15.4,4.61,0.133,Wanaparthy,TS
2014-01-08,0.0,28.7,16.0,4.42,0.133,Wanaparthy,TS
2014-01-09,0.0,28.8,15.8,4.24,0.132,Wanaparthy,TS
2014-01-10,0.0,28.7,16.3,4.0,0.131,Wanaparthy,TS
2014-01-11,0.0,28.8,18.1,3.89,0.131,Wanaparthy,TS
2014-01-12,0.0,30.4,17.3,4.73,0.13,Wanaparthy,TS
2014-01-13,0.0,29.4,18.1,4.79,0.129,Wanaparthy,TS
2014-01-14,0.0,29.0,16.5,4.41,0.129,Wanaparthy,TS
2014-01-15,0.0,29.5,16.9,4.44,0.128,Wanaparthy,TS
2014-01-16,0.0,30.0,17.1,4.53,0.128,Wanaparthy,TS
2014-01-17,0.0,29.7,17.8,4.75,0.127,Wanaparthy,TS
2014-01-18,0.0,29.3,18.5,4.46,0.127,Wanaparthy,TS
2014-01-19,0.0,29.6,18.3,4.8,0.126,Wanaparthy,TS
2014-01-20,0.0,29.2,17.4,4.42,0.126,Wanaparthy,TS
2014-01-21,0.0,28.7,17.2,4.65,0.126,Wanaparthy,TS
2014-01-22,0.0,28.3,15.7,4.47,0.125,Wanaparthy,TS
2014-01-23,0.0,28.6,17.4,4.35,0.125,Wanaparthy,TS
2014-01-24,0.0,29.6,17.1,4.49,0.125,Wanaparthy,TS
2014-01-25,0.0,29.6,18.3,4.53,0.125,Wanaparthy,TS
2014-01-26,0.0,29.9,16.6,4.65,0.124,Wanaparthy,TS
2014-01-27,0.0,28.9,16.1,4.17,0.124,Wanaparthy,TS
2014-01-28,0.0,28.6,16.9,3.83,0.124,Wanaparthy,TS
