date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,26.3,15.2,3.09,0.171,Warangal,TS
2014-01-02,0.0,27.0,15.3,3.39,0.169,Warangal,TS
2014-01-03,0.0,27.3,15.2,3.57,0.166,Warangal,TS
2014-01-04,0.0,26.8,15.8,3.23,0.164,Warangal,TS
2014-01-05,0.0,27.3,16.4,3.66,0.163,Warangal,TS
2014-01-06,0.0,28.0,18.0,3.64,0.16,Warangal,TS
2014-01-07,0.0,27.9,17.4,3.66,0.158,Warangal,TS
2014-01-08,0.0,27.6,18.0,3.82,0.156,Warangal,TS
2014-01-09,0.0,27.5,18.4,3.74,0.154,Warangal,TS
2014-01-10,0.0,27.7,18.3,3.75,0.152,Warangal,TS
2014-01-11,0.0,26.7,19.6,2.79,0.151,Warangal,TS
2014-01-12,0.0,28.4,17.5,3.88,0.15,Warangal,TS
2014-01-13,0.0,27.5,16.8,3.63,0.148,Warangal,TS
2014-01-14,0.0,26.9,18.6,3.32,0.147,Warangal,TS
2014-01-15,0.0,28.5,18.2,3.93,0.146,Warangal,TS
2014-01-16,0.0,28.4,18.9,3.92,0.144,Warangal,TS
2014-01-17,0.0,28.8,19.7,4.52,0.143,Warangal,TS
2014-01-18,0.0,27.6,20.2,3.51,0.142,Warangal,TS
2014-01-19,0.0,28.7,18.7,4.27,0.141,Warangal,TS
2014-01-20,0.0,28.0,17.7,3.62,0.14,Warangal,TS
2014-01-21,0.0,28.2,18.7,4.17,0.139,Warangal,TS
2014-01-22,0.0,26.8,18.8,3.3,0.138,Warangal,TS
2014-01-23,0.0,26.6,19.0,3.33,0.138,Warangal,TS
2014-01-24,0.0,27.4,18.9,3.36,0.137,Warangal,TS
2014-01-25,0.0,27.9,18.5,3.35,0.136,Warangal,TS
2014-01-26,0.0,28.6,18.1,3.84,0.135,Warangal,TS
2014-01-27,0.0,27.9,17.4,3.71,0.135,Warangal,TS
2014-01-28,0.0,28.4,16.4,4.34,0.133,Warangal,TS
2014-01-29,0.0,28.1,18.4,3.66,0.133,Warangal,TS
2014-01-30,0.0,28.2,18.1,4.24,0.132,Warangal,TS
2014-01-31,0.0,28.0,16.1,4.19,0.131,Warangal,TS
2014-02-01,0.0,28.0,17.5,4.04,0.131,Warangal,TS
2014-02-02,0.0,28.8,17.3,4.11,0.13,Warangal,TS
2014-02-03,0.0,29.8,15.8,4.72,0.129,Warangal,TS
2014-02-04,0.0,30.4,16.6,4.78,0.128,Warangal,TS
2014-02-05,0.0,31.1,17.1,4.93,0.128,Warangal,TS
2014-02-06,0.0,31.7,15.4,4.56,0.127,Warangal,TS
2014-02-07,0.0,31.5,16.6,5.0,0.126,Warangal,TS
2014-02-08,0.0,32.1,20.7,5.94,0.126,Warangal,TS
2014-02-09,0.0,32.5,19.9,5.65,0.125,Warangal,TS
2014-02-10,0.0,31.4,18.4,5.16,0.125,Warangal,TS
2014-02-11,0.0,31.0,19.0,5.04,0.124,Warangal,TS
2014-02-12,0.0,30.3,19.3,4.92,0.124,Warangal,TS
2014-02-13,0.0,30.0,19.4,5.49,0.124,Warangal,TS
2014-02-14,0.0,28.7,20.8,4.27,0.124,Warangal,TS
2014-02-15,0.8,28.8,19.8,4.35,0.128,Warangal,TS
2014-02-16,1.6,28.1,21.3,4.15,0.139,Warangal,TS
2014-02-17,0.0,27.9,18.7,5.51,0.139,Warangal,TS
2014-02-18,0.0,28.5,16.3,5.32,0.136,Warangal,TS
2014-02-19,0.0,29.2,15.8,4.67,0.133,Warangal,TS
2014-02-20,0.0,30.6,18.7,5.15,0.131,Warangal,TS
2014-02-21,0.0,29.1,19.2,4.48,0.13,Warangal,TS
2014-02-22,0.0,29.8,19.6,4.97,0.129,Warangal,TS
2014-02-23,0.0,30.3,20.0,5.22,0.128,Warangal,TS
2014-02-24,0.0,30.6,19.5,5.18,0.127,Warangal,TS
2014-02-25,0.0,30.9,19.4,5.23,0.126,Warangal,TS
2014-02-26,0.0,30.6,19.2,5.46,0.125,Warangal,TS
2014-02-27,0.0,30.5,19.2,5.66,0.124,Warangal,TS
2014-02-28,0.0,29.4,19.3,5.15,0.124,Warangal,TS
2014-03-01,0.9,29.4,20.4,4.23,0.127,Warangal,TS
2014-03-02,1.8,29.1,20.5,4.05,0.131,Warangal,TS
2014-03-03,11.4,28.1,20.4,3.34,0.231,Warangal,TS
2014-03-04,2.6,26.0,20.1,3.28,0.255,Warangal,TS
2014-03-05,0.0,28.5,19.3,3.98,0.238,Warangal,TS
2014-03-06,0.4,27.9,20.4,3.72,0.224,Warangal,TS
2014-03-07,0.3,29.0,19.9,4.08,0.216,Warangal,TS
2014-03-08,0.2,29.9,20.5,4.63,0.204,Warangal,TS
2014-03-09,0.0,29.4,20.5,4.5,0.192,Warangal,TS
2014-03-10,0.1,29.5,21.4,4.37,0.182,Warangal,TS
2014-03-11,0.0,31.7,20.3,5.84,0.172,Warangal,TS
2014-03-12,0.0,30.4,21.5,4.66,0.163,Warangal,TS
2014-03-13,0.0,31.7,21.5,4.82,0.157,Warangal,TS
2014-03-14,0.0,33.3,20.6,5.17,0.15,Warangal,TS
2014-03-15,0.0,34.0,21.8,5.49,0.144,Warangal,TS
2014-03-16,0.0,34.1,22.1,5.73,0.139,Warangal,TS
2014-03-17,0.0,34.6,22.3,5.49,0.135,Warangal,TS
2014-03-18,0.0,34.7,23.1,5.69,0.132,Warangal,TS
2014-03-19,0.0,35.5,22.2,5.97,0.129,Warangal,TS
2014-03-20,0.0,35.8,22.3,5.77,0.127,Warangal,TS
2014-03-21,0.0,36.0,23.0,5.66,0.125,Warangal,TS
2014-03-22,0.0,35.5,24.3,5.56,0.124,Warangal,TS
2014-03-23,0.0,35.7,23.3,6.36,0.123,Warangal,TS
2014-03-24,0.0,34.9,23.2,6.43,0.122,Warangal,TS
2014-03-25,0.0,34.7,22.7,6.25,0.122,Warangal,TS
2014-03-26,0.0,36.3,22.9,7.01,0.121,Warangal,TS
2014-03-27,0.0,36.6,23.4,7.45,0.121,Warangal,TS
2014-03-28,0.0,37.7,23.8,6.65,0.12,Warangal,TS
2014-03-29,0.0,38.8,23.4,6.89,0.12,Warangal,TS
2014-03-30,0.0,38.8,22.5,6.46,0.12,Warangal,TS
2014-03-31,0.0,37.9,25.2,6.19,0.12,Warangal,TS
2014-04-01,0.0,37.6,25.3,5.92,0.119,Warangal,TS
2014-04-02,0.0,36.7,25.6,5.76,0.12,Warangal,TS
2014-04-03,0.0,36.8,24.8,5.84,0.119,Warangal,TS
2014-04-04,0.0,37.3,24.2,6.24,0.119,Warangal,TS
2014-04-05,0.0,38.4,23.8,7.04,0.119,Warangal,TS
2014-04-06,0.0,38.3,23.3,7.16,0.119,Warangal,TS
2014-04-07,0.0,37.8,23.9,7.01,0.119,Warangal,TS
2014-04-08,0.0,38.5,25.2,5.86,0.119,Warangal,TS
2014-04-09,0.9,36.2,25.9,5.55,0.121,Warangal,TS
2014-04-10,0.0,37.4,26.5,6.75,0.132,Warangal,TS
2014-04-11,0.0,37.9,23.1,6.5,0.129,Warangal,TS
2014-04-12,0.0,36.6,25.1,6.27,0.126,Warangal,TS
2014-04-13,0.2,35.7,25.1,6.61,0.125,Warangal,TS
2014-04-14,0.0,35.7,25.1,6.78,0.126,Warangal,TS
2014-04-15,0.0,35.4,24.8,6.17,0.124,Warangal,TS
2014-04-16,0.6,36.9,25.4,6.05,0.127,Warangal,TS
2014-04-17,0.1,37.1,25.7,6.48,0.132,Warangal,TS
2014-04-18,0.0,35.2,25.9,5.93,0.131,Warangal,TS
2014-04-19,0.4,37.0,26.1,5.63,0.132,Warangal,TS
2014-04-20,0.2,36.8,25.8,5.85,0.132,Warangal,TS
2014-04-21,0.2,37.5,25.0,6.32,0.13,Warangal,TS
2014-04-22,0.1,37.0,26.8,6.08,0.128,Warangal,TS
2014-04-23,0.0,37.9,27.0,6.08,0.127,Warangal,TS
2014-04-24,0.0,38.6,27.5,6.25,0.125,Warangal,TS
2014-04-25,0.0,38.6,28.4,6.63,0.123,Warangal,TS
2014-04-26,0.0,38.4,27.5,7.06,0.123,Warangal,TS
2014-04-27,0.0,38.2,27.2,6.72,0.122,Warangal,TS
2014-04-28,0.0,38.2,26.9,7.02,0.121,Warangal,TS
2014-04-29,0.0,38.7,27.0,7.52,0.12,Warangal,TS
2014-04-30,0.2,37.8,26.3,6.76,0.12,Warangal,TS
2014-05-01,0.1,38.1,27.3,7.05,0.121,Warangal,TS
