date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,25.8,14.5,3.43,0.147,Yadadri Bhuvanagiri,TS
2014-01-02,0.0,26.6,15.3,3.73,0.146,Yadadri Bhuvanagiri,TS
2014-01-03,0.0,27.3,16.3,3.79,0.144,Yadadri Bhuvanagiri,TS
2014-01-04,0.0,26.7,17.6,3.64,0.143,Yadadri Bhuvanagiri,TS
2014-01-05,0.0,28.1,14.9,4.06,0.142,Yadadri Bhuvanagiri,TS
2014-01-06,0.0,28.7,15.6,4.04,0.14,Yadadri Bhuvanagiri,TS
2014-01-07,0.0,27.7,15.6,3.96,0.139,Yadadri Bhuvanagiri,TS
2014-01-08,0.0,27.3,14.8,4.01,0.138,Yadadri Bhuvanagiri,TS
2014-01-09,0.0,27.6,15.0,3.94,0.137,Yadadri Bhuvanagiri,TS
2014-01-10,0.0,27.8,15.7,3.86,0.136,Yadadri Bhuvanagiri,TS
2014-01-11,0.0,27.0,17.9,3.01,0.136,Yadadri Bhuvanagiri,TS
2014-01-12,0.0,28.5,15.7,4.08,0.135,Yadadri Bhuvanagiri,TS
2014-01-13,0.0,27.1,17.0,4.01,0.134,Yadadri Bhuvanagiri,TS
2014-01-14,0.0,27.0,15.5,3.65,0.133,Yadadri Bhuvanagiri,TS
2014-01-15,0.0,28.3,16.3,4.06,0.133,Yadadri Bhuvanagiri,TS
2014-01-16,0.0,28.3,16.8,4.15,0.132,Yadadri Bhuvanagiri,TS
2014-01-17,0.0,28.5,18.0,4.53,0.131,Yadadri Bhuvanagiri,TS
2014-01-18,0.0,27.7,18.1,3.75,0.131,Yadadri Bhuvanagiri,TS
2014-01-19,0.0,28.4,17.0,4.41,0.13,Yadadri Bhuvanagiri,TS
2014-01-20,0.0,27.6,15.8,3.64,0.13,Yadadri Bhuvanagiri,TS
2014-01-21,0.0,27.6,16.3,4.15,0.129,Yadadri Bhuvanagiri,TS
2014-01-22,0.0,26.0,15.7,3.27,0.129,Yadadri Bhuvanagiri,TS
2014-01-23,0.0,25.8,17.0,3.24,0.129,Yadadri Bhuvanagiri,TS
2014-01-24,0.0,27.5,16.1,3.84,0.128,Yadadri Bhuvanagiri,TS
2014-01-25,0.0,27.7,17.2,3.6,0.128,Yadadri Bhuvanagiri,TS
2014-01-26,0.0,28.5,16.5,4.09,0.128,Yadadri Bhuvanagiri,TS
2014-01-27,0.0,27.7,17.2,3.93,0.127,Yadadri Bhuvanagiri,TS
2014-01-28,0.0,28.4,15.6,4.38,0.126,Yadadri Bhuvanagiri,TS
2014-01-29,0.0,26.7,17.2,3.29,0.127,Yadadri Bhuvanagiri,TS
2014-01-30,0.0,27.8,15.5,4.36,0.126,Yadadri Bhuvanagiri,TS
2014-01-31,0.0,27.4,14.4,4.34,0.126,Yadadri Bhuvanagiri,TS
2014-02-01,0.0,26.8,15.5,3.93,0.125,Yadadri Bhuvanagiri,TS
2014-02-02,0.0,27.9,16.1,4.34,0.125,Yadadri Bhuvanagiri,TS
2014-02-03,0.0,29.6,18.7,4.66,0.124,Yadadri Bhuvanagiri,TS
2014-02-04,0.0,30.6,15.0,5.0,0.124,Yadadri Bhuvanagiri,TS
2014-02-05,0.0,31.0,16.8,5.14,0.123,Yadadri Bhuvanagiri,TS
2014-02-06,0.0,31.5,20.1,5.09,0.123,Yadadri Bhuvanagiri,TS
2014-02-07,0.0,31.5,16.8,5.31,0.122,Yadadri Bhuvanagiri,TS
2014-02-08,0.0,32.3,17.6,5.46,0.122,Yadadri Bhuvanagiri,TS
2014-02-09,0.0,32.7,17.1,5.47,0.122,Yadadri Bhuvanagiri,TS
2014-02-10,0.0,32.4,17.8,5.22,0.121,Yadadri Bhuvanagiri,TS
2014-02-11,0.0,31.4,16.7,5.24,0.121,Yadadri Bhuvanagiri,TS
2014-02-12,0.0,30.0,16.5,4.93,0.121,Yadadri Bhuvanagiri,TS
2014-02-13,0.0,29.8,18.1,5.81,0.121,Yadadri Bhuvanagiri,TS
2014-02-14,0.0,27.7,19.6,3.86,0.122,Yadadri Bhuvanagiri,TS
2014-02-15,0.1,28.0,18.4,3.97,0.127,Yadadri Bhuvanagiri,TS
2014-02-16,0.2,28.4,19.6,4.26,0.13,Yadadri Bhuvanagiri,TS
2014-02-17,0.0,27.8,17.7,5.74,0.129,Yadadri Bhuvanagiri,TS
2014-02-18,0.0,28.5,15.5,5.61,0.128,Yadadri Bhuvanagiri,TS
2014-02-19,0.0,29.0,17.1,4.49,0.127,Yadadri Bhuvanagiri,TS
2014-02-20,0.0,30.1,17.7,5.18,0.126,Yadadri Bhuvanagiri,TS
2014-02-21,0.0,29.1,17.7,4.35,0.125,Yadadri Bhuvanagiri,TS
2014-02-22,0.0,30.1,18.3,5.01,0.124,Yadadri Bhuvanagiri,TS
2014-02-23,0.0,29.8,18.3,5.12,0.124,Yadadri Bhuvanagiri,TS
2014-02-24,0.0,29.7,17.6,5.25,0.125,Yadadri Bhuvanagiri,TS
2014-02-25,0.0,29.6,16.4,5.14,0.124,Yadadri Bhuvanagiri,TS
