date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,2.0,20.5,14.3,2.35,0.231,Alluri Sitharama Raju,AP
2021-12-31,0.0,22.1,12.0,3.16,0.23,Alluri Sitharama Raju,AP
2022-01-01,0.0,24.0,12.3,3.35,0.225,Alluri Sitharama Raju,AP
2022-01-02,0.0,23.4,12.6,3.32,0.221,Alluri Sitharama Raju,AP
2022-01-03,0.0,23.4,11.7,3.46,0.215,Alluri Sitharama Raju,AP
2022-01-04,0.0,22.8,11.9,3.67,0.209,Alluri Sitharama Raju,AP
2022-01-05,0.0,23.8,12.1,3.53,0.204,Alluri Sitharama Raju,AP
2022-01-06,0.0,23.5,14.2,3.37,0.198,Alluri Sitharama Raju,AP
2022-01-07,0.0,22.5,12.7,3.61,0.193,Alluri Sitharama Raju,AP
2022-01-08,0.0,22.8,10.6,3.52,0.187,Alluri Sitharama Raju,AP
2022-01-09,0.0,23.6,12.2,3.46,0.182,Alluri Sitharama Raju,AP
2022-01-10,1.5,23.7,13.3,3.03,0.186,Alluri Sitharama Raju,AP
2022-01-11,3.5,23.9,15.1,3.27,0.192,Alluri Sitharama Raju,AP
2022-01-12,2.1,20.4,15.6,1.93,0.2,Alluri Sitharama Raju,AP
2022-01-13,16.3,21.4,15.6,2.01,0.271,Alluri Sitharama Raju,AP
2022-01-14,2.7,22.0,14.1,2.45,0.298,Alluri Sitharama Raju,AP
2022-01-15,2.8,21.8,14.9,2.27,0.326,Alluri Sitharama Raju,AP
2022-01-16,0.1,23.6,14.9,3.1,0.31,Alluri Sitharama Raju,AP
2022-01-17,0.0,23.5,13.4,3.59,0.285,Alluri Sitharama Raju,AP
2022-01-18,0.0,22.7,10.6,3.77,0.266,Alluri Sitharama Raju,AP
2022-01-19,0.0,23.2,10.3,3.74,0.249,Alluri Sitharama Raju,AP
2022-01-20,0.0,23.4,11.5,4.04,0.236,Alluri Sitharama Raju,AP
2022-01-21,0.0,23.8,12.8,4.0,0.223,Alluri Sitharama Raju,AP
2022-01-22,0.0,24.6,13.5,4.34,0.214,Alluri Sitharama Raju,AP
2022-01-23,1.1,23.0,13.5,3.28,0.212,Alluri Sitharama Raju,AP
2022-01-24,0.2,23.7,13.2,3.07,0.214,Alluri Sitharama Raju,AP
2022-01-25,0.0,23.6,12.0,3.91,0.204,Alluri Sitharama Raju,AP
2022-01-26,0.0,23.3,11.4,4.06,0.196,Alluri Sitharama Raju,AP
2022-01-27,0.0,22.7,10.8,4.02,0.188,Alluri Sitharama Raju,AP
2022-01-28,0.0,24.0,10.8,3.98,0.18,Alluri Sitharama Raju,AP
2022-01-29,0.0,25.5,12.1,4.28,0.168,Alluri Sitharama Raju,AP
2022-01-30,0.0,25.1,10.9,4.68,0.16,Alluri Sitharama Raju,AP
2022-01-31,0.0,26.6,10.2,4.6,0.155,Alluri Sitharama Raju,AP
2022-02-01,0.0,26.5,11.5,4.83,0.151,Alluri Sitharama Raju,AP
2022-02-02,0.0,27.0,11.7,4.19,0.148,Alluri Sitharama Raju,AP
2022-02-03,0.0,26.4,11.7,4.15,0.145,Alluri Sitharama Raju,AP
2022-02-04,0.4,24.4,14.5,4.08,0.146,Alluri Sitharama Raju,AP
2022-02-05,0.0,24.4,9.7,4.46,0.146,Alluri Sitharama Raju,AP
2022-02-06,0.0,25.7,9.4,4.11,0.142,Alluri Sitharama Raju,AP
2022-02-07,0.0,26.3,11.2,4.23,0.137,Alluri Sitharama Raju,AP
2022-02-08,0.0,27.4,11.6,4.43,0.134,Alluri Sitharama Raju,AP
2022-02-09,0.0,25.6,12.1,4.06,0.133,Alluri Sitharama Raju,AP
2022-02-10,0.0,27.3,12.7,4.09,0.133,Alluri Sitharama Raju,AP
2022-02-11,0.0,26.2,14.5,4.18,0.135,Alluri Sitharama Raju,AP
2022-02-12,0.0,26.6,13.1,4.11,0.133,Alluri Sitharama Raju,AP
2022-02-13,0.0,26.6,13.8,4.2,0.129,Alluri Sitharama Raju,AP
2022-02-14,0.0,26.2,12.1,4.58,0.127,Alluri Sitharama Raju,AP
2022-02-15,0.0,26.9,10.1,4.58,0.126,Alluri Sitharama Raju,AP
2022-02-16,0.0,28.1,12.6,4.75,0.127,Alluri Sitharama Raju,AP
2022-02-17,0.0,26.2,13.3,3.83,0.13,Alluri Sitharama Raju,AP
2022-02-18,0.0,26.8,14.2,3.91,0.129,Alluri Sitharama Raju,AP
2022-02-19,0.0,27.5,14.2,4.11,0.128,Alluri Sitharama Raju,AP
2022-02-20,0.0,27.3,16.5,5.24,0.131,Alluri Sitharama Raju,AP
2022-02-21,0.0,27.3,16.2,5.07,0.131,Alluri Sitharama Raju,AP
2022-02-22,0.0,28.8,15.0,5.09,0.128,Alluri Sitharama Raju,AP
2022-02-23,0.0,27.1,14.2,4.63,0.129,Alluri Sitharama Raju,AP
2022-02-24,0.2,28.0,13.9,4.57,0.13,Alluri Sitharama Raju,AP
2022-02-25,0.0,28.6,17.0,5.24,0.131,Alluri Sitharama Raju,AP
2022-02-26,0.0,28.1,14.7,5.78,0.136,Alluri Sitharama Raju,AP
2022-02-27,0.0,27.7,14.4,6.2,0.138,Alluri Sitharama Raju,AP
2022-02-28,0.0,28.5,14.2,5.91,0.141,Alluri Sitharama Raju,AP
2022-03-01,0.0,29.6,15.3,5.84,0.139,Alluri Sitharama Raju,AP
2022-03-02,0.0,28.8,15.8,5.61,0.144,Alluri Sitharama Raju,AP
2022-03-03,0.0,28.1,15.9,5.64,0.144,Alluri Sitharama Raju,AP
2022-03-04,0.0,28.8,16.2,6.1,0.139,Alluri Sitharama Raju,AP
2022-03-05,0.0,28.8,15.8,5.78,0.139,Alluri Sitharama Raju,AP
2022-03-06,0.0,28.3,14.6,5.27,0.136,Alluri Sitharama Raju,AP
2022-03-07,0.0,29.5,15.9,4.72,0.135,Alluri Sitharama Raju,AP
2022-03-08,0.0,30.9,16.0,5.14,0.133,Alluri Sitharama Raju,AP
2022-03-09,0.0,31.0,16.5,5.56,0.13,Alluri Sitharama Raju,AP
2022-03-10,0.0,31.3,16.8,5.34,0.129,Alluri Sitharama Raju,AP
2022-03-11,0.0,31.6,16.9,5.68,0.13,Alluri Sitharama Raju,AP
2022-03-12,0.0,30.8,17.3,5.09,0.128,Alluri Sitharama Raju,AP
2022-03-13,0.0,31.9,19.0,5.65,0.126,Alluri Sitharama Raju,AP
2022-03-14,0.0,32.0,18.8,5.89,0.125,Alluri Sitharama Raju,AP
2022-03-15,0.0,32.5,16.6,6.38,0.124,Alluri Sitharama Raju,AP
2022-03-16,0.0,32.8,18.8,6.62,0.124,Alluri Sitharama Raju,AP
2022-03-17,0.0,33.7,18.3,6.41,0.123,Alluri Sitharama Raju,AP
2022-03-18,0.0,31.3,20.7,5.94,0.123,Alluri Sitharama Raju,AP
2022-03-19,0.0,31.0,19.3,4.99,0.122,Alluri Sitharama Raju,AP
2022-03-20,0.1,30.5,19.5,4.22,0.122,Alluri Sitharama Raju,AP
2022-03-21,0.4,31.1,19.8,4.6,0.123,Alluri Sitharama Raju,AP
2022-03-22,0.0,32.5,20.6,5.07,0.124,Alluri Sitharama Raju,AP
2022-03-23,0.0,33.3,20.2,4.73,0.125,Alluri Sitharama Raju,AP
2022-03-24,0.0,31.7,19.3,4.86,0.126,Alluri Sitharama Raju,AP
2022-03-25,0.0,32.5,19.0,4.91,0.127,Alluri Sitharama Raju,AP
2022-03-26,0.2,33.4,20.4,5.27,0.124,Alluri Sitharama Raju,AP
2022-03-27,0.0,34.0,21.2,5.49,0.128,Alluri Sitharama Raju,AP
2022-03-28,0.0,34.6,21.6,6.33,0.135,Alluri Sitharama Raju,AP
2022-03-29,0.0,34.9,19.9,6.06,0.131,Alluri Sitharama Raju,AP
2022-03-30,0.0,34.6,21.7,6.28,0.128,Alluri Sitharama Raju,AP
2022-03-31,0.5,33.6,20.1,5.65,0.13,Alluri Sitharama Raju,AP
2022-04-01,0.2,33.6,20.2,5.91,0.132,Alluri Sitharama Raju,AP
2022-04-02,0.0,33.3,22.0,5.68,0.134,Alluri Sitharama Raju,AP
2022-04-03,0.0,33.2,20.6,5.54,0.14,Alluri Sitharama Raju,AP
2022-04-04,0.5,32.2,21.7,5.2,0.139,Alluri Sitharama Raju,AP
2022-04-05,0.1,32.2,19.6,5.19,0.139,Alluri Sitharama Raju,AP
2022-04-06,0.5,31.9,21.1,5.38,0.138,Alluri Sitharama Raju,AP
2022-04-07,0.0,32.7,19.8,5.72,0.139,Alluri Sitharama Raju,AP
2022-04-08,0.0,32.8,20.1,6.16,0.138,Alluri Sitharama Raju,AP
2022-04-09,0.0,32.4,20.1,5.48,0.138,Alluri Sitharama Raju,AP
2022-04-10,0.3,32.3,20.9,5.21,0.139,Alluri Sitharama Raju,AP
2022-04-11,0.0,33.0,21.4,5.32,0.136,Alluri Sitharama Raju,AP
2022-04-12,0.0,33.8,20.9,5.72,0.134,Alluri Sitharama Raju,AP
2022-04-13,0.0,33.6,21.1,5.68,0.132,Alluri Sitharama Raju,AP
2022-04-14,0.0,34.7,22.0,5.84,0.132,Alluri Sitharama Raju,AP
2022-04-15,0.7,34.6,23.0,5.45,0.131,Alluri Sitharama Raju,AP
2022-04-16,8.6,32.4,21.8,4.69,0.143,Alluri Sitharama Raju,AP
2022-04-17,1.3,32.1,21.8,4.97,0.15,Alluri Sitharama Raju,AP
2022-04-18,0.0,34.3,22.3,6.22,0.142,Alluri Sitharama Raju,AP
2022-04-19,0.0,34.9,21.2,6.1,0.139,Alluri Sitharama Raju,AP
2022-04-20,0.0,34.6,21.8,5.73,0.138,Alluri Sitharama Raju,AP
2022-04-21,0.4,33.5,21.6,5.01,0.138,Alluri Sitharama Raju,AP
2022-04-22,0.2,32.4,19.8,5.2,0.144,Alluri Sitharama Raju,AP
2022-04-23,0.6,32.4,20.9,5.14,0.147,Alluri Sitharama Raju,AP
2022-04-24,0.0,33.7,22.4,5.69,0.144,Alluri Sitharama Raju,AP
2022-04-25,0.1,34.6,23.5,5.51,0.14,Alluri Sitharama Raju,AP
2022-04-26,0.0,34.4,22.2,5.5,0.139,Alluri Sitharama Raju,AP
2022-04-27,5.4,34.7,22.3,5.38,0.148,Alluri Sitharama Raju,AP
2022-04-28,0.4,34.6,22.0,5.42,0.146,Alluri Sitharama Raju,AP
2022-04-29,0.3,35.9,21.4,5.98,0.148,Alluri Sitharama Raju,AP
2022-04-30,0.0,35.8,23.4,6.32,0.142,Alluri Sitharama Raju,AP
2022-05-01,0.8,35.8,23.0,5.7,0.137,Alluri Sitharama Raju,AP
2022-05-02,0.3,33.3,22.1,5.6,0.132,Alluri Sitharama Raju,AP
2022-05-03,0.3,35.1,22.0,5.56,0.132,Alluri Sitharama Raju,AP
2022-05-04,3.9,34.2,21.9,5.28,0.14,Alluri Sitharama Raju,AP
2022-05-05,0.8,33.1,22.5,5.29,0.166,Alluri Sitharama Raju,AP
2022-05-06,1.5,32.0,21.1,4.93,0.211,Alluri Sitharama Raju,AP
2022-05-07,0.5,33.3,22.4,5.51,0.196,Alluri Sitharama Raju,AP
2022-05-08,0.0,32.1,20.4,5.51,0.179,Alluri Sitharama Raju,AP
2022-05-09,1.0,30.2,19.9,5.32,0.167,Alluri Sitharama Raju,AP
2022-05-10,23.9,22.4,20.6,1.35,0.271,Alluri Sitharama Raju,AP
2022-05-11,14.1,23.6,21.0,2.01,0.37,Alluri Sitharama Raju,AP
2022-05-12,4.3,27.4,21.0,3.8,0.344,Alluri Sitharama Raju,AP
2022-05-13,0.0,30.7,20.3,5.31,0.304,Alluri Sitharama Raju,AP
2022-05-14,1.2,31.6,20.4,5.31,0.272,Alluri Sitharama Raju,AP
2022-05-15,0.0,31.0,22.2,5.18,0.246,Alluri Sitharama Raju,AP
2022-05-16,0.7,31.2,21.0,5.14,0.23,Alluri Sitharama Raju,AP
2022-05-17,1.5,31.0,21.6,5.09,0.223,Alluri Sitharama Raju,AP
2022-05-18,0.7,31.1,21.7,5.09,0.23,Alluri Sitharama Raju,AP
2022-05-19,6.7,29.3,21.4,4.01,0.246,Alluri Sitharama Raju,AP
2022-05-20,1.8,31.6,21.1,4.92,0.256,Alluri Sitharama Raju,AP
2022-05-21,0.2,31.8,21.6,5.57,0.244,Alluri Sitharama Raju,AP
2022-05-22,1.3,32.7,23.7,6.18,0.239,Alluri Sitharama Raju,AP
2022-05-23,0.0,32.1,22.9,6.32,0.214,Alluri Sitharama Raju,AP
2022-05-24,0.0,33.3,22.0,5.77,0.195,Alluri Sitharama Raju,AP
2022-05-25,0.0,31.8,22.4,6.2,0.182,Alluri Sitharama Raju,AP
2022-05-26,0.6,31.9,22.0,5.7,0.174,Alluri Sitharama Raju,AP
2022-05-27,1.0,30.7,21.3,5.68,0.176,Alluri Sitharama Raju,AP
2022-05-28,0.0,32.8,22.4,6.76,0.169,Alluri Sitharama Raju,AP
2022-05-29,0.0,33.0,22.0,6.75,0.158,Alluri Sitharama Raju,AP
2022-05-30,5.8,32.0,23.2,4.82,0.173,Alluri Sitharama Raju,AP
2022-05-31,4.7,33.4,24.2,5.06,0.167,Alluri Sitharama Raju,AP
2022-06-01,0.6,32.4,23.9,5.46,0.161,Alluri Sitharama Raju,AP
2022-06-02,0.0,35.0,23.1,6.3,0.153,Alluri Sitharama Raju,AP
2022-06-03,0.0,33.8,22.9,5.72,0.147,Alluri Sitharama Raju,AP
2022-06-04,0.9,34.1,25.2,6.11,0.147,Alluri Sitharama Raju,AP
2022-06-05,1.7,34.6,25.1,5.75,0.148,Alluri Sitharama Raju,AP
2022-06-06,0.9,33.8,24.6,5.5,0.157,Alluri Sitharama Raju,AP
2022-06-07,0.1,33.8,23.7,5.79,0.184,Alluri Sitharama Raju,AP
2022-06-08,0.3,34.9,24.9,6.08,0.175,Alluri Sitharama Raju,AP
2022-06-09,0.4,34.2,25.9,6.78,0.167,Alluri Sitharama Raju,AP
2022-06-10,2.1,31.5,25.1,5.36,0.162,Alluri Sitharama Raju,AP
2022-06-11,1.0,31.3,24.2,5.31,0.152,Alluri Sitharama Raju,AP
2022-06-12,6.2,31.2,23.6,4.48,0.169,Alluri Sitharama Raju,AP
2022-06-13,2.7,31.5,23.3,4.99,0.18,Alluri Sitharama Raju,AP
2022-06-14,0.7,32.0,22.5,5.07,0.168,Alluri Sitharama Raju,AP
2022-06-15,5.8,31.5,22.0,4.58,0.186,Alluri Sitharama Raju,AP
2022-06-16,6.7,30.5,21.9,4.37,0.23,Alluri Sitharama Raju,AP
2022-06-17,5.8,29.3,21.2,4.19,0.268,Alluri Sitharama Raju,AP
2022-06-18,1.5,29.1,21.0,4.64,0.256,Alluri Sitharama Raju,AP
2022-06-19,3.4,30.3,21.1,4.66,0.252,Alluri Sitharama Raju,AP
2022-06-20,8.4,28.8,21.4,3.86,0.27,Alluri Sitharama Raju,AP
2022-06-21,4.0,26.5,21.0,3.03,0.285,Alluri Sitharama Raju,AP
2022-06-22,4.7,27.7,21.0,3.21,0.3,Alluri Sitharama Raju,AP
2022-06-23,6.3,27.8,20.9,3.53,0.296,Alluri Sitharama Raju,AP
2022-06-24,3.8,27.5,21.1,3.21,0.281,Alluri Sitharama Raju,AP
2022-06-25,6.8,26.0,21.2,2.57,0.32,Alluri Sitharama Raju,AP
2022-06-26,8.7,27.2,20.8,3.15,0.327,Alluri Sitharama Raju,AP
2022-06-27,16.7,26.1,20.7,3.18,0.352,Alluri Sitharama Raju,AP
2022-06-28,6.7,26.1,20.6,2.98,0.355,Alluri Sitharama Raju,AP
2022-06-29,4.1,28.1,20.8,3.8,0.359,Alluri Sitharama Raju,AP
2022-06-30,6.9,26.9,21.1,3.36,0.362,Alluri Sitharama Raju,AP
2022-07-01,1.3,27.9,21.6,3.23,0.349,Alluri Sitharama Raju,AP
2022-07-02,1.5,28.3,21.6,3.91,0.352,Alluri Sitharama Raju,AP
2022-07-03,6.6,25.3,21.4,2.44,0.365,Alluri Sitharama Raju,AP
2022-07-04,3.4,25.4,20.7,2.31,0.374,Alluri Sitharama Raju,AP
2022-07-05,6.4,25.7,20.6,2.44,0.372,Alluri Sitharama Raju,AP
2022-07-06,10.0,26.7,20.3,3.28,0.396,Alluri Sitharama Raju,AP
2022-07-07,17.8,24.5,21.0,1.53,0.414,Alluri Sitharama Raju,AP
2022-07-08,27.9,25.8,21.0,2.07,0.414,Alluri Sitharama Raju,AP
2022-07-09,23.7,25.7,20.4,1.99,0.422,Alluri Sitharama Raju,AP
2022-07-10,7.0,25.8,20.4,2.34,0.406,Alluri Sitharama Raju,AP
2022-07-11,14.0,23.9,20.4,1.57,0.408,Alluri Sitharama Raju,AP
2022-07-12,12.8,23.4,19.9,1.61,0.418,Alluri Sitharama Raju,AP
2022-07-13,4.1,24.0,20.0,2.29,0.402,Alluri Sitharama Raju,AP
2022-07-14,5.7,23.4,19.4,1.96,0.397,Alluri Sitharama Raju,AP
2022-07-15,9.8,22.6,20.2,1.43,0.41,Alluri Sitharama Raju,AP
2022-07-16,4.2,24.6,20.7,1.97,0.408,Alluri Sitharama Raju,AP
2022-07-17,33.3,22.6,20.5,0.86,0.421,Alluri Sitharama Raju,AP
2022-07-18,3.2,25.6,20.4,2.63,0.412,Alluri Sitharama Raju,AP
2022-07-19,0.0,27.4,20.4,4.53,0.389,Alluri Sitharama Raju,AP
2022-07-20,2.2,26.9,21.1,3.59,0.378,Alluri Sitharama Raju,AP
2022-07-21,0.6,25.7,21.3,2.85,0.371,Alluri Sitharama Raju,AP
2022-07-22,11.1,24.2,21.3,1.86,0.392,Alluri Sitharama Raju,AP
2022-07-23,32.2,23.7,20.7,1.43,0.418,Alluri Sitharama Raju,AP
2022-07-24,7.1,25.5,20.3,2.49,0.412,Alluri Sitharama Raju,AP
2022-07-25,16.8,26.3,20.2,3.03,0.412,Alluri Sitharama Raju,AP
2022-07-26,14.1,25.9,20.0,2.94,0.418,Alluri Sitharama Raju,AP
2022-07-27,1.3,27.9,19.5,4.26,0.403,Alluri Sitharama Raju,AP
2022-07-28,4.1,27.7,18.7,4.66,0.399,Alluri Sitharama Raju,AP
2022-07-29,15.1,27.7,19.7,4.0,0.41,Alluri Sitharama Raju,AP
2022-07-30,2.4,27.4,19.1,3.99,0.407,Alluri Sitharama Raju,AP
2022-07-31,2.2,27.7,20.7,4.06,0.395,Alluri Sitharama Raju,AP
2022-08-01,12.0,28.0,20.7,3.78,0.401,Alluri Sitharama Raju,AP
2022-08-02,16.2,27.9,20.3,3.39,0.403,Alluri Sitharama Raju,AP
