date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,27.9,19.9,3.7,0.066,Anakapalli,AP
2016-01-02,0.0,27.6,19.9,3.6,0.065,Anakapalli,AP
2016-01-03,0.0,28.1,19.4,3.55,0.063,Anakapalli,AP
2016-01-04,0.0,28.0,19.0,3.3,0.062,Anakapalli,AP
2016-01-05,0.0,27.3,19.2,3.23,0.061,Anakapalli,AP
2016-01-06,0.0,28.0,18.7,3.63,0.061,Anakapalli,AP
2016-01-07,0.0,27.7,17.8,3.78,0.06,Anakapalli,AP
2016-01-08,0.0,27.5,17.7,3.62,0.059,Anakapalli,AP
2016-01-09,0.0,29.2,18.7,3.92,0.059,Anakapalli,AP
2016-01-10,0.0,28.8,19.3,3.71,0.058,Anakapalli,AP
2016-01-11,0.0,28.0,19.0,3.55,0.058,Anakapalli,AP
2016-01-12,0.0,27.6,17.5,3.56,0.057,Anakapalli,AP
2016-01-13,0.2,27.4,18.9,3.5,0.058,Anakapalli,AP
2016-01-14,0.0,27.6,18.3,3.77,0.06,Anakapalli,AP
2016-01-15,0.0,27.7,16.7,4.01,0.059,Anakapalli,AP
2016-01-16,0.0,27.9,16.5,4.13,0.058,Anakapalli,AP
2016-01-17,0.0,27.8,18.1,4.08,0.058,Anakapalli,AP
2016-01-18,0.0,27.6,18.8,3.99,0.057,Anakapalli,AP
2016-01-19,0.0,27.6,18.2,3.27,0.058,Anakapalli,AP
2016-01-20,0.8,26.2,22.2,1.49,0.061,Anakapalli,AP
2016-01-21,0.1,26.7,22.3,2.89,0.065,Anakapalli,AP
2016-01-22,0.0,26.6,21.4,4.32,0.065,Anakapalli,AP
2016-01-23,0.0,26.5,20.5,4.49,0.063,Anakapalli,AP
2016-01-24,0.0,26.7,19.5,4.23,0.062,Anakapalli,AP
2016-01-25,0.0,26.7,17.7,3.6,0.06,Anakapalli,AP
2016-01-26,0.0,27.3,18.0,3.46,0.06,Anakapalli,AP
2016-01-27,0.0,27.4,18.3,3.61,0.06,Anakapalli,AP
2016-01-28,0.0,29.2,19.9,4.16,0.059,Anakapalli,AP
2016-01-29,0.0,29.6,20.6,3.99,0.058,Anakapalli,AP
2016-01-30,0.0,29.2,20.9,3.84,0.058,Anakapalli,AP
2016-01-31,0.0,31.1,20.1,4.48,0.057,Anakapalli,AP
2016-02-01,0.0,31.6,21.1,4.34,0.057,Anakapalli,AP
2016-02-02,0.0,30.5,21.0,4.26,0.057,Anakapalli,AP
2016-02-03,0.0,29.7,21.2,4.24,0.056,Anakapalli,AP
2016-02-04,0.0,29.7,21.7,3.84,0.056,Anakapalli,AP
2016-02-05,0.8,28.7,21.3,3.5,0.061,Anakapalli,AP
2016-02-06,0.3,27.8,22.9,3.37,0.067,Anakapalli,AP
2016-02-07,0.0,28.6,22.4,3.69,0.07,Anakapalli,AP
2016-02-08,0.0,29.3,22.9,3.54,0.068,Anakapalli,AP
2016-02-09,0.0,29.1,22.2,3.8,0.066,Anakapalli,AP
2016-02-10,0.0,29.5,22.5,4.16,0.064,Anakapalli,AP
2016-02-11,0.0,30.1,22.0,4.68,0.063,Anakapalli,AP
2016-02-12,0.0,30.2,22.9,4.54,0.061,Anakapalli,AP
2016-02-13,0.0,30.1,21.2,4.52,0.06,Anakapalli,AP
2016-02-14,0.0,30.1,21.1,4.61,0.059,Anakapalli,AP
2016-02-15,0.0,30.3,21.7,4.66,0.058,Anakapalli,AP
2016-02-16,0.0,31.0,21.3,4.76,0.058,Anakapalli,AP
2016-02-17,0.0,31.3,18.3,5.1,0.057,Anakapalli,AP
2016-02-18,0.0,32.3,20.4,5.01,0.056,Anakapalli,AP
2016-02-19,0.0,33.1,20.9,5.25,0.056,Anakapalli,AP
2016-02-20,0.0,33.2,19.4,5.58,0.056,Anakapalli,AP
2016-02-21,0.0,32.9,23.0,5.61,0.055,Anakapalli,AP
2016-02-22,0.0,32.3,23.7,5.36,0.055,Anakapalli,AP
2016-02-23,0.0,31.6,23.9,5.4,0.055,Anakapalli,AP
2016-02-24,0.0,30.4,23.9,5.39,0.055,Anakapalli,AP
2016-02-25,0.0,30.2,23.6,4.75,0.056,Anakapalli,AP
