date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,28.1,16.4,4.19,0.123,Anantapur,AP
2025-12-30,0.0,28.7,17.2,3.89,0.124,Anantapur,AP
2025-12-31,0.0,29.4,16.8,3.79,0.128,Anantapur,AP
2026-01-01,0.3,29.3,19.8,4.01,0.134,Anantapur,AP
2026-01-02,0.0,29.2,19.5,4.02,0.145,Anantapur,AP
2026-01-03,0.0,29.3,19.8,4.53,0.143,Anantapur,AP
2026-01-04,0.0,28.5,18.6,4.69,0.152,Anantapur,AP
2026-01-05,0.0,27.8,16.2,4.51,0.165,Anantapur,AP
2026-01-06,0.0,27.6,17.3,4.12,0.176,Anantapur,AP
2026-01-07,0.1,27.3,17.0,3.92,0.184,Anantapur,AP
2026-01-08,0.0,26.7,15.5,4.39,0.173,Anantapur,AP
2026-01-09,0.0,26.7,16.1,4.41,0.169,Anantapur,AP
2026-01-10,0.0,26.0,17.0,3.06,0.165,Anantapur,AP
2026-01-11,0.6,26.7,17.1,3.77,0.198,Anantapur,AP
2026-01-12,0.0,27.2,19.6,3.88,0.203,Anantapur,AP
2026-01-13,0.0,28.5,19.2,3.5,0.197,Anantapur,AP
2026-01-14,0.0,30.2,19.3,4.3,0.178,Anantapur,AP
2026-01-15,0.0,30.5,19.1,4.37,0.165,Anantapur,AP
2026-01-16,0.0,29.9,19.5,4.54,0.164,Anantapur,AP
2026-01-17,0.0,28.9,17.1,4.29,0.16,Anantapur,AP
2026-01-18,0.0,29.7,16.2,4.55,0.155,Anantapur,AP
2026-01-19,0.0,29.4,15.1,4.75,0.147,Anantapur,AP
2026-01-20,0.0,29.7,16.4,4.88,0.136,Anantapur,AP
2026-01-21,0.0,28.7,16.2,5.15,0.132,Anantapur,AP
2026-01-22,0.0,28.1,15.6,4.94,0.129,Anantapur,AP
2026-01-23,0.0,28.3,16.8,4.78,0.131,Anantapur,AP
2026-01-24,0.0,27.5,17.4,3.32,0.129,Anantapur,AP
2026-01-25,0.0,30.0,18.8,4.64,0.125,Anantapur,AP
2026-01-26,0.1,28.2,21.9,3.81,0.126,Anantapur,AP
2026-01-27,0.1,30.8,21.6,5.0,0.125,Anantapur,AP
2026-01-28,0.0,30.7,18.7,4.97,0.118,Anantapur,AP
2026-01-29,0.0,30.2,18.7,5.27,0.109,Anantapur,AP
2026-01-30,0.0,30.1,18.7,5.47,0.112,Anantapur,AP
2026-01-31,0.0,29.5,18.0,5.73,0.11,Anantapur,AP
2026-02-01,0.0,29.4,17.4,4.96,0.112,Anantapur,AP
2026-02-02,0.0,29.4,19.0,5.14,0.118,Anantapur,AP
2026-02-03,0.0,29.7,19.2,5.61,0.118,Anantapur,AP
2026-02-04,0.0,29.6,18.1,5.3,0.116,Anantapur,AP
2026-02-05,0.0,29.7,17.7,5.32,0.112,Anantapur,AP
2026-02-06,0.0,30.0,17.7,5.73,0.113,Anantapur,AP
2026-02-07,0.0,30.5,17.1,5.09,0.111,Anantapur,AP
2026-02-08,0.0,30.8,17.1,4.92,0.11,Anantapur,AP
2026-02-09,0.0,30.9,17.5,5.05,0.109,Anantapur,AP
2026-02-10,0.0,31.1,17.5,5.67,0.109,Anantapur,AP
2026-02-11,0.0,29.6,17.5,6.03,0.111,Anantapur,AP
2026-02-12,0.0,29.3,15.6,5.67,0.113,Anantapur,AP
2026-02-13,0.0,31.8,17.2,6.6,0.097,Anantapur,AP
2026-02-14,0.0,31.8,17.8,5.98,0.106,Anantapur,AP
2026-02-15,0.0,31.8,18.3,5.25,0.106,Anantapur,AP
2026-02-16,0.0,32.3,18.9,6.45,0.106,Anantapur,AP
2026-02-17,0.0,31.4,18.5,6.32,0.105,Anantapur,AP
2026-02-18,0.0,31.4,18.8,6.07,0.105,Anantapur,AP
2026-02-19,0.0,32.3,19.2,6.18,0.105,Anantapur,AP
2026-02-20,0.0,32.4,19.7,6.06,0.105,Anantapur,AP
2026-02-21,0.0,32.9,21.7,6.24,0.098,Anantapur,AP
2026-02-22,0.0,33.8,21.6,6.07,0.09,Anantapur,AP
2026-02-23,0.0,33.6,21.9,5.54,0.092,Anantapur,AP
2026-02-24,0.0,31.6,22.4,5.82,0.101,Anantapur,AP
2026-02-25,0.0,32.6,22.1,4.93,0.104,Anantapur,AP
2026-02-26,0.0,34.4,21.4,5.96,0.106,Anantapur,AP
2026-02-27,0.0,34.7,23.2,5.63,0.103,Anantapur,AP
2026-02-28,0.0,35.6,22.5,6.64,0.103,Anantapur,AP
2026-03-01,0.0,35.1,23.7,6.14,0.103,Anantapur,AP
2026-03-02,0.0,36.3,23.6,6.9,0.103,Anantapur,AP
2026-03-03,0.0,36.0,23.1,7.31,0.103,Anantapur,AP
2026-03-04,0.0,35.5,22.9,6.35,0.103,Anantapur,AP
2026-03-05,0.0,35.6,22.1,6.28,0.103,Anantapur,AP
2026-03-06,0.0,36.6,21.6,5.99,0.103,Anantapur,AP
2026-03-07,0.0,36.9,22.4,6.99,0.103,Anantapur,AP
2026-03-08,0.0,36.5,23.2,6.46,0.103,Anantapur,AP
2026-03-09,0.0,35.1,23.1,6.92,0.103,Anantapur,AP
2026-03-10,0.0,34.2,23.0,7.43,0.088,Anantapur,AP
2026-03-11,0.0,35.2,21.2,6.91,0.091,Anantapur,AP
2026-03-12,0.0,36.5,22.5,7.06,0.092,Anantapur,AP
2026-03-13,0.0,37.5,23.2,7.27,0.097,Anantapur,AP
2026-03-14,0.0,37.3,23.6,7.27,0.098,Anantapur,AP
2026-03-15,0.0,36.6,23.9,7.51,0.098,Anantapur,AP
2026-03-16,0.0,36.2,23.4,6.79,0.103,Anantapur,AP
2026-03-17,0.0,36.0,23.4,6.55,0.104,Anantapur,AP
2026-03-18,0.2,34.4,22.4,5.75,0.1,Anantapur,AP
2026-03-19,0.0,33.7,20.9,5.77,0.127,Anantapur,AP
2026-03-20,0.0,34.1,21.9,5.5,0.126,Anantapur,AP
2026-03-21,0.0,35.8,22.7,5.96,0.117,Anantapur,AP
2026-03-22,0.0,35.7,23.9,6.29,0.1,Anantapur,AP
2026-03-23,0.0,36.3,25.4,7.34,0.087,Anantapur,AP
2026-03-24,0.0,36.6,25.1,6.81,0.083,Anantapur,AP
2026-03-25,0.0,36.8,25.6,6.97,0.087,Anantapur,AP
2026-03-26,0.0,38.0,24.8,7.72,0.1,Anantapur,AP
2026-03-27,0.0,38.6,24.8,6.99,0.099,Anantapur,AP
2026-03-28,0.0,37.4,25.4,6.33,0.098,Anantapur,AP
2026-03-29,0.0,37.6,26.4,6.6,0.1,Anantapur,AP
2026-03-30,0.0,38.6,26.8,7.52,0.102,Anantapur,AP
2026-03-31,0.1,37.0,26.9,6.89,0.098,Anantapur,AP
2026-04-01,0.0,37.2,25.5,7.15,0.106,Anantapur,AP
2026-04-02,0.0,36.7,24.4,7.29,0.102,Anantapur,AP
2026-04-03,0.0,37.6,24.5,6.62,0.1,Anantapur,AP
2026-04-04,0.0,36.9,26.9,6.14,0.097,Anantapur,AP
2026-04-05,0.0,37.9,27.4,7.74,0.101,Anantapur,AP
2026-04-06,0.0,37.9,26.4,8.34,0.1,Anantapur,AP
2026-04-07,0.0,38.0,24.3,8.01,0.1,Anantapur,AP
2026-04-08,0.0,38.4,24.9,7.27,0.099,Anantapur,AP
2026-04-09,0.0,39.9,26.3,7.65,0.099,Anantapur,AP
2026-04-10,0.0,39.0,26.8,7.27,0.098,Anantapur,AP
2026-04-11,0.0,39.4,28.8,7.11,0.093,Anantapur,AP
2026-04-12,0.0,39.8,28.5,8.09,0.097,Anantapur,AP
2026-04-13,0.0,39.1,28.7,6.56,0.096,Anantapur,AP
2026-04-14,0.0,40.3,28.0,7.79,0.096,Anantapur,AP
2026-04-15,0.0,40.6,28.0,7.44,0.095,Anantapur,AP
2026-04-16,0.0,39.6,27.9,7.16,0.095,Anantapur,AP
2026-04-17,0.0,40.8,27.6,7.8,0.094,Anantapur,AP
2026-04-18,0.0,41.0,27.3,8.02,0.094,Anantapur,AP
2026-04-19,0.0,40.5,27.6,7.73,0.093,Anantapur,AP
2026-04-20,0.0,39.2,27.1,7.97,0.092,Anantapur,AP
2026-04-21,0.0,40.1,27.6,7.75,0.092,Anantapur,AP
2026-04-22,0.0,40.2,26.1,7.63,0.091,Anantapur,AP
2026-04-23,0.0,41.4,27.3,7.9,0.091,Anantapur,AP
2026-04-24,0.0,40.4,27.2,7.44,0.09,Anantapur,AP
2026-04-25,0.0,41.1,28.3,7.96,0.089,Anantapur,AP
2026-04-26,0.0,41.1,28.7,7.6,0.089,Anantapur,AP
2026-04-27,0.0,40.0,28.2,6.89,0.088,Anantapur,AP
2026-04-28,0.0,40.2,28.4,7.19,0.088,Anantapur,AP
2026-04-29,0.0,39.1,28.4,7.54,0.09,Anantapur,AP
2026-04-30,0.0,39.7,27.8,7.33,0.091,Anantapur,AP
2026-05-01,0.0,39.6,27.3,8.44,0.096,Anantapur,AP
2026-05-02,0.0,40.8,27.4,7.83,0.093,Anantapur,AP
2026-05-03,0.0,40.4,27.5,7.84,0.093,Anantapur,AP
2026-05-04,0.0,38.9,27.2,7.14,0.092,Anantapur,AP
2026-05-05,0.0,38.2,28.1,6.61,0.092,Anantapur,AP
2026-05-06,0.0,38.4,27.3,7.21,0.093,Anantapur,AP
2026-05-07,0.0,37.8,27.3,7.29,0.078,Anantapur,AP
2026-05-08,0.8,38.2,25.5,8.2,0.069,Anantapur,AP
2026-05-09,0.2,37.5,26.2,7.66,0.059,Anantapur,AP
2026-05-10,0.3,38.3,26.4,7.55,0.06,Anantapur,AP
2026-05-11,0.0,38.1,27.0,7.43,0.057,Anantapur,AP
2026-05-12,0.2,37.3,27.1,7.09,0.057,Anantapur,AP
2026-05-13,0.0,38.3,27.9,6.58,0.05,Anantapur,AP
2026-05-14,0.2,38.6,28.3,7.11,0.054,Anantapur,AP
2026-05-15,1.7,38.2,28.1,6.68,0.043,Anantapur,AP
2026-05-16,2.2,37.5,27.9,4.73,0.045,Anantapur,AP
2026-05-17,0.2,38.3,27.7,7.02,0.04,Anantapur,AP
2026-05-18,0.1,38.8,29.2,7.21,0.039,Anantapur,AP
2026-05-19,0.0,37.4,27.6,7.06,0.039,Anantapur,AP
2026-05-20,0.0,38.8,28.3,8.24,0.034,Anantapur,AP
2026-05-21,0.3,39.6,28.1,7.74,0.02,Anantapur,AP
2026-05-22,0.1,35.2,27.2,5.83,0.117,Anantapur,AP
2026-05-23,6.9,36.6,26.0,6.03,0.09,Anantapur,AP
2026-05-24,0.0,34.7,25.8,6.58,0.126,Anantapur,AP
2026-05-25,0.8,36.9,26.5,6.37,0.153,Anantapur,AP
2026-05-26,0.8,37.9,26.6,7.44,0.117,Anantapur,AP
2026-05-27,0.0,33.1,25.7,5.0,0.168,Anantapur,AP
2026-05-28,0.1,36.5,26.7,6.5,0.234,Anantapur,AP
2026-05-29,1.4,35.9,26.1,6.14,0.238,Anantapur,AP
2026-05-30,3.0,35.4,26.4,6.36,0.226,Anantapur,AP
2026-05-31,0.3,36.7,26.4,6.77,0.259,Anantapur,AP
2026-06-01,13.0,34.3,24.1,4.82,0.224,Anantapur,AP
2026-06-02,0.2,36.8,26.9,6.47,0.242,Anantapur,AP
2026-06-03,6.5,34.0,25.1,4.79,0.299,Anantapur,AP
2026-06-04,0.3,35.2,25.8,7.01,0.297,Anantapur,AP
2026-06-05,1.3,34.1,26.3,6.07,0.229,Anantapur,AP
2026-06-06,26.5,35.0,24.0,5.23,0.256,Anantapur,AP
2026-06-07,3.9,33.8,24.9,5.47,0.327,Anantapur,AP
2026-06-08,2.9,34.1,24.7,5.67,0.327,Anantapur,AP
2026-06-09,2.1,32.7,25.6,5.04,0.307,Anantapur,AP
2026-06-10,7.1,33.7,26.0,6.04,0.287,Anantapur,AP
2026-06-11,0.2,34.7,25.3,6.39,0.264,Anantapur,AP
2026-06-12,0.1,35.5,25.6,6.57,0.223,Anantapur,AP
2026-06-13,14.3,34.2,23.9,4.26,0.262,Anantapur,AP
2026-06-14,10.7,33.9,23.3,5.48,0.308,Anantapur,AP
2026-06-15,0.2,35.2,25.5,6.81,0.257,Anantapur,AP
2026-06-16,0.1,35.2,26.2,6.89,0.271,Anantapur,AP
2026-06-17,0.2,35.1,26.5,6.98,0.275,Anantapur,AP
2026-06-18,0.0,35.4,26.3,6.76,0.248,Anantapur,AP
2026-06-19,0.0,34.6,26.5,5.68,0.245,Anantapur,AP
2026-06-20,0.0,34.2,26.6,5.66,0.229,Anantapur,AP
2026-06-21,1.7,34.7,26.4,5.54,0.212,Anantapur,AP
2026-06-22,2.4,35.1,26.6,6.71,0.215,Anantapur,AP
2026-06-23,0.2,33.7,25.6,6.84,0.24,Anantapur,AP
2026-06-24,1.5,33.7,25.6,5.46,0.215,Anantapur,AP
2026-06-25,1.9,34.3,26.0,7.24,0.205,Anantapur,AP
2026-06-26,2.1,33.9,25.6,7.18,0.207,Anantapur,AP
2026-06-27,2.2,35.1,26.0,6.49,0.152,Anantapur,AP
2026-06-28,6.7,35.8,25.5,5.93,0.291,Anantapur,AP
2026-06-29,5.9,34.5,24.8,6.22,0.233,Anantapur,AP
2026-06-30,0.5,33.8,25.1,6.84,0.226,Anantapur,AP
2026-07-01,0.0,32.3,25.5,5.14,0.202,Anantapur,AP
2026-07-02,1.3,32.6,24.7,5.46,0.171,Anantapur,AP
2026-07-03,0.5,34.0,25.4,6.29,0.16,Anantapur,AP
2026-07-04,0.6,31.4,25.3,5.25,0.142,Anantapur,AP
2026-07-05,0.5,34.2,25.4,7.48,0.122,Anantapur,AP
2026-07-06,0.3,33.9,26.3,7.61,0.116,Anantapur,AP
2026-07-07,0.6,34.4,26.1,7.56,0.12,Anantapur,AP
2026-07-08,1.0,34.9,26.4,7.1,0.119,Anantapur,AP
2026-07-09,0.6,34.9,25.9,6.86,0.118,Anantapur,AP
2026-07-10,1.6,34.9,25.5,6.33,0.125,Anantapur,AP
2026-07-11,0.0,35.9,25.4,7.54,0.127,Anantapur,AP
2026-07-12,0.0,36.1,25.1,8.12,0.114,Anantapur,AP
2026-07-13,0.0,37.1,25.2,8.67,0.107,Anantapur,AP
2026-07-14,0.0,37.4,24.4,7.9,0.101,Anantapur,AP
2026-07-15,0.0,36.2,24.7,8.46,0.1,Anantapur,AP
2026-07-16,1.3,35.0,25.8,6.99,0.1,Anantapur,AP
2026-07-17,7.7,33.1,25.6,4.65,0.166,Anantapur,AP
2026-07-18,5.6,31.7,25.2,4.26,0.243,Anantapur,AP
2026-07-19,1.1,34.3,25.4,6.05,0.27,Anantapur,AP
2026-07-20,4.7,34.6,25.3,5.68,0.228,Anantapur,AP
2026-07-21,2.2,32.8,25.0,5.61,0.232,Anantapur,AP
2026-07-22,1.0,31.2,25.7,4.93,0.196,Anantapur,AP
2026-07-23,1.9,33.5,25.2,6.44,0.185,Anantapur,AP
2026-07-24,0.8,33.1,25.5,6.42,0.193,Anantapur,AP
2026-07-25,5.9,34.4,25.3,6.1,0.187,Anantapur,AP
2026-07-26,3.7,33.9,25.3,6.08,0.22,Anantapur,AP
2026-07-27,3.3,34.5,25.5,6.27,0.191,Anantapur,AP
2026-07-28,2.2,34.7,25.9,6.99,0.145,Anantapur,AP
2026-07-29,3.8,33.4,24.6,6.11,0.122,Anantapur,AP
2026-07-30,3.0,33.8,26.0,6.31,0.11,Anantapur,AP
2026-07-31,0.6,35.7,26.4,7.18,0.094,Anantapur,AP
2026-08-01,1.7,34.1,26.4,6.16,0.07,Anantapur,AP
2026-08-02,10.9,35.9,24.4,7.06,0.08,Anantapur,AP
2026-08-03,11.4,34.7,24.5,5.44,0.177,Anantapur,AP
2026-08-04,20.3,33.3,24.5,5.25,0.31,Anantapur,AP
2026-08-05,7.4,33.3,24.0,5.99,0.318,Anantapur,AP
2026-08-06,3.6,32.3,25.1,5.23,0.263,Anantapur,AP
2026-08-07,3.4,33.4,24.6,6.2,0.245,Anantapur,AP
2026-08-08,2.5,33.1,25.3,5.85,0.281,Anantapur,AP
2026-08-09,1.0,34.2,25.3,6.91,0.275,Anantapur,AP
2026-08-10,1.8,34.9,25.1,6.7,0.206,Anantapur,AP
2026-08-11,0.6,34.4,25.3,7.14,0.197,Anantapur,AP
2026-08-12,6.9,34.0,25.3,6.16,0.186,Anantapur,AP
2026-08-13,2.8,34.1,25.8,5.94,0.192,Anantapur,AP
2026-08-14,2.1,33.9,25.2,6.66,0.166,Anantapur,AP
2026-08-15,0.5,34.3,25.5,7.14,0.174,Anantapur,AP
2026-08-16,0.5,35.0,25.3,6.97,0.148,Anantapur,AP
2026-08-17,0.3,34.3,25.5,7.12,0.124,Anantapur,AP
2026-08-18,2.9,34.3,24.9,6.57,0.117,Anantapur,AP
2026-08-19,4.4,32.9,24.1,4.99,0.128,Anantapur,AP
2026-08-20,1.9,34.7,25.5,7.06,0.14,Anantapur,AP
2026-08-21,1.3,34.6,25.1,6.63,0.125,Anantapur,AP
2026-08-22,2.8,34.7,24.6,7.16,0.115,Anantapur,AP
2026-08-23,4.2,34.3,25.2,6.22,0.142,Anantapur,AP
2026-08-24,13.1,31.3,24.8,4.45,0.195,Anantapur,AP
2026-08-25,1.7,33.3,25.3,6.03,0.192,Anantapur,AP
2026-08-26,1.9,34.5,25.1,7.07,0.146,Anantapur,AP
2026-08-27,0.1,34.8,25.1,7.06,0.109,Anantapur,AP
2026-08-28,1.3,34.8,25.2,7.48,0.079,Anantapur,AP
2026-08-29,0.6,34.9,25.1,7.55,0.072,Anantapur,AP
2026-08-30,3.9,34.4,25.4,7.44,0.1,Anantapur,AP
2026-08-31,0.4,34.0,24.6,7.01,0.119,Anantapur,AP
2026-09-01,1.1,34.2,25.3,6.85,0.104,Anantapur,AP
2026-09-02,5.6,35.5,25.4,6.79,0.084,Anantapur,AP
2026-09-03,0.9,33.4,25.6,5.51,0.056,Anantapur,AP
2026-09-04,1.5,34.5,25.7,6.52,0.014,Anantapur,AP
2026-09-05,0.3,35.3,25.2,7.18,0.012,Anantapur,AP
2026-09-06,0.2,35.8,26.0,7.39,0.013,Anantapur,AP
2026-09-07,0.3,36.2,25.8,7.44,0.013,Anantapur,AP
2026-09-08,3.6,34.4,25.7,6.92,0.085,Anantapur,AP
2026-09-09,0.5,35.7,26.2,7.02,0.106,Anantapur,AP
2026-09-10,0.6,35.4,26.3,6.84,0.108,Anantapur,AP
