date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,1.5,27.5,19.4,3.12,0.184,Annamayya,AP
2020-01-01,3.0,28.6,20.8,3.12,0.189,Annamayya,AP
2020-01-02,2.3,27.7,21.0,2.86,0.195,Annamayya,AP
2020-01-03,0.3,30.4,21.2,3.56,0.198,Annamayya,AP
2020-01-04,0.1,31.5,21.7,3.86,0.188,Annamayya,AP
2020-01-05,9.9,25.1,21.5,1.44,0.229,Annamayya,AP
2020-01-06,2.6,26.9,21.2,2.75,0.265,Annamayya,AP
2020-01-07,1.4,28.1,20.6,3.07,0.27,Annamayya,AP
2020-01-08,0.0,29.8,19.9,4.06,0.255,Annamayya,AP
2020-01-09,0.0,29.5,18.9,4.03,0.237,Annamayya,AP
2020-01-10,0.0,28.8,18.1,4.12,0.22,Annamayya,AP
2020-01-11,0.0,28.6,17.8,4.08,0.208,Annamayya,AP
2020-01-12,0.2,27.2,18.2,3.09,0.197,Annamayya,AP
2020-01-13,0.0,29.5,17.3,4.38,0.191,Annamayya,AP
2020-01-14,0.0,29.7,17.8,4.75,0.179,Annamayya,AP
2020-01-15,0.0,28.6,16.5,4.5,0.171,Annamayya,AP
2020-01-16,0.0,29.3,17.3,4.52,0.168,Annamayya,AP
2020-01-17,0.0,31.3,18.3,4.81,0.16,Annamayya,AP
2020-01-18,1.9,28.6,21.1,3.06,0.164,Annamayya,AP
2020-01-19,0.0,31.0,20.4,4.16,0.168,Annamayya,AP
2020-01-20,0.0,31.7,19.9,5.11,0.162,Annamayya,AP
2020-01-21,0.0,30.2,18.1,5.07,0.155,Annamayya,AP
2020-01-22,0.0,30.2,18.1,4.34,0.152,Annamayya,AP
2020-01-23,0.0,30.9,18.2,4.86,0.149,Annamayya,AP
2020-01-24,0.0,31.4,16.9,5.19,0.144,Annamayya,AP
2020-01-25,0.0,31.3,16.5,5.38,0.142,Annamayya,AP
2020-01-26,0.0,32.3,16.7,5.38,0.138,Annamayya,AP
2020-01-27,0.0,33.8,19.3,5.76,0.131,Annamayya,AP
2020-01-28,0.0,33.4,19.0,5.05,0.129,Annamayya,AP
2020-01-29,0.0,33.5,20.5,4.95,0.133,Annamayya,AP
2020-01-30,0.0,35.0,20.2,5.22,0.133,Annamayya,AP
2020-01-31,0.0,33.9,20.3,5.32,0.133,Annamayya,AP
2020-02-01,0.0,32.1,20.1,4.92,0.134,Annamayya,AP
2020-02-02,0.0,31.9,20.8,5.05,0.135,Annamayya,AP
2020-02-03,0.0,32.1,18.7,5.57,0.133,Annamayya,AP
2020-02-04,0.0,32.1,18.7,5.2,0.134,Annamayya,AP
2020-02-05,0.0,32.0,20.4,5.5,0.136,Annamayya,AP
2020-02-06,0.0,32.9,18.9,5.89,0.135,Annamayya,AP
2020-02-07,0.0,32.2,20.0,5.37,0.137,Annamayya,AP
