date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.4,28.3,18.9,3.55,0.259,Chittoor,AP
2023-12-31,0.2,28.2,18.4,3.55,0.255,Chittoor,AP
2024-01-01,0.0,28.0,17.5,4.04,0.244,Chittoor,AP
2024-01-02,0.0,26.6,18.8,2.68,0.241,Chittoor,AP
2024-01-03,0.1,27.3,19.0,3.1,0.244,Chittoor,AP
2024-01-04,0.2,28.1,20.9,2.8,0.246,Chittoor,AP
2024-01-05,0.1,28.2,20.7,3.21,0.253,Chittoor,AP
2024-01-06,0.8,28.5,20.7,3.12,0.257,Chittoor,AP
2024-01-07,3.2,25.8,19.9,2.33,0.265,Chittoor,AP
2024-01-08,19.5,23.1,21.6,0.91,0.362,Chittoor,AP
2024-01-09,0.4,28.2,21.6,3.0,0.349,Chittoor,AP
2024-01-10,0.6,28.3,20.0,3.76,0.32,Chittoor,AP
2024-01-11,0.0,28.7,19.1,4.03,0.301,Chittoor,AP
2024-01-12,0.0,29.2,17.0,4.15,0.284,Chittoor,AP
2024-01-13,0.0,29.3,17.9,3.71,0.272,Chittoor,AP
2024-01-14,0.0,29.8,19.9,4.37,0.263,Chittoor,AP
2024-01-15,0.0,28.9,17.6,4.33,0.252,Chittoor,AP
2024-01-16,0.0,29.3,16.8,4.3,0.244,Chittoor,AP
2024-01-17,0.0,28.8,17.8,4.28,0.236,Chittoor,AP
2024-01-18,0.0,29.3,17.0,4.09,0.226,Chittoor,AP
2024-01-19,0.0,29.9,17.9,4.21,0.219,Chittoor,AP
2024-01-20,0.0,30.0,18.9,4.42,0.215,Chittoor,AP
2024-01-21,0.0,30.4,19.2,4.42,0.209,Chittoor,AP
2024-01-22,0.0,29.9,18.6,4.47,0.201,Chittoor,AP
2024-01-23,0.0,29.7,18.7,3.65,0.195,Chittoor,AP
2024-01-24,0.0,30.5,18.8,4.52,0.19,Chittoor,AP
2024-01-25,0.0,30.8,19.2,4.57,0.186,Chittoor,AP
2024-01-26,0.0,29.8,19.8,4.21,0.181,Chittoor,AP
2024-01-27,0.1,30.5,18.7,4.24,0.179,Chittoor,AP
2024-01-28,0.9,29.2,17.7,3.85,0.182,Chittoor,AP
