date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.8,27.6,21.7,3.63,0.082,Dr B R Ambedkar Konaseema,AP
2021-12-31,0.0,29.1,21.8,4.06,0.083,Dr B R Ambedkar Konaseema,AP
2022-01-01,0.0,28.8,22.0,3.99,0.08,Dr B R Ambedkar Konaseema,AP
2022-01-02,1.2,28.0,21.2,3.46,0.082,Dr B R Ambedkar Konaseema,AP
2022-01-03,0.0,28.1,19.9,3.63,0.085,Dr B R Ambedkar Konaseema,AP
2022-01-04,0.0,28.4,19.0,3.84,0.083,Dr B R Ambedkar Konaseema,AP
2022-01-05,0.0,28.6,18.6,3.73,0.08,Dr B R Ambedkar Konaseema,AP
2022-01-06,0.0,28.5,19.3,3.84,0.078,Dr B R Ambedkar Konaseema,AP
2022-01-07,0.0,28.6,18.5,3.96,0.074,Dr B R Ambedkar Konaseema,AP
2022-01-08,0.0,29.0,19.8,3.93,0.071,Dr B R Ambedkar Konaseema,AP
2022-01-09,0.0,29.1,20.4,3.78,0.064,Dr B R Ambedkar Konaseema,AP
2022-01-10,0.0,29.6,19.9,3.97,0.062,Dr B R Ambedkar Konaseema,AP
2022-01-11,0.1,30.0,20.9,3.75,0.063,Dr B R Ambedkar Konaseema,AP
2022-01-12,2.4,29.4,21.3,3.4,0.072,Dr B R Ambedkar Konaseema,AP
2022-01-13,11.6,27.5,20.5,2.48,0.118,Dr B R Ambedkar Konaseema,AP
2022-01-14,7.1,26.8,20.5,2.14,0.209,Dr B R Ambedkar Konaseema,AP
2022-01-15,0.3,26.6,20.3,2.67,0.237,Dr B R Ambedkar Konaseema,AP
2022-01-16,0.9,26.8,21.5,3.35,0.207,Dr B R Ambedkar Konaseema,AP
2022-01-17,0.4,27.2,21.1,3.72,0.185,Dr B R Ambedkar Konaseema,AP
2022-01-18,0.6,27.2,19.2,3.17,0.174,Dr B R Ambedkar Konaseema,AP
2022-01-19,1.0,27.3,18.6,3.34,0.169,Dr B R Ambedkar Konaseema,AP
2022-01-20,0.3,28.2,18.5,3.41,0.157,Dr B R Ambedkar Konaseema,AP
2022-01-21,2.7,29.1,19.7,3.38,0.153,Dr B R Ambedkar Konaseema,AP
2022-01-22,0.1,30.2,19.6,3.71,0.149,Dr B R Ambedkar Konaseema,AP
2022-01-23,2.9,28.2,21.4,3.07,0.147,Dr B R Ambedkar Konaseema,AP
2022-01-24,8.3,28.3,21.0,3.1,0.177,Dr B R Ambedkar Konaseema,AP
2022-01-25,1.1,29.0,20.8,3.47,0.167,Dr B R Ambedkar Konaseema,AP
2022-01-26,2.0,28.0,20.6,3.17,0.16,Dr B R Ambedkar Konaseema,AP
2022-01-27,2.0,28.3,20.1,3.49,0.163,Dr B R Ambedkar Konaseema,AP
2022-01-28,0.0,27.9,20.1,3.84,0.152,Dr B R Ambedkar Konaseema,AP
2022-01-29,0.0,27.8,19.2,3.98,0.141,Dr B R Ambedkar Konaseema,AP
2022-01-30,0.0,30.0,18.0,4.08,0.129,Dr B R Ambedkar Konaseema,AP
2022-01-31,0.0,29.8,18.3,3.96,0.119,Dr B R Ambedkar Konaseema,AP
2022-02-01,0.0,29.0,17.7,4.08,0.11,Dr B R Ambedkar Konaseema,AP
2022-02-02,0.0,28.7,17.8,4.04,0.1,Dr B R Ambedkar Konaseema,AP
2022-02-03,0.0,28.5,18.6,4.05,0.093,Dr B R Ambedkar Konaseema,AP
2022-02-04,2.1,28.5,21.9,3.94,0.096,Dr B R Ambedkar Konaseema,AP
2022-02-05,0.0,31.0,19.5,4.16,0.102,Dr B R Ambedkar Konaseema,AP
2022-02-06,0.0,29.5,20.0,4.34,0.097,Dr B R Ambedkar Konaseema,AP
2022-02-07,0.0,29.9,19.8,4.34,0.09,Dr B R Ambedkar Konaseema,AP
2022-02-08,0.0,29.5,19.1,4.19,0.082,Dr B R Ambedkar Konaseema,AP
2022-02-09,0.0,29.1,20.1,4.49,0.076,Dr B R Ambedkar Konaseema,AP
2022-02-10,0.0,29.4,18.6,4.47,0.071,Dr B R Ambedkar Konaseema,AP
2022-02-11,0.0,32.0,18.6,4.61,0.068,Dr B R Ambedkar Konaseema,AP
2022-02-12,0.2,31.0,20.8,4.13,0.07,Dr B R Ambedkar Konaseema,AP
2022-02-13,1.1,28.1,21.2,4.02,0.07,Dr B R Ambedkar Konaseema,AP
2022-02-14,0.0,30.6,19.3,4.73,0.069,Dr B R Ambedkar Konaseema,AP
2022-02-15,0.0,29.4,19.7,4.76,0.067,Dr B R Ambedkar Konaseema,AP
2022-02-16,0.0,30.4,19.4,4.72,0.066,Dr B R Ambedkar Konaseema,AP
2022-02-17,0.0,30.1,19.5,4.64,0.069,Dr B R Ambedkar Konaseema,AP
2022-02-18,0.0,31.3,21.2,4.83,0.068,Dr B R Ambedkar Konaseema,AP
2022-02-19,0.1,31.0,20.3,4.46,0.067,Dr B R Ambedkar Konaseema,AP
2022-02-20,0.0,31.7,20.3,5.08,0.074,Dr B R Ambedkar Konaseema,AP
2022-02-21,1.2,31.8,20.8,4.3,0.081,Dr B R Ambedkar Konaseema,AP
2022-02-22,0.0,32.1,21.5,4.25,0.086,Dr B R Ambedkar Konaseema,AP
2022-02-23,0.1,30.3,22.4,4.47,0.082,Dr B R Ambedkar Konaseema,AP
2022-02-24,0.2,30.3,20.4,4.54,0.081,Dr B R Ambedkar Konaseema,AP
2022-02-25,0.0,31.0,19.6,4.8,0.078,Dr B R Ambedkar Konaseema,AP
2022-02-26,0.0,32.0,18.9,4.95,0.07,Dr B R Ambedkar Konaseema,AP
2022-02-27,0.0,32.5,20.1,5.22,0.067,Dr B R Ambedkar Konaseema,AP
2022-02-28,0.0,33.1,19.2,5.18,0.071,Dr B R Ambedkar Konaseema,AP
2022-03-01,0.0,33.3,20.0,5.03,0.074,Dr B R Ambedkar Konaseema,AP
2022-03-02,0.0,33.5,20.0,5.5,0.07,Dr B R Ambedkar Konaseema,AP
2022-03-03,0.0,33.4,20.5,5.53,0.071,Dr B R Ambedkar Konaseema,AP
