date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2017-12-31,0.0,30.4,20.9,4.66,0.119,East Godavari,AP
2018-01-01,0.7,30.9,21.7,4.09,0.119,East Godavari,AP
2018-01-02,0.0,30.5,20.5,4.27,0.119,East Godavari,AP
2018-01-03,0.0,30.1,20.0,4.13,0.119,East Godavari,AP
2018-01-04,0.0,29.5,18.5,3.72,0.118,East Godavari,AP
2018-01-05,0.0,29.4,18.0,3.89,0.118,East Godavari,AP
2018-01-06,0.0,29.2,18.2,3.75,0.118,East Godavari,AP
2018-01-07,0.0,29.4,18.1,3.81,0.118,East Godavari,AP
2018-01-08,0.0,28.7,18.5,4.39,0.118,East Godavari,AP
2018-01-09,0.0,29.1,19.2,4.52,0.118,East Godavari,AP
2018-01-10,0.0,30.3,19.8,4.15,0.118,East Godavari,AP
2018-01-11,0.0,31.7,19.9,3.83,0.117,East Godavari,AP
2018-01-12,0.0,32.0,20.2,3.84,0.118,East Godavari,AP
2018-01-13,0.0,31.1,21.1,3.6,0.117,East Godavari,AP
2018-01-14,0.0,31.9,21.3,4.03,0.116,East Godavari,AP
2018-01-15,0.0,31.2,20.5,3.96,0.116,East Godavari,AP
2018-01-16,0.0,31.0,20.8,3.91,0.115,East Godavari,AP
2018-01-17,0.0,30.0,20.4,3.97,0.115,East Godavari,AP
2018-01-18,0.0,30.4,18.7,3.97,0.114,East Godavari,AP
2018-01-19,0.0,29.8,19.1,4.01,0.114,East Godavari,AP
2018-01-20,0.0,29.7,18.9,4.03,0.114,East Godavari,AP
2018-01-21,0.0,29.9,18.7,4.24,0.114,East Godavari,AP
2018-01-22,0.0,29.5,18.3,4.13,0.113,East Godavari,AP
2018-01-23,0.0,29.7,18.8,4.1,0.113,East Godavari,AP
2018-01-24,0.0,30.6,18.8,4.01,0.113,East Godavari,AP
2018-01-25,0.0,31.7,20.3,4.17,0.113,East Godavari,AP
2018-01-26,0.0,29.9,19.6,3.86,0.112,East Godavari,AP
2018-01-27,0.0,30.4,19.4,4.01,0.112,East Godavari,AP
2018-01-28,0.0,31.2,20.2,4.21,0.112,East Godavari,AP
2018-01-29,0.0,31.0,20.4,4.17,0.112,East Godavari,AP
2018-01-30,0.0,30.3,19.6,4.2,0.112,East Godavari,AP
2018-01-31,0.0,31.9,19.0,4.42,0.112,East Godavari,AP
2018-02-01,0.0,33.0,19.0,4.54,0.112,East Godavari,AP
2018-02-02,0.0,32.8,19.5,4.82,0.111,East Godavari,AP
2018-02-03,0.0,31.3,17.7,4.94,0.11,East Godavari,AP
2018-02-04,0.0,30.9,17.9,4.69,0.11,East Godavari,AP
2018-02-05,0.0,30.9,17.9,4.53,0.109,East Godavari,AP
2018-02-06,0.0,31.4,18.2,4.52,0.109,East Godavari,AP
2018-02-07,0.0,32.3,18.8,4.34,0.108,East Godavari,AP
2018-02-08,0.0,33.3,22.0,4.25,0.105,East Godavari,AP
2018-02-09,0.0,32.7,21.4,4.48,0.104,East Godavari,AP
