date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,0.3,30.6,20.5,4.35,0.258,Eluru,AP
2020-01-01,1.2,29.5,21.5,3.09,0.263,Eluru,AP
2020-01-02,3.9,29.5,22.8,2.87,0.265,Eluru,AP
2020-01-03,2.6,29.5,22.3,2.65,0.266,Eluru,AP
2020-01-04,3.4,29.9,22.4,2.39,0.325,Eluru,AP
2020-01-05,2.6,28.3,22.1,2.12,0.355,Eluru,AP
2020-01-06,0.2,29.8,22.3,3.28,0.344,Eluru,AP
2020-01-07,0.1,29.7,21.7,3.23,0.331,Eluru,AP
2020-01-08,0.0,29.6,19.9,3.26,0.318,Eluru,AP
2020-01-09,0.0,31.0,19.8,3.52,0.308,Eluru,AP
2020-01-10,0.1,29.1,21.2,2.66,0.299,Eluru,AP
2020-01-11,1.2,29.7,21.7,3.18,0.293,Eluru,AP
2020-01-12,0.0,31.9,21.1,3.99,0.283,Eluru,AP
2020-01-13,0.0,31.9,18.9,4.0,0.275,Eluru,AP
2020-01-14,0.0,32.0,19.7,3.84,0.268,Eluru,AP
2020-01-15,0.0,31.0,17.8,4.22,0.263,Eluru,AP
2020-01-16,0.2,30.4,18.8,3.46,0.261,Eluru,AP
2020-01-17,0.0,31.8,20.0,3.99,0.258,Eluru,AP
2020-01-18,0.0,32.7,20.7,4.03,0.254,Eluru,AP
2020-01-19,0.2,32.3,21.7,3.54,0.255,Eluru,AP
2020-01-20,0.1,32.7,21.3,3.63,0.254,Eluru,AP
2020-01-21,0.0,33.4,21.9,4.35,0.254,Eluru,AP
2020-01-22,0.0,33.5,21.5,4.34,0.252,Eluru,AP
2020-01-23,0.0,33.1,21.5,4.07,0.249,Eluru,AP
2020-01-24,0.0,34.1,20.2,4.21,0.248,Eluru,AP
2020-01-25,0.0,33.8,21.2,4.26,0.245,Eluru,AP
2020-01-26,0.0,34.2,21.0,4.07,0.243,Eluru,AP
2020-01-27,0.0,34.0,21.3,4.38,0.244,Eluru,AP
2020-01-28,0.0,33.5,22.4,4.79,0.242,Eluru,AP
2020-01-29,0.1,33.7,22.8,4.22,0.247,Eluru,AP
2020-01-30,0.5,32.7,21.9,3.49,0.25,Eluru,AP
2020-01-31,0.0,32.7,22.3,4.06,0.251,Eluru,AP
2020-02-01,0.5,31.3,23.0,3.76,0.254,Eluru,AP
2020-02-02,0.4,31.7,22.6,4.34,0.254,Eluru,AP
2020-02-03,0.1,32.5,22.1,4.31,0.249,Eluru,AP
2020-02-04,2.5,31.0,22.7,3.78,0.262,Eluru,AP
2020-02-05,0.0,33.3,21.7,4.54,0.268,Eluru,AP
2020-02-06,0.0,32.8,20.0,4.75,0.261,Eluru,AP
