date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.2,30.2,20.4,3.94,0.274,Guntur,AP
2021-12-31,0.0,30.9,20.9,4.21,0.274,Guntur,AP
2022-01-01,0.0,30.6,20.5,4.01,0.271,Guntur,AP
2022-01-02,0.0,30.0,20.6,3.7,0.273,Guntur,AP
2022-01-03,0.0,29.7,19.7,3.78,0.269,Guntur,AP
2022-01-04,0.0,29.4,18.9,3.77,0.268,Guntur,AP
2022-01-05,0.0,29.0,18.6,3.72,0.266,Guntur,AP
2022-01-06,0.0,30.0,18.4,3.89,0.263,Guntur,AP
2022-01-07,0.0,30.1,19.7,3.92,0.262,Guntur,AP
2022-01-08,0.0,29.9,19.6,3.56,0.266,Guntur,AP
2022-01-09,0.0,30.1,19.6,3.67,0.268,Guntur,AP
2022-01-10,0.4,30.6,20.2,3.85,0.272,Guntur,AP
2022-01-11,0.1,30.3,20.5,3.85,0.27,Guntur,AP
2022-01-12,10.9,29.0,20.0,2.68,0.284,Guntur,AP
2022-01-13,14.2,26.5,19.6,1.96,0.403,Guntur,AP
2022-01-14,18.8,25.8,19.9,2.16,0.458,Guntur,AP
2022-01-15,2.2,27.6,19.4,2.69,0.426,Guntur,AP
2022-01-16,0.6,28.8,20.4,3.46,0.402,Guntur,AP
2022-01-17,0.4,28.4,20.4,3.43,0.379,Guntur,AP
2022-01-18,0.3,28.2,19.2,3.45,0.363,Guntur,AP
2022-01-19,0.0,29.1,17.9,3.8,0.342,Guntur,AP
2022-01-20,0.0,30.1,17.1,3.91,0.324,Guntur,AP
2022-01-21,0.0,32.4,20.0,3.94,0.312,Guntur,AP
2022-01-22,0.0,31.0,20.0,3.58,0.304,Guntur,AP
2022-01-23,0.0,31.6,22.2,4.01,0.297,Guntur,AP
2022-01-24,2.8,31.9,21.5,4.08,0.302,Guntur,AP
2022-01-25,0.0,31.0,18.5,4.48,0.29,Guntur,AP
2022-01-26,1.1,28.5,18.7,3.32,0.29,Guntur,AP
2022-01-27,0.2,30.6,20.6,4.27,0.298,Guntur,AP
2022-01-28,0.0,30.0,18.6,4.8,0.285,Guntur,AP
2022-01-29,0.0,30.1,17.9,4.36,0.279,Guntur,AP
2022-01-30,0.0,31.6,18.3,4.0,0.276,Guntur,AP
2022-01-31,0.0,32.3,17.7,4.07,0.274,Guntur,AP
2022-02-01,0.0,32.2,19.2,4.15,0.271,Guntur,AP
2022-02-02,0.0,32.6,19.3,4.6,0.268,Guntur,AP
2022-02-03,0.0,31.0,19.7,4.61,0.265,Guntur,AP
2022-02-04,0.0,33.9,20.7,4.51,0.266,Guntur,AP
2022-02-05,0.0,32.1,18.4,4.56,0.265,Guntur,AP
2022-02-06,0.0,32.0,19.1,4.53,0.264,Guntur,AP
2022-02-07,0.0,32.8,19.3,4.64,0.259,Guntur,AP
2022-02-08,0.0,32.9,20.0,4.62,0.253,Guntur,AP
2022-02-09,0.0,32.0,20.5,4.56,0.249,Guntur,AP
2022-02-10,0.0,33.0,18.9,4.8,0.25,Guntur,AP
2022-02-11,0.0,33.9,19.1,4.92,0.255,Guntur,AP
