date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,0.1,25.9,21.2,3.99,0.287,Kakinada,AP
2020-01-01,2.5,26.0,22.3,2.98,0.29,Kakinada,AP
2020-01-02,4.8,26.2,22.4,2.63,0.322,Kakinada,AP
2020-01-03,4.0,26.7,22.5,2.78,0.384,Kakinada,AP
2020-01-04,6.9,26.3,22.8,2.16,0.38,Kakinada,AP
2020-01-05,2.8,25.4,22.5,2.19,0.381,Kakinada,AP
2020-01-06,0.2,26.1,22.8,3.26,0.362,Kakinada,AP
2020-01-07,0.0,26.4,22.1,3.72,0.348,Kakinada,AP
2020-01-08,0.0,26.7,21.0,3.54,0.335,Kakinada,AP
2020-01-09,0.1,27.4,21.0,3.26,0.324,Kakinada,AP
2020-01-10,0.3,26.8,20.2,2.97,0.314,Kakinada,AP
2020-01-11,1.2,26.4,22.1,3.24,0.315,Kakinada,AP
2020-01-12,0.0,25.8,20.8,3.6,0.312,Kakinada,AP
2020-01-13,0.0,28.0,18.3,3.67,0.306,Kakinada,AP
2020-01-14,0.2,26.7,19.0,3.42,0.301,Kakinada,AP
2020-01-15,0.1,26.3,18.4,3.42,0.293,Kakinada,AP
2020-01-16,0.7,26.2,21.1,3.02,0.29,Kakinada,AP
2020-01-17,0.7,26.1,21.0,3.12,0.286,Kakinada,AP
2020-01-18,0.2,26.8,22.0,3.36,0.281,Kakinada,AP
2020-01-19,0.0,27.8,22.0,3.43,0.278,Kakinada,AP
2020-01-20,0.0,28.4,20.7,3.57,0.276,Kakinada,AP
2020-01-21,0.0,27.3,22.7,3.85,0.273,Kakinada,AP
2020-01-22,0.2,27.5,22.7,3.77,0.27,Kakinada,AP
2020-01-23,0.0,27.8,21.4,3.52,0.267,Kakinada,AP
2020-01-24,0.0,28.9,19.5,3.77,0.268,Kakinada,AP
2020-01-25,0.0,27.7,21.1,3.52,0.27,Kakinada,AP
2020-01-26,0.0,30.8,20.3,3.95,0.267,Kakinada,AP
2020-01-27,0.0,30.1,20.7,3.77,0.262,Kakinada,AP
2020-01-28,0.0,31.2,22.5,4.13,0.258,Kakinada,AP
2020-01-29,0.5,31.6,20.8,3.96,0.26,Kakinada,AP
2020-01-30,0.5,31.5,20.4,3.87,0.268,Kakinada,AP
2020-01-31,0.8,28.8,21.6,3.21,0.27,Kakinada,AP
2020-02-01,1.1,27.6,23.4,3.35,0.273,Kakinada,AP
2020-02-02,0.3,26.9,22.7,3.27,0.271,Kakinada,AP
2020-02-03,2.3,27.6,22.3,3.67,0.277,Kakinada,AP
2020-02-04,2.2,27.3,22.6,3.26,0.294,Kakinada,AP
2020-02-05,0.2,30.4,22.2,4.16,0.298,Kakinada,AP
2020-02-06,0.3,29.6,21.0,3.88,0.294,Kakinada,AP
2020-02-07,0.2,30.4,22.8,4.27,0.289,Kakinada,AP
2020-02-08,0.7,29.3,22.4,4.15,0.289,Kakinada,AP
2020-02-09,2.6,26.2,22.5,3.65,0.297,Kakinada,AP
2020-02-10,2.0,26.4,22.0,3.74,0.314,Kakinada,AP
2020-02-11,1.6,27.3,23.0,3.83,0.316,Kakinada,AP
2020-02-12,0.0,27.7,22.7,3.88,0.307,Kakinada,AP
2020-02-13,0.0,30.3,21.3,4.4,0.297,Kakinada,AP
2020-02-14,0.0,32.7,20.9,4.78,0.288,Kakinada,AP
2020-02-15,0.0,31.5,19.9,4.6,0.276,Kakinada,AP
2020-02-16,0.0,30.2,20.5,4.68,0.271,Kakinada,AP
2020-02-17,0.0,31.2,20.0,4.63,0.27,Kakinada,AP
2020-02-18,0.2,30.3,21.0,4.35,0.272,Kakinada,AP
2020-02-19,0.3,29.2,21.4,4.18,0.265,Kakinada,AP
2020-02-20,0.0,28.6,22.4,4.54,0.262,Kakinada,AP
2020-02-21,0.0,28.2,23.5,4.82,0.261,Kakinada,AP
2020-02-22,0.0,28.1,22.7,4.78,0.26,Kakinada,AP
2020-02-23,0.0,28.8,21.5,4.61,0.26,Kakinada,AP
2020-02-24,0.6,29.9,21.1,4.59,0.256,Kakinada,AP
2020-02-25,1.1,30.4,21.7,3.0,0.255,Kakinada,AP
2020-02-26,0.6,29.2,22.2,3.79,0.253,Kakinada,AP
2020-02-27,1.4,28.4,23.0,4.13,0.252,Kakinada,AP
2020-02-28,1.9,28.3,23.5,4.36,0.257,Kakinada,AP
2020-02-29,1.4,28.6,21.9,4.45,0.262,Kakinada,AP
2020-03-01,0.3,29.3,22.8,4.35,0.269,Kakinada,AP
2020-03-02,0.0,30.2,22.1,3.41,0.267,Kakinada,AP
2020-03-03,0.0,31.1,21.1,4.95,0.262,Kakinada,AP
2020-03-04,0.1,31.3,22.4,4.67,0.261,Kakinada,AP
2020-03-05,0.0,31.8,23.2,4.72,0.254,Kakinada,AP
2020-03-06,0.7,30.2,24.5,3.68,0.261,Kakinada,AP
