date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,30.3,18.8,3.83,0.168,Krishna,AP
2016-01-02,0.0,30.3,19.0,3.97,0.165,Krishna,AP
2016-01-03,0.0,30.3,19.7,3.65,0.161,Krishna,AP
2016-01-04,0.0,29.9,19.4,3.49,0.158,Krishna,AP
2016-01-05,0.0,29.3,19.9,3.39,0.156,Krishna,AP
2016-01-06,0.0,29.6,20.9,3.53,0.154,Krishna,AP
2016-01-07,0.0,29.9,20.0,3.98,0.151,Krishna,AP
2016-01-08,0.0,29.8,19.6,3.96,0.149,Krishna,AP
2016-01-09,0.0,30.5,19.4,4.01,0.146,Krishna,AP
2016-01-10,0.0,30.9,19.7,4.25,0.144,Krishna,AP
2016-01-11,0.0,30.4,20.5,3.86,0.141,Krishna,AP
2016-01-12,0.0,30.5,19.8,3.96,0.139,Krishna,AP
2016-01-13,0.0,30.0,18.6,3.78,0.138,Krishna,AP
2016-01-14,0.0,29.7,19.4,3.91,0.137,Krishna,AP
2016-01-15,0.0,29.8,19.6,4.52,0.136,Krishna,AP
2016-01-16,0.0,29.7,19.0,4.3,0.135,Krishna,AP
2016-01-17,0.0,30.0,17.4,4.52,0.133,Krishna,AP
2016-01-18,0.0,29.6,18.5,4.4,0.133,Krishna,AP
2016-01-19,0.0,30.3,20.7,3.88,0.132,Krishna,AP
2016-01-20,12.5,24.6,22.7,0.66,0.243,Krishna,AP
2016-01-21,1.3,27.3,22.0,1.94,0.29,Krishna,AP
2016-01-22,0.0,27.7,21.0,3.28,0.267,Krishna,AP
2016-01-23,0.0,29.5,22.0,3.86,0.247,Krishna,AP
2016-01-24,0.0,28.9,21.2,3.87,0.229,Krishna,AP
2016-01-25,0.4,28.4,20.7,3.58,0.218,Krishna,AP
2016-01-26,0.0,29.1,19.9,3.18,0.21,Krishna,AP
2016-01-27,0.0,30.0,19.2,3.73,0.201,Krishna,AP
2016-01-28,0.0,31.4,20.5,4.33,0.191,Krishna,AP
2016-01-29,0.0,32.2,19.4,4.31,0.18,Krishna,AP
2016-01-30,0.0,31.7,20.7,3.97,0.171,Krishna,AP
2016-01-31,0.0,33.4,20.5,4.59,0.163,Krishna,AP
2016-02-01,0.0,34.0,20.3,4.57,0.156,Krishna,AP
2016-02-02,0.0,32.6,20.4,4.55,0.15,Krishna,AP
2016-02-03,0.0,32.8,21.2,4.61,0.145,Krishna,AP
2016-02-04,0.0,32.6,20.9,4.56,0.141,Krishna,AP
2016-02-05,0.0,30.9,21.6,4.06,0.138,Krishna,AP
2016-02-06,0.0,31.5,20.9,4.18,0.136,Krishna,AP
2016-02-07,0.0,32.0,20.7,4.37,0.134,Krishna,AP
2016-02-08,0.0,31.6,21.1,3.93,0.133,Krishna,AP
2016-02-09,0.0,33.0,22.0,4.78,0.132,Krishna,AP
2016-02-10,0.0,32.9,21.7,4.73,0.13,Krishna,AP
2016-02-11,0.0,32.4,22.2,4.5,0.129,Krishna,AP
2016-02-12,0.0,31.8,21.9,4.05,0.128,Krishna,AP
2016-02-13,0.0,32.7,21.1,4.62,0.128,Krishna,AP
