date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2017-12-31,0.0,30.9,17.9,4.33,0.247,Kurnool,AP
2018-01-01,0.0,31.5,21.1,4.29,0.248,Kurnool,AP
2018-01-02,0.0,31.4,19.9,4.47,0.255,Kurnool,AP
2018-01-03,0.0,30.9,20.1,4.44,0.256,Kurnool,AP
2018-01-04,0.0,30.7,20.4,4.57,0.258,Kurnool,AP
2018-01-05,0.0,30.0,18.3,4.6,0.263,Kurnool,AP
2018-01-06,0.0,29.4,17.1,4.56,0.264,Kurnool,AP
2018-01-07,0.0,29.7,17.0,4.73,0.263,Kurnool,AP
2018-01-08,0.0,29.9,16.7,4.96,0.264,Kurnool,AP
2018-01-09,0.0,29.5,17.5,3.96,0.262,Kurnool,AP
2018-01-10,0.0,32.0,19.5,4.53,0.262,Kurnool,AP
2018-01-11,0.0,33.3,20.6,4.81,0.255,Kurnool,AP
2018-01-12,0.0,33.1,22.3,5.25,0.249,Kurnool,AP
2018-01-13,0.0,34.0,20.8,5.65,0.247,Kurnool,AP
2018-01-14,0.0,33.2,20.8,4.92,0.244,Kurnool,AP
2018-01-15,0.0,33.6,21.7,4.91,0.243,Kurnool,AP
2018-01-16,0.0,32.2,22.0,4.77,0.245,Kurnool,AP
2018-01-17,0.0,32.1,20.5,5.06,0.246,Kurnool,AP
2018-01-18,0.0,31.2,19.2,5.26,0.246,Kurnool,AP
2018-01-19,0.0,30.8,18.2,5.23,0.246,Kurnool,AP
2018-01-20,0.0,30.2,17.6,4.93,0.246,Kurnool,AP
2018-01-21,0.0,30.5,17.5,5.04,0.245,Kurnool,AP
2018-01-22,0.0,30.3,17.9,5.02,0.243,Kurnool,AP
2018-01-23,0.0,31.2,18.0,4.78,0.244,Kurnool,AP
2018-01-24,0.0,32.0,18.4,4.77,0.245,Kurnool,AP
2018-01-25,0.0,31.7,19.3,4.79,0.244,Kurnool,AP
2018-01-26,0.0,31.2,19.5,4.76,0.244,Kurnool,AP
2018-01-27,0.0,31.3,19.7,5.05,0.246,Kurnool,AP
2018-01-28,0.0,31.4,18.9,5.44,0.245,Kurnool,AP
2018-01-29,0.0,32.0,19.6,5.65,0.246,Kurnool,AP
2018-01-30,0.0,31.4,17.8,5.22,0.245,Kurnool,AP
2018-01-31,0.0,31.6,17.2,5.44,0.245,Kurnool,AP
2018-02-01,0.0,32.5,17.8,5.7,0.245,Kurnool,AP
2018-02-02,0.0,32.5,17.7,5.7,0.244,Kurnool,AP
2018-02-03,0.0,32.7,17.3,6.17,0.243,Kurnool,AP
2018-02-04,0.0,32.6,17.4,6.01,0.241,Kurnool,AP
2018-02-05,0.0,32.6,17.3,5.98,0.24,Kurnool,AP
2018-02-06,0.0,32.0,17.1,5.33,0.24,Kurnool,AP
2018-02-07,0.0,33.0,20.4,4.61,0.239,Kurnool,AP
2018-02-08,0.0,33.7,21.5,4.59,0.239,Kurnool,AP
2018-02-09,0.0,34.7,22.2,5.06,0.239,Kurnool,AP
2018-02-10,0.6,33.8,22.9,4.65,0.251,Kurnool,AP
2018-02-11,0.0,32.7,22.8,5.58,0.274,Kurnool,AP
2018-02-12,0.0,33.3,20.9,5.44,0.271,Kurnool,AP
2018-02-13,0.0,32.5,21.1,5.19,0.266,Kurnool,AP
2018-02-14,0.0,33.2,21.0,5.87,0.262,Kurnool,AP
