date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,29.3,18.4,3.8,0.085,NTR,AP
2025-12-30,0.0,29.5,18.2,3.44,0.084,NTR,AP
2025-12-31,0.0,29.8,20.2,2.84,0.084,NTR,AP
2026-01-01,0.2,30.2,20.1,3.75,0.086,NTR,AP
2026-01-02,0.0,30.1,19.9,3.82,0.088,NTR,AP
2026-01-03,0.0,29.2,20.3,3.83,0.087,NTR,AP
2026-01-04,0.0,29.6,19.4,3.8,0.087,NTR,AP
2026-01-05,0.0,29.7,19.0,3.75,0.086,NTR,AP
2026-01-06,0.0,29.7,19.0,4.06,0.085,NTR,AP
2026-01-07,0.0,29.3,18.2,4.23,0.082,NTR,AP
2026-01-08,0.0,29.2,17.2,4.51,0.087,NTR,AP
2026-01-09,0.0,28.6,17.1,4.37,0.084,NTR,AP
2026-01-10,0.0,27.9,19.6,3.36,0.084,NTR,AP
2026-01-11,0.0,28.1,18.6,4.12,0.09,NTR,AP
2026-01-12,0.0,28.6,20.7,4.21,0.08,NTR,AP
2026-01-13,0.0,31.0,20.8,4.31,0.063,NTR,AP
2026-01-14,0.0,32.7,19.6,3.87,0.057,NTR,AP
2026-01-15,0.1,31.0,20.3,3.78,0.065,NTR,AP
2026-01-16,0.0,30.9,20.0,3.9,0.078,NTR,AP
2026-01-17,0.0,30.7,18.1,3.96,0.085,NTR,AP
2026-01-18,0.0,31.0,18.5,4.19,0.079,NTR,AP
2026-01-19,0.0,30.6,18.3,4.17,0.084,NTR,AP
2026-01-20,0.0,30.8,17.9,4.33,0.084,NTR,AP
2026-01-21,0.0,29.7,18.5,4.61,0.084,NTR,AP
2026-01-22,0.0,29.8,17.9,4.41,0.083,NTR,AP
2026-01-23,0.0,29.9,18.3,4.08,0.083,NTR,AP
2026-01-24,0.0,30.3,20.0,3.71,0.083,NTR,AP
2026-01-25,0.0,31.8,21.6,4.7,0.081,NTR,AP
2026-01-26,0.0,31.0,20.2,4.48,0.082,NTR,AP
2026-01-27,0.0,30.9,19.4,4.53,0.082,NTR,AP
2026-01-28,0.0,30.9,19.3,4.31,0.081,NTR,AP
2026-01-29,0.0,31.2,20.0,4.22,0.08,NTR,AP
2026-01-30,0.0,31.5,19.4,4.7,0.08,NTR,AP
2026-01-31,0.0,30.9,19.2,4.5,0.081,NTR,AP
2026-02-01,0.0,30.9,19.4,4.21,0.08,NTR,AP
2026-02-02,0.0,31.4,20.0,4.34,0.08,NTR,AP
2026-02-03,0.0,30.8,19.3,4.58,0.08,NTR,AP
2026-02-04,0.0,30.7,20.6,4.94,0.08,NTR,AP
2026-02-05,0.0,31.4,19.3,5.08,0.079,NTR,AP
2026-02-06,0.0,31.6,18.5,4.95,0.079,NTR,AP
2026-02-07,0.0,33.5,18.6,4.81,0.079,NTR,AP
2026-02-08,0.0,32.7,18.8,4.71,0.078,NTR,AP
2026-02-09,0.0,31.4,19.5,4.32,0.078,NTR,AP
2026-02-10,0.0,31.9,19.3,4.6,0.078,NTR,AP
2026-02-11,0.0,31.2,19.6,4.99,0.077,NTR,AP
2026-02-12,0.0,32.1,18.7,5.13,0.077,NTR,AP
2026-02-13,0.0,32.1,17.9,5.11,0.077,NTR,AP
2026-02-14,0.0,32.9,18.6,4.77,0.076,NTR,AP
2026-02-15,0.0,34.4,19.4,4.86,0.076,NTR,AP
2026-02-16,0.0,33.7,20.4,5.26,0.075,NTR,AP
2026-02-17,0.0,32.6,19.6,5.12,0.075,NTR,AP
2026-02-18,0.0,32.4,20.1,5.14,0.075,NTR,AP
2026-02-19,0.0,32.7,19.3,5.19,0.074,NTR,AP
2026-02-20,0.0,34.2,20.0,5.56,0.074,NTR,AP
2026-02-21,0.0,34.8,21.3,5.68,0.074,NTR,AP
2026-02-22,0.1,35.2,22.1,4.98,0.073,NTR,AP
2026-02-23,0.2,33.5,22.6,4.76,0.069,NTR,AP
2026-02-24,0.9,29.2,21.9,2.51,0.117,NTR,AP
2026-02-25,0.0,32.5,20.5,3.85,0.131,NTR,AP
2026-02-26,0.3,33.2,21.3,4.38,0.122,NTR,AP
2026-02-27,0.0,34.2,21.4,4.64,0.109,NTR,AP
2026-02-28,0.5,32.7,21.9,4.84,0.096,NTR,AP
2026-03-01,0.0,33.7,21.7,4.87,0.086,NTR,AP
2026-03-02,0.0,35.9,22.5,5.5,0.08,NTR,AP
2026-03-03,0.0,37.2,22.4,5.53,0.084,NTR,AP
2026-03-04,0.0,35.9,22.3,5.52,0.084,NTR,AP
2026-03-05,0.0,38.0,22.3,5.97,0.083,NTR,AP
2026-03-06,0.0,38.5,21.8,6.22,0.083,NTR,AP
