date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,0.2,30.3,21.1,3.39,0.23,Nandyal,AP
2020-01-01,0.1,31.2,20.6,3.69,0.23,Nandyal,AP
2020-01-02,0.3,29.6,22.7,3.04,0.224,Nandyal,AP
2020-01-03,1.4,31.8,22.9,3.1,0.226,Nandyal,AP
2020-01-04,0.6,33.0,22.8,3.33,0.225,Nandyal,AP
2020-01-05,2.3,30.6,22.5,3.33,0.225,Nandyal,AP
2020-01-06,0.4,29.3,23.7,2.95,0.227,Nandyal,AP
2020-01-07,0.3,30.4,23.0,3.47,0.229,Nandyal,AP
2020-01-08,0.0,31.1,21.5,3.58,0.228,Nandyal,AP
2020-01-09,0.0,33.3,20.3,4.16,0.225,Nandyal,AP
2020-01-10,0.0,30.5,20.5,3.43,0.218,Nandyal,AP
2020-01-11,0.0,31.4,20.5,3.64,0.212,Nandyal,AP
2020-01-12,0.0,32.5,20.4,4.32,0.209,Nandyal,AP
2020-01-13,0.0,33.3,18.6,4.44,0.208,Nandyal,AP
2020-01-14,0.0,33.3,18.9,5.0,0.207,Nandyal,AP
2020-01-15,0.0,31.3,17.8,4.97,0.205,Nandyal,AP
2020-01-16,0.0,32.0,18.1,5.04,0.206,Nandyal,AP
2020-01-17,0.0,33.5,19.9,4.9,0.208,Nandyal,AP
2020-01-18,0.0,33.1,21.7,4.1,0.209,Nandyal,AP
2020-01-19,0.0,33.9,22.4,4.48,0.212,Nandyal,AP
2020-01-20,0.0,34.0,21.7,5.07,0.208,Nandyal,AP
2020-01-21,0.0,33.2,21.3,5.38,0.208,Nandyal,AP
2020-01-22,0.0,33.1,19.5,5.02,0.211,Nandyal,AP
2020-01-23,0.0,33.3,19.6,4.95,0.212,Nandyal,AP
2020-01-24,0.0,34.4,19.8,5.32,0.209,Nandyal,AP
2020-01-25,0.0,34.5,19.4,5.14,0.212,Nandyal,AP
2020-01-26,0.0,35.1,20.0,4.68,0.21,Nandyal,AP
2020-01-27,0.0,36.2,21.0,5.73,0.206,Nandyal,AP
2020-01-28,0.0,35.2,21.9,4.97,0.204,Nandyal,AP
2020-01-29,0.0,35.5,22.8,4.74,0.207,Nandyal,AP
2020-01-30,0.0,36.6,22.8,4.72,0.207,Nandyal,AP
2020-01-31,0.0,35.9,22.8,5.15,0.209,Nandyal,AP
2020-02-01,0.0,34.3,22.5,5.25,0.209,Nandyal,AP
2020-02-02,0.1,32.7,22.8,4.72,0.209,Nandyal,AP
2020-02-03,0.0,34.2,21.3,5.62,0.206,Nandyal,AP
2020-02-04,0.0,34.6,20.4,5.85,0.205,Nandyal,AP
2020-02-05,0.0,35.0,21.3,5.78,0.209,Nandyal,AP
2020-02-06,0.0,35.6,20.8,6.13,0.209,Nandyal,AP
2020-02-07,0.0,35.0,22.5,5.51,0.209,Nandyal,AP
2020-02-08,0.4,35.1,23.6,5.15,0.209,Nandyal,AP
2020-02-09,2.6,29.9,23.0,3.6,0.215,Nandyal,AP
2020-02-10,1.0,30.8,22.2,4.17,0.221,Nandyal,AP
2020-02-11,0.0,31.1,21.6,4.66,0.22,Nandyal,AP
2020-02-12,0.0,33.2,21.2,5.06,0.221,Nandyal,AP
2020-02-13,0.0,34.2,20.3,4.86,0.217,Nandyal,AP
2020-02-14,0.0,35.2,19.3,5.49,0.215,Nandyal,AP
2020-02-15,0.0,36.4,19.4,5.85,0.214,Nandyal,AP
2020-02-16,0.0,35.5,20.0,6.53,0.21,Nandyal,AP
2020-02-17,0.0,35.2,19.7,6.18,0.208,Nandyal,AP
2020-02-18,0.0,35.9,20.5,5.92,0.209,Nandyal,AP
2020-02-19,0.0,34.9,21.1,6.07,0.209,Nandyal,AP
2020-02-20,0.0,34.8,20.8,6.31,0.209,Nandyal,AP
2020-02-21,0.0,34.2,18.6,6.02,0.209,Nandyal,AP
2020-02-22,0.0,34.5,19.3,6.05,0.212,Nandyal,AP
2020-02-23,0.0,34.6,19.8,5.92,0.211,Nandyal,AP
2020-02-24,0.0,35.8,20.8,6.16,0.21,Nandyal,AP
2020-02-25,0.0,34.0,22.1,4.73,0.21,Nandyal,AP
2020-02-26,0.1,35.5,23.4,5.07,0.21,Nandyal,AP
2020-02-27,0.1,35.0,23.1,5.5,0.21,Nandyal,AP
2020-02-28,0.0,35.0,23.4,5.54,0.205,Nandyal,AP
2020-02-29,0.0,34.8,23.2,5.63,0.198,Nandyal,AP
2020-03-01,0.0,35.7,23.0,6.03,0.198,Nandyal,AP
2020-03-02,0.0,34.0,22.3,3.44,0.198,Nandyal,AP
2020-03-03,0.0,37.0,23.0,5.63,0.198,Nandyal,AP
2020-03-04,0.0,36.0,24.6,5.18,0.198,Nandyal,AP
2020-03-05,0.0,37.6,23.6,6.22,0.199,Nandyal,AP
2020-03-06,0.1,37.5,25.0,6.05,0.201,Nandyal,AP
2020-03-07,1.5,34.7,24.3,4.84,0.204,Nandyal,AP
2020-03-08,0.8,34.3,24.3,4.93,0.21,Nandyal,AP
2020-03-09,0.9,35.5,24.4,5.71,0.215,Nandyal,AP
2020-03-10,0.0,37.4,24.0,6.54,0.213,Nandyal,AP
2020-03-11,0.4,37.6,24.0,5.93,0.213,Nandyal,AP
2020-03-12,0.0,38.0,24.4,6.12,0.213,Nandyal,AP
2020-03-13,0.0,38.5,23.7,7.21,0.211,Nandyal,AP
2020-03-14,0.0,38.1,23.1,6.89,0.207,Nandyal,AP
2020-03-15,0.0,37.3,23.9,6.83,0.208,Nandyal,AP
2020-03-16,0.0,37.4,22.4,6.61,0.206,Nandyal,AP
2020-03-17,0.0,38.5,23.8,7.45,0.198,Nandyal,AP
2020-03-18,0.0,39.5,24.0,6.8,0.19,Nandyal,AP
2020-03-19,0.0,38.9,25.0,5.87,0.191,Nandyal,AP
2020-03-20,0.0,38.1,26.5,6.06,0.193,Nandyal,AP
2020-03-21,0.0,39.1,26.1,6.44,0.191,Nandyal,AP
2020-03-22,0.0,38.7,25.6,6.05,0.189,Nandyal,AP
2020-03-23,0.0,38.3,25.1,6.44,0.19,Nandyal,AP
2020-03-24,0.0,37.9,24.9,6.88,0.191,Nandyal,AP
2020-03-25,0.0,38.6,24.3,7.56,0.188,Nandyal,AP
2020-03-26,0.0,38.6,24.0,7.53,0.187,Nandyal,AP
2020-03-27,0.0,39.1,22.9,7.57,0.187,Nandyal,AP
2020-03-28,0.0,40.2,23.2,7.96,0.183,Nandyal,AP
2020-03-29,0.0,40.7,25.2,8.32,0.182,Nandyal,AP
2020-03-30,0.0,40.6,24.6,8.53,0.182,Nandyal,AP
2020-03-31,0.0,40.5,24.3,7.63,0.182,Nandyal,AP
2020-04-01,0.0,40.1,25.2,6.79,0.182,Nandyal,AP
2020-04-02,0.0,40.8,26.5,7.57,0.182,Nandyal,AP
2020-04-03,0.0,40.8,26.3,7.97,0.182,Nandyal,AP
2020-04-04,0.0,39.9,24.7,7.17,0.181,Nandyal,AP
2020-04-05,0.0,40.0,25.3,6.77,0.181,Nandyal,AP
2020-04-06,0.0,38.2,27.2,5.57,0.182,Nandyal,AP
2020-04-07,0.0,40.2,27.9,5.9,0.185,Nandyal,AP
2020-04-08,1.6,39.0,27.3,5.17,0.185,Nandyal,AP
2020-04-09,1.2,38.8,27.4,6.13,0.182,Nandyal,AP
2020-04-10,0.0,38.8,24.2,6.72,0.188,Nandyal,AP
2020-04-11,0.0,39.5,24.1,7.12,0.188,Nandyal,AP
2020-04-12,0.0,39.0,25.2,6.48,0.187,Nandyal,AP
2020-04-13,0.0,41.4,24.2,8.28,0.188,Nandyal,AP
2020-04-14,0.0,40.8,24.9,8.57,0.187,Nandyal,AP
2020-04-15,0.0,40.5,25.2,8.05,0.183,Nandyal,AP
2020-04-16,0.0,40.9,25.1,7.09,0.177,Nandyal,AP
2020-04-17,0.0,40.3,26.3,6.77,0.176,Nandyal,AP
2020-04-18,0.0,40.5,26.7,6.87,0.177,Nandyal,AP
2020-04-19,0.0,39.8,26.8,7.04,0.179,Nandyal,AP
2020-04-20,0.0,40.8,25.8,7.59,0.176,Nandyal,AP
2020-04-21,0.0,40.5,25.6,6.38,0.174,Nandyal,AP
2020-04-22,0.0,40.7,27.5,6.92,0.176,Nandyal,AP
2020-04-23,0.0,41.4,27.8,6.47,0.176,Nandyal,AP
2020-04-24,0.0,40.7,29.3,6.93,0.175,Nandyal,AP
2020-04-25,0.0,41.7,29.8,7.02,0.175,Nandyal,AP
2020-04-26,0.0,41.9,28.7,7.46,0.173,Nandyal,AP
2020-04-27,0.0,42.4,29.7,7.49,0.171,Nandyal,AP
2020-04-28,0.1,39.0,27.9,6.45,0.17,Nandyal,AP
2020-04-29,0.6,38.7,26.6,5.82,0.189,Nandyal,AP
2020-04-30,0.0,39.8,27.9,6.05,0.193,Nandyal,AP
2020-05-01,0.0,40.8,27.9,6.24,0.193,Nandyal,AP
2020-05-02,0.0,40.4,29.2,5.9,0.197,Nandyal,AP
2020-05-03,0.0,40.8,28.9,6.32,0.2,Nandyal,AP
2020-05-04,0.0,41.3,29.3,6.32,0.201,Nandyal,AP
2020-05-05,0.1,40.3,29.7,6.48,0.2,Nandyal,AP
2020-05-06,0.1,40.6,29.4,6.52,0.197,Nandyal,AP
2020-05-07,0.0,39.7,28.5,6.22,0.198,Nandyal,AP
2020-05-08,2.2,39.9,29.0,6.1,0.197,Nandyal,AP
2020-05-09,0.0,40.1,28.9,6.89,0.194,Nandyal,AP
2020-05-10,0.0,40.5,27.8,7.03,0.191,Nandyal,AP
2020-05-11,0.0,39.6,28.4,7.26,0.179,Nandyal,AP
2020-05-12,0.0,41.1,27.3,8.04,0.175,Nandyal,AP
