date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.0,30.3,18.1,3.71,0.154,Palnadu,AP
2023-12-31,0.0,30.1,17.8,3.76,0.152,Palnadu,AP
2024-01-01,0.0,30.6,19.4,3.79,0.149,Palnadu,AP
2024-01-02,0.0,30.3,18.7,3.55,0.146,Palnadu,AP
2024-01-03,0.0,30.3,19.9,4.0,0.147,Palnadu,AP
2024-01-04,0.0,30.9,19.7,4.41,0.149,Palnadu,AP
2024-01-05,0.0,31.0,19.8,4.44,0.149,Palnadu,AP
2024-01-06,0.0,30.8,19.3,4.36,0.149,Palnadu,AP
2024-01-07,0.0,30.7,19.7,4.33,0.147,Palnadu,AP
2024-01-08,0.0,30.0,20.2,4.12,0.152,Palnadu,AP
2024-01-09,0.0,31.2,20.6,4.19,0.157,Palnadu,AP
2024-01-10,0.0,31.7,19.2,4.06,0.157,Palnadu,AP
2024-01-11,0.1,32.3,21.7,3.76,0.155,Palnadu,AP
2024-01-12,0.5,32.2,20.4,3.9,0.153,Palnadu,AP
2024-01-13,0.0,32.8,21.2,3.87,0.153,Palnadu,AP
2024-01-14,0.0,33.0,21.2,4.19,0.154,Palnadu,AP
2024-01-15,0.0,32.0,21.4,4.03,0.151,Palnadu,AP
2024-01-16,0.0,31.6,21.1,4.01,0.149,Palnadu,AP
2024-01-17,0.1,30.8,20.4,4.36,0.144,Palnadu,AP
2024-01-18,0.0,31.3,19.6,4.5,0.141,Palnadu,AP
2024-01-19,0.0,32.8,19.0,4.43,0.141,Palnadu,AP
2024-01-20,0.0,31.4,20.7,4.31,0.142,Palnadu,AP
2024-01-21,0.0,32.3,21.1,4.43,0.141,Palnadu,AP
2024-01-22,0.0,32.0,20.4,4.12,0.142,Palnadu,AP
2024-01-23,0.4,32.0,21.9,4.23,0.147,Palnadu,AP
2024-01-24,0.4,31.8,22.2,4.19,0.151,Palnadu,AP
2024-01-25,0.9,30.4,22.0,3.45,0.154,Palnadu,AP
2024-01-26,0.7,31.4,21.5,3.34,0.16,Palnadu,AP
2024-01-27,0.5,32.3,21.8,4.04,0.162,Palnadu,AP
2024-01-28,0.9,32.2,21.0,4.33,0.167,Palnadu,AP
2024-01-29,0.0,31.7,19.7,4.32,0.162,Palnadu,AP
2024-01-30,0.0,32.1,18.8,4.6,0.157,Palnadu,AP
2024-01-31,0.0,32.1,18.7,4.47,0.151,Palnadu,AP
2024-02-01,0.4,32.3,21.1,4.21,0.152,Palnadu,AP
2024-02-02,0.9,32.4,22.6,4.02,0.156,Palnadu,AP
2024-02-03,1.6,31.3,22.5,3.57,0.166,Palnadu,AP
2024-02-04,0.1,32.9,21.0,4.4,0.167,Palnadu,AP
2024-02-05,0.1,33.6,21.8,4.43,0.165,Palnadu,AP
2024-02-06,0.0,35.2,22.8,4.74,0.159,Palnadu,AP
2024-02-07,0.0,35.9,22.6,4.7,0.153,Palnadu,AP
2024-02-08,0.0,36.4,22.2,5.08,0.15,Palnadu,AP
2024-02-09,0.6,33.3,23.3,4.36,0.153,Palnadu,AP
2024-02-10,0.4,33.1,23.3,4.85,0.155,Palnadu,AP
2024-02-11,0.0,33.4,22.2,5.23,0.15,Palnadu,AP
2024-02-12,0.0,33.3,20.1,5.03,0.137,Palnadu,AP
2024-02-13,0.0,33.7,20.1,5.1,0.131,Palnadu,AP
2024-02-14,0.1,34.5,21.3,5.06,0.126,Palnadu,AP
2024-02-15,0.0,34.3,21.1,5.4,0.127,Palnadu,AP
2024-02-16,0.0,34.7,19.5,5.46,0.128,Palnadu,AP
2024-02-17,0.0,34.7,18.8,5.34,0.126,Palnadu,AP
