date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.0,29.3,17.4,3.26,0.277,Parvathipuram Manyam,AP
2023-12-31,0.0,29.4,17.1,3.48,0.278,Parvathipuram Manyam,AP
2024-01-01,0.0,29.4,16.6,3.56,0.276,Parvathipuram Manyam,AP
2024-01-02,0.0,29.0,16.0,3.52,0.274,Parvathipuram Manyam,AP
2024-01-03,0.0,28.2,16.3,3.41,0.276,Parvathipuram Manyam,AP
2024-01-04,0.0,29.1,16.1,3.61,0.273,Parvathipuram Manyam,AP
2024-01-05,0.0,29.1,14.9,3.74,0.268,Parvathipuram Manyam,AP
2024-01-06,0.0,29.3,14.6,3.69,0.262,Parvathipuram Manyam,AP
2024-01-07,0.0,29.6,14.2,3.66,0.261,Parvathipuram Manyam,AP
2024-01-08,0.0,30.7,17.2,3.77,0.262,Parvathipuram Manyam,AP
2024-01-09,0.0,30.0,17.2,3.57,0.264,Parvathipuram Manyam,AP
2024-01-10,0.0,32.1,17.5,3.79,0.272,Parvathipuram Manyam,AP
2024-01-11,0.0,32.3,19.7,3.59,0.277,Parvathipuram Manyam,AP
2024-01-12,0.0,31.0,19.0,3.56,0.274,Parvathipuram Manyam,AP
2024-01-13,0.0,32.1,21.1,3.77,0.272,Parvathipuram Manyam,AP
2024-01-14,0.1,31.1,20.9,3.54,0.272,Parvathipuram Manyam,AP
2024-01-15,0.7,31.3,20.9,3.49,0.273,Parvathipuram Manyam,AP
2024-01-16,0.7,31.2,20.9,3.53,0.279,Parvathipuram Manyam,AP
2024-01-17,0.5,29.5,20.1,3.39,0.279,Parvathipuram Manyam,AP
2024-01-18,0.0,30.3,17.4,4.01,0.278,Parvathipuram Manyam,AP
2024-01-19,0.0,30.0,18.0,3.91,0.277,Parvathipuram Manyam,AP
2024-01-20,0.4,29.1,19.6,3.51,0.279,Parvathipuram Manyam,AP
