date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2023-12-30,0.0,29.1,19.5,3.61,0.283,Prakasam,AP
2023-12-31,0.3,28.5,18.8,3.54,0.284,Prakasam,AP
2024-01-01,1.3,27.8,19.5,3.1,0.29,Prakasam,AP
2024-01-02,0.1,28.4,19.3,3.47,0.288,Prakasam,AP
2024-01-03,0.4,27.6,22.1,3.44,0.289,Prakasam,AP
2024-01-04,0.7,28.0,22.7,3.27,0.293,Prakasam,AP
2024-01-05,0.0,28.5,21.5,3.74,0.288,Prakasam,AP
2024-01-06,0.0,28.9,20.2,4.06,0.29,Prakasam,AP
2024-01-07,0.2,27.9,21.1,3.19,0.289,Prakasam,AP
2024-01-08,3.8,27.5,22.2,1.89,0.323,Prakasam,AP
2024-01-09,0.0,28.3,21.7,3.0,0.331,Prakasam,AP
2024-01-10,0.1,29.5,20.2,3.72,0.322,Prakasam,AP
2024-01-11,0.0,30.3,20.9,3.89,0.315,Prakasam,AP
2024-01-12,0.1,29.6,20.0,3.63,0.308,Prakasam,AP
2024-01-13,0.2,30.1,21.3,3.61,0.301,Prakasam,AP
2024-01-14,0.0,31.0,20.4,3.74,0.298,Prakasam,AP
2024-01-15,0.0,30.6,20.5,3.7,0.293,Prakasam,AP
2024-01-16,0.0,29.9,20.5,3.84,0.289,Prakasam,AP
2024-01-17,0.2,29.3,20.1,3.9,0.285,Prakasam,AP
2024-01-18,0.0,29.3,20.3,4.06,0.28,Prakasam,AP
2024-01-19,0.0,29.8,20.6,3.98,0.276,Prakasam,AP
2024-01-20,0.1,29.5,21.2,3.88,0.274,Prakasam,AP
2024-01-21,0.0,30.3,21.2,4.19,0.273,Prakasam,AP
2024-01-22,0.1,29.9,20.9,3.88,0.274,Prakasam,AP
2024-01-23,0.0,30.1,22.5,4.12,0.274,Prakasam,AP
2024-01-24,0.3,30.2,22.9,3.88,0.281,Prakasam,AP
2024-01-25,1.6,30.3,21.8,3.68,0.284,Prakasam,AP
2024-01-26,0.2,30.0,22.2,4.01,0.281,Prakasam,AP
2024-01-27,0.9,29.6,21.9,3.71,0.286,Prakasam,AP
2024-01-28,1.1,29.4,21.2,3.87,0.305,Prakasam,AP
2024-01-29,0.0,29.6,21.5,4.29,0.3,Prakasam,AP
2024-01-30,0.0,29.4,18.1,4.33,0.288,Prakasam,AP
2024-01-31,0.0,30.6,19.1,4.22,0.283,Prakasam,AP
2024-02-01,0.4,31.8,22.0,4.07,0.282,Prakasam,AP
2024-02-02,1.1,31.5,22.9,3.96,0.286,Prakasam,AP
2024-02-03,0.6,30.7,22.9,3.8,0.284,Prakasam,AP
2024-02-04,0.0,31.1,21.3,4.21,0.28,Prakasam,AP
2024-02-05,0.0,32.0,21.9,4.33,0.279,Prakasam,AP
2024-02-06,0.0,32.9,21.4,4.63,0.274,Prakasam,AP
2024-02-07,0.0,34.5,21.4,4.79,0.268,Prakasam,AP
2024-02-08,0.0,35.1,21.0,4.89,0.264,Prakasam,AP
2024-02-09,0.5,32.3,23.2,4.34,0.266,Prakasam,AP
2024-02-10,0.5,32.3,24.3,4.67,0.266,Prakasam,AP
2024-02-11,0.1,31.9,22.7,4.97,0.26,Prakasam,AP
2024-02-12,0.0,30.6,20.9,4.76,0.246,Prakasam,AP
2024-02-13,0.0,31.4,22.1,4.87,0.246,Prakasam,AP
