date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,28.5,20.4,3.76,0.179,Sri Potti Sriramulu Nellore,AP
2016-01-02,0.0,28.9,19.7,3.91,0.174,Sri Potti Sriramulu Nellore,AP
2016-01-03,0.0,29.6,18.3,4.02,0.168,Sri Potti Sriramulu Nellore,AP
2016-01-04,0.0,29.3,20.7,4.06,0.163,Sri Potti Sriramulu Nellore,AP
2016-01-05,0.0,29.0,19.7,3.94,0.159,Sri Potti Sriramulu Nellore,AP
2016-01-06,0.0,28.9,20.4,4.08,0.154,Sri Potti Sriramulu Nellore,AP
2016-01-07,0.0,28.4,20.1,4.13,0.151,Sri Potti Sriramulu Nellore,AP
2016-01-08,0.0,28.7,18.7,4.08,0.147,Sri Potti Sriramulu Nellore,AP
2016-01-09,0.0,29.0,17.5,4.19,0.143,Sri Potti Sriramulu Nellore,AP
2016-01-10,0.0,28.9,16.8,4.31,0.14,Sri Potti Sriramulu Nellore,AP
2016-01-11,0.0,28.8,16.9,4.24,0.137,Sri Potti Sriramulu Nellore,AP
2016-01-12,0.0,29.3,18.2,4.29,0.134,Sri Potti Sriramulu Nellore,AP
2016-01-13,0.0,29.3,19.6,4.15,0.131,Sri Potti Sriramulu Nellore,AP
2016-01-14,0.0,28.7,19.8,4.23,0.128,Sri Potti Sriramulu Nellore,AP
2016-01-15,0.0,28.5,20.3,4.28,0.126,Sri Potti Sriramulu Nellore,AP
2016-01-16,0.0,28.4,18.4,4.48,0.124,Sri Potti Sriramulu Nellore,AP
2016-01-17,0.0,28.5,19.1,4.33,0.122,Sri Potti Sriramulu Nellore,AP
2016-01-18,0.0,28.6,20.7,3.84,0.121,Sri Potti Sriramulu Nellore,AP
2016-01-19,0.0,29.4,23.6,3.88,0.119,Sri Potti Sriramulu Nellore,AP
2016-01-20,0.3,27.2,23.8,1.25,0.121,Sri Potti Sriramulu Nellore,AP
2016-01-21,1.2,27.3,23.1,2.03,0.129,Sri Potti Sriramulu Nellore,AP
2016-01-22,8.2,26.5,22.8,2.18,0.166,Sri Potti Sriramulu Nellore,AP
2016-01-23,4.7,27.0,22.2,2.74,0.221,Sri Potti Sriramulu Nellore,AP
2016-01-24,0.1,27.4,22.1,3.11,0.24,Sri Potti Sriramulu Nellore,AP
2016-01-25,0.0,28.6,21.7,3.59,0.225,Sri Potti Sriramulu Nellore,AP
2016-01-26,0.0,29.0,21.6,3.68,0.209,Sri Potti Sriramulu Nellore,AP
