date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,28.0,19.2,4.05,0.125,Sri Sathya Sai,AP
2014-01-02,0.0,28.8,16.2,4.76,0.124,Sri Sathya Sai,AP
2014-01-03,0.0,29.6,14.9,4.72,0.124,Sri Sathya Sai,AP
2014-01-04,0.0,29.9,15.9,4.99,0.124,Sri Sathya Sai,AP
2014-01-05,0.0,31.0,16.8,4.91,0.123,Sri Sathya Sai,AP
2014-01-06,0.0,31.5,16.1,5.37,0.123,Sri Sathya Sai,AP
2014-01-07,0.0,30.2,14.8,5.08,0.123,Sri Sathya Sai,AP
2014-01-08,0.0,30.3,15.9,5.14,0.122,Sri Sathya Sai,AP
2014-01-09,0.0,30.5,16.9,4.94,0.122,Sri Sathya Sai,AP
2014-01-10,0.0,30.9,17.5,4.97,0.122,Sri Sathya Sai,AP
2014-01-11,0.0,31.3,18.3,5.14,0.122,Sri Sathya Sai,AP
2014-01-12,0.0,31.7,18.2,5.28,0.122,Sri Sathya Sai,AP
2014-01-13,0.0,30.9,17.7,5.49,0.122,Sri Sathya Sai,AP
2014-01-14,0.0,30.8,17.2,5.13,0.122,Sri Sathya Sai,AP
2014-01-15,0.0,31.5,18.3,5.25,0.122,Sri Sathya Sai,AP
2014-01-16,0.0,31.7,18.8,5.12,0.122,Sri Sathya Sai,AP
2014-01-17,0.0,31.4,20.1,5.43,0.122,Sri Sathya Sai,AP
2014-01-18,0.0,30.7,18.4,5.22,0.121,Sri Sathya Sai,AP
2014-01-19,0.0,30.7,18.7,5.42,0.121,Sri Sathya Sai,AP
2014-01-20,0.0,30.3,19.8,5.29,0.121,Sri Sathya Sai,AP
2014-01-21,0.0,29.5,17.8,5.14,0.121,Sri Sathya Sai,AP
2014-01-22,0.0,29.9,17.4,5.36,0.121,Sri Sathya Sai,AP
2014-01-23,0.0,30.3,17.7,5.61,0.121,Sri Sathya Sai,AP
2014-01-24,0.0,31.2,17.0,5.43,0.121,Sri Sathya Sai,AP
2014-01-25,0.0,30.7,18.7,5.58,0.121,Sri Sathya Sai,AP
2014-01-26,0.0,30.1,17.4,5.38,0.121,Sri Sathya Sai,AP
2014-01-27,0.0,27.5,17.2,4.04,0.121,Sri Sathya Sai,AP
2014-01-28,0.0,28.4,17.5,4.12,0.122,Sri Sathya Sai,AP
2014-01-29,0.0,30.0,18.3,5.05,0.122,Sri Sathya Sai,AP
2014-01-30,0.0,30.1,18.4,5.22,0.122,Sri Sathya Sai,AP
2014-01-31,0.0,30.6,17.8,5.66,0.122,Sri Sathya Sai,AP
2014-02-01,0.0,31.1,17.3,5.37,0.122,Sri Sathya Sai,AP
2014-02-02,0.0,30.7,17.9,5.39,0.122,Sri Sathya Sai,AP
2014-02-03,0.0,32.8,17.9,5.8,0.122,Sri Sathya Sai,AP
2014-02-04,0.0,33.3,17.5,5.67,0.121,Sri Sathya Sai,AP
2014-02-05,0.0,33.7,17.1,6.03,0.121,Sri Sathya Sai,AP
2014-02-06,0.0,34.0,17.8,6.46,0.121,Sri Sathya Sai,AP
2014-02-07,0.0,33.8,17.3,6.64,0.121,Sri Sathya Sai,AP
2014-02-08,0.0,34.3,18.0,6.46,0.121,Sri Sathya Sai,AP
2014-02-09,0.0,34.6,18.5,6.09,0.121,Sri Sathya Sai,AP
2014-02-10,0.0,34.2,20.1,6.23,0.121,Sri Sathya Sai,AP
2014-02-11,0.0,34.0,19.7,5.88,0.121,Sri Sathya Sai,AP
2014-02-12,0.0,34.0,19.5,6.55,0.121,Sri Sathya Sai,AP
2014-02-13,0.0,34.3,21.2,5.64,0.121,Sri Sathya Sai,AP
2014-02-14,0.0,31.4,22.4,4.53,0.121,Sri Sathya Sai,AP
2014-02-15,0.0,32.8,21.6,4.94,0.121,Sri Sathya Sai,AP
2014-02-16,0.0,31.7,21.4,4.99,0.121,Sri Sathya Sai,AP
2014-02-17,0.0,32.6,21.5,5.7,0.121,Sri Sathya Sai,AP
2014-02-18,0.0,31.0,19.9,4.96,0.121,Sri Sathya Sai,AP
2014-02-19,0.1,30.7,21.5,4.28,0.122,Sri Sathya Sai,AP
2014-02-20,0.0,31.8,20.6,5.04,0.122,Sri Sathya Sai,AP
2014-02-21,0.0,32.9,21.0,5.36,0.122,Sri Sathya Sai,AP
2014-02-22,0.0,34.0,22.0,6.41,0.122,Sri Sathya Sai,AP
2014-02-23,0.0,33.3,19.7,6.89,0.122,Sri Sathya Sai,AP
2014-02-24,0.0,32.6,17.6,6.44,0.121,Sri Sathya Sai,AP
2014-02-25,0.0,31.7,22.7,4.45,0.122,Sri Sathya Sai,AP
2014-02-26,0.0,33.6,21.0,5.99,0.123,Sri Sathya Sai,AP
2014-02-27,0.0,34.8,19.4,6.75,0.122,Sri Sathya Sai,AP
2014-02-28,0.0,33.2,20.7,5.14,0.122,Sri Sathya Sai,AP
2014-03-01,0.0,31.9,21.9,5.03,0.123,Sri Sathya Sai,AP
2014-03-02,0.0,33.3,22.2,5.67,0.123,Sri Sathya Sai,AP
2014-03-03,3.6,32.8,21.4,4.74,0.157,Sri Sathya Sai,AP
2014-03-04,1.1,30.8,22.0,4.15,0.171,Sri Sathya Sai,AP
2014-03-05,0.9,30.8,21.6,4.72,0.18,Sri Sathya Sai,AP
2014-03-06,1.7,31.1,21.5,4.53,0.181,Sri Sathya Sai,AP
2014-03-07,0.3,32.7,21.3,5.73,0.184,Sri Sathya Sai,AP
2014-03-08,1.3,33.9,21.1,6.54,0.183,Sri Sathya Sai,AP
2014-03-09,0.0,32.9,19.9,6.41,0.17,Sri Sathya Sai,AP
2014-03-10,0.0,33.6,21.3,6.39,0.16,Sri Sathya Sai,AP
2014-03-11,0.0,34.4,21.0,6.91,0.151,Sri Sathya Sai,AP
2014-03-12,0.0,32.4,21.5,5.23,0.145,Sri Sathya Sai,AP
2014-03-13,0.0,34.6,21.5,6.93,0.14,Sri Sathya Sai,AP
2014-03-14,0.0,35.8,18.8,7.69,0.136,Sri Sathya Sai,AP
2014-03-15,0.0,36.4,18.9,7.92,0.132,Sri Sathya Sai,AP
2014-03-16,0.0,37.0,19.6,8.08,0.13,Sri Sathya Sai,AP
2014-03-17,0.0,37.1,21.9,8.03,0.128,Sri Sathya Sai,AP
2014-03-18,0.0,37.8,21.6,7.79,0.126,Sri Sathya Sai,AP
2014-03-19,0.0,38.1,20.6,7.73,0.125,Sri Sathya Sai,AP
2014-03-20,0.0,38.5,21.1,7.49,0.123,Sri Sathya Sai,AP
2014-03-21,0.0,39.0,23.0,7.18,0.123,Sri Sathya Sai,AP
2014-03-22,0.0,38.1,24.3,6.33,0.122,Sri Sathya Sai,AP
2014-03-23,0.0,39.4,24.1,8.08,0.122,Sri Sathya Sai,AP
2014-03-24,0.0,39.2,24.8,8.16,0.121,Sri Sathya Sai,AP
