date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,0.0,25.8,16.3,3.56,0.071,Srikakulam,AP
2020-01-01,4.6,27.2,17.7,2.9,0.071,Srikakulam,AP
2020-01-02,8.9,25.9,19.9,2.56,0.138,Srikakulam,AP
2020-01-03,6.2,26.0,20.8,2.1,0.233,Srikakulam,AP
2020-01-04,2.5,24.5,20.3,1.44,0.215,Srikakulam,AP
2020-01-05,0.2,26.0,19.9,2.43,0.194,Srikakulam,AP
2020-01-06,0.0,26.2,18.5,3.48,0.177,Srikakulam,AP
2020-01-07,0.0,25.8,17.1,3.18,0.165,Srikakulam,AP
2020-01-08,0.0,26.1,16.4,3.2,0.156,Srikakulam,AP
2020-01-09,0.0,27.4,17.7,3.15,0.148,Srikakulam,AP
2020-01-10,0.6,26.5,19.1,2.71,0.14,Srikakulam,AP
2020-01-11,0.0,26.0,18.3,3.15,0.134,Srikakulam,AP
2020-01-12,0.0,25.8,15.7,3.65,0.123,Srikakulam,AP
2020-01-13,0.0,26.6,14.4,3.4,0.115,Srikakulam,AP
2020-01-14,0.0,27.1,15.2,3.33,0.107,Srikakulam,AP
2020-01-15,0.0,26.9,16.6,3.29,0.098,Srikakulam,AP
2020-01-16,0.0,26.7,17.2,3.19,0.09,Srikakulam,AP
2020-01-17,0.0,27.6,17.1,3.17,0.084,Srikakulam,AP
2020-01-18,0.0,28.3,18.3,3.47,0.077,Srikakulam,AP
2020-01-19,0.1,28.7,18.5,3.45,0.073,Srikakulam,AP
2020-01-20,0.2,28.6,18.2,3.21,0.07,Srikakulam,AP
2020-01-21,0.1,28.9,19.0,3.32,0.069,Srikakulam,AP
2020-01-22,0.0,28.7,19.8,3.5,0.066,Srikakulam,AP
2020-01-23,0.0,28.7,19.0,3.66,0.064,Srikakulam,AP
2020-01-24,0.0,29.1,17.8,3.48,0.063,Srikakulam,AP
2020-01-25,0.1,28.3,18.2,3.46,0.063,Srikakulam,AP
2020-01-26,0.1,29.3,19.0,3.51,0.064,Srikakulam,AP
2020-01-27,0.0,29.0,19.0,3.6,0.064,Srikakulam,AP
2020-01-28,1.2,27.8,20.8,3.04,0.066,Srikakulam,AP
2020-01-29,0.0,29.2,22.2,3.76,0.067,Srikakulam,AP
2020-01-30,0.4,29.5,21.3,3.48,0.068,Srikakulam,AP
2020-01-31,0.0,28.8,19.7,3.69,0.072,Srikakulam,AP
2020-02-01,6.4,25.9,21.6,2.12,0.111,Srikakulam,AP
2020-02-02,2.9,26.9,20.4,2.99,0.158,Srikakulam,AP
2020-02-03,1.2,25.7,20.9,2.55,0.175,Srikakulam,AP
2020-02-04,11.3,25.7,21.0,2.16,0.206,Srikakulam,AP
2020-02-05,8.5,27.2,21.0,2.84,0.244,Srikakulam,AP
2020-02-06,3.6,27.8,21.4,3.14,0.231,Srikakulam,AP
2020-02-07,27.0,26.3,20.6,1.9,0.267,Srikakulam,AP
2020-02-08,2.9,25.4,20.7,2.78,0.23,Srikakulam,AP
2020-02-09,0.0,26.2,19.0,3.1,0.209,Srikakulam,AP
2020-02-10,0.0,26.5,18.4,3.67,0.192,Srikakulam,AP
2020-02-11,0.2,26.8,18.9,3.53,0.176,Srikakulam,AP
2020-02-12,0.0,28.1,18.4,4.04,0.16,Srikakulam,AP
2020-02-13,0.0,31.1,17.2,4.29,0.149,Srikakulam,AP
2020-02-14,0.0,31.7,18.8,4.37,0.136,Srikakulam,AP
2020-02-15,0.0,30.4,18.4,4.29,0.123,Srikakulam,AP
2020-02-16,0.0,29.5,20.8,4.05,0.114,Srikakulam,AP
2020-02-17,0.0,28.9,18.8,4.05,0.109,Srikakulam,AP
2020-02-18,0.0,29.4,19.7,4.09,0.098,Srikakulam,AP
2020-02-19,0.6,28.1,20.3,3.63,0.092,Srikakulam,AP
2020-02-20,0.0,29.1,19.9,4.37,0.086,Srikakulam,AP
2020-02-21,0.0,29.4,19.8,4.53,0.078,Srikakulam,AP
2020-02-22,0.0,29.4,19.3,4.57,0.072,Srikakulam,AP
2020-02-23,0.0,30.0,17.5,4.62,0.067,Srikakulam,AP
2020-02-24,0.0,30.1,17.7,4.25,0.064,Srikakulam,AP
2020-02-25,0.5,29.6,21.9,3.68,0.065,Srikakulam,AP
2020-02-26,14.8,29.1,20.4,3.37,0.135,Srikakulam,AP
2020-02-27,0.0,29.2,19.5,4.64,0.12,Srikakulam,AP
2020-02-28,0.0,29.7,18.1,4.38,0.107,Srikakulam,AP
2020-02-29,0.2,28.7,18.4,4.12,0.097,Srikakulam,AP
2020-03-01,0.0,30.2,18.7,4.36,0.09,Srikakulam,AP
2020-03-02,0.1,30.2,19.3,4.3,0.081,Srikakulam,AP
2020-03-03,0.0,30.3,19.2,4.67,0.073,Srikakulam,AP
2020-03-04,0.0,29.6,21.4,4.15,0.068,Srikakulam,AP
2020-03-05,0.0,29.4,21.9,4.15,0.066,Srikakulam,AP
2020-03-06,1.4,28.9,23.4,3.82,0.068,Srikakulam,AP
2020-03-07,0.9,29.6,24.5,3.58,0.075,Srikakulam,AP
2020-03-08,0.1,30.8,23.0,4.42,0.081,Srikakulam,AP
2020-03-09,2.8,31.5,22.9,3.79,0.087,Srikakulam,AP
2020-03-10,0.2,31.0,22.9,4.57,0.092,Srikakulam,AP
2020-03-11,0.1,30.8,23.2,4.75,0.085,Srikakulam,AP
2020-03-12,0.0,31.5,23.9,4.87,0.079,Srikakulam,AP
2020-03-13,0.0,32.3,22.7,4.98,0.073,Srikakulam,AP
2020-03-14,0.0,31.8,21.6,4.96,0.068,Srikakulam,AP
2020-03-15,0.0,31.3,21.9,4.71,0.065,Srikakulam,AP
2020-03-16,0.0,32.1,22.1,4.83,0.063,Srikakulam,AP
2020-03-17,0.0,32.2,22.3,4.75,0.061,Srikakulam,AP
2020-03-18,0.0,32.4,22.4,4.73,0.06,Srikakulam,AP
2020-03-19,15.5,33.2,24.0,3.31,0.116,Srikakulam,AP
2020-03-20,0.0,31.1,22.7,4.36,0.211,Srikakulam,AP
2020-03-21,0.1,30.4,22.2,3.95,0.187,Srikakulam,AP
2020-03-22,0.6,30.3,23.1,4.26,0.168,Srikakulam,AP
2020-03-23,4.5,29.8,23.0,3.73,0.164,Srikakulam,AP
2020-03-24,0.0,31.6,23.3,4.74,0.156,Srikakulam,AP
2020-03-25,0.0,31.7,22.0,4.53,0.14,Srikakulam,AP
2020-03-26,0.0,33.9,21.8,5.1,0.128,Srikakulam,AP
2020-03-27,0.0,33.3,21.9,5.58,0.113,Srikakulam,AP
2020-03-28,0.0,34.9,23.0,5.64,0.101,Srikakulam,AP
2020-03-29,0.0,35.3,23.7,5.58,0.094,Srikakulam,AP
2020-03-30,0.0,34.4,24.5,4.94,0.086,Srikakulam,AP
2020-03-31,0.0,34.8,24.4,5.51,0.079,Srikakulam,AP
2020-04-01,0.0,36.1,24.2,5.44,0.076,Srikakulam,AP
2020-04-02,0.0,33.8,24.1,5.58,0.074,Srikakulam,AP
2020-04-03,0.0,33.0,24.4,5.33,0.073,Srikakulam,AP
2020-04-04,0.0,32.8,25.3,5.2,0.071,Srikakulam,AP
2020-04-05,0.0,34.0,25.5,5.29,0.072,Srikakulam,AP
2020-04-06,0.0,34.3,25.1,5.34,0.072,Srikakulam,AP
2020-04-07,0.0,33.0,25.1,5.05,0.07,Srikakulam,AP
2020-04-08,4.1,33.5,25.9,5.01,0.068,Srikakulam,AP
2020-04-09,0.0,32.9,25.2,5.04,0.066,Srikakulam,AP
2020-04-10,0.0,33.8,26.3,5.38,0.064,Srikakulam,AP
2020-04-11,0.0,34.5,23.7,5.21,0.062,Srikakulam,AP
2020-04-12,0.0,34.9,24.0,5.27,0.065,Srikakulam,AP
2020-04-13,0.0,35.0,23.6,5.7,0.067,Srikakulam,AP
2020-04-14,0.0,35.3,24.2,5.41,0.067,Srikakulam,AP
2020-04-15,0.0,33.8,26.3,5.59,0.065,Srikakulam,AP
2020-04-16,0.0,34.1,25.6,5.9,0.064,Srikakulam,AP
2020-04-17,0.0,32.9,26.7,5.94,0.065,Srikakulam,AP
2020-04-18,0.0,32.7,26.5,5.63,0.068,Srikakulam,AP
2020-04-19,0.0,32.8,25.7,5.25,0.075,Srikakulam,AP
2020-04-20,0.0,33.3,24.9,5.23,0.076,Srikakulam,AP
2020-04-21,0.0,32.4,26.4,5.45,0.076,Srikakulam,AP
2020-04-22,0.0,32.9,26.6,5.35,0.08,Srikakulam,AP
2020-04-23,0.0,33.1,26.6,5.43,0.073,Srikakulam,AP
2020-04-24,0.4,33.4,27.5,5.59,0.07,Srikakulam,AP
2020-04-25,5.9,32.6,27.1,4.3,0.076,Srikakulam,AP
2020-04-26,9.9,32.1,25.6,3.95,0.088,Srikakulam,AP
