date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2017-12-31,0.0,28.1,19.1,3.32,0.266,Tirupati,AP
2018-01-01,0.0,30.6,18.4,4.31,0.261,Tirupati,AP
2018-01-02,0.0,29.1,18.4,3.75,0.259,Tirupati,AP
2018-01-03,0.0,28.8,20.5,3.73,0.259,Tirupati,AP
2018-01-04,0.0,28.4,18.8,3.82,0.258,Tirupati,AP
2018-01-05,0.0,27.7,17.4,4.11,0.257,Tirupati,AP
2018-01-06,0.0,28.4,16.7,4.27,0.255,Tirupati,AP
2018-01-07,0.0,28.3,16.1,4.5,0.252,Tirupati,AP
2018-01-08,0.0,27.8,16.3,4.28,0.25,Tirupati,AP
2018-01-09,0.0,27.0,19.1,2.82,0.252,Tirupati,AP
2018-01-10,0.4,25.5,20.3,1.59,0.254,Tirupati,AP
2018-01-11,0.0,29.1,20.7,3.3,0.252,Tirupati,AP
2018-01-12,0.0,30.9,19.4,4.28,0.247,Tirupati,AP
2018-01-13,0.0,31.3,18.7,4.41,0.245,Tirupati,AP
2018-01-14,0.0,30.2,20.0,4.44,0.244,Tirupati,AP
2018-01-15,0.0,31.0,18.3,4.32,0.24,Tirupati,AP
2018-01-16,0.0,30.3,20.0,4.21,0.239,Tirupati,AP
2018-01-17,0.0,29.9,19.5,4.63,0.239,Tirupati,AP
2018-01-18,0.0,28.7,17.1,4.6,0.241,Tirupati,AP
2018-01-19,0.0,28.5,16.2,4.61,0.24,Tirupati,AP
2018-01-20,0.0,28.5,15.9,4.48,0.24,Tirupati,AP
2018-01-21,0.0,28.3,16.3,4.53,0.24,Tirupati,AP
2018-01-22,0.0,28.1,18.1,4.29,0.241,Tirupati,AP
2018-01-23,0.0,29.4,18.0,4.37,0.241,Tirupati,AP
2018-01-24,0.0,30.2,18.0,4.48,0.242,Tirupati,AP
2018-01-25,0.0,30.7,17.7,4.83,0.241,Tirupati,AP
2018-01-26,0.0,30.4,17.8,4.88,0.238,Tirupati,AP
2018-01-27,0.0,29.6,18.6,4.6,0.238,Tirupati,AP
2018-01-28,0.0,29.1,18.2,4.47,0.239,Tirupati,AP
2018-01-29,0.0,29.9,17.8,4.5,0.239,Tirupati,AP
2018-01-30,0.0,28.9,16.7,4.68,0.24,Tirupati,AP
2018-01-31,0.0,29.8,16.4,4.91,0.24,Tirupati,AP
2018-02-01,0.0,31.0,14.8,5.4,0.24,Tirupati,AP
2018-02-02,0.0,31.7,15.9,5.46,0.236,Tirupati,AP
2018-02-03,0.0,29.6,15.2,5.3,0.234,Tirupati,AP
2018-02-04,0.0,29.2,14.7,4.9,0.233,Tirupati,AP
2018-02-05,0.0,28.9,16.8,4.41,0.231,Tirupati,AP
2018-02-06,0.0,32.2,18.3,4.6,0.231,Tirupati,AP
2018-02-07,0.6,32.7,21.3,4.57,0.232,Tirupati,AP
2018-02-08,0.0,32.8,23.0,4.42,0.233,Tirupati,AP
2018-02-09,0.0,33.5,20.5,4.55,0.236,Tirupati,AP
2018-02-10,0.0,32.3,21.7,4.65,0.242,Tirupati,AP
2018-02-11,0.0,32.0,21.6,4.83,0.24,Tirupati,AP
2018-02-12,0.0,31.2,20.7,3.95,0.241,Tirupati,AP
2018-02-13,0.2,30.8,19.3,4.19,0.244,Tirupati,AP
2018-02-14,0.0,31.4,20.7,4.63,0.248,Tirupati,AP
2018-02-15,0.0,31.4,20.2,4.98,0.246,Tirupati,AP
2018-02-16,0.0,31.8,17.8,5.25,0.243,Tirupati,AP
2018-02-17,0.0,32.4,20.2,5.33,0.242,Tirupati,AP
2018-02-18,0.0,32.3,18.8,5.28,0.241,Tirupati,AP
2018-02-19,0.0,32.0,18.1,5.35,0.24,Tirupati,AP
2018-02-20,0.0,32.0,18.9,5.39,0.238,Tirupati,AP
2018-02-21,0.0,32.1,17.3,5.48,0.238,Tirupati,AP
2018-02-22,0.0,33.1,16.9,5.76,0.238,Tirupati,AP
2018-02-23,0.0,31.9,17.6,5.59,0.236,Tirupati,AP
2018-02-24,0.0,31.6,18.0,5.15,0.236,Tirupati,AP
2018-02-25,0.0,32.3,18.0,5.51,0.237,Tirupati,AP
2018-02-26,0.0,33.3,17.6,5.61,0.235,Tirupati,AP
2018-02-27,0.0,34.4,18.0,5.97,0.234,Tirupati,AP
2018-02-28,0.0,34.6,18.2,5.93,0.234,Tirupati,AP
2018-03-01,0.0,35.1,19.4,6.21,0.232,Tirupati,AP
2018-03-02,0.0,35.3,19.2,6.33,0.23,Tirupati,AP
2018-03-03,0.0,35.9,18.3,6.59,0.227,Tirupati,AP
2018-03-04,0.0,36.2,18.2,6.76,0.227,Tirupati,AP
2018-03-05,0.0,35.3,17.3,6.26,0.224,Tirupati,AP
2018-03-06,0.0,34.9,18.1,5.99,0.222,Tirupati,AP
2018-03-07,0.0,34.2,20.4,5.88,0.22,Tirupati,AP
2018-03-08,0.0,35.6,18.2,6.59,0.22,Tirupati,AP
2018-03-09,0.0,35.0,19.1,5.93,0.219,Tirupati,AP
2018-03-10,0.0,35.4,20.9,6.08,0.218,Tirupati,AP
2018-03-11,0.0,35.0,19.9,6.0,0.215,Tirupati,AP
2018-03-12,0.0,35.0,20.7,5.44,0.216,Tirupati,AP
2018-03-13,0.0,35.8,23.3,5.25,0.214,Tirupati,AP
2018-03-14,0.0,35.2,23.9,5.53,0.213,Tirupati,AP
2018-03-15,0.1,35.6,24.1,6.08,0.213,Tirupati,AP
2018-03-16,16.1,35.7,24.3,4.54,0.251,Tirupati,AP
2018-03-17,16.8,28.7,23.3,2.78,0.438,Tirupati,AP
2018-03-18,0.0,33.3,22.9,5.21,0.386,Tirupati,AP
2018-03-19,0.0,33.9,22.4,5.71,0.343,Tirupati,AP
2018-03-20,0.0,35.9,20.4,5.83,0.31,Tirupati,AP
2018-03-21,0.0,36.9,21.9,6.51,0.288,Tirupati,AP
2018-03-22,0.0,37.7,23.1,5.31,0.275,Tirupati,AP
2018-03-23,0.0,37.0,25.3,5.28,0.272,Tirupati,AP
2018-03-24,0.0,36.9,24.8,5.91,0.269,Tirupati,AP
2018-03-25,0.0,37.2,23.9,6.33,0.261,Tirupati,AP
2018-03-26,0.0,37.3,23.0,6.33,0.254,Tirupati,AP
