date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,27.5,18.1,3.59,0.048,Visakhapatnam,AP
2025-12-30,0.0,28.0,18.8,3.46,0.048,Visakhapatnam,AP
2025-12-31,0.0,29.0,19.1,3.38,0.048,Visakhapatnam,AP
2026-01-01,0.4,28.0,19.4,3.27,0.052,Visakhapatnam,AP
2026-01-02,0.0,28.7,19.7,3.44,0.055,Visakhapatnam,AP
2026-01-03,0.0,27.8,18.9,3.52,0.054,Visakhapatnam,AP
2026-01-04,0.0,28.3,18.8,3.4,0.049,Visakhapatnam,AP
2026-01-05,0.0,28.4,19.0,3.55,0.048,Visakhapatnam,AP
2026-01-06,0.0,27.5,19.0,3.76,0.048,Visakhapatnam,AP
2026-01-07,0.0,26.7,17.7,3.91,0.048,Visakhapatnam,AP
2026-01-08,0.0,27.1,17.5,4.45,0.048,Visakhapatnam,AP
2026-01-09,0.0,26.7,17.6,4.44,0.048,Visakhapatnam,AP
2026-01-10,0.0,27.2,18.4,4.07,0.048,Visakhapatnam,AP
2026-01-11,0.1,26.5,19.1,3.74,0.051,Visakhapatnam,AP
2026-01-12,0.0,27.5,19.6,4.32,0.045,Visakhapatnam,AP
2026-01-13,0.0,28.9,19.1,4.03,0.033,Visakhapatnam,AP
2026-01-14,0.0,28.3,17.0,3.63,0.029,Visakhapatnam,AP
2026-01-15,0.0,28.3,18.4,3.49,0.036,Visakhapatnam,AP
2026-01-16,0.0,28.7,19.0,3.77,0.043,Visakhapatnam,AP
2026-01-17,0.0,28.8,17.1,3.78,0.049,Visakhapatnam,AP
2026-01-18,0.0,28.3,16.5,3.62,0.048,Visakhapatnam,AP
2026-01-19,0.0,28.2,17.6,3.71,0.048,Visakhapatnam,AP
2026-01-20,0.0,29.2,17.0,4.17,0.048,Visakhapatnam,AP
2026-01-21,0.0,29.6,18.1,4.42,0.048,Visakhapatnam,AP
2026-01-22,0.1,29.1,18.7,4.25,0.048,Visakhapatnam,AP
2026-01-23,0.0,28.1,19.5,3.67,0.048,Visakhapatnam,AP
