date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,29.9,18.9,3.62,0.236,West Godavari,AP
2025-12-30,0.0,29.9,19.1,3.35,0.24,West Godavari,AP
2025-12-31,0.0,29.3,20.3,2.83,0.248,West Godavari,AP
2026-01-01,0.0,30.0,20.3,3.57,0.258,West Godavari,AP
2026-01-02,0.6,30.9,20.3,3.65,0.262,West Godavari,AP
2026-01-03,0.0,29.6,20.2,3.69,0.262,West Godavari,AP
2026-01-04,0.0,29.2,19.7,3.45,0.252,West Godavari,AP
2026-01-05,0.0,29.5,19.6,3.58,0.245,West Godavari,AP
2026-01-06,0.0,29.5,19.7,4.12,0.24,West Godavari,AP
2026-01-07,0.0,29.0,18.3,4.17,0.234,West Godavari,AP
2026-01-08,0.0,28.6,17.5,4.51,0.233,West Godavari,AP
2026-01-09,0.0,27.7,17.2,4.21,0.231,West Godavari,AP
2026-01-10,0.1,28.1,20.6,3.83,0.23,West Godavari,AP
2026-01-11,0.0,27.4,18.7,4.1,0.229,West Godavari,AP
2026-01-12,0.0,29.2,20.5,4.26,0.226,West Godavari,AP
2026-01-13,0.0,31.0,20.4,4.16,0.211,West Godavari,AP
2026-01-14,0.0,30.4,19.4,3.83,0.204,West Godavari,AP
2026-01-15,0.6,29.1,20.5,3.37,0.207,West Godavari,AP
2026-01-16,0.1,30.1,20.0,3.55,0.218,West Godavari,AP
2026-01-17,0.0,29.2,18.6,3.67,0.219,West Godavari,AP
2026-01-18,0.0,28.9,18.0,3.7,0.212,West Godavari,AP
2026-01-19,0.0,29.0,18.6,3.83,0.211,West Godavari,AP
2026-01-20,0.0,29.7,18.2,3.9,0.21,West Godavari,AP
2026-01-21,0.0,29.5,18.7,4.22,0.214,West Godavari,AP
2026-01-22,0.0,29.4,18.5,4.13,0.217,West Godavari,AP
2026-01-23,0.2,28.6,19.3,3.74,0.225,West Godavari,AP
2026-01-24,0.1,29.5,21.2,3.49,0.23,West Godavari,AP
2026-01-25,0.0,30.8,21.6,4.14,0.226,West Godavari,AP
2026-01-26,0.0,30.8,20.5,4.25,0.231,West Godavari,AP
2026-01-27,0.0,30.5,19.6,4.22,0.227,West Godavari,AP
2026-01-28,0.0,30.2,19.1,3.89,0.22,West Godavari,AP
2026-01-29,0.0,30.5,19.6,3.75,0.212,West Godavari,AP
2026-01-30,0.0,30.9,19.7,4.41,0.205,West Godavari,AP
2026-01-31,0.0,30.4,19.9,4.11,0.198,West Godavari,AP
2026-02-01,0.0,30.2,20.3,3.7,0.199,West Godavari,AP
2026-02-02,0.0,30.7,20.5,4.1,0.209,West Godavari,AP
2026-02-03,0.0,30.0,19.9,4.32,0.218,West Godavari,AP
2026-02-04,0.0,29.7,20.9,4.56,0.221,West Godavari,AP
2026-02-05,0.0,30.7,19.4,4.75,0.221,West Godavari,AP
2026-02-06,0.0,30.7,18.9,4.3,0.221,West Godavari,AP
2026-02-07,0.0,31.5,19.0,4.26,0.221,West Godavari,AP
2026-02-08,0.0,30.4,19.5,4.35,0.221,West Godavari,AP
2026-02-09,0.0,29.1,18.8,4.11,0.221,West Godavari,AP
2026-02-10,0.0,30.1,19.1,4.22,0.221,West Godavari,AP
2026-02-11,0.0,30.4,18.9,4.5,0.222,West Godavari,AP
2026-02-12,0.0,30.6,18.6,4.52,0.222,West Godavari,AP
2026-02-13,0.0,30.0,18.1,4.35,0.222,West Godavari,AP
2026-02-14,0.0,30.3,18.7,4.31,0.223,West Godavari,AP
2026-02-15,0.0,31.4,20.6,4.42,0.222,West Godavari,AP
2026-02-16,0.0,31.0,20.6,4.29,0.223,West Godavari,AP
2026-02-17,0.0,31.7,19.8,4.47,0.222,West Godavari,AP
2026-02-18,0.0,31.4,19.9,4.79,0.222,West Godavari,AP
2026-02-19,0.0,32.9,19.8,4.82,0.222,West Godavari,AP
2026-02-20,0.0,33.6,20.7,5.22,0.222,West Godavari,AP
2026-02-21,0.1,33.6,21.7,4.91,0.223,West Godavari,AP
2026-02-22,0.6,33.7,22.2,4.44,0.223,West Godavari,AP
2026-02-23,1.9,32.0,22.8,4.27,0.209,West Godavari,AP
2026-02-24,0.1,29.9,22.4,2.95,0.23,West Godavari,AP
2026-02-25,1.6,33.1,21.5,4.16,0.237,West Godavari,AP
2026-02-26,0.3,32.6,22.2,4.06,0.242,West Godavari,AP
2026-02-27,0.6,32.0,22.6,4.42,0.251,West Godavari,AP
2026-02-28,0.5,31.0,22.6,4.24,0.244,West Godavari,AP
2026-03-01,0.0,31.8,22.1,4.74,0.233,West Godavari,AP
2026-03-02,0.0,33.5,22.9,5.4,0.233,West Godavari,AP
2026-03-03,0.0,34.3,22.3,5.22,0.236,West Godavari,AP
2026-03-04,0.0,33.5,22.0,5.06,0.218,West Godavari,AP
2026-03-05,0.0,36.1,22.2,5.39,0.234,West Godavari,AP
2026-03-06,0.0,36.0,21.8,5.41,0.243,West Godavari,AP
2026-03-07,0.1,32.2,23.9,4.76,0.231,West Godavari,AP
2026-03-08,0.0,31.0,23.2,4.82,0.238,West Godavari,AP
2026-03-09,0.3,31.0,23.2,3.68,0.239,West Godavari,AP
2026-03-10,0.0,32.9,21.9,5.29,0.235,West Godavari,AP
2026-03-11,0.0,34.7,21.5,5.39,0.231,West Godavari,AP
2026-03-12,0.0,34.3,23.0,5.11,0.227,West Godavari,AP
2026-03-13,0.0,32.4,24.1,5.13,0.229,West Godavari,AP
2026-03-14,0.0,32.1,23.6,4.99,0.227,West Godavari,AP
2026-03-15,0.0,32.0,24.2,5.15,0.228,West Godavari,AP
2026-03-16,0.0,32.3,24.0,5.14,0.213,West Godavari,AP
2026-03-17,0.0,32.0,23.2,5.21,0.199,West Godavari,AP
2026-03-18,4.2,32.6,22.6,3.96,0.198,West Godavari,AP
2026-03-19,10.2,31.9,22.8,4.05,0.214,West Godavari,AP
2026-03-20,1.0,32.6,21.0,4.45,0.19,West Godavari,AP
2026-03-21,1.6,33.4,22.5,4.58,0.203,West Godavari,AP
