date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,30.2,19.4,4.22,0.273,YSR Kadapa,AP
2016-01-02,0.0,31.0,17.8,4.62,0.271,YSR Kadapa,AP
2016-01-03,0.0,31.8,18.1,4.76,0.268,YSR Kadapa,AP
2016-01-04,0.0,31.3,17.5,4.78,0.265,YSR Kadapa,AP
2016-01-05,0.0,30.6,18.0,4.81,0.263,YSR Kadapa,AP
2016-01-06,0.0,30.8,17.8,4.88,0.262,YSR Kadapa,AP
2016-01-07,0.0,30.0,18.4,4.72,0.26,YSR Kadapa,AP
2016-01-08,0.0,30.4,17.7,4.69,0.259,YSR Kadapa,AP
2016-01-09,0.0,31.2,17.0,5.07,0.257,YSR Kadapa,AP
2016-01-10,0.0,31.3,15.8,5.22,0.256,YSR Kadapa,AP
2016-01-11,0.0,30.9,17.0,5.18,0.255,YSR Kadapa,AP
2016-01-12,0.0,31.3,17.2,5.01,0.254,YSR Kadapa,AP
2016-01-13,0.0,31.5,18.1,5.03,0.253,YSR Kadapa,AP
2016-01-14,0.0,31.5,17.2,5.26,0.253,YSR Kadapa,AP
2016-01-15,0.0,30.7,18.0,5.08,0.252,YSR Kadapa,AP
2016-01-16,0.0,31.3,17.3,5.16,0.252,YSR Kadapa,AP
2016-01-17,0.0,31.1,18.3,4.95,0.251,YSR Kadapa,AP
2016-01-18,0.0,30.9,19.4,4.82,0.251,YSR Kadapa,AP
2016-01-19,0.9,31.7,23.1,4.05,0.253,YSR Kadapa,AP
2016-01-20,2.2,26.1,22.8,1.16,0.276,YSR Kadapa,AP
2016-01-21,1.2,28.2,22.0,2.72,0.291,YSR Kadapa,AP
2016-01-22,0.7,29.1,21.5,3.1,0.296,YSR Kadapa,AP
2016-01-23,1.9,28.5,22.3,3.22,0.302,YSR Kadapa,AP
2016-01-24,0.8,29.8,20.4,3.55,0.31,YSR Kadapa,AP
2016-01-25,0.0,32.1,20.0,4.7,0.307,YSR Kadapa,AP
2016-01-26,0.0,32.0,20.3,4.77,0.297,YSR Kadapa,AP
2016-01-27,0.0,33.2,19.6,4.93,0.289,YSR Kadapa,AP
2016-01-28,0.0,34.2,19.8,5.19,0.282,YSR Kadapa,AP
2016-01-29,0.0,33.7,20.4,5.48,0.276,YSR Kadapa,AP
2016-01-30,0.0,33.7,20.1,5.47,0.272,YSR Kadapa,AP
2016-01-31,0.0,34.7,18.7,5.62,0.268,YSR Kadapa,AP
2016-02-01,0.0,35.2,17.5,5.86,0.265,YSR Kadapa,AP
2016-02-02,0.0,35.9,17.8,5.89,0.261,YSR Kadapa,AP
2016-02-03,0.0,35.0,18.9,5.55,0.258,YSR Kadapa,AP
2016-02-04,0.0,35.1,20.7,6.06,0.256,YSR Kadapa,AP
2016-02-05,0.0,33.5,19.0,5.75,0.255,YSR Kadapa,AP
2016-02-06,0.0,33.7,19.8,5.83,0.253,YSR Kadapa,AP
2016-02-07,0.0,34.0,20.7,5.36,0.253,YSR Kadapa,AP
2016-02-08,0.0,34.3,21.0,5.92,0.252,YSR Kadapa,AP
2016-02-09,0.0,34.8,19.8,6.01,0.251,YSR Kadapa,AP
2016-02-10,0.0,35.4,20.0,5.91,0.251,YSR Kadapa,AP
2016-02-11,0.0,36.0,21.4,5.6,0.25,YSR Kadapa,AP
2016-02-12,0.0,36.0,21.9,5.87,0.25,YSR Kadapa,AP
2016-02-13,0.0,35.6,21.5,5.45,0.25,YSR Kadapa,AP
2016-02-14,0.0,34.5,21.4,6.26,0.25,YSR Kadapa,AP
2016-02-15,0.0,33.5,19.1,5.78,0.25,YSR Kadapa,AP
2016-02-16,0.0,34.1,20.5,6.03,0.25,YSR Kadapa,AP
2016-02-17,0.0,32.8,19.1,5.61,0.25,YSR Kadapa,AP
2016-02-18,0.0,33.6,21.7,5.42,0.25,YSR Kadapa,AP
2016-02-19,0.0,34.7,18.8,6.05,0.25,YSR Kadapa,AP
2016-02-20,0.0,36.4,20.3,6.06,0.25,YSR Kadapa,AP
2016-02-21,0.0,37.9,22.2,6.16,0.25,YSR Kadapa,AP
2016-02-22,0.0,38.6,21.7,6.53,0.25,YSR Kadapa,AP
2016-02-23,0.0,37.8,20.6,6.73,0.25,YSR Kadapa,AP
2016-02-24,0.0,36.9,21.5,6.21,0.25,YSR Kadapa,AP
2016-02-25,0.0,37.4,22.9,6.39,0.25,YSR Kadapa,AP
2016-02-26,0.0,35.6,24.4,6.37,0.25,YSR Kadapa,AP
2016-02-27,0.0,35.8,22.6,6.45,0.25,YSR Kadapa,AP
2016-02-28,0.0,34.2,24.6,5.29,0.25,YSR Kadapa,AP
2016-02-29,0.0,34.9,24.5,5.65,0.25,YSR Kadapa,AP
2016-03-01,0.0,35.8,22.3,6.24,0.25,YSR Kadapa,AP
2016-03-02,0.0,35.6,23.2,6.17,0.25,YSR Kadapa,AP
2016-03-03,0.0,35.6,22.9,6.41,0.25,YSR Kadapa,AP
2016-03-04,0.0,36.2,20.8,6.37,0.25,YSR Kadapa,AP
2016-03-05,0.0,36.4,21.2,6.31,0.25,YSR Kadapa,AP
2016-03-06,0.0,36.7,21.4,6.8,0.25,YSR Kadapa,AP
2016-03-07,0.0,36.2,21.6,6.71,0.25,YSR Kadapa,AP
2016-03-08,0.0,36.8,21.0,6.66,0.25,YSR Kadapa,AP
2016-03-09,0.0,37.3,21.2,6.67,0.25,YSR Kadapa,AP
2016-03-10,0.0,36.9,23.3,5.93,0.25,YSR Kadapa,AP
2016-03-11,0.0,38.3,22.4,6.51,0.25,YSR Kadapa,AP
2016-03-12,0.0,38.8,21.8,6.89,0.25,YSR Kadapa,AP
2016-03-13,0.0,39.2,25.0,6.18,0.25,YSR Kadapa,AP
2016-03-14,0.0,39.3,27.3,6.59,0.25,YSR Kadapa,AP
2016-03-15,4.7,36.6,26.0,5.99,0.268,YSR Kadapa,AP
2016-03-16,0.0,39.0,25.4,6.84,0.295,YSR Kadapa,AP
2016-03-17,0.0,38.6,25.5,5.9,0.283,YSR Kadapa,AP
2016-03-18,0.0,39.8,26.3,6.83,0.275,YSR Kadapa,AP
2016-03-19,0.0,40.8,25.5,6.86,0.269,YSR Kadapa,AP
2016-03-20,0.0,41.1,25.7,6.91,0.263,YSR Kadapa,AP
2016-03-21,0.0,41.5,27.0,6.82,0.258,YSR Kadapa,AP
2016-03-22,0.0,42.1,27.2,7.01,0.255,YSR Kadapa,AP
2016-03-23,0.0,41.0,27.1,6.75,0.253,YSR Kadapa,AP
2016-03-24,0.0,40.4,26.8,7.75,0.251,YSR Kadapa,AP
2016-03-25,0.0,40.2,24.6,7.62,0.251,YSR Kadapa,AP
2016-03-26,0.0,39.7,23.5,7.33,0.25,YSR Kadapa,AP
2016-03-27,0.0,39.5,23.4,7.88,0.25,YSR Kadapa,AP
2016-03-28,0.0,37.0,23.3,7.09,0.25,YSR Kadapa,AP
2016-03-29,0.0,38.8,23.3,6.91,0.25,YSR Kadapa,AP
2016-03-30,0.0,39.0,25.0,6.66,0.25,YSR Kadapa,AP
2016-03-31,0.0,39.2,25.4,6.98,0.25,YSR Kadapa,AP
2016-04-01,0.0,39.4,25.8,6.99,0.25,YSR Kadapa,AP
2016-04-02,0.0,40.6,25.7,7.21,0.249,YSR Kadapa,AP
2016-04-03,0.0,40.4,26.1,6.94,0.249,YSR Kadapa,AP
2016-04-04,0.0,41.4,26.5,7.54,0.249,YSR Kadapa,AP
2016-04-05,0.0,40.7,25.2,7.7,0.249,YSR Kadapa,AP
2016-04-06,0.0,40.2,25.6,7.54,0.249,YSR Kadapa,AP
2016-04-07,0.0,40.5,26.9,7.24,0.249,YSR Kadapa,AP
2016-04-08,0.0,40.7,27.5,7.46,0.249,YSR Kadapa,AP
2016-04-09,0.0,39.9,27.3,7.41,0.249,YSR Kadapa,AP
2016-04-10,0.0,40.3,27.1,7.47,0.249,YSR Kadapa,AP
2016-04-11,0.0,41.3,25.9,7.67,0.249,YSR Kadapa,AP
2016-04-12,0.0,42.4,25.8,7.61,0.249,YSR Kadapa,AP
2016-04-13,0.0,42.6,28.2,7.12,0.249,YSR Kadapa,AP
2016-04-14,0.0,43.1,29.7,7.55,0.249,YSR Kadapa,AP
2016-04-15,0.0,42.1,29.3,7.96,0.249,YSR Kadapa,AP
2016-04-16,0.0,42.4,27.5,7.74,0.249,YSR Kadapa,AP
2016-04-17,0.0,42.2,28.1,7.42,0.249,YSR Kadapa,AP
2016-04-18,0.0,40.9,27.1,7.83,0.249,YSR Kadapa,AP
2016-04-19,0.0,41.1,27.4,7.61,0.249,YSR Kadapa,AP
2016-04-20,0.0,42.0,27.3,7.42,0.249,YSR Kadapa,AP
2016-04-21,0.0,42.8,28.2,7.07,0.249,YSR Kadapa,AP
2016-04-22,0.0,42.5,30.4,7.88,0.249,YSR Kadapa,AP
2016-04-23,0.0,43.9,31.2,8.55,0.249,YSR Kadapa,AP
2016-04-24,0.0,44.1,28.7,8.34,0.249,YSR Kadapa,AP
2016-04-25,0.0,43.6,30.4,7.84,0.249,YSR Kadapa,AP
2016-04-26,0.0,42.4,30.8,7.65,0.249,YSR Kadapa,AP
2016-04-27,0.0,41.5,27.1,7.74,0.249,YSR Kadapa,AP
2016-04-28,0.0,42.8,26.9,8.08,0.249,YSR Kadapa,AP
2016-04-29,0.0,42.9,27.3,8.26,0.249,YSR Kadapa,AP
2016-04-30,0.0,42.9,27.4,8.32,0.249,YSR Kadapa,AP
2016-05-01,0.0,43.1,28.4,7.37,0.249,YSR Kadapa,AP
2016-05-02,0.0,42.9,30.3,7.52,0.249,YSR Kadapa,AP
2016-05-03,0.0,42.8,30.5,7.14,0.25,YSR Kadapa,AP
2016-05-04,0.1,42.3,30.5,6.77,0.251,YSR Kadapa,AP
2016-05-05,0.0,41.2,30.0,6.76,0.252,YSR Kadapa,AP
2016-05-06,0.6,38.4,30.3,6.05,0.254,YSR Kadapa,AP
2016-05-07,0.5,39.0,28.4,6.51,0.258,YSR Kadapa,AP
2016-05-08,0.4,40.3,28.8,6.51,0.26,YSR Kadapa,AP
2016-05-09,0.0,40.4,29.2,6.76,0.263,YSR Kadapa,AP
2016-05-10,1.2,39.1,28.6,6.36,0.268,YSR Kadapa,AP
2016-05-11,0.0,40.6,29.1,7.06,0.27,YSR Kadapa,AP
2016-05-12,0.0,41.4,30.0,6.45,0.265,YSR Kadapa,AP
2016-05-13,0.0,41.8,29.4,7.08,0.261,YSR Kadapa,AP
2016-05-14,0.0,42.0,30.4,7.89,0.257,YSR Kadapa,AP
2016-05-15,0.0,41.9,28.9,8.04,0.254,YSR Kadapa,AP
2016-05-16,0.6,38.6,28.0,6.03,0.254,YSR Kadapa,AP
2016-05-17,0.5,36.2,28.0,4.35,0.259,YSR Kadapa,AP
2016-05-18,14.8,30.6,25.6,1.58,0.349,YSR Kadapa,AP
2016-05-19,5.6,31.3,25.3,2.16,0.454,YSR Kadapa,AP
2016-05-20,2.0,34.4,27.1,5.08,0.43,YSR Kadapa,AP
2016-05-21,0.0,37.8,28.5,7.39,0.389,YSR Kadapa,AP
2016-05-22,0.0,40.0,28.0,8.92,0.351,YSR Kadapa,AP
2016-05-23,0.0,40.5,28.6,9.24,0.32,YSR Kadapa,AP
2016-05-24,0.0,40.7,28.9,9.11,0.298,YSR Kadapa,AP
2016-05-25,0.0,40.8,29.5,9.29,0.284,YSR Kadapa,AP
2016-05-26,0.0,41.0,29.4,8.22,0.275,YSR Kadapa,AP
2016-05-27,0.0,41.1,29.9,8.18,0.269,YSR Kadapa,AP
2016-05-28,2.0,40.2,27.9,7.86,0.268,YSR Kadapa,AP
2016-05-29,5.4,36.8,26.7,4.89,0.357,YSR Kadapa,AP
2016-05-30,0.0,39.3,28.7,7.31,0.334,YSR Kadapa,AP
2016-05-31,0.0,39.4,29.2,7.51,0.31,YSR Kadapa,AP
2016-06-01,4.4,40.0,28.4,7.49,0.302,YSR Kadapa,AP
2016-06-02,0.7,36.3,28.6,5.72,0.337,YSR Kadapa,AP
2016-06-03,4.0,38.1,26.5,6.66,0.326,YSR Kadapa,AP
2016-06-04,0.0,33.5,27.4,4.01,0.349,YSR Kadapa,AP
2016-06-05,0.3,34.4,28.2,4.56,0.334,YSR Kadapa,AP
2016-06-06,13.7,35.8,25.4,5.07,0.353,YSR Kadapa,AP
2016-06-07,12.5,33.0,25.1,3.5,0.467,YSR Kadapa,AP
2016-06-08,18.3,30.0,25.9,2.77,0.486,YSR Kadapa,AP
2016-06-09,1.5,34.6,25.2,4.86,0.459,YSR Kadapa,AP
2016-06-10,0.3,33.4,26.8,5.02,0.42,YSR Kadapa,AP
2016-06-11,0.0,34.2,27.1,6.63,0.394,YSR Kadapa,AP
2016-06-12,1.1,35.4,26.5,7.09,0.368,YSR Kadapa,AP
2016-06-13,3.7,34.6,27.3,5.68,0.365,YSR Kadapa,AP
2016-06-14,0.0,33.8,26.9,6.05,0.376,YSR Kadapa,AP
2016-06-15,0.0,35.5,27.2,7.46,0.354,YSR Kadapa,AP
2016-06-16,0.0,35.9,27.0,7.61,0.33,YSR Kadapa,AP
2016-06-17,0.1,36.2,27.1,7.27,0.311,YSR Kadapa,AP
2016-06-18,1.8,33.6,25.6,4.79,0.302,YSR Kadapa,AP
2016-06-19,5.3,31.5,24.4,3.03,0.357,YSR Kadapa,AP
2016-06-20,2.1,31.8,26.1,3.98,0.355,YSR Kadapa,AP
2016-06-21,5.2,34.6,25.2,4.41,0.386,YSR Kadapa,AP
2016-06-22,0.1,33.1,25.3,4.93,0.399,YSR Kadapa,AP
2016-06-23,0.7,34.6,26.4,6.26,0.372,YSR Kadapa,AP
2016-06-24,0.8,33.3,26.3,5.04,0.356,YSR Kadapa,AP
2016-06-25,0.0,32.6,26.0,5.62,0.345,YSR Kadapa,AP
2016-06-26,1.0,31.1,25.9,4.35,0.332,YSR Kadapa,AP
2016-06-27,15.2,29.6,24.4,2.36,0.416,YSR Kadapa,AP
2016-06-28,22.3,30.9,24.5,2.75,0.467,YSR Kadapa,AP
2016-06-29,8.3,28.0,24.6,2.71,0.484,YSR Kadapa,AP
2016-06-30,0.1,31.6,26.2,5.58,0.447,YSR Kadapa,AP
2016-07-01,0.5,32.4,26.5,5.19,0.421,YSR Kadapa,AP
2016-07-02,0.0,33.0,26.7,5.69,0.402,YSR Kadapa,AP
2016-07-03,0.0,33.6,26.9,5.84,0.381,YSR Kadapa,AP
2016-07-04,2.5,32.4,27.4,4.9,0.37,YSR Kadapa,AP
2016-07-05,2.3,31.5,26.3,3.96,0.386,YSR Kadapa,AP
2016-07-06,6.4,34.1,26.0,5.5,0.405,YSR Kadapa,AP
2016-07-07,0.2,33.9,26.5,6.09,0.424,YSR Kadapa,AP
2016-07-08,0.0,33.7,26.7,5.98,0.395,YSR Kadapa,AP
2016-07-09,0.0,33.6,26.7,6.82,0.368,YSR Kadapa,AP
2016-07-10,0.0,33.4,27.0,6.51,0.347,YSR Kadapa,AP
2016-07-11,0.0,34.8,27.4,7.34,0.329,YSR Kadapa,AP
2016-07-12,0.0,34.7,26.9,6.64,0.313,YSR Kadapa,AP
2016-07-13,0.0,34.8,26.3,5.96,0.302,YSR Kadapa,AP
2016-07-14,0.0,34.9,26.2,6.24,0.292,YSR Kadapa,AP
2016-07-15,2.9,36.3,26.6,5.19,0.29,YSR Kadapa,AP
2016-07-16,1.1,35.8,27.0,5.86,0.312,YSR Kadapa,AP
2016-07-17,5.0,35.4,26.0,4.97,0.315,YSR Kadapa,AP
2016-07-18,5.5,34.8,25.1,5.65,0.362,YSR Kadapa,AP
2016-07-19,1.7,31.4,24.7,3.77,0.416,YSR Kadapa,AP
2016-07-20,1.8,32.8,25.5,4.94,0.39,YSR Kadapa,AP
2016-07-21,9.3,31.8,23.7,3.96,0.438,YSR Kadapa,AP
2016-07-22,0.4,30.3,25.5,4.17,0.42,YSR Kadapa,AP
2016-07-23,5.0,30.8,24.6,3.68,0.41,YSR Kadapa,AP
2016-07-24,8.3,31.2,24.4,2.93,0.453,YSR Kadapa,AP
2016-07-25,6.0,32.1,24.7,3.53,0.443,YSR Kadapa,AP
2016-07-26,12.9,32.6,24.8,3.81,0.455,YSR Kadapa,AP
2016-07-27,13.2,32.3,25.1,3.75,0.467,YSR Kadapa,AP
