date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,0.9,24.5,16.4,2.29,0.3,Adilabad,TS
2021-12-31,0.0,26.3,15.2,3.03,0.3,Adilabad,TS
2022-01-01,0.0,27.1,15.1,3.34,0.299,Adilabad,TS
2022-01-02,0.0,27.2,16.4,3.46,0.295,Adilabad,TS
2022-01-03,0.0,26.8,14.7,3.4,0.288,Adilabad,TS
2022-01-04,0.0,27.5,14.6,3.63,0.284,Adilabad,TS
2022-01-05,0.0,28.2,14.8,3.55,0.282,Adilabad,TS
2022-01-06,0.0,28.8,18.4,4.04,0.279,Adilabad,TS
2022-01-07,0.0,28.3,18.9,4.62,0.277,Adilabad,TS
2022-01-08,1.9,28.2,19.5,3.53,0.279,Adilabad,TS
2022-01-09,0.6,29.1,18.4,3.24,0.282,Adilabad,TS
2022-01-10,3.0,25.0,17.4,1.75,0.292,Adilabad,TS
2022-01-11,4.0,23.0,16.5,1.95,0.332,Adilabad,TS
2022-01-12,0.6,24.1,16.3,1.99,0.356,Adilabad,TS
2022-01-13,1.1,24.8,15.7,2.29,0.359,Adilabad,TS
2022-01-14,4.7,23.0,15.8,1.54,0.434,Adilabad,TS
2022-01-15,0.3,23.9,15.3,2.32,0.422,Adilabad,TS
2022-01-16,0.0,25.8,14.5,3.3,0.402,Adilabad,TS
2022-01-17,0.0,26.2,15.4,3.45,0.385,Adilabad,TS
2022-01-18,0.0,26.5,14.3,3.54,0.364,Adilabad,TS
2022-01-19,0.0,25.9,14.4,3.52,0.344,Adilabad,TS
2022-01-20,0.0,27.8,13.8,3.75,0.328,Adilabad,TS
2022-01-21,0.0,28.4,15.6,4.3,0.319,Adilabad,TS
2022-01-22,0.0,29.9,15.1,4.27,0.308,Adilabad,TS
2022-01-23,0.0,27.3,17.3,3.92,0.303,Adilabad,TS
2022-01-24,0.0,24.4,13.3,3.86,0.3,Adilabad,TS
2022-01-25,0.0,23.6,12.1,3.62,0.3,Adilabad,TS
