date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,31.1,19.3,3.86,0.238,Bhadradri Kothagudem,TS
2016-01-02,0.0,31.6,19.4,3.86,0.237,Bhadradri Kothagudem,TS
2016-01-03,0.0,31.1,19.0,3.92,0.237,Bhadradri Kothagudem,TS
2016-01-04,0.0,30.3,18.6,3.78,0.237,Bhadradri Kothagudem,TS
2016-01-05,0.0,30.3,20.2,3.58,0.237,Bhadradri Kothagudem,TS
2016-01-06,0.0,29.8,20.3,3.57,0.237,Bhadradri Kothagudem,TS
2016-01-07,0.0,30.5,20.1,3.67,0.237,Bhadradri Kothagudem,TS
2016-01-08,0.0,30.6,19.8,3.69,0.236,Bhadradri Kothagudem,TS
2016-01-09,0.0,31.1,19.2,3.9,0.236,Bhadradri Kothagudem,TS
2016-01-10,0.0,31.2,18.8,4.08,0.236,Bhadradri Kothagudem,TS
2016-01-11,0.0,30.7,19.7,3.96,0.236,Bhadradri Kothagudem,TS
2016-01-12,0.0,30.6,18.3,4.18,0.236,Bhadradri Kothagudem,TS
2016-01-13,0.0,30.1,18.0,3.79,0.236,Bhadradri Kothagudem,TS
2016-01-14,0.0,30.1,18.9,4.01,0.236,Bhadradri Kothagudem,TS
2016-01-15,0.0,30.3,19.2,4.36,0.236,Bhadradri Kothagudem,TS
2016-01-16,0.0,30.1,19.2,4.27,0.236,Bhadradri Kothagudem,TS
2016-01-17,0.0,30.9,18.5,4.8,0.236,Bhadradri Kothagudem,TS
2016-01-18,0.0,30.5,17.7,4.76,0.236,Bhadradri Kothagudem,TS
2016-01-19,0.0,29.4,20.5,3.3,0.236,Bhadradri Kothagudem,TS
2016-01-20,2.6,25.7,22.3,1.12,0.252,Bhadradri Kothagudem,TS
2016-01-21,0.0,29.5,20.6,3.95,0.259,Bhadradri Kothagudem,TS
2016-01-22,0.0,28.9,17.7,4.05,0.255,Bhadradri Kothagudem,TS
2016-01-23,0.0,30.0,17.9,4.14,0.252,Bhadradri Kothagudem,TS
2016-01-24,0.0,30.1,18.7,4.05,0.248,Bhadradri Kothagudem,TS
2016-01-25,0.0,30.1,18.5,3.69,0.246,Bhadradri Kothagudem,TS
2016-01-26,0.0,29.8,19.3,3.31,0.244,Bhadradri Kothagudem,TS
2016-01-27,0.0,31.0,20.0,3.82,0.243,Bhadradri Kothagudem,TS
2016-01-28,0.0,32.7,19.9,4.36,0.241,Bhadradri Kothagudem,TS
2016-01-29,0.0,33.3,20.8,4.61,0.24,Bhadradri Kothagudem,TS
2016-01-30,0.0,33.2,20.7,4.36,0.239,Bhadradri Kothagudem,TS
2016-01-31,0.0,34.4,20.7,4.63,0.238,Bhadradri Kothagudem,TS
2016-02-01,0.0,35.1,22.3,4.61,0.237,Bhadradri Kothagudem,TS
2016-02-02,0.0,34.0,20.1,4.46,0.237,Bhadradri Kothagudem,TS
2016-02-03,0.0,34.3,21.2,4.5,0.236,Bhadradri Kothagudem,TS
2016-02-04,0.0,33.3,21.0,4.6,0.236,Bhadradri Kothagudem,TS
2016-02-05,0.0,31.7,21.5,4.18,0.236,Bhadradri Kothagudem,TS
2016-02-06,0.0,31.8,21.0,4.52,0.236,Bhadradri Kothagudem,TS
2016-02-07,0.0,32.5,21.3,4.58,0.236,Bhadradri Kothagudem,TS
2016-02-08,0.0,32.7,21.1,4.05,0.236,Bhadradri Kothagudem,TS
2016-02-09,0.0,33.6,21.9,4.51,0.236,Bhadradri Kothagudem,TS
2016-02-10,0.0,33.7,22.1,4.86,0.236,Bhadradri Kothagudem,TS
2016-02-11,0.0,33.1,22.7,4.61,0.236,Bhadradri Kothagudem,TS
2016-02-12,0.0,32.9,23.7,4.69,0.236,Bhadradri Kothagudem,TS
2016-02-13,0.0,33.0,22.4,4.31,0.236,Bhadradri Kothagudem,TS
2016-02-14,0.0,34.2,21.6,5.58,0.236,Bhadradri Kothagudem,TS
2016-02-15,0.0,34.1,20.3,5.87,0.236,Bhadradri Kothagudem,TS
2016-02-16,0.0,34.1,19.0,5.61,0.235,Bhadradri Kothagudem,TS
2016-02-17,0.0,34.8,18.9,6.03,0.235,Bhadradri Kothagudem,TS
2016-02-18,0.0,35.1,19.6,5.81,0.235,Bhadradri Kothagudem,TS
2016-02-19,0.0,35.5,20.4,5.69,0.235,Bhadradri Kothagudem,TS
2016-02-20,0.0,36.2,21.2,5.35,0.235,Bhadradri Kothagudem,TS
2016-02-21,0.0,36.8,20.7,5.62,0.235,Bhadradri Kothagudem,TS
2016-02-22,0.0,36.3,22.8,5.56,0.235,Bhadradri Kothagudem,TS
2016-02-23,0.0,35.7,23.3,5.95,0.235,Bhadradri Kothagudem,TS
2016-02-24,0.0,34.0,23.3,5.56,0.235,Bhadradri Kothagudem,TS
2016-02-25,0.0,33.3,23.7,4.5,0.235,Bhadradri Kothagudem,TS
2016-02-26,0.0,33.6,24.2,5.01,0.236,Bhadradri Kothagudem,TS
2016-02-27,0.0,33.7,23.9,5.12,0.236,Bhadradri Kothagudem,TS
2016-02-28,0.0,34.8,23.7,5.38,0.236,Bhadradri Kothagudem,TS
2016-02-29,0.0,34.6,24.6,5.18,0.236,Bhadradri Kothagudem,TS
2016-03-01,0.0,33.6,24.6,4.38,0.236,Bhadradri Kothagudem,TS
2016-03-02,0.3,33.2,24.9,4.54,0.237,Bhadradri Kothagudem,TS
2016-03-03,0.2,34.4,24.7,4.87,0.238,Bhadradri Kothagudem,TS
2016-03-04,0.1,34.5,23.7,4.74,0.239,Bhadradri Kothagudem,TS
2016-03-05,0.1,35.6,24.2,5.37,0.239,Bhadradri Kothagudem,TS
2016-03-06,0.0,36.4,23.9,6.55,0.238,Bhadradri Kothagudem,TS
2016-03-07,0.0,35.9,20.8,6.45,0.237,Bhadradri Kothagudem,TS
2016-03-08,0.0,36.2,19.8,6.41,0.237,Bhadradri Kothagudem,TS
2016-03-09,0.0,36.4,21.1,5.83,0.236,Bhadradri Kothagudem,TS
2016-03-10,0.0,37.8,22.4,6.18,0.236,Bhadradri Kothagudem,TS
2016-03-11,0.0,37.9,22.3,5.85,0.236,Bhadradri Kothagudem,TS
