date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2025-12-29,0.0,27.2,14.1,3.66,0.102,Hanumakonda,TS
2025-12-30,0.0,27.7,13.9,3.75,0.102,Hanumakonda,TS
2025-12-31,0.0,28.7,15.5,3.5,0.102,Hanumakonda,TS
2026-01-01,0.0,28.7,17.5,3.14,0.102,Hanumakonda,TS
2026-01-02,0.0,29.2,18.5,3.42,0.102,Hanumakonda,TS
2026-01-03,0.0,28.6,18.7,3.38,0.102,Hanumakonda,TS
2026-01-04,0.0,28.1,18.1,3.47,0.102,Hanumakonda,TS
2026-01-05,0.0,28.0,16.8,3.61,0.102,Hanumakonda,TS
2026-01-06,0.0,27.4,15.2,4.02,0.102,Hanumakonda,TS
2026-01-07,0.0,27.9,14.6,4.01,0.102,Hanumakonda,TS
2026-01-08,0.0,27.4,13.6,3.9,0.102,Hanumakonda,TS
2026-01-09,0.0,26.6,13.6,3.9,0.102,Hanumakonda,TS
2026-01-10,0.0,24.0,14.1,2.64,0.102,Hanumakonda,TS
2026-01-11,0.0,27.4,15.3,3.66,0.102,Hanumakonda,TS
2026-01-12,0.0,28.3,17.5,3.57,0.102,Hanumakonda,TS
2026-01-13,0.0,29.9,18.6,3.97,0.102,Hanumakonda,TS
2026-01-14,0.0,30.1,17.8,3.77,0.102,Hanumakonda,TS
2026-01-15,0.0,30.1,18.7,3.98,0.102,Hanumakonda,TS
2026-01-16,0.0,28.8,17.3,4.23,0.101,Hanumakonda,TS
2026-01-17,0.0,29.3,15.7,4.34,0.101,Hanumakonda,TS
2026-01-18,0.0,30.9,16.2,4.05,0.101,Hanumakonda,TS
2026-01-19,0.0,29.8,16.8,3.64,0.101,Hanumakonda,TS
2026-01-20,0.0,30.2,17.4,3.98,0.101,Hanumakonda,TS
2026-01-21,0.0,29.5,18.2,4.14,0.101,Hanumakonda,TS
2026-01-22,0.0,29.4,18.0,4.49,0.101,Hanumakonda,TS
2026-01-23,0.0,29.0,18.2,4.46,0.101,Hanumakonda,TS
2026-01-24,0.0,29.2,17.9,4.1,0.1,Hanumakonda,TS
2026-01-25,0.0,30.9,19.1,4.11,0.1,Hanumakonda,TS
2026-01-26,0.0,30.8,19.6,4.48,0.1,Hanumakonda,TS
2026-01-27,0.0,30.2,19.4,4.46,0.1,Hanumakonda,TS
2026-01-28,0.0,30.9,18.9,4.3,0.1,Hanumakonda,TS
2026-01-29,0.0,30.6,18.9,4.09,0.1,Hanumakonda,TS
2026-01-30,0.0,30.7,19.2,4.06,0.1,Hanumakonda,TS
2026-01-31,0.0,30.5,19.0,4.44,0.099,Hanumakonda,TS
2026-02-01,0.0,30.6,18.9,4.3,0.099,Hanumakonda,TS
2026-02-02,0.0,30.5,18.7,4.15,0.099,Hanumakonda,TS
2026-02-03,0.0,30.9,19.2,4.16,0.099,Hanumakonda,TS
2026-02-04,0.0,30.8,19.4,4.55,0.099,Hanumakonda,TS
2026-02-05,0.0,31.0,19.2,4.65,0.099,Hanumakonda,TS
2026-02-06,0.0,30.7,19.4,4.74,0.098,Hanumakonda,TS
2026-02-07,0.0,30.6,17.6,5.02,0.098,Hanumakonda,TS
2026-02-08,0.0,30.3,16.8,5.33,0.098,Hanumakonda,TS
2026-02-09,0.0,30.9,17.4,4.73,0.098,Hanumakonda,TS
2026-02-10,0.0,31.0,17.3,4.4,0.098,Hanumakonda,TS
2026-02-11,0.0,31.1,18.7,4.52,0.09,Hanumakonda,TS
2026-02-12,0.0,31.9,18.8,4.88,0.097,Hanumakonda,TS
2026-02-13,0.0,32.2,19.1,4.86,0.097,Hanumakonda,TS
2026-02-14,0.0,32.3,19.2,5.19,0.102,Hanumakonda,TS
2026-02-15,0.0,32.3,19.3,5.3,0.097,Hanumakonda,TS
2026-02-16,0.0,32.6,19.6,5.04,0.096,Hanumakonda,TS
2026-02-17,0.0,32.2,19.2,5.29,0.096,Hanumakonda,TS
2026-02-18,0.0,31.9,19.3,5.04,0.096,Hanumakonda,TS
