date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2019-12-31,1.5,24.9,19.0,2.22,0.164,Hyderabad,TS
2020-01-01,0.2,26.7,18.7,2.56,0.17,Hyderabad,TS
2020-01-02,0.5,26.7,20.0,2.68,0.172,Hyderabad,TS
2020-01-03,0.7,27.3,19.9,2.59,0.187,Hyderabad,TS
2020-01-04,0.4,26.7,18.7,2.22,0.194,Hyderabad,TS
2020-01-05,0.0,25.5,17.1,3.06,0.19,Hyderabad,TS
2020-01-06,0.0,25.9,16.7,3.09,0.186,Hyderabad,TS
2020-01-07,0.0,27.2,19.5,2.79,0.184,Hyderabad,TS
2020-01-08,0.0,28.9,19.5,3.36,0.182,Hyderabad,TS
2020-01-09,0.3,27.7,18.9,2.56,0.182,Hyderabad,TS
2020-01-10,0.3,26.5,19.0,3.07,0.181,Hyderabad,TS
2020-01-11,0.0,26.9,15.8,3.86,0.177,Hyderabad,TS
2020-01-12,0.0,27.6,15.1,3.86,0.171,Hyderabad,TS
2020-01-13,0.0,28.7,16.1,3.85,0.164,Hyderabad,TS
2020-01-14,0.0,28.8,15.6,4.26,0.16,Hyderabad,TS
2020-01-15,0.0,27.7,17.0,4.34,0.157,Hyderabad,TS
2020-01-16,0.0,27.9,16.5,4.12,0.157,Hyderabad,TS
2020-01-17,0.0,27.9,17.1,3.22,0.158,Hyderabad,TS
2020-01-18,0.0,28.5,18.5,3.66,0.159,Hyderabad,TS
2020-01-19,0.0,28.8,18.7,3.33,0.162,Hyderabad,TS
2020-01-20,0.1,28.2,18.7,3.23,0.159,Hyderabad,TS
2020-01-21,0.0,28.7,18.4,4.29,0.16,Hyderabad,TS
2020-01-22,0.0,28.7,17.8,4.27,0.16,Hyderabad,TS
2020-01-23,0.0,28.5,15.8,4.12,0.16,Hyderabad,TS
2020-01-24,0.0,29.3,18.3,4.4,0.164,Hyderabad,TS
2020-01-25,0.0,29.4,17.2,4.19,0.165,Hyderabad,TS
2020-01-26,0.0,30.4,17.6,4.25,0.165,Hyderabad,TS
2020-01-27,0.0,30.9,17.4,4.44,0.163,Hyderabad,TS
2020-01-28,0.0,30.4,18.6,4.49,0.166,Hyderabad,TS
2020-01-29,0.0,30.6,19.1,4.19,0.173,Hyderabad,TS
2020-01-30,0.0,29.8,18.7,4.27,0.173,Hyderabad,TS
2020-01-31,0.0,29.4,17.4,4.05,0.174,Hyderabad,TS
2020-02-01,0.0,29.2,19.4,4.21,0.172,Hyderabad,TS
2020-02-02,0.2,28.5,19.6,3.69,0.172,Hyderabad,TS
2020-02-03,0.0,29.3,19.0,3.97,0.171,Hyderabad,TS
