date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,32.7,17.4,4.34,0.225,Jagtial,TS
2016-01-02,0.0,32.5,18.0,4.32,0.225,Jagtial,TS
2016-01-03,0.0,32.0,18.9,4.29,0.225,Jagtial,TS
2016-01-04,0.0,30.8,19.4,4.5,0.225,Jagtial,TS
2016-01-05,0.0,30.8,19.4,4.48,0.225,Jagtial,TS
2016-01-06,0.0,30.9,17.3,4.39,0.225,Jagtial,TS
2016-01-07,0.0,31.0,17.7,4.51,0.225,Jagtial,TS
2016-01-08,0.0,31.0,17.2,4.39,0.225,Jagtial,TS
2016-01-09,0.0,31.3,18.5,4.27,0.225,Jagtial,TS
2016-01-10,0.0,31.0,19.6,4.51,0.225,Jagtial,TS
2016-01-11,0.0,30.4,18.9,4.43,0.225,Jagtial,TS
2016-01-12,0.0,30.5,17.5,4.55,0.225,Jagtial,TS
2016-01-13,0.0,30.8,17.7,4.74,0.225,Jagtial,TS
2016-01-14,0.0,30.9,18.3,4.76,0.225,Jagtial,TS
2016-01-15,0.0,30.4,19.8,4.52,0.225,Jagtial,TS
2016-01-16,0.0,31.1,19.2,4.82,0.225,Jagtial,TS
2016-01-17,0.0,30.9,20.6,5.34,0.225,Jagtial,TS
2016-01-18,0.0,30.2,20.1,5.14,0.225,Jagtial,TS
2016-01-19,0.8,29.8,21.4,3.72,0.229,Jagtial,TS
2016-01-20,0.0,27.8,19.8,3.11,0.233,Jagtial,TS
2016-01-21,0.0,27.5,16.8,4.85,0.231,Jagtial,TS
2016-01-22,0.0,27.4,15.5,4.89,0.229,Jagtial,TS
2016-01-23,0.0,28.8,16.2,4.75,0.228,Jagtial,TS
2016-01-24,0.0,30.1,14.3,4.59,0.227,Jagtial,TS
2016-01-25,0.0,30.2,18.1,3.93,0.227,Jagtial,TS
2016-01-26,0.0,31.4,19.9,4.05,0.227,Jagtial,TS
2016-01-27,0.0,33.6,21.1,5.33,0.226,Jagtial,TS
2016-01-28,0.0,32.9,17.9,5.13,0.226,Jagtial,TS
2016-01-29,0.0,32.9,19.6,5.28,0.226,Jagtial,TS
2016-01-30,0.0,34.3,18.6,5.22,0.225,Jagtial,TS
2016-01-31,0.0,35.3,18.4,5.11,0.225,Jagtial,TS
2016-02-01,0.0,35.4,19.9,4.97,0.225,Jagtial,TS
2016-02-02,0.0,35.5,20.8,5.81,0.225,Jagtial,TS
2016-02-03,0.0,34.5,20.8,5.32,0.225,Jagtial,TS
2016-02-04,0.0,33.1,19.0,5.61,0.225,Jagtial,TS
2016-02-05,0.0,32.8,18.6,5.14,0.225,Jagtial,TS
2016-02-06,0.0,33.7,21.2,6.03,0.225,Jagtial,TS
2016-02-07,0.0,34.1,22.3,5.42,0.225,Jagtial,TS
2016-02-08,0.0,32.8,24.1,4.04,0.225,Jagtial,TS
2016-02-09,0.0,33.0,24.3,4.37,0.225,Jagtial,TS
2016-02-10,0.0,35.2,25.4,5.72,0.225,Jagtial,TS
2016-02-11,0.0,34.6,25.0,6.04,0.225,Jagtial,TS
2016-02-12,0.0,35.2,24.2,5.56,0.225,Jagtial,TS
2016-02-13,0.0,35.0,24.2,5.44,0.225,Jagtial,TS
2016-02-14,0.0,33.5,24.2,5.43,0.225,Jagtial,TS
2016-02-15,0.0,34.6,24.8,6.82,0.225,Jagtial,TS
2016-02-16,0.0,34.1,20.9,6.96,0.225,Jagtial,TS
2016-02-17,0.0,34.4,20.3,6.86,0.225,Jagtial,TS
2016-02-18,0.0,35.0,19.5,6.61,0.225,Jagtial,TS
2016-02-19,0.0,35.3,20.8,6.5,0.225,Jagtial,TS
2016-02-20,0.0,37.2,20.5,6.17,0.225,Jagtial,TS
2016-02-21,0.0,38.1,21.0,5.81,0.225,Jagtial,TS
2016-02-22,0.0,38.4,24.2,6.42,0.225,Jagtial,TS
2016-02-23,0.0,37.9,26.0,6.83,0.225,Jagtial,TS
2016-02-24,0.0,36.4,24.7,6.58,0.225,Jagtial,TS
2016-02-25,0.0,36.6,24.9,6.71,0.225,Jagtial,TS
2016-02-26,0.0,33.2,24.3,5.49,0.225,Jagtial,TS
2016-02-27,0.0,33.1,24.3,5.34,0.226,Jagtial,TS
2016-02-28,0.0,34.4,24.4,5.49,0.226,Jagtial,TS
2016-02-29,2.4,34.6,24.5,4.81,0.234,Jagtial,TS
2016-03-01,6.2,32.6,23.2,4.14,0.304,Jagtial,TS
2016-03-02,2.1,33.5,23.6,4.47,0.302,Jagtial,TS
2016-03-03,0.5,33.2,23.9,4.16,0.303,Jagtial,TS
2016-03-04,1.3,34.6,22.7,4.82,0.294,Jagtial,TS
2016-03-05,0.5,34.1,24.5,4.81,0.29,Jagtial,TS
2016-03-06,0.5,35.3,23.6,5.81,0.288,Jagtial,TS
2016-03-07,0.0,35.6,21.4,6.93,0.273,Jagtial,TS
2016-03-08,0.0,36.6,22.8,6.99,0.258,Jagtial,TS
2016-03-09,0.0,36.1,24.4,6.03,0.246,Jagtial,TS
2016-03-10,0.0,37.9,24.5,6.05,0.239,Jagtial,TS
2016-03-11,0.0,37.9,25.8,6.24,0.234,Jagtial,TS
2016-03-12,0.0,39.2,24.0,8.63,0.231,Jagtial,TS
2016-03-13,0.0,37.3,24.5,6.37,0.229,Jagtial,TS
2016-03-14,0.0,36.8,26.3,6.27,0.228,Jagtial,TS
2016-03-15,0.2,34.7,24.9,5.72,0.228,Jagtial,TS
2016-03-16,0.1,34.8,23.8,4.57,0.229,Jagtial,TS
2016-03-17,0.0,39.2,25.1,6.53,0.228,Jagtial,TS
2016-03-18,0.0,39.1,26.1,6.33,0.227,Jagtial,TS
2016-03-19,0.0,39.0,27.1,6.66,0.226,Jagtial,TS
2016-03-20,0.0,39.2,25.4,7.81,0.226,Jagtial,TS
2016-03-21,0.0,39.3,24.7,8.11,0.225,Jagtial,TS
2016-03-22,0.0,39.1,22.5,7.57,0.225,Jagtial,TS
2016-03-23,0.0,38.6,22.7,7.38,0.225,Jagtial,TS
2016-03-24,0.0,39.6,23.0,7.72,0.225,Jagtial,TS
2016-03-25,0.0,39.5,22.7,7.13,0.225,Jagtial,TS
2016-03-26,0.0,39.7,24.6,7.02,0.225,Jagtial,TS
2016-03-27,0.0,39.0,26.1,7.19,0.225,Jagtial,TS
2016-03-28,0.3,37.4,25.6,6.86,0.227,Jagtial,TS
2016-03-29,0.0,39.0,26.0,7.41,0.226,Jagtial,TS
2016-03-30,0.0,39.7,26.3,7.5,0.225,Jagtial,TS
2016-03-31,0.0,39.8,26.1,7.26,0.225,Jagtial,TS
2016-04-01,0.0,39.8,26.1,6.53,0.225,Jagtial,TS
2016-04-02,0.0,39.8,26.6,6.46,0.225,Jagtial,TS
2016-04-03,0.0,40.3,28.1,7.06,0.225,Jagtial,TS
2016-04-04,0.9,40.5,28.9,6.47,0.226,Jagtial,TS
2016-04-05,0.5,38.2,29.7,6.17,0.232,Jagtial,TS
2016-04-06,0.0,39.3,27.8,6.48,0.233,Jagtial,TS
2016-04-07,0.0,40.0,27.5,7.07,0.229,Jagtial,TS
2016-04-08,0.0,39.7,26.0,7.82,0.227,Jagtial,TS
2016-04-09,0.0,40.1,26.8,8.85,0.226,Jagtial,TS
2016-04-10,0.0,40.4,28.2,7.76,0.225,Jagtial,TS
2016-04-11,0.0,40.8,28.2,7.26,0.225,Jagtial,TS
2016-04-12,0.0,41.5,29.2,6.96,0.225,Jagtial,TS
2016-04-13,0.0,41.8,28.6,8.18,0.225,Jagtial,TS
2016-04-14,0.0,41.4,28.8,7.42,0.225,Jagtial,TS
2016-04-15,0.0,41.9,28.9,7.29,0.225,Jagtial,TS
2016-04-16,0.3,42.7,29.8,8.2,0.225,Jagtial,TS
2016-04-17,3.0,42.3,30.2,7.73,0.231,Jagtial,TS
2016-04-18,1.0,40.5,30.3,6.43,0.247,Jagtial,TS
2016-04-19,0.0,41.0,29.0,7.93,0.251,Jagtial,TS
2016-04-20,0.0,42.0,29.1,7.59,0.24,Jagtial,TS
2016-04-21,0.0,42.6,29.9,7.2,0.233,Jagtial,TS
2016-04-22,0.0,43.4,31.4,8.86,0.229,Jagtial,TS
2016-04-23,0.0,41.4,29.2,8.75,0.227,Jagtial,TS
2016-04-24,0.0,42.2,29.6,9.1,0.226,Jagtial,TS
2016-04-25,0.0,42.4,26.8,6.9,0.225,Jagtial,TS
2016-04-26,1.0,42.3,30.1,7.26,0.23,Jagtial,TS
2016-04-27,0.7,41.5,29.4,7.82,0.24,Jagtial,TS
2016-04-28,1.1,41.4,29.5,7.07,0.239,Jagtial,TS
2016-04-29,1.0,41.3,30.3,7.23,0.24,Jagtial,TS
2016-04-30,2.3,41.6,29.6,7.05,0.244,Jagtial,TS
2016-05-01,0.0,41.4,28.9,7.7,0.242,Jagtial,TS
2016-05-02,3.2,41.4,28.2,7.14,0.239,Jagtial,TS
2016-05-03,3.1,41.0,29.2,7.56,0.248,Jagtial,TS
2016-05-04,1.7,40.0,26.8,7.06,0.258,Jagtial,TS
2016-05-05,4.5,38.3,27.1,6.53,0.272,Jagtial,TS
2016-05-06,2.7,35.6,25.6,6.71,0.308,Jagtial,TS
2016-05-07,0.9,36.8,25.8,6.07,0.29,Jagtial,TS
2016-05-08,1.7,37.0,26.6,6.03,0.282,Jagtial,TS
2016-05-09,2.2,37.7,26.8,5.96,0.279,Jagtial,TS
2016-05-10,0.2,36.5,27.3,6.02,0.277,Jagtial,TS
2016-05-11,0.3,38.4,27.3,6.46,0.268,Jagtial,TS
2016-05-12,0.0,40.6,28.5,6.75,0.258,Jagtial,TS
2016-05-13,0.0,41.6,30.1,7.34,0.244,Jagtial,TS
2016-05-14,0.0,41.7,31.2,7.65,0.236,Jagtial,TS
2016-05-15,1.6,41.5,30.0,7.94,0.235,Jagtial,TS
2016-05-16,0.0,40.7,29.9,8.13,0.237,Jagtial,TS
2016-05-17,0.0,40.0,29.5,7.99,0.232,Jagtial,TS
2016-05-18,0.0,38.5,29.0,6.51,0.229,Jagtial,TS
2016-05-19,0.0,37.7,29.9,4.94,0.228,Jagtial,TS
2016-05-20,1.0,42.7,30.2,8.21,0.229,Jagtial,TS
2016-05-21,0.0,42.0,31.9,10.22,0.23,Jagtial,TS
2016-05-22,0.0,42.1,31.0,10.31,0.227,Jagtial,TS
2016-05-23,0.0,40.9,30.7,10.22,0.226,Jagtial,TS
2016-05-24,0.0,41.6,31.4,9.66,0.226,Jagtial,TS
2016-05-25,0.0,41.5,32.1,10.03,0.225,Jagtial,TS
2016-05-26,0.0,41.5,31.8,9.26,0.225,Jagtial,TS
2016-05-27,0.0,41.2,32.2,9.1,0.225,Jagtial,TS
2016-05-28,0.0,41.0,31.9,8.39,0.225,Jagtial,TS
2016-05-29,0.0,39.8,31.0,8.36,0.225,Jagtial,TS
2016-05-30,0.0,39.7,30.9,7.98,0.225,Jagtial,TS
2016-05-31,0.1,39.9,31.3,7.35,0.227,Jagtial,TS
2016-06-01,0.0,41.4,30.9,7.46,0.228,Jagtial,TS
