date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2021-12-30,2.0,26.5,17.8,3.33,0.182,Jangaon,TS
2021-12-31,0.0,27.3,17.3,3.65,0.178,Jangaon,TS
2022-01-01,0.0,27.6,16.4,3.78,0.177,Jangaon,TS
2022-01-02,0.0,27.5,17.4,3.88,0.175,Jangaon,TS
2022-01-03,0.0,27.1,16.7,3.95,0.169,Jangaon,TS
2022-01-04,0.0,27.2,16.3,3.84,0.165,Jangaon,TS
2022-01-05,0.0,26.5,16.3,3.26,0.164,Jangaon,TS
2022-01-06,0.0,26.8,15.2,3.55,0.162,Jangaon,TS
2022-01-07,0.0,27.0,15.8,3.4,0.163,Jangaon,TS
2022-01-08,0.0,26.7,17.8,2.98,0.167,Jangaon,TS
2022-01-09,0.0,27.2,18.1,3.44,0.168,Jangaon,TS
2022-01-10,9.8,25.6,18.5,2.22,0.191,Jangaon,TS
2022-01-11,4.1,24.7,17.5,1.82,0.232,Jangaon,TS
2022-01-12,5.3,24.2,17.1,2.39,0.28,Jangaon,TS
2022-01-13,1.3,23.2,17.7,1.37,0.31,Jangaon,TS
2022-01-14,2.8,24.6,17.4,1.73,0.299,Jangaon,TS
2022-01-15,0.3,25.1,16.4,2.49,0.279,Jangaon,TS
2022-01-16,0.0,26.4,17.7,3.23,0.264,Jangaon,TS
2022-01-17,0.7,24.9,17.2,3.01,0.257,Jangaon,TS
2022-01-18,0.0,26.9,17.5,3.95,0.243,Jangaon,TS
2022-01-19,0.0,26.9,16.4,3.99,0.226,Jangaon,TS
2022-01-20,0.0,28.5,15.3,3.89,0.212,Jangaon,TS
2022-01-21,0.0,29.4,17.0,4.62,0.2,Jangaon,TS
2022-01-22,0.0,29.0,16.9,4.25,0.188,Jangaon,TS
2022-01-23,0.0,28.6,16.7,4.21,0.178,Jangaon,TS
2022-01-24,0.0,25.9,17.4,4.65,0.165,Jangaon,TS
2022-01-25,0.0,26.6,16.6,4.34,0.155,Jangaon,TS
2022-01-26,0.0,26.7,16.6,4.55,0.154,Jangaon,TS
2022-01-27,0.0,25.6,16.3,4.83,0.153,Jangaon,TS
2022-01-28,0.0,25.4,15.0,4.97,0.148,Jangaon,TS
2022-01-29,0.0,26.3,14.0,4.84,0.137,Jangaon,TS
2022-01-30,0.0,28.7,13.6,4.67,0.132,Jangaon,TS
2022-01-31,0.0,30.3,13.6,4.49,0.129,Jangaon,TS
2022-02-01,0.0,30.9,15.8,4.52,0.13,Jangaon,TS
2022-02-02,0.0,30.8,17.0,4.64,0.127,Jangaon,TS
2022-02-03,0.0,30.5,17.8,4.98,0.13,Jangaon,TS
2022-02-04,0.0,28.3,17.2,4.91,0.135,Jangaon,TS
2022-02-05,0.0,27.6,14.7,5.09,0.137,Jangaon,TS
2022-02-06,0.0,27.9,16.4,4.78,0.137,Jangaon,TS
2022-02-07,0.0,29.7,15.9,4.24,0.137,Jangaon,TS
2022-02-08,0.0,29.4,17.2,4.05,0.135,Jangaon,TS
2022-02-09,0.1,29.8,18.5,4.27,0.142,Jangaon,TS
2022-02-10,0.0,28.8,17.9,3.94,0.147,Jangaon,TS
2022-02-11,0.0,28.5,18.8,4.76,0.147,Jangaon,TS
2022-02-12,0.0,28.4,16.3,5.19,0.149,Jangaon,TS
2022-02-13,0.0,28.6,17.2,4.94,0.144,Jangaon,TS
2022-02-14,0.0,28.8,14.8,4.65,0.148,Jangaon,TS
