date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2017-12-31,0.0,28.3,16.8,3.62,0.167,Jayashankar Bhupalpally,TS
2018-01-01,0.0,29.0,17.5,3.93,0.165,Jayashankar Bhupalpally,TS
2018-01-02,0.0,28.8,16.9,3.7,0.169,Jayashankar Bhupalpally,TS
2018-01-03,0.0,28.4,16.0,3.83,0.171,Jayashankar Bhupalpally,TS
2018-01-04,0.0,28.3,15.1,3.94,0.172,Jayashankar Bhupalpally,TS
2018-01-05,0.0,28.1,14.1,3.85,0.173,Jayashankar Bhupalpally,TS
2018-01-06,0.0,27.7,15.1,3.63,0.172,Jayashankar Bhupalpally,TS
2018-01-07,0.0,28.2,15.4,3.87,0.171,Jayashankar Bhupalpally,TS
2018-01-08,0.0,27.9,15.0,3.64,0.17,Jayashankar Bhupalpally,TS
2018-01-09,0.0,27.5,15.6,3.47,0.17,Jayashankar Bhupalpally,TS
2018-01-10,0.0,29.4,16.3,3.57,0.169,Jayashankar Bhupalpally,TS
2018-01-11,0.0,30.3,16.9,3.89,0.166,Jayashankar Bhupalpally,TS
2018-01-12,0.0,30.8,18.4,4.0,0.163,Jayashankar Bhupalpally,TS
2018-01-13,0.0,31.7,17.2,4.32,0.159,Jayashankar Bhupalpally,TS
2018-01-14,0.0,31.2,17.4,3.73,0.159,Jayashankar Bhupalpally,TS
2018-01-15,0.0,30.7,20.8,3.87,0.159,Jayashankar Bhupalpally,TS
2018-01-16,0.0,30.6,18.8,4.28,0.157,Jayashankar Bhupalpally,TS
2018-01-17,0.0,30.5,17.1,4.05,0.155,Jayashankar Bhupalpally,TS
2018-01-18,0.0,29.7,17.1,3.79,0.159,Jayashankar Bhupalpally,TS
2018-01-19,0.0,29.2,15.8,3.92,0.158,Jayashankar Bhupalpally,TS
2018-01-20,0.0,29.2,15.6,3.88,0.156,Jayashankar Bhupalpally,TS
2018-01-21,0.0,29.2,16.3,3.91,0.153,Jayashankar Bhupalpally,TS
2018-01-22,0.0,28.6,16.1,3.74,0.152,Jayashankar Bhupalpally,TS
2018-01-23,0.0,29.0,17.5,3.96,0.151,Jayashankar Bhupalpally,TS
2018-01-24,0.0,29.7,18.4,3.81,0.151,Jayashankar Bhupalpally,TS
2018-01-25,0.0,29.5,18.3,4.1,0.152,Jayashankar Bhupalpally,TS
2018-01-26,0.0,29.4,14.8,4.21,0.153,Jayashankar Bhupalpally,TS
2018-01-27,0.0,29.2,14.5,4.13,0.151,Jayashankar Bhupalpally,TS
2018-01-28,0.0,29.2,15.9,3.93,0.15,Jayashankar Bhupalpally,TS
2018-01-29,0.0,28.8,16.8,3.66,0.149,Jayashankar Bhupalpally,TS
2018-01-30,0.0,30.2,16.1,4.39,0.148,Jayashankar Bhupalpally,TS
2018-01-31,0.0,31.2,15.8,4.61,0.147,Jayashankar Bhupalpally,TS
2018-02-01,0.0,31.6,16.1,4.92,0.145,Jayashankar Bhupalpally,TS
2018-02-02,0.0,31.6,16.4,4.57,0.142,Jayashankar Bhupalpally,TS
2018-02-03,0.0,31.7,16.7,4.88,0.141,Jayashankar Bhupalpally,TS
2018-02-04,0.0,31.5,17.8,4.97,0.141,Jayashankar Bhupalpally,TS
2018-02-05,0.0,31.6,17.8,4.74,0.139,Jayashankar Bhupalpally,TS
2018-02-06,0.1,31.0,16.6,4.14,0.138,Jayashankar Bhupalpally,TS
2018-02-07,0.0,30.8,18.8,3.31,0.135,Jayashankar Bhupalpally,TS
2018-02-08,0.0,31.6,20.1,4.18,0.135,Jayashankar Bhupalpally,TS
2018-02-09,0.1,31.6,21.2,4.17,0.138,Jayashankar Bhupalpally,TS
2018-02-10,0.0,32.0,21.3,3.87,0.139,Jayashankar Bhupalpally,TS
2018-02-11,0.0,31.0,21.9,4.26,0.141,Jayashankar Bhupalpally,TS
2018-02-12,0.0,32.0,19.4,4.89,0.143,Jayashankar Bhupalpally,TS
2018-02-13,0.0,32.0,19.3,4.74,0.143,Jayashankar Bhupalpally,TS
2018-02-14,0.0,31.8,19.6,4.45,0.141,Jayashankar Bhupalpally,TS
2018-02-15,0.0,31.7,20.4,4.67,0.137,Jayashankar Bhupalpally,TS
2018-02-16,0.0,31.5,18.3,5.02,0.135,Jayashankar Bhupalpally,TS
2018-02-17,0.0,32.3,18.3,5.11,0.131,Jayashankar Bhupalpally,TS
2018-02-18,0.0,32.7,19.1,4.7,0.127,Jayashankar Bhupalpally,TS
2018-02-19,0.0,32.8,19.4,4.78,0.126,Jayashankar Bhupalpally,TS
2018-02-20,0.0,32.5,19.6,4.26,0.127,Jayashankar Bhupalpally,TS
2018-02-21,0.0,33.0,20.6,4.77,0.128,Jayashankar Bhupalpally,TS
2018-02-22,0.0,32.9,21.4,4.84,0.129,Jayashankar Bhupalpally,TS
2018-02-23,0.0,33.8,21.0,5.36,0.126,Jayashankar Bhupalpally,TS
