date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2014-01-01,0.0,27.9,16.9,4.2,0.256,Jogulamba Gadwal,TS
2014-01-02,0.0,28.3,15.2,4.23,0.256,Jogulamba Gadwal,TS
2014-01-03,0.0,28.7,14.7,4.23,0.256,Jogulamba Gadwal,TS
2014-01-04,0.0,29.3,15.8,4.26,0.255,Jogulamba Gadwal,TS
2014-01-05,0.0,29.9,16.7,4.36,0.255,Jogulamba Gadwal,TS
2014-01-06,0.0,30.7,17.1,4.6,0.255,Jogulamba Gadwal,TS
2014-01-07,0.0,30.1,16.4,4.67,0.255,Jogulamba Gadwal,TS
2014-01-08,0.0,29.1,16.5,4.49,0.254,Jogulamba Gadwal,TS
2014-01-09,0.0,29.4,17.2,4.4,0.254,Jogulamba Gadwal,TS
2014-01-10,0.0,29.4,17.7,4.23,0.254,Jogulamba Gadwal,TS
2014-01-11,0.0,29.7,18.8,4.0,0.254,Jogulamba Gadwal,TS
2014-01-12,0.0,30.9,18.2,4.74,0.254,Jogulamba Gadwal,TS
2014-01-13,0.0,30.0,17.9,4.83,0.254,Jogulamba Gadwal,TS
2014-01-14,0.0,29.5,17.4,4.5,0.254,Jogulamba Gadwal,TS
2014-01-15,0.0,30.0,18.1,4.61,0.254,Jogulamba Gadwal,TS
2014-01-16,0.0,30.3,18.1,4.56,0.254,Jogulamba Gadwal,TS
2014-01-17,0.0,30.1,19.3,4.89,0.253,Jogulamba Gadwal,TS
2014-01-18,0.0,29.5,19.0,4.51,0.253,Jogulamba Gadwal,TS
2014-01-19,0.0,30.0,18.9,4.9,0.253,Jogulamba Gadwal,TS
2014-01-20,0.0,29.8,18.7,4.7,0.253,Jogulamba Gadwal,TS
2014-01-21,0.0,28.9,18.2,4.83,0.253,Jogulamba Gadwal,TS
2014-01-22,0.0,28.7,17.1,4.65,0.253,Jogulamba Gadwal,TS
2014-01-23,0.0,29.3,18.2,4.52,0.253,Jogulamba Gadwal,TS
2014-01-24,0.0,29.8,18.2,4.56,0.253,Jogulamba Gadwal,TS
2014-01-25,0.0,30.0,18.7,4.74,0.253,Jogulamba Gadwal,TS
2014-01-26,0.0,30.4,17.8,4.73,0.253,Jogulamba Gadwal,TS
2014-01-27,0.0,29.2,17.5,4.27,0.253,Jogulamba Gadwal,TS
2014-01-28,0.0,28.7,18.1,3.84,0.253,Jogulamba Gadwal,TS
2014-01-29,0.0,29.2,19.9,4.4,0.253,Jogulamba Gadwal,TS
2014-01-30,0.0,29.3,19.9,4.65,0.253,Jogulamba Gadwal,TS
2014-01-31,0.0,29.1,16.7,4.96,0.253,Jogulamba Gadwal,TS
2014-02-01,0.0,29.4,17.6,4.97,0.253,Jogulamba Gadwal,TS
2014-02-02,0.0,29.8,17.8,4.78,0.253,Jogulamba Gadwal,TS
2014-02-03,0.0,30.7,17.4,4.71,0.253,Jogulamba Gadwal,TS
2014-02-04,0.0,31.9,18.2,4.69,0.253,Jogulamba Gadwal,TS
2014-02-05,0.0,32.3,17.0,4.92,0.253,Jogulamba Gadwal,TS
2014-02-06,0.0,32.8,17.7,5.27,0.253,Jogulamba Gadwal,TS
2014-02-07,0.0,32.5,17.9,5.14,0.253,Jogulamba Gadwal,TS
2014-02-08,0.0,32.9,18.6,5.39,0.253,Jogulamba Gadwal,TS
2014-02-09,0.0,33.3,18.2,5.64,0.253,Jogulamba Gadwal,TS
2014-02-10,0.0,33.2,18.5,5.44,0.253,Jogulamba Gadwal,TS
2014-02-11,0.0,32.4,18.0,5.53,0.253,Jogulamba Gadwal,TS
2014-02-12,0.0,32.1,19.1,5.84,0.253,Jogulamba Gadwal,TS
2014-02-13,0.0,31.6,19.9,5.84,0.253,Jogulamba Gadwal,TS
2014-02-14,0.0,29.4,21.5,4.31,0.254,Jogulamba Gadwal,TS
2014-02-15,0.3,30.0,20.4,4.22,0.258,Jogulamba Gadwal,TS
2014-02-16,0.9,29.6,20.5,4.1,0.268,Jogulamba Gadwal,TS
2014-02-17,0.0,30.3,20.1,6.08,0.268,Jogulamba Gadwal,TS
2014-02-18,0.0,30.8,19.2,5.79,0.265,Jogulamba Gadwal,TS
2014-02-19,0.0,29.9,19.8,3.92,0.263,Jogulamba Gadwal,TS
2014-02-20,0.0,30.9,19.1,5.15,0.261,Jogulamba Gadwal,TS
2014-02-21,0.0,31.7,20.1,5.29,0.26,Jogulamba Gadwal,TS
2014-02-22,0.0,32.0,20.6,5.65,0.258,Jogulamba Gadwal,TS
2014-02-23,0.0,32.2,20.0,5.87,0.257,Jogulamba Gadwal,TS
2014-02-24,0.0,31.8,19.1,6.28,0.256,Jogulamba Gadwal,TS
2014-02-25,0.0,32.0,17.0,5.97,0.255,Jogulamba Gadwal,TS
2014-02-26,0.0,31.9,18.5,5.64,0.255,Jogulamba Gadwal,TS
2014-02-27,0.0,32.7,20.5,5.69,0.254,Jogulamba Gadwal,TS
2014-02-28,0.5,32.0,20.5,4.89,0.254,Jogulamba Gadwal,TS
2014-03-01,0.0,30.5,21.4,4.49,0.256,Jogulamba Gadwal,TS
2014-03-02,0.3,31.2,21.3,4.88,0.257,Jogulamba Gadwal,TS
2014-03-03,2.4,31.2,21.8,4.92,0.262,Jogulamba Gadwal,TS
2014-03-04,2.2,29.6,21.4,3.74,0.29,Jogulamba Gadwal,TS
2014-03-05,0.0,30.1,20.6,4.61,0.299,Jogulamba Gadwal,TS
2014-03-06,0.9,29.6,21.1,3.92,0.298,Jogulamba Gadwal,TS
2014-03-07,0.0,30.8,20.1,5.07,0.298,Jogulamba Gadwal,TS
2014-03-08,0.1,32.6,21.1,6.06,0.293,Jogulamba Gadwal,TS
2014-03-09,0.0,31.1,20.2,5.23,0.286,Jogulamba Gadwal,TS
2014-03-10,0.0,32.5,21.2,5.91,0.281,Jogulamba Gadwal,TS
2014-03-11,0.0,33.4,20.8,6.39,0.276,Jogulamba Gadwal,TS
2014-03-12,0.0,32.2,21.2,5.47,0.272,Jogulamba Gadwal,TS
2014-03-13,0.0,34.2,21.8,6.16,0.268,Jogulamba Gadwal,TS
2014-03-14,0.0,35.2,20.4,6.65,0.265,Jogulamba Gadwal,TS
2014-03-15,0.0,35.9,22.2,7.04,0.262,Jogulamba Gadwal,TS
2014-03-16,0.0,36.1,21.7,6.78,0.259,Jogulamba Gadwal,TS
2014-03-17,0.0,35.6,22.6,6.44,0.258,Jogulamba Gadwal,TS
2014-03-18,0.0,36.7,23.1,7.02,0.256,Jogulamba Gadwal,TS
2014-03-19,0.0,37.0,22.3,6.97,0.255,Jogulamba Gadwal,TS
2014-03-20,0.0,37.2,22.1,6.27,0.254,Jogulamba Gadwal,TS
2014-03-21,0.0,37.2,23.1,6.74,0.254,Jogulamba Gadwal,TS
2014-03-22,0.0,37.4,25.5,6.21,0.253,Jogulamba Gadwal,TS
2014-03-23,0.0,37.6,23.8,7.03,0.253,Jogulamba Gadwal,TS
2014-03-24,0.0,37.4,24.4,7.21,0.253,Jogulamba Gadwal,TS
2014-03-25,0.0,36.9,23.1,7.07,0.253,Jogulamba Gadwal,TS
2014-03-26,0.0,37.8,23.4,7.5,0.253,Jogulamba Gadwal,TS
2014-03-27,0.0,37.9,23.3,7.8,0.253,Jogulamba Gadwal,TS
2014-03-28,0.0,37.7,23.3,6.69,0.253,Jogulamba Gadwal,TS
2014-03-29,0.0,38.5,23.8,6.64,0.253,Jogulamba Gadwal,TS
2014-03-30,0.0,39.0,24.8,6.73,0.253,Jogulamba Gadwal,TS
2014-03-31,0.0,38.5,25.1,6.37,0.253,Jogulamba Gadwal,TS
2014-04-01,0.0,38.4,24.7,6.21,0.253,Jogulamba Gadwal,TS
2014-04-02,0.0,37.1,26.8,6.34,0.253,Jogulamba Gadwal,TS
2014-04-03,0.0,37.2,25.9,6.55,0.253,Jogulamba Gadwal,TS
2014-04-04,0.0,37.6,24.4,6.39,0.253,Jogulamba Gadwal,TS
2014-04-05,0.0,38.2,23.9,6.52,0.253,Jogulamba Gadwal,TS
2014-04-06,0.0,38.8,24.2,7.22,0.253,Jogulamba Gadwal,TS
2014-04-07,0.0,39.2,24.2,7.38,0.253,Jogulamba Gadwal,TS
2014-04-08,0.0,38.7,25.2,6.59,0.253,Jogulamba Gadwal,TS
2014-04-09,1.3,37.9,25.0,6.31,0.259,Jogulamba Gadwal,TS
2014-04-10,0.0,36.4,23.9,6.0,0.27,Jogulamba Gadwal,TS
2014-04-11,0.0,37.4,24.8,6.3,0.265,Jogulamba Gadwal,TS
2014-04-12,0.0,36.6,25.7,5.9,0.262,Jogulamba Gadwal,TS
2014-04-13,0.0,36.8,25.1,6.63,0.259,Jogulamba Gadwal,TS
2014-04-14,0.1,36.6,25.7,6.82,0.258,Jogulamba Gadwal,TS
2014-04-15,0.0,35.5,25.6,5.97,0.259,Jogulamba Gadwal,TS
2014-04-16,0.0,37.3,25.4,6.25,0.257,Jogulamba Gadwal,TS
2014-04-17,0.0,37.5,26.3,6.53,0.256,Jogulamba Gadwal,TS
2014-04-18,0.6,36.4,25.9,5.98,0.257,Jogulamba Gadwal,TS
