date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,31.0,17.7,4.38,0.134,Kamareddy,TS
2016-01-02,0.0,30.2,18.4,4.24,0.133,Kamareddy,TS
2016-01-03,0.0,30.0,17.6,4.47,0.133,Kamareddy,TS
2016-01-04,0.0,28.8,18.6,4.2,0.133,Kamareddy,TS
2016-01-05,0.0,28.9,17.6,4.31,0.133,Kamareddy,TS
2016-01-06,0.0,28.7,17.2,4.02,0.132,Kamareddy,TS
2016-01-07,0.0,29.4,17.5,4.34,0.132,Kamareddy,TS
2016-01-08,0.0,29.1,17.3,4.29,0.132,Kamareddy,TS
2016-01-09,0.0,29.2,17.9,4.23,0.131,Kamareddy,TS
2016-01-10,0.0,29.2,18.8,4.39,0.131,Kamareddy,TS
2016-01-11,0.0,28.6,18.5,4.05,0.131,Kamareddy,TS
2016-01-12,0.0,28.6,17.7,4.21,0.13,Kamareddy,TS
2016-01-13,0.0,29.1,18.2,4.7,0.13,Kamareddy,TS
2016-01-14,0.0,29.0,18.6,4.54,0.13,Kamareddy,TS
2016-01-15,0.0,28.3,18.4,3.95,0.13,Kamareddy,TS
2016-01-16,0.0,29.1,18.5,4.43,0.13,Kamareddy,TS
2016-01-17,0.0,29.6,19.7,5.18,0.129,Kamareddy,TS
2016-01-18,0.0,27.9,19.2,4.57,0.129,Kamareddy,TS
2016-01-19,0.0,27.6,20.4,3.48,0.13,Kamareddy,TS
2016-01-20,0.0,26.4,19.7,3.16,0.131,Kamareddy,TS
2016-01-21,0.0,26.3,16.4,4.46,0.131,Kamareddy,TS
2016-01-22,0.0,26.5,16.2,4.75,0.131,Kamareddy,TS
2016-01-23,0.0,27.6,15.8,4.65,0.13,Kamareddy,TS
2016-01-24,0.0,28.7,16.3,4.61,0.13,Kamareddy,TS
2016-01-25,0.1,28.8,19.1,3.75,0.13,Kamareddy,TS
2016-01-26,0.0,30.2,19.2,4.09,0.13,Kamareddy,TS
2016-01-27,0.0,30.9,19.9,4.56,0.13,Kamareddy,TS
2016-01-28,0.0,31.3,17.3,5.12,0.129,Kamareddy,TS
2016-01-29,0.0,31.6,17.6,5.44,0.129,Kamareddy,TS
2016-01-30,0.0,32.5,17.8,4.78,0.128,Kamareddy,TS
2016-01-31,0.0,33.2,18.5,4.86,0.128,Kamareddy,TS
