date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,32.4,18.6,4.43,0.125,Karimnagar,TS
2016-01-02,0.0,32.2,19.0,4.36,0.125,Karimnagar,TS
2016-01-03,0.0,31.8,18.9,4.34,0.125,Karimnagar,TS
2016-01-04,0.0,30.4,21.0,4.41,0.124,Karimnagar,TS
2016-01-05,0.0,30.5,17.5,4.41,0.124,Karimnagar,TS
2016-01-06,0.0,30.4,17.3,4.37,0.124,Karimnagar,TS
2016-01-07,0.0,30.6,17.4,4.42,0.124,Karimnagar,TS
2016-01-08,0.0,30.7,17.7,4.46,0.124,Karimnagar,TS
2016-01-09,0.0,31.0,17.9,4.29,0.124,Karimnagar,TS
2016-01-10,0.0,30.7,19.7,4.67,0.124,Karimnagar,TS
2016-01-11,0.0,30.2,18.0,4.44,0.124,Karimnagar,TS
2016-01-12,0.0,30.3,17.1,4.54,0.124,Karimnagar,TS
2016-01-13,0.0,30.6,17.7,4.71,0.124,Karimnagar,TS
2016-01-14,0.0,30.4,18.7,4.72,0.124,Karimnagar,TS
2016-01-15,0.0,29.9,19.4,4.47,0.124,Karimnagar,TS
2016-01-16,0.0,30.6,19.1,4.98,0.124,Karimnagar,TS
2016-01-17,0.0,30.4,20.2,5.42,0.124,Karimnagar,TS
2016-01-18,0.0,29.8,19.4,4.99,0.124,Karimnagar,TS
2016-01-19,0.1,28.7,21.1,3.29,0.126,Karimnagar,TS
2016-01-20,0.0,26.6,19.3,2.58,0.134,Karimnagar,TS
2016-01-21,0.0,27.4,16.8,4.65,0.135,Karimnagar,TS
2016-01-22,0.0,27.2,15.7,4.9,0.133,Karimnagar,TS
2016-01-23,0.0,28.7,15.7,4.67,0.132,Karimnagar,TS
2016-01-24,0.0,29.7,14.7,4.47,0.131,Karimnagar,TS
2016-01-25,0.0,29.4,19.3,3.7,0.131,Karimnagar,TS
2016-01-26,0.0,30.8,19.9,4.08,0.131,Karimnagar,TS
2016-01-27,0.0,33.5,20.9,5.14,0.13,Karimnagar,TS
