date,precipitation_sum,temperature_2m_max,temperature_2m_min,et0_fao_evapotranspiration,soil_moisture_0_to_7cm_mean,district,state
2016-01-01,0.0,31.3,19.9,3.96,0.119,Khammam,TS
2016-01-02,0.0,31.5,19.3,4.13,0.119,Khammam,TS
2016-01-03,0.0,31.3,18.6,3.88,0.118,Khammam,TS
2016-01-04,0.0,30.5,20.4,3.8,0.118,Khammam,TS
2016-01-05,0.0,30.3,19.6,3.73,0.118,Khammam,TS
2016-01-06,0.0,29.9,19.6,3.74,0.117,Khammam,TS
2016-01-07,0.0,30.4,19.0,3.87,0.117,Khammam,TS
2016-01-08,0.0,30.4,19.1,3.74,0.117,Khammam,TS
2016-01-09,0.0,31.0,18.1,4.07,0.117,Khammam,TS
2016-01-10,0.0,31.1,18.1,4.23,0.116,Khammam,TS
2016-01-11,0.0,30.8,20.1,4.03,0.116,Khammam,TS
2016-01-12,0.0,30.8,18.9,4.38,0.116,Khammam,TS
2016-01-13,0.0,30.2,17.8,4.07,0.116,Khammam,TS
2016-01-14,0.0,30.1,18.5,4.08,0.116,Khammam,TS
2016-01-15,0.0,30.1,18.8,4.49,0.116,Khammam,TS
2016-01-16,0.0,30.1,18.5,4.51,0.116,Khammam,TS
2016-01-17,0.0,30.6,17.1,4.87,0.115,Khammam,TS
2016-01-18,0.0,30.3,18.1,4.87,0.115,Khammam,TS
2016-01-19,0.0,29.6,20.7,3.44,0.115,Khammam,TS
2016-01-20,3.3,24.7,21.5,0.96,0.142,Khammam,TS
2016-01-21,0.0,29.8,20.7,4.07,0.154,Khammam,TS
2016-01-22,0.0,29.2,18.5,3.97,0.146,Khammam,TS
2016-01-23,0.0,30.2,19.2,4.12,0.14,Khammam,TS
2016-01-24,0.0,29.9,18.9,3.74,0.135,Khammam,TS
2016-01-25,0.0,29.7,20.2,3.83,0.132,Khammam,TS
2016-01-26,0.0,29.5,19.9,3.28,0.13,Khammam,TS
2016-01-27,0.0,31.1,20.1,3.77,0.128,Khammam,TS
2016-01-28,0.0,32.7,19.9,4.42,0.126,Khammam,TS
2016-01-29,0.0,33.5,20.5,4.56,0.123,Khammam,TS
2016-01-30,0.0,33.1,19.8,4.42,0.121,Khammam,TS
2016-01-31,0.0,34.3,19.8,4.71,0.12,Khammam,TS
2016-02-01,0.0,35.0,20.2,4.78,0.119,Khammam,TS
2016-02-02,0.0,34.2,19.7,4.72,0.118,Khammam,TS
2016-02-03,0.0,34.3,19.7,4.93,0.117,Khammam,TS
2016-02-04,0.0,33.3,19.9,4.73,0.117,Khammam,TS
2016-02-05,0.0,31.7,22.0,4.42,0.116,Khammam,TS
2016-02-06,0.0,31.7,20.1,4.86,0.116,Khammam,TS
2016-02-07,0.0,32.2,21.6,4.49,0.116,Khammam,TS
2016-02-08,0.0,31.8,20.7,4.03,0.116,Khammam,TS
2016-02-09,0.0,33.4,23.2,4.54,0.115,Khammam,TS
2016-02-10,0.0,33.4,22.5,5.13,0.115,Khammam,TS
2016-02-11,0.0,32.9,22.0,4.7,0.115,Khammam,TS
2016-02-12,0.0,33.1,23.1,5.18,0.115,Khammam,TS
2016-02-13,0.0,32.6,21.8,4.18,0.115,Khammam,TS
2016-02-14,0.0,33.5,21.6,5.24,0.115,Khammam,TS
2016-02-15,0.0,33.5,20.2,5.76,0.115,Khammam,TS
2016-02-16,0.0,33.3,18.5,5.6,0.115,Khammam,TS
2016-02-17,0.0,33.5,19.9,5.95,0.115,Khammam,TS
2016-02-18,0.0,34.0,20.1,5.9,0.114,Khammam,TS
2016-02-19,0.0,34.7,20.1,5.75,0.114,Khammam,TS
2016-02-20,0.0,36.0,20.9,5.68,0.114,Khammam,TS
2016-02-21,0.0,36.6,20.1,5.75,0.114,Khammam,TS
2016-02-22,0.0,36.2,22.5,5.75,0.115,Khammam,TS
2016-02-23,0.0,35.6,22.6,6.01,0.115,Khammam,TS
2016-02-24,0.0,33.9,23.1,5.48,0.115,Khammam,TS
2016-02-25,0.0,34.0,22.9,5.34,0.115,Khammam,TS
2016-02-26,0.0,33.6,23.9,5.48,0.115,Khammam,TS
2016-02-27,0.0,33.5,23.3,5.07,0.115,Khammam,TS
2016-02-28,0.0,34.5,23.0,5.41,0.115,Khammam,TS
2016-02-29,0.0,34.3,24.4,5.2,0.115,Khammam,TS
2016-03-01,0.0,33.8,23.9,4.97,0.116,Khammam,TS
2016-03-02,0.0,33.3,24.5,4.71,0.116,Khammam,TS
2016-03-03,0.0,34.7,24.2,5.04,0.116,Khammam,TS
2016-03-04,0.0,34.5,23.1,4.96,0.117,Khammam,TS
2016-03-05,0.0,34.9,23.9,5.42,0.116,Khammam,TS
